pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782403093.515467,5714,-55,11,1,7,1,-92,6,101859853,128,0 0 0 0 0 0 0 0 0 0 0 0 1 5 1 5 0 5 0 6 0 6 -1 6 -1 6 -1 6 -1 6 -1 7 -1 6 -1 6 -2 7 -2 7 -1 7 -2 8 -2 8 -2 8 -2 8 -3 8 -3 8 -3 8 -3 8 -3 8 -3 8 -3 8 0 0 -4 7 -4 8 -4 8 -3 7 -3 7 -3 7 -3 6 -3 6 -4 6 -3 5 -3 5 -2 4 -2 4 -1 4 -1 3 -1 3 0 3 0 3 1 3 1 2 2 2 2 2 3 2 3 2 4 1 4 1 0 0 0 0 0 0 0 0 0 0
1782403093.525503,5715,-55,11,1,6,1,-92,6,101871224,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -5 -2 -5 -2 -6 -2 -6 -1 -6 -1 -7 -1 -7 -1 -7 -1 -7 0 -7 -1 -7 -1 -7 -1 -7 -1 -8 -1 -8 -1 -8 0 -9 0 -9 0 -9 0 -9 1 -9 0 -9 1 -9 1 -9 1 -9 1 -9 0 0 1 -8 2 -9 0 -12 1 -8 1 -9 1 -8 1 -7 1 -7 1 -6 1 -6 1 -6 0 -5 1 -5 0 -4 -1 -4 -1 -4 -1 -4 -2 -4 -2 -3 -3 -3 -3 -3 -4 -2 -4 -2 -4 -2 -5 -1 -5 -1 0 0 0 0 0 0 0 0 0 0
1782403093.538587,5716,-56,11,1,5,1,-92,6,101882634,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -3 4 -3 5 -3 5 -3 5 -2 5 -2 6 -2 6 -2 6 -2 6 -2 6 -2 6 -1 7 -1 7 -2 7 -2 7 -2 7 -2 8 -1 8 -1 8 -1 8 -1 8 -1 8 -1 8 0 8 0 8 0 0 0 8 -1 8 -1 8 0 7 0 8 -1 7 0 7 0 7 0 6 0 6 0 5 0 5 0 4 0 3 -1 3 -1 3 -2 2 -2 2 -3 1 -3 1 -3 1 -4 1 -4 0 -5 0 -5 0 -5 -1 -5 0 0 0 0 0 0 0 0 0 0
1782403093.543612,5717,-56,11,1,7,1,-92,6,101889919,128,0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 3 4 4 4 3 4 3 5 3 5 3 5 3 6 3 5 3 5 3 6 3 6 3 6 3 6 3 6 4 7 3 7 3 8 3 7 3 7 3 8 2 7 3 7 2 8 2 8 0 0 2 7 2 7 2 8 2 7 2 7 2 7 1 7 2 6 1 6 1 6 1 5 1 5 1 4 2 3 1 3 2 3 2 2 2 2 2 1 3 0 3 0 3 0 3 -1 4 -2 4 -2 4 -2 0 0 0 0 0 0 0 0 0 0
1782403093.555444,5718,-56,11,1,6,1,-92,6,101901429,128,0 0 0 0 0 0 0 0 0 0 0 0 4 3 4 3 3 3 3 4 4 4 4 4 3 5 3 5 3 5 3 5 3 5 3 5 3 5 4 6 4 6 4 6 4 7 4 7 4 7 3 7 3 7 3 7 3 7 3 7 3 7 3 7 0 0 3 7 3 7 2 7 2 7 2 7 2 7 2 7 2 6 1 6 2 5 1 5 1 4 1 4 1 3 2 3 2 2 2 1 3 1 3 1 3 1 3 0 3 -1 4 -1 4 -2 4 -2 4 -3 0 0 0 0 0 0 0 0 0 0
1782403093.564562,5719,-55,11,1,7,1,-92,6,101909865,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -4 3 -4 4 -4 4 -4 4 -4 4 -4 5 -4 5 -4 5 -4 6 -4 5 -4 5 -4 6 -4 6 -4 6 -4 6 -5 6 -5 7 -5 7 -4 7 -4 7 -4 7 -4 7 -4 7 -4 7 -4 7 -4 0 0 7 -3 7 -4 7 -3 7 -3 6 -3 6 -3 7 -3 6 -3 6 -3 6 -2 5 -2 5 -2 4 -2 3 -2 3 -3 2 -3 2 -3 1 -3 1 -4 1 -4 0 -4 -1 -4 -2 -4 -2 -4 -2 -5 -3 -5 0 0 0 0 0 0 0 0 0 0
1782403093.575704,5720,-56,11,1,7,1,-92,6,101919822,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -4 -4 -4 -5 -5 -5 -5 -4 -6 -4 -5 -4 -6 -4 -6 -4 -7 -4 -6 -4 -6 -4 -7 -4 -7 -4 -7 -4 -7 -5 -8 -5 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -9 -4 -8 -4 -8 -3 -8 -4 -8 0 0 -4 -8 -3 -8 -3 -8 -4 -8 -3 -7 -3 -8 -3 -8 -3 -7 -3 -7 -3 -7 -2 -6 -2 -6 -2 -5 -2 -4 -3 -4 -3 -3 -3 -3 -3 -2 -4 -2 -4 -1 -4 -1 -4 0 -4 0 -5 1 -5 1 -5 2 0 0 0 0 0 0 0 0 0 0
1782403093.585761,5721,-55,11,1,7,1,-92,6,101929764,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -3 -5 -4 -5 -4 -5 -4 -5 -5 -5 -5 -4 -5 -5 -5 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -5 -6 -5 -7 -5 -6 -5 -7 -5 -7 -4 -7 -5 -7 -5 -8 -4 -8 -5 -7 -4 -8 -4 -8 -4 -8 0 0 -4 -8 -4 -8 -3 -8 -3 -7 -3 -7 -4 -7 -3 -7 -3 -6 -3 -7 -3 -6 -2 -5 -2 -5 -2 -5 -3 -4 -3 -3 -3 -3 -4 -2 -3 -2 -3 -2 -4 -1 -4 -1 -4 0 -4 0 -4 1 -5 1 -5 2 0 0 0 0 0 0 0 0 0 0
1782403093.595915,5722,-56,11,1,7,1,-92,6,101939839,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 0 -6 0 -6 0 -6 0 -7 -1 -7 0 -7 -1 -7 -1 -7 -1 -7 -2 -7 -2 -8 -2 -8 -2 -8 -2 -8 -1 -9 -2 -8 -2 -9 -2 -9 -3 -9 -3 -9 -3 -9 -3 -9 -3 -9 -3 -8 -4 -9 -3 0 0 -8 -4 -8 -4 -8 -4 -8 -3 -8 -4 -7 -4 -7 -4 -7 -4 -6 -3 -6 -3 -6 -3 -5 -3 -5 -2 -5 -2 -4 -1 -4 0 -4 0 -4 1 -4 1 -4 1 -3 1 -3 2 -3 3 -3 3 -2 4 -2 4 0 0 0 0 0 0 0 0 0 0
1782403093.606484,5723,-55,11,1,7,1,-92,6,101949832,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 4 -2 5 -3 5 -3 5 -3 5 -4 5 -4 5 -4 5 -4 5 -4 5 -5 5 -5 5 -5 5 -5 6 -5 6 -5 6 -5 6 -5 6 -6 7 -6 6 -6 6 -6 7 -6 6 -6 6 -6 6 -6 6 0 0 -6 6 -6 6 -6 6 -6 5 -6 6 -6 5 -5 5 -5 5 -5 5 -5 4 -5 4 -4 3 -3 3 -3 3 -2 3 -2 3 -1 3 -1 3 0 3 1 3 1 3 2 3 2 2 2 2 3 2 4 3 0 0 0 0 0 0 0 0 0 0
