pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782405909.321833,227696,-60,11,1,6,1,-94,6,2282586208,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -4 -7 -5 -7 -6 -7 -6 -7 -7 -7 -7 -7 -8 -7 -8 -7 -8 -6 -8 -6 -9 -6 -8 -6 -8 -5 -8 -6 -7 -5 -7 -6 -7 -6 -6 -6 -6 -7 -6 -7 -6 -7 -6 -8 -5 -8 -6 -8 -6 -8 -5 0 0 -8 -5 -8 -6 -8 -5 -8 -5 -8 -5 -8 -5 -7 -4 -7 -5 -7 -5 -7 -5 -7 -4 -6 -5 -5 -4 -5 -4 -5 -4 -5 -3 -5 -3 -4 -3 -4 -3 -4 -2 -5 -2 -5 -2 -5 -1 -5 -2 -5 -2 -6 -2 0 0 0 0 0 0 0 0 0 0
1782405909.342310,227697,-60,11,1,6,1,-94,6,2282593714,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -8 -2 -8 -1 -8 -1 -10 -1 -9 0 -10 0 -10 0 -10 1 -10 1 -10 1 -9 1 -9 1 -9 1 -8 1 -9 1 -8 0 -9 0 -8 -1 -9 -1 -8 -2 -8 -1 -9 -2 -9 -2 -9 -3 -9 -2 -9 0 0 -2 -9 -2 -9 -2 -9 -2 -9 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -7 -2 -7 -2 -7 -2 -7 -2 -6 -1 -5 -1 -5 -2 -5 -2 -5 -2 -4 -2 -4 -2 -4 -2 -4 -3 -4 -3 -4 -3 -4 -3 -5 0 0 0 0 0 0 0 0 0 0
1782405909.366308,227698,-60,11,1,7,1,-94,6,2282602231,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 3 -8 3 -9 3 -9 3 -10 2 -10 2 -10 2 -10 2 -11 1 -11 1 -10 1 -10 1 -10 0 -10 1 -9 1 -9 1 -9 1 -9 2 -9 2 -8 3 -9 3 -8 3 -8 4 -8 4 -8 4 -9 4 0 0 -9 4 -9 4 -8 4 -8 4 -8 4 -8 4 -7 4 -7 4 -7 4 -7 4 -7 3 -6 3 -6 3 -6 3 -6 2 -5 2 -4 2 -4 2 -4 3 -4 2 -4 2 -4 3 -3 3 -3 3 -3 3 -4 4 0 0 0 0 0 0 0 0 0 0
1782405909.391021,227699,-60,11,1,7,1,-94,6,2282612185,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -7 -4 -7 -4 -8 -4 -8 -3 -9 -3 -9 -3 -10 -2 -10 -2 -10 -2 -10 -1 -9 -1 -10 -1 -9 -1 -9 -2 -8 -2 -8 -3 -8 -3 -8 -3 -8 -4 -8 -4 -8 -5 -8 -4 -8 -4 -8 -4 -8 -5 -8 0 0 -5 -8 -5 -8 -5 -7 -5 -7 -5 -7 -5 -7 -5 -6 -5 -7 -5 -6 -5 -7 -4 -6 -4 -6 -3 -5 -3 -5 -4 -5 -3 -4 -3 -4 -3 -4 -3 -3 -3 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -3 0 0 0 0 0 0 0 0 0 0
1782405909.410834,227700,-60,11,1,7,1,-94,6,2282622213,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -4 7 -5 7 -4 8 -4 9 -4 9 -4 9 -3 9 -3 9 -2 9 -2 9 -2 9 -2 9 -1 9 -1 8 -2 8 -2 8 -2 8 -3 8 -4 7 -4 7 -4 7 -5 8 -5 8 -5 8 -5 8 -5 0 0 8 -5 8 -5 8 -5 7 -5 7 -5 7 -5 7 -5 6 -5 6 -5 6 -5 6 -4 6 -4 5 -3 5 -3 4 -3 4 -3 3 -3 3 -3 3 -3 3 -3 3 -3 2 -4 2 -4 3 -4 3 -4 3 -4 0 0 0 0 0 0 0 0 0 0
1782405909.427086,227701,-60,11,1,7,1,-94,6,2282632264,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 3 -8 3 -9 3 -9 2 -10 2 -10 2 -10 1 -10 1 -11 0 -11 0 -11 -1 -10 0 -10 0 -10 -1 -9 0 -9 0 -9 1 -9 1 -9 1 -9 1 -9 2 -9 2 -9 3 -9 3 -9 3 -9 3 0 0 -9 3 -9 3 -9 2 -9 3 -8 3 -8 3 -8 3 -8 3 -8 3 -8 3 -8 2 -7 2 -7 2 -6 1 -6 1 -5 1 -5 2 -5 1 -4 2 -4 2 -4 2 -4 2 -4 2 -4 3 -4 2 -5 3 0 0 0 0 0 0 0 0 0 0
1782405909.435351,227702,-60,11,1,7,1,-94,6,2282642261,128,0 0 0 0 0 0 0 0 0 0 0 0 1 7 0 8 0 8 -1 8 -1 9 -1 9 -2 9 -2 9 -2 9 -3 9 -3 9 -3 8 -4 8 -3 8 -2 7 -2 8 -1 8 -1 8 -1 8 0 8 0 8 0 8 0 8 0 8 0 9 0 9 0 0 1 9 1 8 1 8 1 8 1 8 1 8 1 8 1 7 1 7 1 7 1 7 1 6 0 6 1 5 1 5 1 4 0 4 1 4 1 3 1 3 1 4 1 3 2 3 2 4 2 4 2 4 0 0 0 0 0 0 0 0 0 0
1782405909.452280,227703,-60,11,1,6,1,-94,6,2282653713,128,0 0 0 0 0 0 0 0 0 0 0 0 6 3 7 4 7 4 7 5 7 5 7 6 7 6 6 6 6 6 6 7 5 7 5 7 5 7 5 6 5 6 6 5 6 5 6 5 6 4 7 4 7 4 7 4 7 4 8 4 8 4 8 4 0 0 8 3 8 3 8 3 8 3 7 3 7 3 7 2 7 2 7 2 7 2 6 2 6 2 5 2 5 2 5 2 4 1 4 1 4 1 4 0 4 0 4 0 4 0 4 0 4 0 4 0 5 0 0 0 0 0 0 0 0 0 0 0
1782405909.467424,227704,-60,11,1,7,1,-94,6,2282662167,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 -8 0 -9 1 -9 1 -10 2 -10 2 -10 2 -10 3 -10 3 -10 3 -10 3 -10 3 -9 3 -9 3 -9 3 -9 3 -8 2 -9 2 -8 1 -9 1 -9 1 -9 1 -10 0 -10 0 -10 0 -10 0 -10 0 0 0 -10 0 -10 0 -10 0 -9 0 -9 0 -9 0 -9 -1 -9 0 -8 -1 -8 0 -8 -1 -7 -1 -7 0 -6 0 -6 -1 -6 -1 -5 -1 -5 -1 -5 -1 -4 -2 -4 -1 -4 -2 -4 -2 -5 -2 -5 -2 -6 0 0 0 0 0 0 0 0 0 0
1782405909.483951,227705,-60,11,1,7,1,-94,6,2282672240,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 0 -9 -1 -9 -1 -10 -2 -10 -2 -10 -2 -10 -4 -10 -4 -10 -4 -10 -4 -10 -4 -9 -5 -9 -4 -9 -4 -9 -4 -9 -3 -8 -3 -9 -2 -9 -2 -9 -2 -9 -2 -9 -1 -9 -1 -9 -1 -10 -1 -10 -1 0 0 -10 -1 -9 -1 -9 -1 -10 -1 -9 0 -9 0 -9 -1 -9 0 -9 0 -9 -1 -8 -1 -7 -1 -7 -1 -6 -1 -6 0 -6 0 -5 0 -5 0 -5 0 -5 0 -5 0 -4 1 -5 1 -5 1 -5 1 -6 1 0 0 0 0 0 0 0 0 0 0
