pc_time,num_people,presence,auto_label,posture,zone,distance,moving,speed_px_s,motion_score,bbox
1782407038.061533,1,1,still,unknown,center,near,0,0.0,0.00,0 1 495 479
1782407038.908792,1,1,still,unknown,center,near,0,0.3,0.00,0 2 495 477
1782407039.086313,1,1,still,unknown,center,near,0,0.8,0.00,0 2 493 476
1782407039.257626,1,1,still,unknown,center,near,0,2.3,0.61,0 2 486 477
1782407039.444710,1,1,still,unknown,center,near,0,2.4,0.42,0 3 488 477
1782407039.787669,1,1,still,unknown,center,near,0,2.5,0.51,0 4 486 476
1782407039.878603,1,1,still,unknown,center,near,0,2.2,0.47,0 3 488 477
1782407039.963361,1,1,still,unknown,center,near,0,2.1,0.51,0 4 487 477
1782407040.057687,1,1,still,unknown,center,near,0,3.7,0.53,0 3 483 477
1782407040.129447,1,1,still,unknown,center,near,0,2.9,0.43,0 4 489 477
1782407040.207047,1,1,still,unknown,center,near,0,1.8,0.42,0 3 485 477
1782407040.278421,1,1,still,unknown,center,near,0,2.4,0.45,0 4 493 477
1782407040.357241,1,1,still,unknown,center,near,0,2.8,0.40,0 3 489 477
1782407040.459714,1,1,still,unknown,center,near,0,3.4,0.41,0 4 484 477
1782407040.539325,1,1,still,unknown,center,near,0,3.0,0.40,0 3 485 477
1782407040.627257,1,1,still,unknown,center,near,0,2.8,0.39,0 3 486 477
1782407040.713072,1,1,still,unknown,center,near,0,3.3,0.38,0 3 485 477
1782407040.791503,1,1,still,unknown,center,near,0,3.7,0.39,0 3 490 477
1782407040.864386,1,1,still,unknown,center,near,0,3.3,0.39,0 3 490 477
1782407040.967490,1,1,still,unknown,center,near,0,3.7,0.38,0 3 484 477
1782407041.141294,1,1,still,unknown,center,near,0,2.8,0.37,0 3 486 477
1782407041.322956,1,1,still,unknown,center,near,0,3.6,0.38,0 3 491 478
1782407041.487606,1,1,still,unknown,center,near,0,3.3,0.37,0 2 491 477
1782407041.658931,1,1,still,unknown,center,near,0,4.2,0.47,0 2 494 478
1782407041.823890,1,1,still,unknown,center,near,0,2.3,0.43,0 2 490 477
1782407041.996780,1,1,still,unknown,center,near,0,3.1,0.58,0 1 498 478
1782407042.173199,1,1,still,unknown,center,near,0,4.4,0.61,0 1 498 476
1782407042.341793,1,1,moving,unknown,center,near,1,18.3,2.16,46 1 517 476
1782407042.524085,1,1,moving,unknown,center,near,1,51.0,5.91,140 5 552 476
1782407042.705459,1,1,moving,unknown,center,near,1,91.1,11.43,227 23 582 477
1782407042.877065,1,1,moving,unknown,center,near,1,115.1,14.10,255 27 577 478
1782407043.044812,1,1,moving,unknown,center,near,1,123.4,14.95,254 34 556 480
