pc_time,num_people,presence,auto_label,posture,zone,distance,moving,speed_px_s,bbox
1782398785.221690,1,1,still,unknown,center,near,0,0.0,0 1 640 480
1782398785.456803,1,1,still,unknown,center,near,0,0.3,0 1 640 480
1782398785.526334,1,1,still,unknown,center,near,0,0.3,0 1 640 480
1782398785.597849,1,1,still,unknown,center,near,0,0.2,0 1 640 480
1782398785.663949,1,1,still,unknown,center,near,0,0.3,0 1 640 480
1782398785.736096,1,1,still,unknown,center,near,0,0.3,0 1 640 480
1782398785.810615,1,1,still,unknown,center,near,0,0.3,0 1 640 480
1782398785.878163,1,1,still,unknown,center,near,0,0.3,0 0 640 480
1782398785.943162,1,1,still,unknown,center,near,0,0.5,1 1 640 480
1782398786.012681,1,1,still,unknown,center,near,0,0.5,1 1 640 480
1782398786.089731,1,1,still,unknown,center,near,0,0.4,1 1 640 480
1782398786.169761,1,1,still,unknown,center,near,0,0.3,0 1 640 480
1782398786.241506,1,1,still,unknown,center,near,0,0.4,0 1 640 480
1782398786.311068,1,1,still,unknown,center,near,0,0.4,1 1 640 480
1782398786.379613,1,1,still,unknown,center,near,0,0.5,1 1 640 480
1782398786.454614,1,1,still,unknown,center,near,0,0.4,1 1 640 480
1782398786.535135,1,1,still,unknown,center,near,0,0.3,1 1 640 480
1782398786.606662,1,1,still,unknown,center,near,0,0.4,1 1 640 480
1782398786.680206,1,1,still,unknown,center,near,0,0.3,0 1 640 480
1782398786.756205,1,1,still,unknown,center,near,0,0.3,1 1 640 480
1782398786.938329,1,1,still,unknown,center,near,0,0.2,1 1 640 480
1782398787.052868,1,1,still,unknown,center,near,0,0.2,1 1 640 480
1782398787.127383,1,1,still,unknown,center,near,0,0.2,1 1 640 480
1782398787.201543,1,1,still,unknown,center,near,0,0.2,1 1 640 480
1782398787.275127,1,1,still,unknown,center,near,0,0.2,1 1 640 480
1782398787.351138,1,1,still,unknown,center,near,0,0.2,1 1 640 480
1782398787.424865,1,1,still,unknown,center,near,0,0.3,0 1 640 480
1782398787.494116,1,1,still,unknown,center,near,0,0.3,1 1 640 480
1782398787.568661,1,1,still,unknown,center,near,0,0.4,1 1 640 480
1782398787.643661,1,1,still,unknown,center,near,0,0.3,1 1 640 480
1782398787.719172,1,1,still,unknown,center,near,0,0.5,0 1 640 480
1782398787.799129,1,1,still,unknown,center,near,0,0.5,1 1 640 480
1782398787.874457,1,1,still,unknown,center,near,0,0.5,0 1 640 480
1782398787.942297,1,1,still,unknown,center,near,0,0.4,0 1 640 480
1782398788.006338,1,1,still,unknown,center,near,0,0.4,0 1 640 480
1782398788.076579,1,1,still,unknown,center,near,0,0.3,1 1 640 480
1782398788.156635,1,1,still,unknown,center,near,0,0.4,0 1 640 480
1782398788.225940,1,1,still,unknown,center,near,0,0.3,0 1 640 480
1782398788.289356,1,1,still,unknown,center,near,0,0.4,0 1 640 480
1782398788.355776,1,1,still,unknown,center,near,0,0.6,1 1 640 480
1782398788.443517,1,1,still,unknown,center,near,0,0.6,1 1 640 480
1782398788.522538,1,1,still,unknown,center,near,0,0.5,1 1 640 480
