pc_time,num_people,presence,auto_label,posture,zone,distance,moving,speed_px_s,motion_score,bbox
1782404255.663065,1,1,still,unknown,center,near,0,0.0,0.00,5 4 639 478
1782404256.447814,1,1,still,unknown,center,near,0,0.2,1.36,4 4 639 478
1782404256.585645,1,1,moving,unknown,center,near,1,0.5,14.02,3 4 639 478
1782404256.698627,1,1,still,unknown,center,near,0,0.8,1.80,3 3 639 478
1782404256.816726,1,1,still,unknown,center,near,0,0.8,2.44,4 3 639 478
1782404256.932683,1,1,still,unknown,center,near,0,0.7,1.86,4 3 639 478
1782404257.047120,1,1,still,unknown,center,near,0,0.5,1.06,5 3 639 478
1782404257.168555,1,1,still,unknown,center,near,0,0.5,0.80,4 3 639 478
1782404257.289811,1,1,still,unknown,center,near,0,0.6,1.50,4 3 639 478
1782404257.411159,1,1,still,unknown,center,near,0,0.7,1.31,4 3 639 478
1782404257.518804,1,1,still,unknown,center,near,0,0.7,1.33,4 3 639 478
1782404259.023954,1,1,still,unknown,center,near,0,0.4,2.88,4 3 639 478
1782404259.070761,1,1,moving,unknown,center,near,1,0.3,17.61,4 2 639 479
1782404259.112810,1,1,still,unknown,center,near,0,0.2,0.42,4 2 639 479
1782404259.150160,1,1,still,unknown,center,near,0,0.2,0.62,5 2 639 479
1782404259.192095,1,1,still,unknown,center,near,0,0.2,0.47,4 2 639 479
1782404259.232322,1,1,still,unknown,center,near,0,0.1,0.45,4 2 639 479
1782404259.272604,1,1,still,unknown,center,near,0,0.2,0.43,5 2 639 479
1782404259.315645,1,1,still,unknown,center,near,0,0.5,0.41,4 2 639 479
1782404259.356418,1,1,still,unknown,center,near,0,0.8,0.41,4 2 639 479
1782404259.395794,1,1,still,unknown,center,near,0,0.5,0.51,4 2 639 479
1782404259.435889,1,1,still,unknown,center,near,0,0.8,0.42,4 2 639 479
1782404259.474631,1,1,still,unknown,center,near,0,0.5,0.38,4 2 639 479
1782404259.516732,1,1,still,unknown,center,near,0,0.8,0.40,4 2 639 479
1782404259.556750,1,1,still,unknown,center,near,0,0.8,0.47,4 2 639 479
1782404259.594814,1,1,still,unknown,center,near,0,0.5,0.38,4 2 639 479
1782404259.631887,1,1,still,unknown,center,near,0,0.5,0.39,4 2 639 479
1782404259.675633,1,1,still,unknown,center,near,0,0.8,0.37,5 2 639 479
1782404259.714829,1,1,still,unknown,center,near,0,1.1,0.39,4 2 639 479
1782404259.756483,1,1,still,unknown,center,near,0,0.7,0.38,4 2 640 479
1782404259.796664,1,1,still,unknown,center,near,0,1.0,0.48,5 2 639 479
1782404259.834826,1,1,still,unknown,center,near,0,1.0,0.42,4 2 639 478
1782404259.877568,1,1,still,unknown,center,near,0,1.1,0.44,4 2 639 479
1782404259.918664,1,1,still,unknown,center,near,0,0.9,0.49,4 2 639 478
1782404259.965453,1,1,still,unknown,center,near,0,0.8,0.68,5 2 639 479
1782404260.001877,1,1,still,unknown,center,near,0,0.7,0.52,5 2 639 479
1782404260.047633,1,1,still,unknown,center,near,0,0.6,0.51,5 3 639 478
1782404260.087580,1,1,still,unknown,center,near,0,1.1,0.50,4 3 639 479
1782404260.124908,1,1,still,unknown,center,near,0,1.7,0.62,4 3 639 479
1782404260.166434,1,1,still,unknown,center,near,0,1.7,0.45,4 3 639 479
1782404260.209705,1,1,still,unknown,center,near,0,1.7,0.44,4 3 639 479
1782404260.248286,1,1,still,unknown,center,near,0,1.2,0.43,5 3 639 479
1782404260.827900,1,1,still,unknown,center,near,0,0.9,0.53,4 3 639 479
1782404260.881134,1,1,still,unknown,center,near,0,0.7,1.26,4 3 639 479
1782404260.922873,1,1,still,unknown,center,near,0,0.6,0.43,4 3 639 479
1782404260.966527,1,1,still,unknown,center,near,0,0.6,0.59,4 3 639 479
1782404261.012413,1,1,still,unknown,center,near,0,0.5,0.46,4 2 639 479
1782404261.057650,1,1,still,unknown,center,near,0,0.4,0.46,4 3 639 479
1782404261.096851,1,1,still,unknown,center,near,0,0.4,0.61,4 2 639 479
1782404261.137917,1,1,still,unknown,center,near,0,1.1,0.45,5 2 639 479
1782404261.747798,1,1,still,unknown,center,near,0,0.7,0.45,4 2 639 479
1782404261.798702,1,1,still,unknown,center,near,0,0.5,1.07,4 2 639 479
