pc_time,num_people,presence,auto_label,posture,zone,distance,moving,speed_px_s,motion_score,bbox
1782414480.949768,1,1,still,unknown,center,near,0,0.0,0.00,221 111 391 479
1782414481.336502,1,1,still,unknown,center,near,0,27.7,0.00,193 88 383 478
1782414481.459378,1,1,still,sit,center,near,0,50.2,0.00,174 62 384 476
1782414481.553581,1,1,moving,unknown,center,near,1,54.2,8.16,174 58 392 478
1782414481.642540,1,1,moving,unknown,center,near,1,52.3,8.43,176 49 405 478
1782414481.740933,1,1,moving,unknown,center,near,1,47.3,8.77,182 44 420 479
1782414481.827377,1,1,moving,unknown,center,near,1,47.8,10.13,192 27 441 480
1782414481.920521,1,1,moving,unknown,center,near,1,48.8,11.25,195 19 452 480
1782414482.010068,1,1,moving,unknown,center,near,1,66.6,12.38,198 8 460 480
1782414482.084379,1,1,moving,sit,center,near,1,80.2,13.17,193 1 465 477
1782414482.168177,1,1,moving,unknown,center,near,1,81.9,11.67,184 1 467 476
1782414482.250450,1,1,moving,unknown,center,near,1,70.6,11.62,175 5 462 477
1782414482.335051,1,1,moving,unknown,center,near,1,56.0,11.54,172 3 459 480
1782414482.413850,1,1,moving,unknown,center,near,1,39.4,11.42,163 3 458 480
1782414482.502597,1,1,moving,unknown,center,near,1,34.1,11.26,159 3 459 480
1782414482.584403,1,1,moving,unknown,center,near,1,38.8,9.49,150 2 460 478
1782414482.670364,1,1,moving,unknown,center,near,1,41.0,8.22,149 1 459 478
1782414482.798842,1,1,moving,unknown,center,near,1,39.8,6.75,145 1 457 477
1782414482.886324,1,1,moving,unknown,center,near,1,35.9,5.42,134 2 464 478
1782414482.976184,1,1,moving,unknown,center,near,1,36.6,4.09,118 2 465 479
1782414483.063763,1,1,moving,unknown,center,near,1,41.7,3.65,93 2 467 479
1782414483.152172,1,1,moving,unknown,center,near,1,49.7,3.26,76 2 468 479
1782414483.226384,1,1,moving,unknown,center,near,1,52.2,3.27,72 2 468 479
1782414483.309395,1,1,moving,unknown,center,near,1,52.7,3.29,72 1 468 480
1782414483.389510,1,1,moving,unknown,center,near,1,45.5,3.09,86 2 471 480
1782414483.463694,1,1,moving,unknown,center,near,1,34.1,2.72,98 2 473 480
1782414483.537615,1,1,moving,unknown,center,near,1,25.2,2.53,124 2 477 480
1782414483.613964,1,1,moving,unknown,center,near,1,39.5,2.51,136 1 484 479
1782414483.682464,1,1,moving,unknown,center,near,1,64.0,2.68,150 2 487 479
1782414483.759806,1,1,moving,unknown,center,near,1,85.5,2.94,161 2 493 479
1782414483.836391,1,1,moving,unknown,center,near,1,104.9,3.39,171 2 500 478
1782414483.905760,1,1,moving,unknown,center,near,1,119.6,4.05,194 2 502 477
1782414483.979737,1,1,moving,unknown,center,near,1,127.4,4.50,207 2 504 479
1782414484.054417,1,1,moving,unknown,center,near,1,121.4,5.06,219 4 501 479
1782414484.124709,1,1,moving,unknown,center,near,1,113.4,5.95,227 11 500 478
1782414484.193974,1,1,moving,unknown,center,near,1,101.0,6.88,229 18 497 477
1782414484.265627,1,1,moving,unknown,center,near,1,82.7,7.82,229 28 484 480
1782414484.339315,1,1,moving,sit,center,near,1,66.6,9.12,228 45 467 479
1782414484.415472,1,1,moving,sit,center,near,1,57.7,9.82,227 48 461 480
1782414484.496102,1,1,moving,unknown,center,near,1,65.8,10.55,221 61 441 479
1782414484.577872,1,1,moving,unknown,center,near,1,81.0,11.18,216 71 428 479
