pc_time,num_people,presence,auto_label,posture,zone,distance,moving,speed_px_s,motion_score,bbox
1782408185.778831,1,1,still,unknown,center,near,0,0.0,0.00,73 0 612 477
1782408186.486023,1,1,still,unknown,center,near,0,0.4,0.00,73 0 613 477
1782408186.655432,1,1,still,unknown,center,near,0,0.6,0.00,72 1 613 478
1782408186.817369,1,1,still,unknown,center,near,0,0.5,0.15,72 0 613 478
1782408186.987597,1,1,still,unknown,center,near,0,0.5,0.15,73 0 613 478
1782408187.150601,1,1,still,unknown,center,near,0,0.5,0.15,72 1 613 478
1782408187.313822,1,1,still,unknown,center,near,0,1.4,0.31,73 1 619 477
1782408187.477113,1,1,still,unknown,center,near,0,4.5,0.81,71 1 640 478
1782408187.639803,1,1,still,unknown,center,near,0,7.7,1.08,72 3 640 478
1782408187.803909,1,1,still,unknown,center,near,0,9.7,1.24,72 3 640 479
1782408187.970547,1,1,still,unknown,center,near,0,10.4,1.26,70 2 640 479
1782408188.135821,1,1,still,unknown,center,near,0,9.5,1.14,66 1 639 478
1782408188.305208,1,1,still,unknown,center,near,0,7.9,0.99,60 2 639 479
1782408188.467593,1,1,still,unknown,center,near,0,4.7,0.92,51 0 638 478
1782408188.628838,1,1,still,unknown,center,near,0,7.8,1.04,48 0 637 478
1782408188.737529,1,1,still,unknown,center,near,0,10.5,1.18,46 1 637 477
1782408188.826421,1,1,still,unknown,center,near,0,12.5,1.24,47 2 636 477
1782408188.906496,1,1,still,unknown,center,near,0,13.7,1.24,46 2 636 477
1782408188.981334,1,1,still,unknown,center,near,0,13.7,1.23,47 1 636 477
1782408189.125967,1,1,still,unknown,center,near,0,12.2,1.08,47 1 636 477
1782408189.204283,1,1,still,unknown,center,near,0,8.0,0.89,47 2 636 477
1782408189.280117,1,1,still,unknown,center,near,0,4.4,0.88,47 2 637 476
1782408189.356304,1,1,still,unknown,center,near,0,2.8,0.68,47 1 634 476
1782408189.439796,1,1,still,unknown,center,near,0,6.7,0.79,46 1 623 477
1782408189.518982,1,1,still,unknown,center,near,0,17.7,1.05,43 1 604 477
1782408189.596439,1,1,still,unknown,center,near,0,34.6,1.72,34 2 585 478
1782408189.670670,1,1,moving,unknown,center,near,1,55.8,2.41,30 3 568 479
1782408189.743846,1,1,moving,unknown,center,near,1,78.5,3.11,27 3 548 480
1782408189.821663,1,1,moving,unknown,center,near,1,93.8,3.62,30 4 536 480
1782408189.886577,1,1,moving,unknown,center,near,1,100.3,3.94,37 4 531 478
1782408189.952957,1,1,moving,unknown,center,near,1,94.1,4.16,51 1 528 480
1782408190.033147,1,1,moving,unknown,center,near,1,72.1,4.21,69 0 526 479
1782408190.121807,1,1,moving,unknown,center,near,1,39.3,4.10,96 0 531 479
1782408190.201936,1,1,moving,unknown,center,near,1,59.5,4.11,134 1 549 477
1782408190.273254,1,1,moving,unknown,center,near,1,105.0,4.52,174 5 560 479
1782408190.345434,1,1,moving,unknown,center,near,1,137.7,5.09,183 7 562 477
1782408190.418609,1,1,moving,unknown,center,near,1,158.4,5.84,200 11 559 477
1782408190.498930,1,1,moving,unknown,center,near,1,160.5,6.49,204 12 552 476
1782408190.570825,1,1,moving,unknown,center,near,1,151.7,6.97,205 13 543 478
1782408190.644644,1,1,moving,unknown,center,near,1,129.0,7.35,205 15 531 480
1782408190.714067,1,1,moving,unknown,center,near,1,87.7,7.43,201 15 526 480
1782408190.791410,1,1,moving,unknown,center,near,1,60.0,7.68,197 19 507 480
1782408190.863842,1,1,moving,unknown,center,near,1,58.7,7.89,194 22 494 480
1782408190.945797,1,1,moving,unknown,center,near,1,70.7,7.92,188 27 485 477
1782408191.022830,1,1,moving,unknown,center,near,1,86.7,7.86,181 31 470 480
