pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782326150.477963,20091,-55,11,1,7,1,-94,6,206714713,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -5 -8 -5 -8 -6 -7 -6 -6 -7 -6 -7 -6 -7 -5 -7 -6 -7 -5 -8 -4 -8 -5 -8 -5 -8 -4 -8 -4 -7 -4 -7 -4 -7 -5 -8 -4 -7 -4 -8 -5 -8 -4 -8 -4 -8 -4 -8 -3 -7 -3 -6 0 0 -4 -6 -4 -6 -4 -6 -5 -6 -5 -6 -5 -6 -5 -5 -5 -6 -6 -5 -6 -5 -6 -6 -5 -5 -5 -5 -6 -5 -6 -5 -5 -5 -5 -5 -5 -4 -5 -4 -6 -3 -6 -3 -6 -2 -6 -2 -6 -2 -6 -1 -7 0 0 0 0 0 0 0 0 0 0 0
1782326150.484784,20092,-57,11,1,7,1,-94,6,206724707,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -8 3 -8 4 -7 5 -7 5 -7 5 -7 5 -6 5 -6 5 -6 5 -6 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -4 6 -4 5 -4 0 0 5 -5 5 -5 5 -5 4 -5 4 -5 4 -6 4 -5 4 -6 4 -6 4 -6 4 -6 4 -6 4 -6 4 -6 4 -6 4 -6 3 -6 3 -5 2 -6 2 -6 1 -6 1 -6 1 -6 0 -6 0 -6 -1 -7 0 0 0 0 0 0 0 0 0 0
1782326150.494432,20093,-55,11,1,6,1,-94,6,206736961,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -8 4 -7 5 -7 5 -6 6 -6 6 -6 6 -5 6 -5 6 -4 6 -4 7 -5 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 7 -4 7 -4 6 -4 7 -3 6 -3 6 -3 6 -3 6 -3 0 0 5 -4 5 -4 5 -4 5 -4 5 -5 5 -5 5 -5 5 -5 5 -5 4 -5 4 -6 4 -6 5 -6 4 -5 4 -6 4 -5 4 -5 3 -5 3 -5 2 -5 2 -5 2 -6 1 -6 1 -6 0 -6 -1 -6 0 0 0 0 0 0 0 0 0 0
1782326150.505328,20094,-55,11,1,7,1,-94,6,206744710,128,0 0 0 0 0 0 0 0 0 0 0 0 6 5 5 5 5 6 4 6 4 6 3 7 4 7 3 7 3 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 1 7 1 7 1 6 1 6 0 0 2 5 2 5 3 5 3 5 3 5 3 5 3 5 4 5 3 5 4 5 4 5 4 5 4 5 4 5 4 5 4 4 3 4 4 3 4 3 4 3 4 2 4 2 5 1 5 1 5 1 5 0 0 0 0 0 0 0 0 0 0 0
1782326150.514442,20095,-55,11,1,6,1,-94,6,206756947,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 5 -7 5 -8 4 -8 3 -8 3 -8 2 -8 2 -8 2 -8 1 -8 1 -8 1 -8 1 -8 1 -8 1 -8 1 -8 1 -8 1 -8 1 -8 0 -8 0 -8 0 -8 0 -8 1 -8 0 -7 0 -7 0 0 0 -7 1 -6 1 -6 1 -7 1 -6 1 -7 2 -7 2 -6 2 -7 2 -7 2 -7 2 -7 3 -7 3 -6 3 -7 2 -6 2 -6 2 -5 2 -5 3 -5 3 -4 3 -4 3 -4 4 -3 4 -3 4 -2 5 0 0 0 0 0 0 0 0 0 0
1782326150.524594,20096,-55,11,1,7,1,-94,6,206764760,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -6 6 -6 7 -5 7 -5 7 -4 7 -4 7 -3 7 -3 7 -3 7 -3 7 -3 7 -2 7 -3 7 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -1 7 -1 7 -2 7 -2 7 -2 6 -2 0 0 6 -2 6 -2 6 -2 6 -3 5 -3 6 -3 6 -3 6 -3 6 -3 6 -3 6 -4 6 -4 6 -4 6 -3 5 -3 5 -3 5 -4 5 -4 4 -4 4 -4 3 -4 3 -5 3 -5 2 -5 2 -6 1 -6 0 0 0 0 0 0 0 0 0 0
1782326150.539057,20097,-55,11,1,4,1,-94,6,206778622,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 8 -2 8 -3 8 -3 7 -4 7 -4 7 -4 7 -4 7 -5 7 -5 6 -6 6 -6 6 -6 6 -6 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -6 6 -6 5 -5 5 -5 5 0 0 -4 5 -4 5 -3 5 -3 6 -3 5 -3 6 -3 6 -3 6 -3 6 -3 6 -3 6 -3 6 -3 6 -2 6 -2 6 -2 6 -2 6 -1 6 -1 5 -1 5 0 5 1 5 1 5 1 5 2 5 2 5 0 0 0 0 0 0 0 0 0 0
1782326150.544608,20098,-55,11,1,6,1,-94,6,206786197,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -7 5 -6 6 -6 7 -5 6 -5 7 -5 7 -4 7 -4 7 -4 7 -4 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -2 7 -2 6 -2 6 -2 0 0 5 -3 6 -3 5 -3 5 -4 5 -4 5 -4 5 -4 6 -4 6 -4 5 -5 5 -5 6 -4 5 -4 5 -5 5 -4 5 -4 5 -4 4 -4 4 -4 3 -5 3 -5 2 -5 2 -6 1 -6 1 -6 1 -6 0 0 0 0 0 0 0 0 0 0
1782326150.560395,20099,-55,11,1,6,1,-94,6,206797790,128,0 0 0 0 0 0 0 0 0 0 0 0 2 8 1 8 0 8 -1 8 -1 8 -2 8 -2 8 -2 8 -3 8 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -4 7 -3 7 -3 7 -3 7 -4 7 -4 7 -4 7 -4 7 -3 6 -4 6 -3 6 0 0 -2 6 -3 6 -2 6 -2 6 -2 6 -2 6 -2 7 -1 6 -1 7 -1 7 -1 7 -1 7 -1 7 -1 7 -1 6 -1 6 -1 6 0 5 0 6 1 5 1 5 2 5 2 5 2 5 3 4 4 4 0 0 0 0 0 0 0 0 0 0
1782326150.564922,20100,-55,11,1,7,1,-94,6,206804741,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 6 -6 5 -7 5 -7 4 -7 4 -8 4 -8 3 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 -7 2 -8 2 -8 2 -8 2 -9 2 -8 1 -8 1 -8 1 -8 1 -7 1 -7 1 0 0 -7 1 -7 1 -7 2 -7 2 -6 3 -7 3 -7 2 -7 3 -7 3 -6 3 -7 3 -6 3 -6 3 -6 3 -6 3 -6 3 -6 3 -5 3 -5 3 -4 3 -4 4 -4 4 -4 4 -3 5 -2 5 -2 5 0 0 0 0 0 0 0 0 0 0
1782326150.576467,20101,-57,11,1,7,1,-94,6,206814673,128,0 0 0 0 0 0 0 0 0 0 0 0 0 8 -1 7 -1 8 -2 7 -2 8 -3 7 -3 7 -3 7 -3 7 -4 7 -4 7 -4 6 -4 6 -4 6 -4 6 -4 7 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 0 0 -3 5 -3 6 -2 5 -2 6 -2 6 -2 6 -2 6 -2 6 -2 7 -2 6 -2 7 -2 7 -2 6 -2 6 -1 6 -1 6 -1 6 -1 5 0 5 0 5 1 5 1 5 1 5 2 5 2 5 3 5 0 0 0 0 0 0 0 0 0 0
1782326150.586498,20102,-55,11,1,7,1,-94,6,206824702,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -8 4 -7 5 -7 5 -7 6 -6 6 -6 6 -5 6 -6 6 -5 6 -5 6 -5 6 -5 6 -5 6 -4 6 -4 6 -4 6 -5 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 0 0 5 -4 5 -4 5 -4 4 -5 4 -5 4 -5 4 -5 4 -6 4 -6 4 -6 4 -6 4 -6 4 -6 4 -6 4 -5 4 -5 3 -6 3 -5 3 -5 2 -5 1 -6 1 -6 1 -6 0 -6 -1 -6 -1 -6 0 0 0 0 0 0 0 0 0 0
1782326150.594292,20103,-55,11,1,7,1,-94,6,206834706,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 7 -4 7 -4 7 -5 6 -5 6 -5 6 -6 6 -6 5 -6 5 -6 5 -7 5 -7 5 -6 4 -6 4 -6 4 -6 5 -6 4 -6 5 -6 4 -6 5 -7 5 -6 4 -7 4 -6 4 -6 4 -6 4 0 0 -5 4 -5 4 -4 4 -4 5 -4 5 -4 5 -4 5 -4 5 -4 5 -4 6 -4 6 -4 6 -4 6 -4 6 -4 5 -4 5 -3 5 -2 5 -2 5 -2 5 -1 5 -1 5 -1 5 0 5 1 5 1 5 0 0 0 0 0 0 0 0 0 0
1782326150.610809,20104,-55,11,1,6,1,-94,6,206846142,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 -1 -8 -2 -9 -3 -9 -3 -8 -4 -8 -4 -8 -4 -8 -5 -7 -5 -7 -6 -7 -6 -7 -5 -6 -6 -6 -6 -6 -5 -7 -6 -6 -5 -6 -5 -6 -6 -6 -5 -7 -6 -6 -6 -6 -6 -6 -6 -5 -6 -5 -5 0 0 -6 -4 -6 -5 -6 -4 -6 -4 -6 -4 -7 -3 -7 -3 -7 -3 -7 -3 -7 -4 -7 -3 -7 -4 -7 -3 -7 -4 -7 -3 -7 -3 -7 -3 -6 -3 -6 -2 -6 -1 -6 -1 -6 0 -6 0 -6 0 -6 1 -6 2 0 0 0 0 0 0 0 0 0 0
1782326150.618208,20105,-57,11,1,6,1,-94,6,206856053,128,0 0 0 0 0 0 0 0 0 0 0 0 6 4 6 4 6 5 5 5 5 6 5 6 4 6 4 6 4 6 3 6 3 6 3 6 3 6 3 6 3 7 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 2 6 2 6 2 6 0 0 3 5 3 5 3 5 3 5 4 5 4 5 4 5 4 5 4 5 4 4 5 4 4 4 4 4 5 4 4 4 4 4 4 4 4 3 4 2 4 2 5 2 5 1 5 1 5 1 5 0 6 -1 0 0 0 0 0 0 0 0 0 0
1782326150.629073,20106,-55,11,1,7,1,-94,6,206864800,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 5 -7 5 -7 4 -8 4 -8 3 -8 3 -8 3 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 -8 1 -8 1 -8 2 -8 1 -8 1 -8 1 -8 1 -8 1 -8 1 -7 1 -7 1 0 0 -7 1 -6 1 -7 2 -6 2 -7 2 -6 2 -7 2 -7 3 -7 3 -7 3 -7 3 -7 3 -6 3 -6 3 -6 3 -6 3 -6 3 -5 3 -5 3 -4 3 -4 4 -4 4 -4 4 -3 4 -2 5 -2 5 0 0 0 0 0 0 0 0 0 0
1782326150.638908,20107,-57,11,1,7,1,-94,6,206874740,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -7 -5 -7 -5 -8 -4 -8 -4 -8 -3 -8 -3 -8 -3 -8 -3 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -7 -1 -7 0 0 -2 -7 -2 -7 -2 -7 -3 -7 -3 -6 -3 -7 -3 -7 -3 -7 -3 -7 -4 -7 -4 -7 -3 -7 -3 -7 -3 -7 -4 -7 -4 -6 -4 -6 -4 -5 -4 -5 -4 -5 -4 -5 -5 -4 -5 -4 -5 -4 -6 -3 -7 -2 0 0 0 0 0 0 0 0 0 0
1782326150.644556,20108,-55,11,1,7,1,-94,6,206884729,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 8 -2 8 -3 8 -3 7 -4 7 -4 7 -4 7 -4 7 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -6 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -6 5 -5 5 -5 5 -5 5 -5 5 0 0 -4 5 -4 5 -4 5 -4 5 -3 5 -3 6 -3 6 -3 6 -3 6 -3 6 -3 6 -3 6 -3 6 -3 6 -3 5 -2 6 -2 6 -2 5 -1 5 -1 5 0 5 0 5 0 5 1 5 1 5 2 4 0 0 0 0 0 0 0 0 0 0
