pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782326395.452464,3869,-56,11,1,6,1,-94,6,44321429,128,0 0 0 0 0 0 0 0 0 0 0 0 7 0 7 0 7 1 7 2 7 2 6 2 7 3 6 3 6 3 7 3 6 3 6 3 6 3 6 3 6 3 7 3 6 3 7 3 7 4 7 4 6 4 6 4 6 4 6 4 6 4 6 3 0 0 6 3 6 3 6 2 6 2 6 2 6 2 6 2 5 2 5 1 6 1 5 1 5 1 5 0 5 0 5 0 5 0 5 0 4 0 4 -1 4 -1 4 -1 3 -1 3 -1 2 -2 2 -2 1 -2 0 0 0 0 0 0 0 0 0 0
1782326395.458494,3870,-56,11,1,6,1,-94,6,44329411,128,0 0 0 0 0 0 0 0 0 0 0 0 2 7 2 7 1 8 1 7 0 8 0 7 0 7 0 7 0 7 -1 7 -1 8 -1 7 -1 7 -1 7 -1 7 -1 8 -1 8 -1 8 -1 8 -1 8 -1 8 -1 8 -1 8 -2 7 -1 7 -1 7 0 0 -1 7 -1 7 0 7 0 7 0 6 0 6 0 6 1 6 1 6 1 6 1 5 1 5 2 5 2 5 2 5 2 5 2 5 2 4 2 4 2 3 2 3 2 2 2 2 2 1 2 1 2 0 0 0 0 0 0 0 0 0 0 0
1782326395.470599,3871,-54,11,1,6,1,-94,6,44339478,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 7 -2 7 -2 8 -3 8 -3 7 -3 7 -4 7 -4 7 -4 6 -4 7 -4 7 -4 6 -4 6 -4 6 -4 7 -4 7 -4 7 -4 7 -4 7 -5 7 -5 7 -5 7 -4 6 -4 7 -4 6 -4 6 0 0 -4 6 -3 6 -3 6 -3 6 -3 6 -3 6 -2 6 -2 6 -2 5 -1 5 -1 5 -1 6 -1 5 -1 6 -1 5 -1 5 -1 5 0 5 0 4 0 4 0 3 1 3 1 3 1 2 1 2 2 1 0 0 0 0 0 0 0 0 0 0
1782326395.479779,3872,-56,11,1,6,1,-94,6,44349692,128,0 0 0 0 0 0 0 0 0 0 0 0 4 5 3 6 3 6 2 7 2 7 2 7 2 7 1 7 1 7 1 7 1 7 1 7 1 7 1 7 1 7 1 7 1 7 1 8 1 8 1 8 0 8 1 7 0 7 0 7 0 7 0 7 0 0 1 6 1 7 1 6 1 6 1 6 1 6 1 6 1 6 2 5 2 5 2 5 2 5 2 4 2 4 3 4 3 4 3 4 3 3 2 3 2 3 2 2 2 2 2 1 2 1 2 0 2 0 0 0 0 0 0 0 0 0 0 0
1782326395.494205,3873,-56,11,1,6,1,-94,6,44362016,128,0 0 0 0 0 0 0 0 0 0 0 0 5 5 5 6 4 6 4 7 3 7 3 7 3 7 3 7 3 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 8 2 8 2 8 2 8 2 8 2 8 1 8 1 7 1 7 2 7 0 0 2 7 2 7 2 6 2 6 2 6 3 6 3 6 3 6 3 5 3 5 3 5 3 5 3 5 3 4 3 4 3 4 3 4 3 3 3 3 3 2 3 2 3 2 3 1 3 1 2 0 2 -1 0 0 0 0 0 0 0 0 0 0
1782326395.501889,3874,-56,11,1,6,1,-94,6,44369377,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -5 -6 -6 -5 -7 -5 -7 -5 -7 -5 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -3 -8 -4 -8 -3 -8 -3 -7 -4 -7 0 0 -4 -7 -4 -6 -4 -7 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -4 -5 -5 -5 -4 -5 -5 -5 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -3 -4 -3 -4 -3 -4 -2 -4 -2 -4 -2 -3 -1 -3 -1 -3 0 0 0 0 0 0 0 0 0 0 0
1782326395.512767,3875,-56,11,1,6,1,-94,6,44381396,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -6 4 -6 5 -6 5 -5 5 -5 5 -5 6 -5 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -5 6 -4 6 -4 7 -5 7 -4 7 -4 6 -4 6 -4 6 -4 6 -4 0 0 5 -4 5 -4 5 -5 5 -4 5 -5 5 -5 5 -5 4 -5 4 -5 4 -5 3 -5 3 -5 3 -5 3 -5 2 -5 2 -5 2 -5 2 -4 2 -4 1 -4 1 -4 0 -4 0 -3 0 -3 -1 -3 -1 -3 0 0 0 0 0 0 0 0 0 0
1782326395.518601,3876,-56,11,1,6,1,-94,6,44389649,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 7 -3 6 -4 6 -4 6 -5 6 -5 6 -5 6 -5 5 -5 6 -5 5 -6 5 -6 5 -6 5 -6 5 -5 5 -5 6 -5 6 -6 6 -6 6 -6 6 -6 5 -6 5 -6 5 -6 4 -6 4 -5 5 0 0 -5 5 -5 5 -4 5 -5 5 -4 5 -4 5 -4 5 -4 5 -3 5 -4 5 -3 5 -3 5 -3 5 -2 5 -2 5 -2 5 -2 5 -2 4 -1 4 -1 4 -1 3 0 3 0 3 0 2 0 2 1 1 0 0 0 0 0 0 0 0 0 0
1782326395.527613,3877,-56,11,1,6,1,-94,6,44399576,128,0 0 0 0 0 0 0 0 0 0 0 0 7 1 7 2 7 2 7 3 6 3 6 3 6 4 6 3 6 4 6 4 6 4 6 4 6 4 5 4 6 4 6 4 6 4 6 4 6 5 6 5 6 5 6 5 5 4 5 4 5 4 5 4 0 0 5 3 5 4 6 3 5 3 5 3 5 3 5 3 5 2 5 2 5 2 5 2 5 1 5 1 5 1 5 1 5 1 5 0 4 0 4 0 4 0 4 0 3 -1 3 -1 2 -1 2 -2 1 -2 0 0 0 0 0 0 0 0 0 0
1782326395.535036,3878,-56,11,1,6,1,-94,6,44409470,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 6 -4 6 -4 6 -5 6 -5 6 -5 5 -5 5 -6 5 -6 5 -6 5 -6 5 -6 5 -6 5 -6 5 -6 5 -6 5 -6 5 -6 5 -7 5 -7 5 -7 5 -7 4 -6 5 -6 4 -6 4 -6 4 0 0 -6 5 -5 5 -5 5 -5 5 -5 5 -5 4 -5 4 -5 4 -5 4 -4 4 -4 5 -3 5 -3 5 -3 5 -3 5 -3 5 -3 4 -2 4 -2 4 -2 4 -2 3 -1 3 -1 3 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0
