pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782326291.130067,7483,-54,11,1,6,1,-94,6,80633914,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 -1 -9 -1 -9 -2 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -4 -9 -4 -8 -4 -9 -4 -8 -4 -8 -4 -8 -4 -7 -4 -7 -4 -7 -3 -7 -3 -7 -3 -7 -2 0 0 -7 -2 -7 -2 -7 -2 -7 -1 -7 -1 -8 -1 -7 -1 -7 -1 -7 0 -7 0 -7 0 -7 1 -7 1 -7 1 -7 1 -7 1 -7 1 -6 0 -6 0 -5 0 -5 0 -4 0 -3 0 -2 1 -1 1 0 1 0 0 0 0 0 0 0 0 0 0
1782326291.137263,7484,-56,11,1,6,1,-94,6,80644412,128,0 0 0 0 0 0 0 0 0 0 0 0 5 4 5 5 5 6 4 6 4 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 7 3 6 3 7 2 6 3 6 3 6 3 6 3 5 3 5 0 0 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 4 4 3 5 3 5 3 5 3 5 3 5 3 5 2 5 3 4 2 4 2 3 2 3 1 2 1 2 1 1 0 1 -1 1 -2 0 0 0 0 0 0 0 0 0 0
1782326291.140017,7485,-54,11,1,7,1,-94,6,80652718,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -5 -7 -5 -7 -6 -7 -6 -6 -7 -6 -7 -6 -6 -6 -6 -6 -6 -6 -7 -6 -7 -6 -7 -5 -7 -6 -7 -6 -7 -6 -7 -6 -8 -5 -7 -5 -8 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -6 -5 -6 0 0 -5 -5 -6 -5 -6 -5 -6 -5 -6 -4 -6 -4 -7 -5 -6 -4 -7 -4 -7 -4 -7 -4 -6 -3 -7 -3 -7 -3 -7 -3 -6 -3 -6 -3 -6 -3 -6 -3 -5 -3 -4 -2 -4 -2 -3 -1 -2 -1 -2 0 -1 1 0 0 0 0 0 0 0 0 0 0
1782326291.154256,7486,-54,11,1,6,1,-94,6,80664049,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -8 3 -8 4 -7 5 -7 5 -7 5 -7 5 -6 5 -6 5 -6 4 -6 5 -6 5 -6 5 -7 5 -6 5 -7 6 -6 6 -6 6 -6 6 -6 6 -6 5 -5 5 -5 5 -6 5 -5 4 -6 4 -6 0 0 3 -6 4 -6 3 -6 3 -6 3 -6 3 -7 3 -7 2 -7 3 -7 2 -7 2 -7 1 -7 1 -7 1 -7 1 -6 2 -7 1 -6 1 -6 1 -5 1 -5 1 -5 1 -4 0 -3 -1 -3 -1 -2 -2 -1 0 0 0 0 0 0 0 0 0 0
1782326291.166095,7487,-51,11,1,7,0,-94,6,80673512,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 13 -3 12 -4 13 -4 12 -6 12 -6 11 -6 11 -6 11 -6 11 -6 11 -6 11 -6 11 -7 12 -6 11 -6 11 -7 13 -7 11 -7 12 -7 11 -8 11 -8 10 -7 10 -7 10 -6 10 -6 9 -5 9 0 0 -4 10 -3 10 -3 10 -3 11 -2 11 -3 11 -2 11 -2 11 -2 11 -1 11 -1 10 -1 10 0 10 0 10 0 11 0 9 -1 10 0 9 -1 8 0 7 -1 6 0 5 0 4 1 2 1 1 2 0 0 0 0 0 0 0 0 0 0 0
1782326291.176390,7488,-54,11,1,7,1,-94,6,80682636,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 2 -9 1 -9 0 -9 0 -9 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 -2 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 -2 -9 -2 -9 -2 -8 -2 -8 -2 -8 -2 -8 -2 -7 -1 -7 -1 0 0 -7 0 -7 0 -7 1 -7 1 -7 1 -7 1 -7 1 -7 1 -7 1 -7 1 -7 1 -7 2 -7 2 -6 2 -6 2 -7 2 -6 2 -6 2 -5 1 -5 2 -5 1 -4 1 -3 1 -2 1 -1 1 0 1 0 0 0 0 0 0 0 0 0 0
1782326291.189038,7489,-56,11,1,6,1,-94,6,80694276,128,0 0 0 0 0 0 0 0 0 0 0 0 3 6 2 7 1 7 1 7 0 7 0 7 0 7 0 7 0 7 0 7 0 7 0 7 0 7 0 7 0 8 0 8 0 8 0 8 -1 8 -1 7 -1 7 -1 7 0 7 0 6 0 6 0 6 0 0 1 6 1 6 2 6 2 6 2 6 2 6 2 6 2 6 2 6 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 4 2 4 2 3 2 3 1 2 1 1 1 1 1 0 1 -1 0 0 0 0 0 0 0 0 0 0
1782326291.195667,7490,-54,11,1,7,1,-94,6,80702700,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -9 1 -9 2 -9 2 -8 3 -8 2 -8 3 -8 3 -7 3 -8 3 -8 3 -8 3 -8 3 -8 3 -8 3 -8 4 -8 3 -8 3 -8 4 -8 4 -8 3 -7 3 -7 3 -7 3 -7 3 -7 2 -7 0 0 1 -7 1 -7 1 -7 0 -7 1 -7 0 -7 0 -7 0 -7 0 -7 0 -7 0 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -7 -2 -7 -1 -6 -1 -6 -1 -5 -1 -5 -1 -4 -1 -3 -1 -3 -2 -1 -2 -1 0 0 0 0 0 0 0 0 0 0
1782326291.206246,7491,-56,11,1,7,1,-94,6,80712827,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -4 -7 -5 -6 -6 -6 -6 -6 -6 -5 -6 -5 -6 -5 -6 -5 -6 -5 -6 -5 -6 -5 -6 -5 -6 -5 -6 -6 -6 -6 -7 -6 -6 -5 -7 -5 -7 -5 -7 -5 -7 -5 -6 -5 -6 -5 -6 -5 -5 -5 -5 0 0 -5 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -3 -6 -4 -6 -3 -7 -3 -6 -3 -6 -3 -6 -3 -6 -2 -7 -2 -6 -2 -6 -2 -6 -2 -5 -2 -5 -2 -4 -2 -4 -1 -3 -1 -3 -1 -2 0 -1 1 0 0 0 0 0 0 0 0 0 0
1782326291.218217,7492,-54,11,1,5,1,-94,6,80725468,128,0 0 0 0 0 0 0 0 0 0 0 0 7 3 7 4 6 4 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 5 6 5 6 5 6 5 6 5 6 4 5 4 5 4 5 4 4 4 4 0 0 5 4 5 3 5 4 5 3 6 3 6 3 6 3 6 2 5 3 5 2 5 2 5 2 6 2 6 1 6 2 6 2 5 1 5 1 5 1 4 1 3 1 3 1 2 0 2 0 1 -1 0 -2 0 0 0 0 0 0 0 0 0 0
