pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782327911.117519,4228,-57,11,1,6,1,-94,6,47986081,128,0 0 0 0 0 0 0 0 0 0 0 0 6 4 6 4 6 5 6 6 6 6 5 6 5 6 5 6 5 7 5 7 5 7 4 7 4 7 5 7 5 7 5 7 5 7 4 7 4 7 4 7 4 7 4 7 3 7 3 7 2 6 2 6 0 0 2 4 2 4 2 3 2 2 2 1 2 1 2 0 2 -1 2 -1 3 -1 3 -2 3 -3 3 -3 3 -3 3 -4 2 -4 3 -5 2 -5 2 -6 2 -6 2 -7 2 -7 2 -7 2 -7 2 -7 1 -7 0 0 0 0 0 0 0 0 0 0
1782327911.131440,4229,-55,11,1,6,1,-94,6,47995964,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 6 -7 6 -8 6 -9 5 -9 5 -9 5 -9 5 -9 5 -9 4 -9 4 -9 4 -9 4 -10 4 -9 4 -9 4 -10 3 -10 4 -10 4 -10 4 -10 3 -9 3 -9 3 -9 3 -9 2 -8 1 -7 1 0 0 -6 2 -5 1 -5 1 -4 1 -3 2 -2 2 -1 2 -1 2 0 3 1 2 0 3 1 3 2 3 2 3 2 3 3 3 3 4 4 3 5 3 5 3 5 4 6 4 6 3 6 3 6 3 6 2 0 0 0 0 0 0 0 0 0 0
1782327911.144040,4230,-57,11,1,7,1,-94,6,48006953,128,0 0 0 0 0 0 0 0 0 0 0 0 8 -1 8 0 9 1 9 1 9 1 9 1 9 2 9 2 9 2 9 3 9 2 9 3 9 3 9 3 9 3 9 3 9 3 9 3 9 3 8 4 8 4 8 4 7 4 7 4 6 4 6 3 0 0 4 2 4 2 3 1 3 0 3 0 2 -1 2 -2 2 -2 2 -3 2 -3 1 -4 1 -4 1 -5 1 -5 0 -5 0 -6 0 -6 -1 -7 -1 -7 -1 -7 -1 -8 -2 -8 -2 -8 -2 -8 -2 -8 -3 -7 0 0 0 0 0 0 0 0 0 0
1782327911.146597,4231,-57,11,1,7,1,-94,6,48014682,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 -9 -1 -9 0 -10 1 -10 1 -10 1 -10 1 -10 2 -10 1 -10 3 -10 3 -10 3 -10 3 -10 3 -10 3 -10 2 -10 2 -10 3 -10 3 -10 3 -10 3 -9 3 -9 3 -9 3 -8 3 -7 3 -7 0 0 2 -6 1 -5 1 -5 0 -4 0 -4 -1 -3 -2 -3 -3 -3 -3 -2 -4 -2 -4 -2 -4 -2 -5 -1 -5 -1 -5 -1 -6 0 -6 0 -7 0 -7 1 -7 1 -8 1 -8 1 -8 2 -8 2 -7 2 -7 3 0 0 0 0 0 0 0 0 0 0
1782327911.161469,4232,-57,11,1,6,1,-94,6,48025998,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 7 -4 7 -5 7 -5 7 -5 6 -5 6 -6 6 -6 6 -6 6 -6 6 -6 6 -6 6 -6 6 -6 6 -6 6 -7 5 -7 6 -7 5 -7 6 -7 5 -7 5 -7 5 -7 4 -6 4 -6 4 -6 3 0 0 -5 3 -4 2 -3 2 -2 2 -2 2 -1 2 -1 2 0 2 0 3 1 2 1 2 2 2 2 2 3 2 3 2 4 2 4 2 5 2 5 1 5 1 6 1 6 1 6 1 6 1 6 0 7 0 0 0 0 0 0 0 0 0 0 0
1782327911.161469,4233,-56,11,1,7,1,-94,6,48034678,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 -1 -10 -2 -10 -2 -10 -3 -10 -4 -10 -4 -10 -4 -10 -4 -9 -4 -9 -4 -9 -5 -9 -5 -9 -5 -9 -5 -9 -5 -9 -5 -10 -5 -9 -5 -9 -5 -9 -5 -9 -5 -9 -6 -8 -5 -7 -5 -7 -5 -6 -5 0 0 -5 -4 -5 -3 -4 -3 -4 -2 -4 -1 -3 0 -3 1 -3 1 -3 2 -3 2 -3 3 -2 3 -2 3 -2 4 -2 4 -2 5 -1 5 -1 6 0 6 0 6 0 7 1 7 1 7 1 7 1 7 2 7 0 0 0 0 0 0 0 0 0 0
1782327911.177106,4234,-57,11,1,7,1,-94,6,48044589,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -5 -8 -5 -8 -6 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -6 -8 -7 -8 -7 -8 -7 -8 -6 -8 -7 -8 -7 -8 -7 -8 -7 -8 -6 -8 -6 -8 -6 -8 -6 -8 -5 -8 -5 -8 -4 -7 -4 -7 0 0 -3 -5 -3 -4 -3 -4 -3 -3 -3 -2 -3 -1 -3 -1 -3 0 -3 0 -4 1 -4 1 -4 2 -3 2 -4 3 -3 4 -3 4 -3 5 -3 5 -3 5 -3 6 -3 7 -2 6 -2 7 -2 7 -2 7 -1 7 0 0 0 0 0 0 0 0 0 0
1782327911.177106,4235,-57,11,1,7,1,-94,6,48054681,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -9 0 -9 1 -10 1 -10 2 -10 2 -10 2 -10 2 -10 2 -10 3 -10 3 -9 3 -10 4 -10 3 -10 3 -10 3 -10 3 -10 3 -10 3 -9 4 -10 4 -9 4 -9 4 -9 4 -8 4 -7 3 -7 0 0 2 -6 2 -5 1 -4 0 -4 0 -4 -1 -4 -2 -3 -2 -3 -3 -3 -3 -3 -4 -2 -4 -2 -4 -2 -5 -2 -6 -1 -6 -1 -6 0 -6 0 -7 0 -7 1 -8 1 -8 1 -8 1 -8 1 -8 2 -8 2 0 0 0 0 0 0 0 0 0 0
1782327911.190897,4236,-57,11,1,7,1,-94,6,48066456,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 8 -2 9 -3 9 -3 8 -4 9 -4 8 -4 8 -4 9 -4 8 -5 8 -5 8 -5 8 -5 8 -5 8 -5 8 -5 8 -5 8 -5 8 -6 8 -6 8 -6 8 -6 7 -5 7 -5 7 -5 6 -5 5 0 0 -4 4 -3 4 -3 3 -2 3 -1 3 0 3 0 2 1 2 1 2 2 2 3 2 3 1 3 1 4 1 4 1 5 1 5 0 6 0 6 0 7 -1 7 -1 7 -1 7 -1 7 -2 7 -2 7 -3 0 0 0 0 0 0 0 0 0 0
1782327911.196419,4237,-57,11,1,7,1,-94,6,48074639,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 2 -9 2 -10 1 -10 1 -10 0 -10 0 -10 0 -10 -1 -10 -1 -10 -1 -11 -1 -10 -1 -10 -1 -10 -1 -10 -1 -11 -1 -10 -2 -11 -2 -10 -2 -10 -2 -10 -3 -10 -3 -9 -3 -9 -3 -8 -3 -7 -3 0 0 -6 -2 -6 -2 -5 -1 -4 0 -3 0 -3 1 -3 1 -2 2 -2 2 -2 3 -2 3 -1 3 -1 4 -1 4 0 5 0 5 1 5 1 5 1 6 2 6 2 6 3 6 2 7 3 6 3 6 4 6 0 0 0 0 0 0 0 0 0 0
