pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782327622.742208,101266,-55,11,1,7,1,-95,6,1015611683,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -1 6 -1 7 0 7 1 6 1 6 1 6 2 6 2 6 2 5 2 5 2 5 2 5 2 5 2 5 2 6 2 6 2 6 2 6 3 6 3 5 3 5 3 5 3 4 3 4 3 4 3 0 0 4 2 4 2 4 1 4 1 4 1 4 0 4 0 4 0 4 0 4 -1 4 -1 4 -1 5 -1 5 -1 5 -2 4 -2 5 -2 5 -2 4 -2 4 -3 4 -3 4 -3 5 -3 4 -4 4 -4 4 -5 0 0 0 0 0 0 0 0 0 0
1782327622.760514,101267,-55,11,1,7,1,-95,6,1015621648,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -4 -5 -5 -5 -6 -4 -6 -4 -6 -4 -6 -3 -6 -3 -6 -3 -6 -3 -6 -3 -6 -3 -6 -3 -6 -3 -6 -3 -6 -3 -7 -3 -7 -3 -7 -2 -7 -2 -7 -2 -7 -2 -7 -1 -7 -1 -6 -1 -6 -1 -5 0 0 -2 -5 -2 -5 -2 -5 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -4 -3 -4 -3 -4 -3 -4 -4 -5 -4 -5 -3 -5 -3 -5 -3 -5 -3 -5 -3 -5 -2 -5 -3 -6 -2 -6 -2 -6 -1 -6 -1 -6 0 0 0 0 0 0 0 0 0 0 0
1782327622.773054,101268,-55,11,1,7,1,-95,6,1015632960,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -1 -7 -1 -8 -2 -7 -3 -7 -3 -6 -3 -6 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -4 -7 -4 -7 -5 -6 -5 -6 -5 -6 -5 -6 -5 -5 -5 -5 -5 -5 -5 -5 -4 0 0 -4 -3 -5 -3 -5 -3 -5 -3 -5 -2 -5 -2 -6 -2 -5 -2 -5 -1 -6 -1 -5 -1 -6 -1 -6 -1 -6 0 -6 0 -6 0 -6 0 -6 1 -6 1 -6 1 -6 1 -6 2 -6 2 -6 2 -5 3 -5 3 0 0 0 0 0 0 0 0 0 0
1782327622.781481,101269,-55,11,1,7,1,-95,6,1015641729,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 4 -6 4 -6 4 -7 3 -7 3 -7 2 -7 2 -7 2 -7 2 -7 1 -7 1 -6 1 -6 1 -7 1 -7 1 -7 1 -7 1 -7 1 -7 1 -8 0 -7 0 -7 0 -7 0 -7 0 -6 0 -6 0 0 0 -5 0 -5 0 -5 1 -5 1 -5 1 -5 1 -5 2 -5 2 -4 2 -4 2 -4 2 -4 2 -4 3 -4 4 -4 3 -4 4 -4 4 -4 4 -3 4 -3 4 -3 5 -3 5 -3 5 -3 5 -2 5 -2 5 0 0 0 0 0 0 0 0 0 0
1782327622.790960,101270,-55,11,1,7,1,-95,6,1015652950,128,0 0 0 0 0 0 0 0 0 0 0 0 2 6 2 6 1 6 1 6 0 6 0 6 0 6 -1 6 0 6 -1 6 -1 5 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 7 -1 6 -2 6 -2 6 -2 6 -2 6 -2 5 -2 5 -2 5 0 0 -1 4 -1 4 -1 4 0 4 0 4 0 4 0 4 1 4 1 4 1 4 1 4 1 4 2 4 2 4 2 4 3 4 3 4 3 4 3 3 3 3 3 3 4 3 4 3 4 3 4 2 5 2 0 0 0 0 0 0 0 0 0 0
1782327622.797749,101271,-55,11,1,7,1,-95,6,1015661630,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -6 4 -5 5 -5 5 -4 6 -4 5 -3 6 -3 5 -3 6 -3 5 -2 5 -2 6 -3 5 -3 5 -2 5 -3 6 -3 6 -2 6 -2 6 -2 7 -2 6 -1 6 -1 6 -1 5 -1 5 -1 5 -1 0 0 4 -2 4 -2 4 -2 4 -2 3 -3 4 -3 4 -3 3 -3 3 -3 3 -3 3 -4 3 -4 3 -4 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -6 2 -6 1 -6 1 -6 0 -6 0 -6 -1 -6 0 0 0 0 0 0 0 0 0 0
1782327622.797749,101272,-55,11,1,7,1,-95,6,1015671692,128,0 0 0 0 0 0 0 0 0 0 0 0 4 4 4 5 3 6 3 5 2 6 2 6 2 6 2 5 2 6 1 6 1 5 1 5 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 0 6 0 6 0 6 -1 6 0 5 0 5 0 0 0 4 1 4 1 4 1 4 2 4 2 4 2 4 2 4 2 3 3 3 3 3 3 3 3 3 3 3 4 3 4 2 4 3 4 2 4 2 5 2 5 2 5 1 5 1 5 1 5 0 5 0 0 0 0 0 0 0 0 0 0 0
1782327622.805998,101273,-55,11,1,7,1,-95,6,1015681588,128,0 0 0 0 0 0 0 0 0 0 0 0 6 3 6 3 5 4 5 4 4 5 4 4 4 5 4 5 4 5 3 5 3 5 3 5 3 5 3 5 3 5 4 5 3 5 3 5 3 6 3 6 3 6 2 6 2 5 1 5 1 5 2 5 0 0 2 4 2 3 2 3 2 3 3 3 3 3 3 3 3 3 3 3 3 2 4 2 4 2 4 2 4 1 4 1 5 2 5 1 5 1 5 1 5 0 5 0 5 0 5 0 5 0 5 -1 6 -1 0 0 0 0 0 0 0 0 0 0
1782327622.814199,101274,-55,11,1,7,1,-95,6,1015691634,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 0 -8 -1 -7 -2 -7 -3 -7 -3 -7 -3 -7 -3 -7 -3 -6 -3 -6 -3 -6 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -4 -7 -4 -6 -4 -6 -5 -6 -4 -6 -5 -5 -5 -5 -5 -5 -5 -5 -4 -5 -4 0 0 -5 -3 -4 -3 -5 -3 -5 -2 -5 -2 -5 -2 -5 -2 -5 -2 -5 -2 -5 -1 -5 -1 -5 0 -5 0 -6 0 -6 0 -6 0 -6 1 -6 1 -6 1 -6 1 -6 1 -6 2 -6 2 -5 2 -5 3 -5 3 0 0 0 0 0 0 0 0 0 0
1782327622.814199,101275,-55,11,1,7,1,-95,6,1015701582,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 2 -7 1 -8 0 -7 0 -8 -1 -7 -1 -7 -1 -7 -2 -7 -2 -6 -2 -7 -2 -6 -2 -6 -2 -7 -2 -7 -2 -7 -2 -7 -2 -7 -2 -7 -3 -7 -3 -7 -3 -7 -3 -6 -3 -6 -3 -5 -3 -5 -3 0 0 -5 -2 -5 -2 -5 -1 -5 -1 -5 -1 -5 -1 -5 0 -5 0 -5 0 -5 0 -5 0 -5 1 -5 1 -5 1 -5 1 -5 2 -6 2 -5 2 -5 2 -5 2 -5 2 -5 3 -5 3 -5 3 -5 4 -4 4 0 0 0 0 0 0 0 0 0 0
