pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782327803.129279,11478,-56,11,1,6,1,-94,6,120383655,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 7 -2 7 -3 8 -3 8 -4 8 -4 8 -4 8 -5 8 -5 8 -6 8 -6 8 -6 8 -6 7 -6 7 -6 7 -6 7 -6 7 -6 7 -7 7 -7 7 -7 6 -6 6 -6 6 -6 5 -5 5 -5 4 0 0 -3 4 -3 4 -2 5 -2 5 -1 5 -1 5 0 6 0 5 1 6 1 6 1 6 2 6 2 6 3 6 3 6 3 6 4 7 4 6 4 7 4 6 4 7 4 7 4 7 3 6 3 5 3 5 0 0 0 0 0 0 0 0 0 0
1782327803.141347,11479,-54,11,1,6,1,-94,6,120393741,128,0 0 0 0 0 0 0 0 0 0 0 0 2 7 2 7 1 8 1 8 1 8 1 9 0 9 0 9 0 9 -1 9 -1 9 -1 9 -1 9 -1 9 -1 9 -2 9 -2 10 -2 9 -2 9 -3 9 -2 8 -3 8 -2 7 -2 7 -2 7 -1 6 0 0 -1 5 0 5 1 5 1 5 2 5 2 5 3 4 3 4 3 4 4 4 5 4 5 3 5 4 6 4 6 3 6 4 7 3 7 4 7 4 7 3 7 4 6 4 6 3 6 3 6 2 5 2 0 0 0 0 0 0 0 0 0 0
1782327803.151287,11480,-56,11,1,6,1,-94,6,120403698,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -4 7 -3 8 -3 8 -2 8 -2 8 -2 9 -2 9 -1 9 -1 9 -1 9 0 9 0 9 0 9 0 9 0 10 0 9 0 9 1 9 1 9 1 9 1 8 1 8 1 7 1 7 1 6 1 0 0 5 -1 5 -1 5 -2 5 -3 4 -3 4 -3 4 -4 4 -4 4 -5 4 -5 4 -6 4 -6 4 -6 4 -7 4 -7 3 -7 4 -8 4 -8 4 -8 4 -8 4 -8 3 -8 4 -8 3 -8 3 -7 2 -6 0 0 0 0 0 0 0 0 0 0
1782327803.151287,11481,-56,11,1,6,1,-94,6,120413697,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 3 -7 3 -8 3 -8 3 -9 2 -9 2 -9 2 -9 2 -10 2 -10 1 -10 1 -10 0 -10 0 -10 0 -10 0 -10 0 -10 0 -10 0 -10 0 -10 0 -9 -1 -9 -1 -9 -1 -8 -1 -8 -1 -7 -1 0 0 -6 0 -6 1 -5 1 -5 2 -5 3 -5 3 -5 3 -5 4 -4 4 -4 4 -4 5 -4 5 -4 5 -4 6 -4 6 -4 6 -4 7 -4 7 -3 7 -3 7 -3 7 -3 7 -4 7 -4 6 -3 6 -3 5 0 0 0 0 0 0 0 0 0 0
1782327803.160699,11482,-54,11,1,6,1,-94,6,120423619,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -6 6 -6 6 -5 7 -5 7 -5 7 -5 8 -5 8 -5 8 -4 8 -4 8 -4 9 -4 9 -4 9 -4 8 -4 9 -3 9 -4 8 -3 9 -3 9 -3 8 -3 8 -2 7 -2 7 -2 6 -2 6 -2 0 0 5 -3 4 -3 4 -4 3 -4 3 -5 3 -5 3 -5 2 -6 2 -6 1 -6 1 -7 1 -7 1 -8 1 -8 1 -8 1 -8 0 -8 0 -9 0 -9 0 -9 0 -9 0 -9 0 -8 0 -8 0 -7 -1 -7 0 0 0 0 0 0 0 0 0 0
1782327803.169132,11483,-54,11,1,6,1,-94,6,120433667,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -8 -3 -8 -3 -9 -3 -9 -2 -10 -2 -10 -1 -10 -1 -10 -1 -10 -1 -11 -1 -11 -1 -10 0 -11 0 -10 0 -10 0 -11 0 -10 0 -11 1 -11 1 -10 1 -10 1 -9 1 -9 1 -8 0 -8 0 -7 0 0 -1 -6 -2 -6 -2 -6 -3 -6 -3 -6 -4 -6 -4 -6 -5 -5 -5 -5 -5 -5 -6 -5 -6 -4 -7 -5 -7 -4 -8 -5 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -9 -4 -8 -4 -8 -4 -8 -4 -7 -3 -6 -3 0 0 0 0 0 0 0 0 0 0
1782327803.185559,11484,-56,11,1,6,1,-94,6,120445408,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -3 7 -3 8 -2 8 -2 9 -2 9 -1 9 -1 9 -1 9 0 10 0 9 1 9 1 9 1 9 1 9 1 9 1 9 1 9 1 9 2 9 2 9 2 8 2 8 2 7 2 6 2 6 1 0 0 5 0 5 -1 5 -1 5 -2 5 -2 5 -3 5 -3 5 -4 5 -4 5 -5 5 -5 5 -5 4 -6 4 -6 4 -7 5 -7 5 -7 4 -7 4 -8 4 -8 4 -8 4 -7 4 -7 4 -7 4 -6 3 -6 0 0 0 0 0 0 0 0 0 0
1782327803.194041,11485,-56,11,1,6,1,-94,6,120453657,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 6 -5 6 -6 6 -6 5 -7 5 -7 5 -7 5 -7 5 -8 5 -8 5 -9 5 -9 4 -9 4 -9 4 -9 4 -9 4 -9 4 -9 4 -9 4 -9 4 -9 3 -8 3 -8 2 -7 2 -7 2 -6 2 0 0 -5 3 -4 3 -4 3 -3 4 -3 4 -3 5 -2 5 -2 5 -2 5 -1 6 -1 6 -1 6 0 6 0 7 0 7 0 7 1 7 1 7 1 8 1 8 1 7 1 7 1 7 1 7 1 6 1 5 0 0 0 0 0 0 0 0 0 0
1782327803.202268,11486,-56,11,1,6,1,-94,6,120463759,128,0 0 0 0 0 0 0 0 0 0 0 0 7 0 7 0 8 1 8 2 8 2 8 2 8 3 8 3 8 3 8 4 8 4 8 4 8 4 8 4 8 4 7 5 7 5 7 5 7 5 7 5 7 5 6 5 6 5 5 4 5 4 5 3 0 0 5 2 5 1 5 1 5 0 5 0 5 -1 5 -1 5 -2 5 -2 5 -2 6 -3 6 -3 6 -4 6 -4 6 -4 6 -4 7 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 5 -4 5 -4 0 0 0 0 0 0 0 0 0 0
1782327803.202268,11487,-56,11,1,6,1,-94,6,120473671,128,0 0 0 0 0 0 0 0 0 0 0 0 2 7 1 7 1 8 1 8 0 8 0 8 0 9 -1 9 0 9 -1 9 -2 9 -2 9 -2 9 -2 9 -2 9 -2 9 -2 9 -2 9 -3 8 -2 9 -3 8 -3 8 -3 7 -3 7 -2 6 -2 6 0 0 0 5 0 5 1 5 2 5 2 4 2 4 3 4 3 4 4 4 4 4 4 4 5 4 5 4 6 3 6 3 6 3 7 3 7 3 7 3 7 3 7 3 7 3 7 3 6 3 5 2 5 2 0 0 0 0 0 0 0 0 0 0
