pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784739450.344471,4435,-37,11,1,7,1,-95,1,101578876,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 -7 -1 -8 -1 -7 0 -8 0 -8 0 -8 0 -8 0 -8 0 -8 1 -9 1 -9 1 -9 1 -9 1 -9 2 -9 2 -9 2 -9 2 -9 3 -10 3 -9 3 -10 3 -10 3 -10 3 -10 3 -10 3 -9 0 0 3 -9 3 -10 3 -9 3 -9 3 -9 3 -9 3 -9 2 -9 3 -10 2 -10 2 -10 2 -10 1 -10 1 -10 2 -11 2 -11 1 -11 1 -11 1 -11 1 -11 1 -12 1 -12 1 -12 0 -12 0 -13 1 -13 0 0 0 0 0 0 0 0 0 0
1784739450.354768,4436,-37,11,1,7,1,-95,1,101588915,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -6 -4 -7 -4 -7 -3 -7 -4 -8 -3 -7 -4 -8 -3 -8 -3 -8 -3 -9 -3 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -10 -2 -9 -2 -11 -2 -10 -1 -10 -1 -10 -2 -11 -1 -10 -2 -10 -1 -10 -1 -10 0 0 -1 -10 -1 -10 -2 -9 -2 -10 -1 -10 -1 -10 -2 -10 -2 -10 -2 -10 -3 -10 -3 -10 -4 -10 -3 -10 -4 -10 -4 -11 -5 -10 -4 -11 -5 -11 -5 -10 -5 -11 -6 -11 -6 -11 -5 -11 -6 -11 -6 -11 -6 -12 0 0 0 0 0 0 0 0 0 0
1784739450.357779,4437,-37,11,1,7,1,-95,1,101598978,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -7 -2 -8 -1 -7 -1 -8 -1 -7 -1 -8 -1 -8 -1 -9 0 -9 0 -9 0 -9 0 -9 0 -9 1 -9 1 -10 1 -9 1 -10 1 -10 2 -10 2 -10 1 -10 2 -10 1 -10 2 -10 2 -10 2 -10 0 0 2 -10 2 -10 2 -10 1 -9 2 -10 2 -10 2 -10 1 -10 1 -10 0 -10 0 -10 0 -10 0 -11 0 -11 -1 -11 0 -11 0 -11 -1 -11 -1 -11 -1 -12 -1 -12 -1 -12 -1 -12 -1 -12 -1 -13 -2 -13 0 0 0 0 0 0 0 0 0 0
1784739450.366972,4438,-37,11,1,7,1,-95,1,101610776,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -7 3 -7 3 -7 3 -7 3 -7 4 -7 4 -7 5 -7 4 -7 4 -7 5 -6 5 -7 6 -7 6 -7 6 -7 6 -7 7 -7 6 -7 7 -7 6 -7 7 -7 7 -7 6 -7 7 -7 7 -7 7 -6 0 0 7 -7 7 -7 7 -7 6 -7 7 -7 6 -7 6 -7 6 -8 6 -7 6 -8 5 -8 6 -8 6 -8 5 -9 5 -9 5 -9 5 -10 5 -9 5 -9 5 -10 5 -10 5 -11 5 -11 5 -11 5 -11 6 -11 0 0 0 0 0 0 0 0 0 0
1784739450.384558,4439,-37,11,1,7,1,-95,1,101618928,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -1 7 -1 7 0 8 0 7 0 7 0 8 0 7 1 8 1 8 2 7 2 8 2 8 2 8 3 9 2 8 3 9 3 9 4 9 3 9 4 9 4 9 3 9 4 8 4 9 4 8 4 0 0 9 3 9 3 9 4 9 4 8 3 9 3 9 4 9 3 9 3 9 3 9 3 10 3 10 3 9 2 10 2 10 2 11 3 10 2 11 2 11 2 12 2 11 1 12 2 11 1 12 2 12 1 0 0 0 0 0 0 0 0 0 0
1784739450.393941,4440,-37,11,1,7,1,-95,1,101628854,128,0 0 0 0 0 0 0 0 0 0 0 0 4 5 4 5 3 6 3 6 3 6 3 7 3 6 3 7 3 7 3 7 3 7 2 8 2 8 2 8 2 8 2 8 2 9 2 8 2 9 2 9 1 9 1 10 1 9 1 9 1 9 1 10 0 0 1 10 1 9 1 10 2 8 2 9 1 8 2 9 2 9 2 9 2 9 3 8 3 9 4 9 4 10 4 9 4 9 4 9 4 9 4 9 4 9 5 10 5 10 5 10 5 10 5 10 5 10 0 0 0 0 0 0 0 0 0 0
1784739450.409617,4441,-37,11,1,7,1,-95,1,101644389,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -6 3 -6 3 -6 4 -6 5 -7 4 -6 5 -6 4 -7 5 -7 5 -6 5 -6 6 -6 6 -6 6 -7 7 -6 7 -7 7 -6 7 -6 7 -6 7 -6 7 -6 7 -6 7 -6 8 -6 7 -6 8 -6 0 0 8 -6 8 -6 7 -6 7 -6 7 -7 8 -6 7 -6 7 -7 7 -7 7 -8 7 -7 6 -8 6 -7 7 -8 6 -8 6 -8 6 -8 6 -9 7 -9 6 -10 7 -10 6 -10 6 -10 6 -10 7 -11 7 -10 0 0 0 0 0 0 0 0 0 0
1784739450.409617,4442,-37,11,1,7,1,-95,1,101648923,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -5 5 -5 5 -4 5 -4 6 -4 6 -4 6 -4 6 -4 6 -4 7 -3 8 -3 8 -3 8 -3 8 -3 8 -3 8 -3 9 -3 9 -2 9 -3 10 -2 9 -2 9 -2 9 -2 9 -1 9 -1 9 -2 0 0 9 -2 9 -2 9 -2 9 -2 9 -3 9 -2 9 -3 9 -3 9 -3 9 -3 8 -3 9 -3 9 -4 9 -4 9 -4 9 -4 9 -5 10 -5 10 -5 10 -6 10 -5 10 -6 10 -6 10 -5 10 -5 10 -6 0 0 0 0 0 0 0 0 0 0
1784739450.417947,4443,-37,11,1,7,1,-95,1,101658878,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -6 -3 -7 -3 -7 -3 -8 -3 -7 -3 -7 -2 -7 -2 -8 -2 -9 -2 -8 -2 -9 -2 -9 -2 -9 -1 -9 -1 -9 -1 -9 -1 -10 -1 -10 0 -10 0 -10 0 -10 0 -11 -1 -10 0 -10 0 -10 1 -11 0 0 0 -11 0 -10 0 -10 0 -11 0 -10 0 -10 0 -10 0 -10 -1 -10 -1 -10 -1 -10 -2 -10 -1 -10 -1 -11 -2 -11 -1 -11 -2 -11 -2 -11 -2 -11 -1 -11 -2 -12 -3 -12 -3 -12 -3 -12 -3 -12 -4 -13 0 0 0 0 0 0 0 0 0 0
1784739450.434134,4444,-37,11,1,7,1,-95,1,101668962,128,0 0 0 0 0 0 0 0 0 0 0 0 4 5 4 5 4 6 3 6 4 6 3 6 3 6 3 7 3 7 3 8 3 8 2 8 2 8 2 8 2 8 2 9 2 9 2 9 2 9 2 9 2 9 2 9 2 9 1 10 1 9 1 9 0 0 2 10 2 9 2 9 2 9 2 9 2 9 3 9 2 9 2 9 3 9 3 9 3 9 3 9 3 9 4 9 5 9 4 10 4 10 5 9 5 9 5 10 6 10 6 10 5 10 5 10 6 10 0 0 0 0 0 0 0 0 0 0
