pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784739585.298266,17927,-34,11,1,7,0,-95,1,236534473,128,0 0 0 0 0 0 0 0 0 0 0 0 5 6 5 6 5 7 4 7 4 7 4 7 4 8 4 8 4 8 4 9 4 9 3 10 4 10 3 10 4 10 3 11 3 11 3 11 3 11 2 11 3 12 2 11 2 12 2 12 2 12 2 12 0 0 2 12 2 11 2 11 3 12 3 11 3 11 3 11 3 11 3 11 4 11 4 11 4 11 4 11 5 11 5 11 5 11 5 11 6 11 6 12 6 12 7 12 7 12 7 12 7 13 7 13 7 12 0 0 0 0 0 0 0 0 0 0
1784739585.316950,17928,-37,11,1,7,1,-95,1,236556368,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -7 -3 -7 -3 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -1 -9 -1 -9 -1 -9 -1 -10 -1 -9 0 -10 0 -10 -1 -10 0 -10 0 -11 0 -10 0 -10 1 -10 1 -10 0 -10 1 -10 1 -10 0 0 1 -10 1 -10 1 -10 1 -10 1 -10 0 -11 0 -10 0 -10 -1 -10 0 -11 0 -11 -1 -10 -1 -10 -1 -11 -2 -11 -1 -11 -1 -11 -2 -12 -2 -12 -2 -11 -2 -11 -2 -12 -3 -12 -2 -12 -2 -12 -2 -13 0 0 0 0 0 0 0 0 0 0
1784739585.332768,17929,-37,11,1,7,1,-95,1,236569294,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 4 -6 4 -6 4 -7 4 -7 3 -7 4 -7 3 -8 4 -8 3 -8 3 -8 3 -9 3 -9 3 -9 3 -10 3 -9 2 -10 3 -10 2 -10 2 -10 2 -10 2 -10 1 -10 2 -10 2 -10 2 -10 1 0 0 -10 1 -10 1 -10 1 -10 2 -10 2 -10 2 -10 2 -10 2 -10 2 -10 3 -10 3 -10 3 -10 3 -10 4 -10 3 -11 4 -10 4 -10 4 -11 4 -11 5 -11 5 -11 5 -11 5 -11 5 -11 5 -12 6 0 0 0 0 0 0 0 0 0 0
1784739585.332768,17930,-37,11,1,7,1,-95,1,236569517,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 0 -8 1 -7 -1 -8 -1 -8 -1 -7 -1 -8 -1 -9 -1 -9 -2 -9 -2 -9 -2 -9 -2 -9 -3 -9 -3 -10 -3 -9 -3 -10 -4 -9 -4 -10 -3 -9 -4 -10 -5 -10 -5 -10 -4 -10 -5 -9 -5 -9 -5 0 0 -10 -5 -10 -5 -10 -5 -9 -4 -9 -4 -10 -4 -9 -5 -10 -4 -10 -4 -10 -3 -10 -4 -10 -3 -11 -4 -12 -4 -11 -3 -11 -3 -11 -3 -12 -3 -12 -3 -11 -3 -12 -2 -12 -3 -12 -2 -12 -3 -13 -2 -13 -2 0 0 0 0 0 0 0 0 0 0
1784739585.332768,17931,-37,11,1,7,1,-95,1,236574484,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 6 -2 7 -3 6 -3 7 -3 6 -4 7 -4 7 -4 7 -4 7 -4 7 -5 7 -5 7 -5 7 -6 7 -6 8 -6 7 -6 8 -6 7 -7 8 -7 7 -7 7 -7 7 -7 7 -7 7 -7 7 -7 7 0 0 -7 7 -7 7 -7 7 -7 7 -7 7 -6 8 -6 8 -6 8 -6 8 -5 8 -6 8 -5 9 -5 9 -6 10 -5 9 -6 10 -5 9 -5 10 -5 10 -5 10 -4 11 -5 11 -5 10 -5 11 -5 11 -5 11 0 0 0 0 0 0 0 0 0 0
1784739585.347129,17932,-34,11,1,7,0,-95,1,236585102,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -6 8 -5 8 -5 8 -5 9 -4 9 -4 9 -4 9 -4 10 -4 10 -4 10 -4 11 -3 11 -3 11 -3 12 -3 12 -2 12 -2 12 -2 12 -2 13 -2 13 -2 13 -2 12 -2 13 -1 13 -1 13 -1 0 0 13 -1 13 -1 13 -1 13 -2 13 -2 13 -2 12 -2 13 -2 13 -2 12 -3 13 -3 13 -3 13 -4 13 -4 13 -4 13 -4 13 -4 14 -5 14 -5 14 -5 14 -6 14 -5 14 -6 15 -5 14 -6 15 -6 0 0 0 0 0 0 0 0 0 0
1784739585.358096,17933,-37,11,1,7,1,-95,1,236595051,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 6 -3 6 -3 6 -3 6 -4 7 -4 6 -4 6 -5 6 -5 7 -5 6 -5 6 -6 6 -5 6 -6 6 -6 6 -6 6 -7 6 -7 7 -7 6 -7 6 -7 6 -7 6 -8 7 -8 6 -7 6 -8 6 0 0 -8 6 -7 6 -7 6 -7 6 -7 6 -7 6 -7 7 -7 7 -6 7 -6 8 -6 8 -6 8 -6 8 -6 8 -6 9 -6 9 -6 9 -5 9 -6 9 -5 10 -6 10 -6 10 -6 10 -6 10 -6 10 -7 10 0 0 0 0 0 0 0 0 0 0
1784739585.358096,17934,-37,11,1,7,1,-95,1,236604371,128,0 0 0 0 0 0 0 0 0 0 0 0 6 1 6 2 6 2 6 3 6 3 6 3 6 3 6 4 6 4 6 4 6 5 6 4 6 5 7 6 6 5 6 6 6 6 6 7 6 6 6 7 6 7 6 7 6 6 6 7 5 7 6 7 0 0 6 7 6 7 6 7 6 7 6 6 6 6 6 6 7 6 6 6 7 6 7 6 7 6 7 5 8 6 8 5 8 6 8 5 8 6 9 6 9 6 9 5 9 6 9 6 10 6 10 7 10 6 0 0 0 0 0 0 0 0 0 0
1784739585.378394,17935,-34,11,1,7,0,-95,1,236616140,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 1 -9 1 -10 0 -10 0 -10 0 -10 -1 -11 -1 -11 -1 -11 -1 -12 -2 -11 -2 -12 -2 -12 -3 -12 -3 -13 -3 -13 -3 -13 -3 -13 -4 -12 -4 -13 -4 -13 -4 -13 -4 -13 -4 -13 -5 -13 -5 -13 -5 0 0 -13 -5 -13 -5 -13 -4 -13 -5 -13 -4 -13 -4 -13 -4 -14 -3 -13 -3 -14 -3 -13 -3 -14 -3 -14 -3 -14 -2 -15 -2 -14 -1 -15 -2 -15 -1 -15 -1 -15 -1 -16 -1 -16 -1 -16 0 -17 -1 -16 -1 -17 -1 0 0 0 0 0 0 0 0 0 0
1784739585.390314,17936,-37,11,1,7,1,-95,1,236624453,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -3 6 -2 6 -2 7 -2 7 -1 7 -1 7 -1 7 -1 7 -1 8 0 8 0 8 0 8 0 8 0 8 0 9 0 9 0 9 1 9 1 9 1 9 1 9 1 9 1 9 2 9 1 9 2 0 0 9 2 9 1 9 1 9 1 9 1 9 1 9 1 9 1 9 0 9 0 10 0 9 0 9 0 9 -1 10 -1 10 -1 10 -1 10 -2 11 -2 11 -1 11 -2 11 -2 11 -2 11 -2 11 -2 11 -2 0 0 0 0 0 0 0 0 0 0
1784739585.390314,17937,-37,11,1,7,1,-95,1,236634417,128,0 0 0 0 0 0 0 0 0 0 0 0 5 3 5 4 5 4 5 4 4 5 4 5 5 5 5 5 5 6 4 6 4 6 4 6 4 7 5 7 4 7 4 7 4 8 4 7 4 8 4 8 3 8 4 8 4 8 3 8 3 8 4 8 0 0 4 8 4 8 4 8 3 8 4 7 4 8 4 7 5 8 4 8 5 8 5 7 5 8 5 8 6 7 6 8 6 8 6 7 7 7 7 8 8 8 7 8 7 8 8 8 7 8 8 8 8 8 0 0 0 0 0 0 0 0 0 0
1784739585.410436,17938,-37,11,1,7,1,-95,1,236646451,128,0 0 0 0 0 0 0 0 0 0 0 0 1 7 0 7 0 7 -1 7 -1 7 -1 8 -1 7 -1 8 -2 8 -2 8 -2 8 -2 9 -3 9 -3 9 -3 9 -3 9 -3 9 -3 9 -4 9 -4 9 -4 9 -4 9 -4 9 -4 9 -4 9 -4 9 0 0 -4 9 -4 9 -4 9 -4 9 -3 9 -4 9 -3 9 -3 9 -3 10 -3 10 -2 10 -2 10 -2 10 -2 11 -1 10 -2 11 -2 10 -1 11 -1 11 -1 11 -1 11 -1 12 -1 12 -1 12 0 12 -1 12 0 0 0 0 0 0 0 0 0 0
1784739585.420413,17939,-37,11,1,7,1,-95,1,236654366,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -5 -6 -6 -5 -6 -5 -7 -5 -6 -5 -7 -5 -7 -4 -7 -5 -8 -5 -7 -5 -8 -5 -8 -5 -9 -5 -9 -5 -9 -4 -9 -4 -10 -4 -9 -4 -10 -4 -10 -4 -10 -4 -10 -3 -10 -4 -10 -4 -10 -4 -10 0 0 -3 -10 -3 -10 -4 -10 -3 -10 -4 -10 -4 -10 -4 -10 -4 -10 -4 -10 -5 -9 -5 -9 -6 -9 -6 -10 -6 -10 -6 -9 -6 -10 -6 -10 -7 -10 -7 -10 -6 -10 -7 -10 -7 -11 -7 -10 -8 -10 -8 -11 -8 -11 0 0 0 0 0 0 0 0 0 0
1784739585.436340,17940,-37,11,1,7,1,-95,1,236664663,128,0 0 0 0 0 0 0 0 0 0 0 0 6 0 6 1 6 1 7 1 7 2 7 2 7 2 7 2 6 3 7 3 7 3 7 4 7 3 7 4 8 4 7 4 7 5 7 4 7 5 7 5 7 5 7 5 7 6 7 6 7 6 7 6 0 0 7 6 8 6 6 6 7 5 6 5 7 6 7 6 7 5 7 5 8 5 8 5 8 5 8 5 9 4 8 4 8 5 9 5 9 4 9 5 9 4 10 4 10 5 10 5 11 5 10 4 11 4 0 0 0 0 0 0 0 0 0 0
1784739585.452291,17941,-37,11,1,7,1,-95,1,236694537,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -4 -5 -5 -5 -5 -6 -6 -6 -6 -5 -6 -5 -6 -5 -6 -5 -7 -5 -7 -5 -7 -5 -8 -5 -7 -5 -8 -5 -9 -5 -8 -4 -9 -5 -9 -5 -9 -4 -9 -5 -10 -4 -9 -5 -9 -5 -10 -4 -9 -4 -9 0 0 -4 -10 -4 -9 -4 -10 -4 -9 -5 -9 -4 -9 -5 -9 -5 -9 -4 -9 -5 -8 -5 -9 -6 -9 -6 -8 -6 -9 -6 -9 -6 -9 -7 -9 -7 -9 -7 -9 -7 -9 -7 -9 -8 -10 -8 -9 -8 -9 -9 -9 -9 -10 0 0 0 0 0 0 0 0 0 0
