pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784739701.806711,29568,-36,11,1,7,1,-95,1,352958482,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -6 -4 -7 -4 -7 -3 -7 -3 -8 -3 -8 -3 -8 -3 -8 -3 -9 -2 -9 -2 -9 -2 -9 -2 -10 -2 -10 -2 -10 -2 -10 -2 -10 -1 -10 -1 -11 -1 -11 -1 -11 -1 -11 -1 -11 0 -11 0 -11 0 -11 0 0 0 -10 0 -11 -1 -10 -1 -11 -1 -10 -1 -10 -1 -10 -1 -11 -2 -10 -2 -11 -2 -11 -2 -11 -3 -10 -3 -11 -4 -11 -3 -11 -4 -12 -3 -11 -4 -11 -4 -12 -4 -11 -4 -12 -4 -12 -4 -12 -4 -12 -4 -12 0 0 0 0 0 0 0 0 0 0
1784739701.806711,29569,-37,11,1,7,1,-95,1,352981761,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -7 1 -7 1 -7 2 -7 2 -8 1 -8 2 -7 2 -7 3 -8 3 -8 4 -8 4 -8 4 -8 4 -9 4 -8 5 -8 5 -8 5 -8 5 -8 5 -8 5 -8 6 -8 6 -8 6 -8 6 -8 6 -8 0 0 6 -9 6 -8 6 -8 5 -8 5 -8 6 -8 5 -8 5 -9 5 -8 4 -9 5 -9 4 -9 4 -9 5 -10 4 -10 4 -10 4 -10 4 -10 4 -10 3 -11 4 -11 4 -11 3 -11 4 -12 4 -12 4 -12 0 0 0 0 0 0 0 0 0 0
1784739701.806711,29570,-37,11,1,7,1,-95,1,353008944,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -2 -7 -3 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -8 -5 -7 -5 -8 -5 -7 -5 -7 -6 -7 -6 -7 -7 -8 -7 -7 -7 -7 -7 -7 -7 -7 -7 -8 -8 -7 -8 -7 -8 -8 -8 -6 -9 -7 -8 -6 -8 0 0 -7 -8 -7 -8 -6 -8 -7 -8 -7 -8 -7 -7 -7 -8 -7 -7 -7 -7 -8 -7 -8 -7 -8 -7 -7 -7 -8 -7 -9 -6 -9 -7 -9 -7 -10 -7 -10 -6 -10 -7 -10 -7 -11 -7 -10 -7 -10 -8 -11 -7 -11 -7 0 0 0 0 0 0 0 0 0 0
1784739701.806711,29571,-37,11,1,7,1,-95,1,353009710,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 6 -1 6 -2 6 -3 6 -3 7 -3 7 -3 6 -4 6 -4 7 -4 7 -5 7 -4 7 -5 7 -5 7 -5 7 -6 7 -6 7 -7 7 -6 7 -7 7 -6 7 -6 7 -7 7 -7 7 -7 7 -7 7 0 0 -7 7 -7 7 -7 7 -7 7 -7 7 -7 7 -6 7 -6 7 -6 7 -6 7 -6 8 -6 8 -5 8 -6 8 -5 9 -5 8 -6 9 -6 9 -5 9 -6 9 -4 10 -5 10 -6 10 -6 10 -7 10 -6 11 0 0 0 0 0 0 0 0 0 0
1784739701.910833,29572,-37,11,1,7,1,-95,1,353021917,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -2 6 -2 6 -2 6 -2 7 -1 7 -1 7 -1 8 -1 8 -1 8 0 8 0 8 0 8 1 8 1 8 1 9 1 9 1 9 2 9 1 9 2 9 2 9 2 9 2 9 3 9 3 9 3 0 0 9 3 9 3 8 3 8 3 9 3 9 2 9 2 9 2 9 2 9 2 9 2 10 2 9 2 9 2 10 1 10 1 10 1 10 1 11 2 11 1 11 0 11 1 11 1 12 2 11 0 12 0 0 0 0 0 0 0 0 0 0 0
1784739701.910833,29573,-37,11,1,7,1,-95,1,353071985,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 1 -7 1 -8 0 -8 0 -8 0 -8 0 -8 -1 -9 -1 -9 -1 -10 -2 -9 -2 -9 -2 -10 -2 -9 -2 -10 -2 -10 -3 -10 -3 -11 -3 -11 -3 -10 -4 -10 -3 -10 -4 -11 -4 -11 -4 -10 -4 -10 -4 0 0 -10 -4 -11 -4 -10 -4 -11 -3 -10 -3 -10 -4 -10 -3 -11 -3 -10 -3 -11 -3 -11 -2 -11 -2 -11 -2 -11 -2 -12 -1 -12 -1 -12 -2 -12 -1 -12 -1 -13 -1 -13 -1 -13 0 -13 -1 -13 -1 -13 -1 -14 -1 0 0 0 0 0 0 0 0 0 0
1784739701.910833,29582,-36,11,1,7,1,-95,1,353109198,128,0 0 0 0 0 0 0 0 0 0 0 0 5 4 5 5 5 5 4 5 4 6 4 6 4 6 4 6 4 7 4 7 4 7 4 8 4 8 4 8 4 9 3 9 3 9 3 9 3 9 3 9 3 10 2 10 2 9 2 9 2 10 2 10 0 0 2 9 2 9 2 10 2 9 2 9 2 9 2 9 3 9 2 9 3 9 4 9 4 9 4 9 4 10 4 9 4 10 4 9 5 9 5 10 5 10 5 10 5 10 6 10 6 10 6 10 6 11 0 0 0 0 0 0 0 0 0 0
1784739701.910833,29582,-36,11,1,7,1,-95,1,353109198,128,0 0 0 0 0 0 0 0 0 0 0 0 5 4 5 5 5 5 4 5 4 6 4 6 4 6 4 6 4 7 4 7 4 7 4 8 4 8 4 8 4 9 3 9 3 9 3 9 3 9 3 9 3 10 2 10 2 9 2 9 2 10 2 10 0 0 2 9 2 9 2 10 2 9 2 9 2 9 2 9 3 9 2 9 3 9 4 9 4 9 4 9 4 10 4 9 4 10 4 9 5 9 5 10 5 10 5 10 5 10 6 10 6 10 6 10 6 11 0 0 0 0 0 0 0 0 0 0
1784739701.910833,29583,-37,11,1,7,1,-95,1,353110116,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -7 1 -7 1 -8 2 -7 1 -7 2 -7 2 -8 2 -8 3 -8 3 -9 3 -8 4 -8 4 -8 4 -8 4 -8 5 -9 4 -9 5 -9 5 -8 5 -8 5 -9 5 -9 5 -8 6 -8 6 -8 6 -8 0 0 5 -8 5 -9 5 -8 5 -9 4 -8 5 -8 4 -9 4 -9 4 -9 4 -9 4 -9 4 -9 4 -10 4 -9 4 -10 2 -11 3 -11 2 -11 3 -11 3 -11 3 -12 2 -12 3 -12 3 -12 2 -12 3 -13 0 0 0 0 0 0 0 0 0 0
1784739701.910833,29584,-37,11,1,7,1,-95,1,353110402,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -6 4 -6 5 -5 5 -5 6 -5 5 -5 6 -5 6 -5 6 -6 7 -6 7 -5 8 -4 8 -4 8 -4 8 -5 8 -4 8 -4 9 -5 9 -4 9 -4 9 -5 9 -4 10 -4 9 -3 9 -3 9 -4 0 0 9 -3 9 -4 9 -4 9 -4 9 -4 9 -4 9 -4 9 -4 8 -4 9 -5 9 -5 8 -5 9 -5 8 -5 9 -7 8 -6 9 -6 9 -6 9 -7 9 -8 9 -7 9 -7 10 -8 10 -7 10 -7 10 -8 0 0 0 0 0 0 0 0 0 0
1784739701.910833,29585,-37,11,1,7,1,-95,1,353112301,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -2 7 -1 7 -1 7 0 7 0 7 0 7 0 8 0 8 1 8 1 8 1 8 1 8 1 9 2 9 2 9 2 9 3 9 2 9 3 9 3 9 3 9 4 9 3 9 3 9 4 9 3 0 0 9 4 9 4 9 4 9 3 9 3 9 3 9 3 9 3 9 3 9 2 9 2 10 2 10 1 10 1 10 2 11 1 10 1 11 1 11 1 11 1 12 0 12 0 12 0 12 0 12 0 12 0 0 0 0 0 0 0 0 0 0 0
1784739701.910833,29586,-36,11,1,7,1,-95,1,353114559,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 6 -2 7 -3 7 -3 7 -3 7 -4 7 -4 7 -4 7 -5 7 -5 7 -5 7 -5 7 -6 8 -6 8 -6 8 -7 7 -7 8 -7 7 -7 8 -7 7 -8 8 -8 7 -7 8 -8 7 -8 7 -8 7 0 0 -8 7 -8 7 -8 7 -7 7 -7 8 -7 7 -7 8 -7 8 -7 8 -7 8 -7 8 -6 9 -6 9 -7 9 -6 9 -7 9 -7 9 -6 10 -6 10 -6 10 -6 11 -6 11 -6 11 -6 11 -6 12 -6 12 0 0 0 0 0 0 0 0 0 0
1784739701.971140,29587,-37,11,1,7,1,-95,1,353114827,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -6 3 -6 4 -6 4 -6 5 -6 4 -6 5 -5 6 -6 6 -6 6 -5 6 -5 7 -5 7 -5 7 -5 8 -6 7 -5 8 -5 8 -5 8 -5 8 -4 8 -5 8 -4 8 -5 8 -4 8 -4 9 -5 0 0 9 -4 9 -4 9 -4 8 -4 8 -5 8 -4 8 -4 8 -5 9 -4 8 -5 8 -5 8 -6 8 -6 8 -7 8 -6 8 -6 8 -6 9 -7 8 -7 8 -6 9 -7 9 -7 8 -8 9 -8 9 -8 10 -8 0 0 0 0 0 0 0 0 0 0
1784739701.971140,29588,-37,11,1,7,1,-95,1,353114978,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -7 2 -7 3 -7 3 -7 3 -7 3 -7 3 -7 4 -8 4 -7 4 -8 5 -8 5 -7 5 -7 6 -8 6 -8 6 -8 7 -8 6 -7 6 -7 7 -7 7 -7 7 -8 7 -7 7 -6 7 -7 7 -7 0 0 7 -7 8 -7 8 -7 7 -7 6 -7 7 -7 7 -7 7 -7 7 -8 6 -8 7 -8 6 -8 6 -9 6 -9 6 -8 6 -9 6 -9 6 -10 6 -10 6 -10 6 -11 6 -10 7 -11 6 -10 6 -11 7 -11 0 0 0 0 0 0 0 0 0 0
1784739701.971140,29589,-37,11,1,7,1,-95,1,353120809,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 2 -7 2 -7 2 -7 2 -8 1 -8 2 -8 1 -8 1 -9 1 -8 1 -9 1 -9 1 -9 0 -10 0 -10 0 -10 -1 -11 -1 -10 -1 -11 -1 -10 -1 -11 -1 -10 -2 -10 -1 -10 -1 -10 -2 -11 -2 0 0 -10 -2 -10 -2 -10 -2 -10 -2 -10 -1 -10 -1 -10 -1 -10 -1 -10 -1 -10 0 -11 0 -10 0 -11 0 -11 0 -10 1 -11 1 -11 0 -11 1 -11 1 -12 2 -12 2 -12 2 -12 2 -13 1 -12 2 -13 2 0 0 0 0 0 0 0 0 0 0
