pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784739988.840858,58283,-38,11,1,7,1,-95,1,640045139,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -6 4 -6 5 -6 5 -6 5 -6 5 -5 6 -6 6 -6 6 -6 7 -5 7 -5 8 -5 7 -5 8 -5 9 -5 8 -5 9 -4 8 -5 9 -5 9 -5 9 -4 9 -5 9 -4 9 -4 9 -4 9 -4 0 0 9 -3 9 -4 9 -3 9 -3 9 -4 8 -4 8 -4 9 -5 8 -5 8 -5 9 -5 8 -5 9 -5 9 -6 8 -6 8 -6 9 -6 9 -7 9 -7 9 -7 9 -7 9 -7 10 -8 10 -7 10 -8 10 -8 0 0 0 0 0 0 0 0 0 0
1784739988.840858,58284,-37,11,1,7,1,-95,1,640054456,128,0 0 0 0 0 0 0 0 0 0 0 0 1 7 0 7 0 7 0 7 0 7 -1 8 -1 7 -1 8 -1 8 -1 9 -2 8 -2 9 -2 9 -3 9 -2 9 -3 9 -3 9 -3 9 -4 10 -4 9 -4 9 -4 10 -4 9 -4 9 -4 9 -4 9 0 0 -4 9 -4 9 -4 9 -4 9 -4 9 -4 9 -3 9 -3 10 -3 10 -3 10 -3 10 -2 10 -2 10 -2 11 -2 10 -2 11 -1 11 -2 11 -2 12 -2 12 -1 12 -2 12 -1 12 -1 12 -1 13 -1 13 0 0 0 0 0 0 0 0 0 0
1784739988.840858,58285,-38,11,1,7,1,-95,1,640056421,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 4 -6 4 -7 4 -7 3 -7 3 -8 3 -8 3 -8 3 -8 4 -9 3 -9 2 -10 3 -9 2 -10 2 -9 2 -10 3 -10 3 -11 2 -11 2 -11 2 -10 2 -11 2 -11 1 -11 1 -11 1 -10 1 0 0 -10 1 -11 2 -11 1 -11 2 -10 2 -11 2 -11 2 -11 2 -10 2 -11 2 -11 3 -11 2 -11 3 -10 2 -11 4 -11 4 -11 3 -11 4 -11 5 -11 5 -11 5 -12 5 -12 5 -12 4 -12 4 -12 5 0 0 0 0 0 0 0 0 0 0
1784739988.840858,58286,-37,11,1,7,1,-95,1,640061559,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 6 -4 6 -4 6 -5 6 -5 6 -5 6 -6 6 -6 6 -5 6 -6 6 -7 5 -7 6 -7 6 -7 6 -7 6 -7 6 -8 6 -8 5 -9 6 -9 5 -9 5 -9 5 -8 6 -9 5 -8 5 -8 5 0 0 -8 5 -9 5 -9 5 -9 5 -8 6 -9 5 -8 6 -8 6 -8 6 -8 7 -7 6 -7 7 -8 7 -8 7 -8 7 -9 8 -8 8 -8 8 -7 8 -8 8 -8 9 -8 9 -8 8 -8 9 -8 9 -8 10 0 0 0 0 0 0 0 0 0 0
1784739988.854454,58287,-37,11,1,7,1,-95,1,640071069,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 5 -6 5 -7 4 -7 4 -7 5 -7 4 -8 4 -8 4 -8 4 -9 4 -9 3 -9 3 -10 3 -9 3 -9 3 -10 4 -10 3 -10 3 -10 3 -10 3 -10 3 -11 3 -11 3 -11 2 -10 2 -10 2 0 0 -10 3 -11 3 -10 3 -10 3 -10 3 -10 4 -10 4 -10 4 -10 4 -11 5 -10 5 -10 5 -10 5 -10 5 -10 6 -10 5 -10 6 -10 6 -10 7 -10 7 -10 7 -10 7 -11 7 -11 7 -11 7 -11 7 0 0 0 0 0 0 0 0 0 0
1784739988.854454,58288,-38,11,1,7,1,-95,1,640081169,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 7 -2 7 -2 7 -3 7 -4 7 -3 6 -4 7 -4 7 -4 6 -4 7 -5 7 -5 7 -5 7 -6 7 -6 8 -6 8 -6 8 -6 8 -7 8 -6 8 -6 7 -7 8 -7 8 -7 7 -7 7 -7 8 0 0 -6 8 -7 7 -7 8 -6 7 -6 8 -5 8 -6 8 -6 8 -6 8 -5 9 -5 8 -6 9 -6 8 -5 9 -5 9 -5 10 -5 9 -5 10 -4 10 -5 10 -4 10 -4 11 -5 10 -5 11 -4 11 -5 12 0 0 0 0 0 0 0 0 0 0
1784739988.872540,58289,-38,11,1,7,1,-95,1,640093323,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 5 -5 5 -7 5 -6 5 -7 5 -7 5 -7 5 -7 5 -7 5 -8 4 -9 5 -8 4 -9 4 -9 4 -9 4 -9 3 -10 3 -10 3 -10 4 -10 3 -10 4 -10 3 -10 4 -10 3 -10 3 -11 3 0 0 -10 3 -10 3 -11 3 -10 3 -9 4 -10 4 -10 3 -10 4 -10 4 -10 5 -10 5 -10 5 -10 5 -10 5 -9 5 -10 5 -10 6 -10 6 -10 6 -10 7 -10 7 -11 6 -10 6 -11 7 -11 7 -11 8 0 0 0 0 0 0 0 0 0 0
1784739988.872540,58290,-37,11,1,7,1,-95,1,640101200,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -7 3 -7 4 -6 4 -7 5 -7 4 -6 5 -7 6 -7 5 -7 6 -7 6 -6 6 -6 7 -6 7 -6 7 -6 7 -6 7 -6 8 -7 8 -6 8 -6 8 -6 8 -6 8 -6 8 -6 8 -5 9 -5 0 0 8 -5 8 -6 8 -5 8 -6 8 -5 8 -6 8 -6 8 -7 7 -7 8 -7 7 -7 7 -7 8 -7 7 -7 7 -8 7 -8 8 -8 7 -9 8 -9 7 -10 8 -9 7 -9 8 -10 9 -10 8 -10 8 -10 0 0 0 0 0 0 0 0 0 0
1784739988.888272,58291,-38,11,1,7,1,-95,1,640111166,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 2 -8 2 -7 2 -9 1 -7 1 -8 1 -9 1 -9 1 -8 0 -9 0 -10 0 -10 0 -10 -1 -10 -1 -10 -1 -10 -1 -10 -1 -10 -1 -11 -2 -10 -2 -11 -2 -10 -2 -10 -2 -10 -2 -10 -2 -11 -2 0 0 -11 -2 -11 -2 -11 -2 -10 -2 -10 -1 -11 -2 -10 -1 -11 0 -11 -1 -11 0 -11 0 -11 0 -11 0 -12 0 -11 0 -12 0 -12 0 -11 0 -12 1 -12 1 -12 2 -12 1 -12 1 -13 1 -13 1 -13 2 0 0 0 0 0 0 0 0 0 0
1784739988.888272,58292,-38,11,1,7,1,-95,1,640121426,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 -8 -1 -8 0 -8 0 -8 0 -8 0 -8 0 -9 0 -9 0 -9 1 -9 1 -9 2 -9 2 -10 2 -10 2 -10 2 -10 2 -10 2 -10 2 -10 3 -11 3 -10 3 -10 3 -10 3 -10 3 -10 3 -10 0 0 2 -10 2 -11 2 -9 2 -10 2 -10 2 -10 2 -11 1 -10 1 -10 1 -11 1 -10 1 -11 0 -11 0 -11 0 -11 -1 -11 -1 -12 -1 -12 -1 -12 -1 -12 -1 -12 -1 -12 -2 -13 -1 -13 -1 -13 -1 -13 0 0 0 0 0 0 0 0 0 0
