pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784742763.753597,27869,-51,11,1,4,1,-95,1,297355721,128,0 0 0 0 0 0 0 0 0 0 0 0 13 1 13 1 13 2 12 2 13 3 13 3 13 3 13 3 13 3 13 5 13 5 12 6 12 6 12 6 12 5 13 5 12 5 13 5 12 5 12 5 12 5 12 5 12 5 11 6 10 5 10 5 0 0 10 4 10 4 10 3 10 3 9 2 10 2 9 2 10 1 9 1 10 1 9 1 9 1 9 0 9 0 9 -1 8 -1 9 -1 8 -2 8 -2 8 -3 8 -2 8 -3 8 -3 7 -3 7 -3 7 -3 0 0 0 0 0 0 0 0 0 0
1784742763.753597,27870,-52,11,1,6,1,-95,1,297404404,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 13 -4 13 -5 13 -5 13 -6 13 -6 13 -6 13 -6 13 -6 13 -7 12 -7 12 -7 12 -8 12 -8 12 -8 12 -8 12 -8 12 -8 12 -8 12 -8 11 -8 11 -8 11 -8 11 -8 10 -8 10 -7 10 0 0 -7 10 -6 10 -6 10 -5 9 -5 9 -5 9 -5 9 -4 9 -4 9 -3 9 -3 9 -2 9 -2 9 -2 9 -2 9 -1 9 -1 9 -1 9 0 9 0 9 0 8 0 8 1 8 1 8 1 8 1 8 0 0 0 0 0 0 0 0 0 0
1784742763.753597,27871,-48,11,1,4,0,-95,1,297422671,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 -9 -9 -9 -8 -10 -8 -10 -8 -10 -7 -10 -7 -10 -7 -10 -7 -11 -7 -11 -7 -11 -7 -11 -6 -12 -6 -12 -6 -12 -6 -12 -6 -12 -6 -12 -5 -11 -5 -11 -5 -11 -5 -11 -5 -11 -5 -11 -5 -11 -5 -10 0 0 -5 -10 -5 -10 -5 -9 -5 -9 -6 -8 -6 -8 -6 -8 -6 -8 -6 -8 -6 -7 -6 -7 -6 -6 -7 -6 -7 -6 -7 -6 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -4 -7 -4 -7 -4 -7 -4 -7 -3 -7 -3 0 0 0 0 0 0 0 0 0 0
1784742763.753597,27872,-47,11,0,0,0,-95,1,297454467,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 8 -9 7 -9 7 -9 7 -10 7 -10 6 -10 7 -11 6 -11 6 -11 6 -11 6 -11 6 -12 5 -11 6 -12 6 -12 5 -12 5 -11 5 -11 5 -11 5 -12 5 -11 5 -11 5 -11 5 -11 5 -10 5 0 0 -9 5 -9 5 -9 6 -9 5 -9 5 -9 6 -8 4 -7 5 -7 4 -5 6 -6 8 -4 6 -5 4 -5 7 -4 7 -6 5 -5 8 -4 5 -5 8 -4 6 -2 7 -2 6 -2 8 -3 7 -6 7 -7 8 0 0 0 0 0 0 0 0 0 0
1784742763.753597,27873,-46,11,0,0,0,-95,1,297459153,128,0 0 0 0 0 0 0 0 0 0 0 0 -10 5 -11 5 -10 5 -11 4 -11 4 -12 4 -12 3 -12 3 -12 3 -12 2 -13 2 -13 1 -13 1 -13 1 -13 1 -12 0 -13 0 -13 1 -13 0 -13 0 -12 0 -13 -1 -12 -1 -12 -1 -12 -1 -12 -1 0 0 -11 -1 -10 -1 -10 0 -10 0 -9 0 -9 1 -9 0 -9 0 -9 0 -9 0 -8 3 -8 3 -7 4 -9 1 -10 2 -9 2 -11 2 -11 3 -9 3 -8 2 -8 4 -9 5 -7 3 -6 1 -8 2 -4 6 0 0 0 0 0 0 0 0 0 0
1784742763.753597,27874,-46,11,0,0,0,-95,1,297461074,128,0 0 0 0 0 0 0 0 0 0 0 0 9 8 8 8 8 8 7 8 8 9 7 8 8 9 7 9 8 9 8 10 7 10 7 10 7 11 7 10 7 10 7 10 7 10 8 10 7 9 7 10 7 10 7 9 7 10 7 9 7 9 7 8 0 0 6 8 8 7 7 6 6 7 7 6 7 7 7 8 8 3 7 7 6 9 6 6 6 6 10 -1 6 2 10 3 10 2 8 1 8 1 -2 -2 1 0 15 1 -9 -5 -4 -12 8 -11 23 -10 -4 -12 0 0 0 0 0 0 0 0 0 0
1784742763.753597,27886,-51,11,1,4,1,-95,1,297496296,128,0 0 0 0 0 0 0 0 0 0 0 0 13 4 13 4 13 5 12 5 13 6 12 6 13 6 12 7 13 6 12 8 12 8 12 9 12 9 11 9 11 8 12 8 11 8 12 8 11 9 11 9 11 8 11 8 10 8 10 8 9 8 10 7 0 0 9 7 10 6 9 6 10 6 9 5 10 5 9 4 10 4 9 3 10 3 10 3 9 3 9 2 9 2 10 1 9 1 10 1 10 1 9 0 10 0 9 0 9 -1 9 0 9 -1 9 -1 8 -1 0 0 0 0 0 0 0 0 0 0
1784742763.753597,27884,-51,11,1,4,1,-95,1,297486710,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 -14 -5 -14 -4 -15 -3 -14 -3 -15 -3 -14 -3 -15 -2 -15 -2 -15 -1 -16 -1 -15 0 -16 0 -15 0 -16 0 -15 0 -16 0 -15 0 -16 1 -15 0 -15 0 -15 1 -14 1 -14 1 -14 1 -14 1 -13 0 0 0 -13 0 -13 0 -12 -1 -13 -1 -11 -1 -11 -2 -11 -2 -11 -2 -11 -3 -11 -3 -11 -3 -11 -3 -10 -3 -10 -4 -10 -4 -10 -4 -10 -4 -9 -5 -9 -5 -9 -5 -9 -5 -9 -5 -9 -5 -8 -5 -8 -6 -8 0 0 0 0 0 0 0 0 0 0
1784742763.769666,27885,-51,11,1,4,1,-95,1,297488166,128,0 0 0 0 0 0 0 0 0 0 0 0 7 11 7 12 6 11 6 12 5 12 6 13 5 12 6 13 5 13 4 13 4 13 4 14 3 14 3 14 4 14 3 13 3 14 3 13 3 13 3 13 3 13 3 13 3 13 2 12 2 12 3 12 0 0 3 11 3 11 3 11 3 10 3 10 4 9 4 9 4 9 5 9 5 8 5 8 5 8 5 8 6 8 5 7 6 7 6 6 6 6 7 6 7 6 7 5 7 6 7 5 6 5 6 5 7 5 0 0 0 0 0 0 0 0 0 0
1784742763.769666,27886,-51,11,1,4,1,-95,1,297496296,128,0 0 0 0 0 0 0 0 0 0 0 0 13 4 13 4 13 5 12 5 13 6 12 6 13 6 12 7 13 6 12 8 12 8 12 9 12 9 11 9 11 8 12 8 11 8 12 8 11 9 11 9 11 8 11 8 10 8 10 8 9 8 10 7 0 0 9 7 10 6 9 6 10 6 9 5 10 5 9 4 10 4 9 3 10 3 10 3 9 3 9 2 9 2 10 1 9 1 10 1 10 1 9 0 10 0 9 0 9 -1 9 0 9 -1 9 -1 8 -1 0 0 0 0 0 0 0 0 0 0
