pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784742843.727551,35880,-58,11,1,7,1,-95,1,377422735,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -6 -3 -6 -3 -6 -2 -6 -2 -6 -2 -6 -2 -6 -2 -6 -2 -6 -2 -6 -2 -6 -2 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 0 -6 0 -6 0 -6 0 -6 0 -6 0 -5 0 -6 0 0 0 -5 0 -5 0 -5 0 -5 0 -5 0 -5 0 -5 0 -5 0 -5 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -2 -7 -2 -7 -2 -7 -2 -7 -2 -8 -3 -8 -3 -8 -3 -8 -4 -9 0 0 0 0 0 0 0 0 0 0
1784742843.754431,35889,-58,11,1,5,1,-95,1,377521003,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 4 -5 4 -5 4 -5 4 -5 3 -5 3 -5 3 -5 3 -5 3 -5 3 -5 3 -5 3 -5 3 -5 3 -6 2 -6 2 -6 2 -6 2 -6 2 -6 1 -6 1 -6 1 -6 1 -5 1 -5 1 -5 1 0 0 -5 1 -5 1 -5 1 -5 1 -5 1 -5 1 -5 1 -5 1 -5 1 -5 2 -5 2 -5 2 -5 2 -5 2 -6 2 -6 3 -6 3 -6 3 -6 3 -6 4 -6 4 -7 4 -7 5 -7 5 -7 6 -7 6 0 0 0 0 0 0 0 0 0 0
1784742843.754431,35884,-58,11,1,7,1,-95,1,377517319,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 -6 -1 -7 0 -6 0 -6 0 -6 0 -6 0 -6 1 -6 1 -6 1 -6 1 -6 1 -6 1 -6 1 -6 2 -6 2 -6 2 -6 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 0 0 2 -5 2 -5 2 -5 2 -4 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -6 2 -6 2 -6 1 -6 2 -7 1 -7 1 -7 1 -8 1 -8 1 -8 1 -8 1 -9 1 -9 0 0 0 0 0 0 0 0 0 0
1784742843.754431,35885,-58,11,1,7,1,-95,1,377518076,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -5 -4 -5 -3 -6 -3 -6 -3 -6 -3 -6 -3 -6 -3 -6 -3 -6 -3 -6 -3 -6 -2 -6 -2 -6 -2 -6 -2 -6 -2 -6 -2 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -5 -1 -6 -1 -5 -1 -6 0 0 -1 -5 0 -5 0 -5 -1 -5 -1 -5 -1 -5 -1 -5 -1 -5 -1 -5 -1 -6 -1 -5 -1 -6 -2 -6 -2 -6 -2 -6 -2 -6 -2 -6 -2 -7 -3 -7 -3 -7 -3 -7 -3 -8 -4 -7 -4 -8 -4 -8 -4 -9 0 0 0 0 0 0 0 0 0 0
1784742843.754431,35886,-58,11,1,7,1,-95,1,377518299,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -1 4 -1 4 -1 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 1 4 1 4 1 3 1 4 1 3 1 3 1 4 1 3 1 3 1 3 1 3 1 3 1 3 1 0 0 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 4 1 4 1 4 0 4 1 4 0 5 0 5 0 5 0 5 0 5 0 6 0 6 0 6 0 6 0 0 0 0 0 0 0 0 0 0 0
1784742843.754431,35887,-58,11,1,7,1,-95,1,377518885,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 1 -6 1 -6 1 -6 0 -6 0 -6 0 -6 0 -6 0 -6 0 -7 0 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -2 -6 -2 -5 -2 -5 -2 -5 -2 0 0 -5 -2 -5 -2 -5 -2 -5 -2 -5 -2 -5 -2 -5 -1 -5 -1 -5 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 0 -6 0 -7 0 -7 0 -7 0 -7 0 -8 0 -8 1 -9 1 -8 1 -9 1 -9 1 0 0 0 0 0 0 0 0 0 0
1784742843.754431,35888,-58,11,1,5,1,-95,1,377520134,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 5 -4 5 -4 4 -4 5 -4 4 -4 4 -4 4 -4 4 -4 4 -4 4 -4 4 -5 4 -5 4 -5 4 -5 3 -5 3 -5 3 -5 3 -5 3 -5 3 -5 3 -5 2 -5 2 -5 2 -5 2 -5 2 0 0 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 3 -5 2 -5 3 -5 3 -5 3 -5 3 -5 4 -5 4 -5 4 -5 4 -5 5 -5 5 -6 5 -5 6 -6 6 -6 7 -6 7 0 0 0 0 0 0 0 0 0 0
1784742843.761172,35889,-58,11,1,5,1,-95,1,377521003,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 4 -5 4 -5 4 -5 4 -5 3 -5 3 -5 3 -5 3 -5 3 -5 3 -5 3 -5 3 -5 3 -5 3 -6 2 -6 2 -6 2 -6 2 -6 2 -6 1 -6 1 -6 1 -6 1 -5 1 -5 1 -5 1 0 0 -5 1 -5 1 -5 1 -5 1 -5 1 -5 1 -5 1 -5 1 -5 1 -5 2 -5 2 -5 2 -5 2 -5 2 -6 2 -6 3 -6 3 -6 3 -6 3 -6 4 -6 4 -7 4 -7 5 -7 5 -7 6 -7 6 0 0 0 0 0 0 0 0 0 0
1784742843.761172,35890,-59,11,1,7,1,-95,1,377522802,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -2 -6 -2 -6 -2 -6 -3 -5 -3 -6 -3 -5 -3 -6 -3 -5 -3 -5 -3 -5 -3 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 -4 -4 -4 -4 -3 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -5 -4 -5 -4 -5 -4 -5 -4 -6 -4 -6 -4 -6 -4 -7 -4 -7 -4 -7 -4 -7 -4 -8 -4 -9 -4 0 0 0 0 0 0 0 0 0 0
1784742843.761172,35891,-58,11,1,7,1,-95,1,377532720,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 3 -6 3 -6 2 -6 2 -6 2 -6 2 -6 2 -6 1 -6 1 -6 1 -6 1 -6 1 -6 1 -6 1 -6 1 -6 0 -6 0 -6 0 -6 0 -6 0 -6 0 -6 0 -6 0 -6 -1 -5 -1 -6 -1 0 0 -5 -1 -5 -1 -6 -1 -5 -1 -5 -1 -5 -1 -5 -1 -6 0 -6 0 -6 0 -6 0 -6 0 -6 0 -6 0 -6 0 -7 1 -6 1 -7 1 -7 1 -7 1 -8 2 -8 2 -8 2 -8 2 -9 3 -9 3 0 0 0 0 0 0 0 0 0 0
1784742843.761172,35892,-58,11,1,7,1,-95,1,377542714,128,0 0 0 0 0 0 0 0 0 0 0 0 2 5 2 5 2 5 2 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 -1 5 -1 5 -1 4 0 0 0 4 0 4 0 4 0 5 0 4 0 4 0 4 0 5 0 4 0 5 0 5 0 4 1 5 1 5 1 5 1 5 2 6 2 5 2 6 3 6 3 6 3 6 3 7 3 7 4 7 4 7 0 0 0 0 0 0 0 0 0 0
1784742843.773039,35893,-58,11,1,7,1,-95,1,377552663,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 1 -7 1 -6 0 -7 0 -6 0 -6 0 -6 0 -6 0 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -7 -1 -6 -2 -6 -2 -6 -2 -6 -2 -6 -2 -6 -2 -6 -2 -5 -2 -5 -2 -5 -2 -5 -2 0 0 -5 -2 -5 -2 -5 -3 -5 -2 -5 -2 -5 -2 -5 -2 -5 -2 -5 -2 -6 -2 -6 -2 -6 -2 -6 -2 -6 -1 -6 -1 -7 -1 -7 -1 -7 -1 -7 -1 -8 -1 -8 0 -9 0 -9 0 -9 0 -9 0 -10 0 0 0 0 0 0 0 0 0 0 0
1784742843.788733,35894,-58,11,1,7,1,-95,1,377562693,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 3 -5 3 -5 3 -5 2 -5 2 -6 2 -5 2 -5 2 -6 2 -5 2 -6 2 -6 2 -6 1 -6 1 -6 1 -6 1 -6 1 -6 1 -6 1 -6 0 -6 0 -6 0 -5 0 -6 0 -5 0 -6 0 0 0 -5 0 -5 0 -5 -1 -5 0 -5 0 -5 0 -5 0 -5 0 -5 0 -5 0 -5 0 -6 1 -6 1 -6 1 -6 1 -6 1 -6 1 -6 1 -7 2 -7 2 -7 2 -7 2 -7 3 -8 3 -8 3 -9 4 0 0 0 0 0 0 0 0 0 0
1784742843.789306,35895,-58,11,1,7,1,-95,1,377572686,128,0 0 0 0 0 0 0 0 0 0 0 0 1 5 1 5 1 5 0 5 0 5 0 5 0 5 0 5 0 5 -1 5 -1 5 -1 5 -1 5 -1 5 -1 5 -1 5 -1 5 -1 5 -1 5 -1 5 -2 5 -1 4 -2 5 -2 4 -2 4 -2 4 0 0 -2 4 -2 4 -2 4 -2 4 -1 4 -1 4 -1 4 -1 4 -1 4 -1 5 -1 5 -1 4 -1 5 -1 5 0 5 0 5 0 6 0 6 0 6 1 6 1 7 1 7 1 7 1 7 1 8 2 8 0 0 0 0 0 0 0 0 0 0
1784742843.806030,35896,-58,11,1,7,1,-95,1,377582708,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -6 1 -6 1 -6 1 -6 1 -6 1 -6 1 -6 2 -6 2 -6 2 -6 2 -6 2 -6 2 -5 2 -5 2 -6 3 -5 3 -5 2 -5 3 -5 3 -5 3 -5 3 -5 3 -4 3 -4 3 -4 3 -4 0 0 3 -4 3 -4 3 -4 3 -4 3 -4 3 -4 3 -4 3 -4 3 -4 3 -5 2 -5 2 -5 2 -5 2 -5 2 -6 2 -6 2 -6 2 -6 2 -7 2 -7 2 -7 2 -8 2 -8 2 -8 2 -9 2 -9 0 0 0 0 0 0 0 0 0 0
1784742843.820925,35897,-58,11,1,7,1,-95,1,377595063,128,0 0 0 0 0 0 0 0 0 0 0 0 3 4 3 4 2 4 2 5 2 5 2 5 1 5 2 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 4 0 4 0 4 0 0 0 4 -1 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 4 1 5 1 5 1 5 1 5 1 5 1 5 1 5 2 6 2 6 2 6 2 6 3 6 3 7 4 7 4 7 0 0 0 0 0 0 0 0 0 0
1784742843.827333,35898,-58,11,1,7,1,-95,1,377602624,128,0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 1 5 1 5 1 5 1 5 1 5 1 5 2 5 2 4 2 4 2 4 2 4 2 4 2 4 2 4 3 4 2 4 3 4 3 4 3 3 3 3 3 3 3 3 3 3 3 3 3 0 0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 4 3 4 3 4 3 4 3 5 2 5 3 5 3 5 3 6 2 6 3 6 2 7 3 7 3 7 3 8 3 0 0 0 0 0 0 0 0 0 0
