pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784743002.707203,51779,-51,11,1,5,1,-95,1,536477992,128,0 0 0 0 0 0 0 0 0 0 0 0 -15 -4 -15 -5 -14 -6 -15 -7 -14 -7 -15 -7 -14 -7 -14 -8 -14 -8 -14 -8 -14 -9 -14 -9 -13 -9 -14 -9 -14 -10 -13 -10 -13 -10 -13 -10 -13 -10 -12 -9 -12 -9 -12 -9 -12 -9 -11 -9 -11 -9 -11 -8 0 0 -11 -8 -11 -7 -10 -7 -10 -7 -10 -6 -10 -6 -10 -5 -10 -5 -10 -5 -10 -4 -10 -4 -10 -3 -10 -3 -10 -3 -10 -2 -10 -2 -10 -2 -10 -1 -10 -1 -10 -1 -10 0 -10 0 -9 0 -9 0 -9 1 -9 1 0 0 0 0 0 0 0 0 0 0
1784743002.707203,51780,-51,11,1,5,1,-95,1,536487468,128,0 0 0 0 0 0 0 0 0 0 0 0 -15 2 -15 1 -14 -1 -16 -1 -15 -1 -16 -1 -15 -2 -16 -2 -16 -2 -15 -2 -15 -2 -16 -3 -16 -3 -16 -3 -17 -3 -15 -4 -16 -4 -15 -4 -15 -4 -14 -4 -15 -4 -15 -4 -14 -3 -14 -4 -13 -4 -14 -3 0 0 -13 -2 -12 -3 -13 -2 -11 -2 -12 -2 -11 -1 -11 -1 -11 0 -11 0 -10 0 -10 1 -10 1 -10 2 -11 2 -10 2 -10 3 -9 2 -9 3 -9 3 -9 3 -8 4 -8 4 -7 4 -7 4 -7 5 -8 5 0 0 0 0 0 0 0 0 0 0
1784743002.722975,51781,-51,11,1,5,1,-95,1,536497547,128,0 0 0 0 0 0 0 0 0 0 0 0 -12 -11 -11 -11 -11 -12 -10 -12 -10 -12 -10 -12 -10 -13 -10 -13 -10 -13 -9 -14 -9 -14 -8 -14 -8 -14 -8 -14 -8 -14 -8 -14 -8 -14 -8 -14 -7 -14 -8 -14 -8 -13 -7 -13 -7 -13 -6 -13 -6 -12 -7 -12 0 0 -7 -11 -7 -11 -7 -10 -7 -10 -7 -9 -7 -9 -7 -9 -8 -9 -8 -8 -8 -8 -8 -8 -8 -7 -8 -7 -8 -6 -9 -6 -9 -6 -9 -5 -9 -5 -9 -4 -9 -4 -9 -4 -9 -3 -9 -3 -9 -3 -9 -3 -9 -2 0 0 0 0 0 0 0 0 0 0
1784743002.739039,51782,-51,11,1,5,1,-95,1,536507410,128,0 0 0 0 0 0 0 0 0 0 0 0 12 -8 13 -7 13 -7 13 -6 14 -6 14 -6 14 -5 14 -5 14 -5 15 -4 15 -4 15 -4 15 -3 15 -3 15 -3 15 -3 14 -3 15 -3 14 -3 14 -3 14 -2 14 -3 14 -3 13 -2 13 -3 13 -2 0 0 12 -3 12 -3 11 -3 11 -4 10 -4 10 -4 10 -4 10 -4 9 -5 9 -5 9 -5 8 -6 8 -6 8 -6 7 -7 7 -7 7 -7 6 -7 6 -7 6 -7 6 -7 5 -7 5 -7 5 -8 4 -7 4 -8 0 0 0 0 0 0 0 0 0 0
1784743002.739039,51783,-51,11,1,5,1,-95,1,536517928,128,0 0 0 0 0 0 0 0 0 0 0 0 1 14 1 15 -1 14 -1 15 -2 14 -1 15 -2 14 -2 15 -3 15 -2 14 -3 15 -3 15 -3 15 -3 15 -4 15 -5 14 -5 14 -4 14 -5 14 -5 13 -5 13 -5 13 -4 13 -4 13 -4 12 -3 12 0 0 -3 12 -3 11 -3 11 -2 11 -2 10 -2 10 -2 10 -1 10 -1 10 0 10 0 10 1 9 1 9 1 9 1 9 1 9 2 8 2 8 2 8 2 8 3 8 3 8 4 7 4 7 4 7 4 7 0 0 0 0 0 0 0 0 0 0
1784743002.756206,51784,-51,11,1,5,1,-95,1,536527413,128,0 0 0 0 0 0 0 0 0 0 0 0 -15 0 -15 0 -15 -1 -15 -1 -15 -2 -15 -2 -16 -2 -15 -2 -16 -2 -16 -4 -15 -4 -16 -5 -15 -5 -15 -5 -15 -5 -15 -5 -15 -5 -15 -5 -15 -5 -15 -4 -14 -4 -14 -4 -14 -5 -13 -5 -13 -5 -13 -5 0 0 -13 -4 -12 -3 -12 -3 -12 -3 -12 -2 -11 -2 -11 -1 -11 -1 -11 -1 -11 -1 -11 -1 -10 0 -10 0 -10 0 -10 1 -10 1 -10 1 -10 2 -9 2 -9 3 -9 3 -9 3 -9 3 -9 3 -9 3 -8 3 0 0 0 0 0 0 0 0 0 0
1784743002.756206,51785,-51,11,1,5,1,-95,1,536537545,128,0 0 0 0 0 0 0 0 0 0 0 0 -15 4 -15 4 -15 3 -15 2 -15 2 -15 2 -15 2 -16 1 -16 1 -16 0 -16 0 -16 -1 -16 -1 -16 -1 -16 -1 -16 -2 -16 -2 -15 -2 -15 -1 -15 -1 -15 -1 -15 -2 -15 -2 -14 -2 -14 -2 -14 -1 0 0 -13 -1 -13 -1 -12 -1 -12 -1 -12 0 -12 0 -11 0 -11 1 -11 1 -11 1 -11 1 -10 2 -10 2 -10 3 -10 3 -10 3 -9 3 -9 4 -9 4 -8 4 -8 4 -8 5 -8 5 -8 5 -8 5 -7 5 0 0 0 0 0 0 0 0 0 0
1784743002.771234,51786,-51,11,1,5,1,-95,1,536547497,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -14 -5 -14 -4 -15 -4 -15 -3 -15 -3 -15 -2 -15 -3 -16 -2 -16 -2 -15 -3 -15 -2 -15 -2 -16 -2 -16 -1 -16 0 -16 0 -16 -1 -15 0 -15 0 -15 0 -15 0 -15 -1 -14 -1 -14 -1 -14 -1 -14 0 0 -1 -13 -1 -13 -1 -12 -2 -12 -2 -11 -2 -12 -2 -11 -3 -11 -3 -11 -4 -10 -4 -10 -5 -10 -5 -10 -5 -10 -5 -9 -5 -9 -5 -9 -5 -8 -6 -8 -6 -8 -6 -8 -6 -8 -7 -7 -7 -7 -7 -7 -7 -6 0 0 0 0 0 0 0 0 0 0
1784743002.802954,51787,-51,11,1,3,1,-95,1,536558178,128,0 0 0 0 0 0 0 0 0 0 0 0 13 6 12 6 12 7 11 8 11 8 11 8 11 8 11 9 11 9 11 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 9 10 9 10 9 10 9 10 8 10 8 9 8 9 0 0 8 8 8 8 8 8 8 7 8 6 8 6 8 6 8 6 8 5 9 5 9 5 9 4 8 4 8 3 9 3 9 3 9 2 9 2 9 2 9 1 9 1 9 1 9 0 9 0 9 0 8 0 0 0 0 0 0 0 0 0 0 0
1784743002.802954,51788,-51,11,1,5,1,-95,1,536567543,128,0 0 0 0 0 0 0 0 0 0 0 0 11 -10 11 -10 11 -9 12 -9 12 -8 12 -8 12 -8 13 -8 13 -8 13 -7 13 -6 14 -6 14 -6 14 -6 15 -6 14 -5 14 -6 13 -5 14 -5 13 -5 13 -5 13 -5 13 -5 12 -4 12 -4 12 -5 0 0 12 -5 11 -5 11 -5 10 -5 10 -5 9 -5 9 -5 9 -6 9 -6 8 -6 8 -6 8 -7 7 -7 7 -7 7 -7 7 -8 6 -7 6 -8 6 -8 5 -8 5 -8 5 -9 5 -8 4 -8 4 -8 4 -9 0 0 0 0 0 0 0 0 0 0
