pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784745641.313681,306202,-48,11,1,7,1,-95,1,-1119957528,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 6 -5 6 -6 6 -6 6 -6 5 -7 5 -7 5 -7 5 -7 4 -7 4 -7 4 -7 4 -8 4 -8 4 -8 4 -8 3 -8 3 -8 3 -8 3 -8 3 -8 3 -8 3 -7 3 -7 3 -7 3 -7 3 0 0 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -6 5 -7 5 -6 5 -7 5 -6 6 -6 5 -7 6 -6 6 -7 6 -6 6 -6 7 -6 7 -7 7 -7 7 -7 7 -6 8 -7 8 -7 8 -7 8 0 0 0 0 0 0 0 0 0 0
1784745641.322083,306203,-48,11,1,7,1,-95,1,-1119947454,128,0 0 0 0 0 0 0 0 0 0 0 0 7 3 6 3 6 4 6 4 6 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 5 6 4 6 4 7 4 6 4 6 4 6 4 6 4 6 4 6 4 6 4 5 4 5 4 6 0 0 4 5 4 5 4 5 4 5 4 5 5 5 5 5 5 5 5 5 6 4 6 4 6 4 6 4 6 4 6 4 7 4 7 4 7 4 7 4 8 5 8 4 8 5 8 4 8 4 9 4 9 4 0 0 0 0 0 0 0 0 0 0
1784745641.326500,306204,-48,11,1,7,1,-95,1,-1119936066,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -3 -8 -4 -7 -4 -7 -5 -7 -5 -7 -5 -7 -6 -7 -6 -6 -6 -7 -6 -6 -6 -6 -6 -6 -7 -6 -7 -6 -7 -5 -7 -5 -7 -5 -7 -6 -7 -5 -7 -5 -7 -5 -7 -5 -6 -5 -6 -5 -6 -5 -6 0 0 -5 -6 -5 -6 -5 -6 -6 -6 -6 -5 -6 -6 -6 -5 -6 -5 -6 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -9 -5 -9 -5 -9 -5 -9 -5 -10 -5 -10 -5 -10 -5 0 0 0 0 0 0 0 0 0 0
1784745641.346508,306205,-48,11,1,7,1,-95,1,-1119927510,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -8 -3 -8 -3 -8 -2 -8 -2 -8 -2 -9 -2 -8 -2 -9 -1 -8 -1 -8 -1 -8 0 -9 0 -8 0 -9 0 -9 0 -9 0 -8 1 -8 0 -9 0 -8 0 -8 0 -8 0 -8 0 -8 0 -8 0 -8 0 0 0 -8 0 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -9 -3 -9 -3 -9 -3 -9 -3 -9 -3 -9 -4 -10 -4 -10 -4 -10 -4 -10 -4 -10 -4 -10 -4 -11 0 0 0 0 0 0 0 0 0 0
1784745641.354252,306206,-48,11,1,7,1,-95,1,-1119917458,128,0 0 0 0 0 0 0 0 0 0 0 0 1 7 1 7 0 8 0 7 0 7 -1 7 -1 7 -1 8 -1 7 -1 7 -1 8 -2 8 -2 8 -2 8 -2 8 -2 7 -2 8 -2 7 -3 7 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 0 0 -2 7 -1 7 -2 7 -1 7 -1 7 -1 7 -1 7 0 7 -1 7 0 8 0 8 0 8 0 8 1 8 1 8 1 8 1 8 1 9 1 9 2 9 2 9 2 9 2 9 2 9 2 10 2 10 0 0 0 0 0 0 0 0 0 0
1784745641.354252,306207,-45,11,1,7,0,-95,1,-1119907588,128,0 0 0 0 0 0 0 0 0 0 0 0 2 12 2 12 1 12 0 12 -1 12 -1 12 -1 12 -1 12 -2 12 -2 12 -3 12 -3 12 -3 12 -4 12 -4 12 -4 12 -4 12 -4 11 -4 12 -4 11 -4 11 -4 11 -3 11 -4 11 -3 11 -3 11 0 0 -3 11 -3 11 -2 11 -2 11 -2 11 -1 11 -1 11 -1 11 -1 12 0 12 0 12 0 12 0 13 0 13 1 13 1 13 1 13 2 13 2 14 2 14 3 14 3 14 3 15 2 15 3 15 3 16 0 0 0 0 0 0 0 0 0 0
1784745641.369944,306208,-48,11,1,7,1,-95,1,-1119897504,128,0 0 0 0 0 0 0 0 0 0 0 0 7 1 7 2 7 3 7 4 7 3 6 4 6 4 6 4 6 4 6 4 6 4 6 5 6 5 6 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 4 5 4 5 5 5 5 0 0 5 4 5 4 5 4 5 4 6 4 6 4 6 4 6 3 6 4 6 3 7 3 7 3 7 3 7 3 7 3 8 3 7 2 8 2 8 2 8 3 9 2 9 2 9 2 9 2 9 2 10 2 0 0 0 0 0 0 0 0 0 0
1784745641.369944,306209,-48,11,1,7,1,-95,1,-1119887482,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -2 7 -1 8 -1 7 0 8 0 7 0 8 0 7 0 8 1 7 1 7 2 8 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 6 2 7 2 0 0 7 1 7 1 7 1 7 1 7 0 7 0 7 0 7 0 7 0 7 0 7 0 8 0 7 0 8 -1 8 -1 8 -1 8 -1 8 -2 9 -2 9 -2 9 -2 9 -3 10 -2 10 -2 10 -2 10 -2 0 0 0 0 0 0 0 0 0 0
1784745641.385925,306210,-48,11,1,7,1,-95,1,-1119877507,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -5 -7 -6 -6 -6 -6 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -4 -8 -4 -7 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -7 -4 -7 -3 -7 -4 -7 -3 -7 -4 -7 0 0 -4 -7 -4 -7 -4 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -6 -6 -7 -6 -7 -6 -6 -6 -6 -6 -6 -7 -6 -7 -6 -7 -7 -7 -7 -7 -7 -8 -7 -8 -7 -8 -6 -9 -7 -8 -7 -9 -7 -9 -7 0 0 0 0 0 0 0 0 0 0
1784745641.402109,306211,-48,11,1,7,1,-95,1,-1119867542,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -2 7 -1 7 0 7 0 7 0 7 0 7 1 7 1 7 1 7 1 7 1 7 1 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 0 0 7 2 7 2 7 2 7 1 7 1 7 1 7 1 7 1 7 1 7 0 8 0 8 0 8 0 8 0 8 0 8 0 8 -1 9 -1 9 -1 9 -1 9 -1 9 -1 9 -1 10 -1 10 -2 10 -2 0 0 0 0 0 0 0 0 0 0
1784745641.402109,306212,-48,11,1,7,1,-95,1,-1119857452,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 1 -8 1 -9 0 -8 0 -9 -1 -9 -1 -9 -1 -8 -1 -9 -1 -8 -2 -8 -2 -8 -3 -8 -3 -8 -3 -8 -3 -9 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -2 -8 -2 -8 -3 -8 -3 -7 -3 -8 -2 0 0 -8 -2 -8 -2 -8 -2 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 0 -9 -1 -9 -1 -8 0 -8 0 -8 0 -9 1 -9 1 -10 0 -9 1 -9 1 -10 2 -10 2 -10 2 -10 1 -11 1 -11 1 -11 2 0 0 0 0 0 0 0 0 0 0
