pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784745218.327818,266221,-41,11,1,7,1,-95,1,-1542969082,128,0 0 0 0 0 0 0 0 0 0 0 0 6 4 5 4 5 5 6 5 5 5 5 5 5 6 5 6 4 6 5 6 4 6 5 7 5 7 4 7 4 8 4 8 4 8 4 7 4 8 4 8 4 8 3 8 4 7 3 8 3 8 3 8 0 0 4 7 3 7 4 7 4 7 4 7 4 7 4 7 4 7 4 7 5 7 5 6 5 6 6 7 6 6 5 6 6 6 6 6 7 6 7 6 7 6 8 6 8 7 8 7 8 7 8 7 8 7 0 0 0 0 0 0 0 0 0 0
1784745218.327818,266222,-39,11,1,7,1,-95,1,-1542934290,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 -1 -10 -1 -9 -2 -10 -2 -9 -3 -10 -3 -10 -3 -10 -3 -10 -4 -9 -4 -10 -4 -10 -4 -10 -5 -10 -4 -10 -4 -10 -5 -10 -5 -10 -5 -10 -5 -10 -5 -10 -5 -10 -5 -10 -5 -9 -5 -10 -5 -10 -6 0 0 -10 -5 -9 -5 -10 -5 -9 -4 -9 -4 -10 -4 -9 -4 -9 -3 -10 -3 -10 -3 -10 -3 -10 -3 -10 -2 -11 -2 -10 -2 -11 -1 -10 -2 -11 -2 -11 -1 -12 -1 -12 -1 -12 -1 -12 -1 -12 -1 -12 0 -13 0 0 0 0 0 0 0 0 0 0 0
1784745218.327818,266223,-39,11,1,7,1,-95,1,-1542932379,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 -9 -1 -9 0 -9 0 -9 1 -9 1 -10 1 -10 1 -10 2 -10 2 -10 2 -10 3 -10 3 -10 3 -10 3 -10 3 -10 3 -10 4 -10 4 -10 4 -10 4 -10 4 -10 4 -10 4 -10 4 -9 4 -9 0 0 4 -9 4 -10 4 -9 3 -9 2 -9 3 -9 3 -9 3 -9 3 -9 2 -10 2 -10 2 -10 2 -10 2 -10 1 -10 1 -10 1 -11 1 -11 1 -11 0 -11 1 -11 0 -12 1 -12 1 -12 0 -12 0 -13 0 0 0 0 0 0 0 0 0 0
1784745218.327818,266224,-39,11,1,7,1,-95,1,-1542930369,128,0 0 0 0 0 0 0 0 0 0 0 0 5 7 4 7 3 8 3 8 3 8 3 8 2 8 3 9 2 9 2 9 2 9 2 10 2 9 1 10 1 10 1 10 1 10 1 9 1 10 0 10 1 10 0 10 1 10 1 9 0 9 1 10 0 0 1 9 1 10 1 9 1 9 2 9 1 9 2 9 2 9 2 9 3 9 3 9 3 8 3 9 4 9 3 9 4 9 4 9 4 9 5 9 5 9 5 9 5 9 5 9 5 9 6 9 6 10 0 0 0 0 0 0 0 0 0 0
1784745218.327818,266225,-40,11,1,7,1,-95,1,-1542928467,128,0 0 0 0 0 0 0 0 0 0 0 0 8 3 8 3 7 3 8 4 7 4 8 5 7 5 7 5 7 5 7 6 7 6 7 6 7 6 7 7 7 7 7 6 7 7 7 7 7 7 7 7 6 8 6 7 7 7 6 7 6 7 6 7 0 0 6 7 6 7 6 7 6 6 6 6 6 6 6 6 7 6 7 6 7 5 7 5 7 5 7 5 8 5 8 5 8 5 8 5 9 4 9 5 9 5 9 5 10 4 10 5 10 5 10 5 10 5 0 0 0 0 0 0 0 0 0 0
1784745218.327818,266226,-40,11,1,7,1,-95,1,-1542923711,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -8 3 -8 5 -8 5 -8 5 -8 5 -8 5 -8 6 -8 6 -8 6 -8 7 -8 7 -8 7 -8 8 -8 7 -8 8 -7 8 -7 8 -7 8 -7 8 -7 8 -7 8 -7 8 -7 8 -7 8 -7 8 -7 0 0 7 -6 8 -7 7 -7 7 -7 7 -7 7 -7 6 -7 6 -7 6 -8 6 -8 6 -8 5 -8 5 -8 5 -8 6 -9 6 -9 6 -9 5 -10 5 -10 5 -10 5 -10 5 -10 5 -11 5 -11 6 -11 5 -11 0 0 0 0 0 0 0 0 0 0
1784745218.343557,266227,-40,11,1,7,1,-95,1,-1542913672,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -8 5 -7 5 -7 6 -7 6 -7 6 -7 6 -7 6 -7 6 -7 7 -7 7 -6 7 -6 8 -6 8 -6 8 -6 8 -6 8 -6 8 -6 8 -6 8 -6 8 -6 8 -6 8 -6 8 -6 7 -5 8 -5 0 0 7 -6 7 -6 7 -6 7 -6 7 -6 7 -7 7 -6 6 -6 6 -6 6 -7 6 -7 6 -7 6 -7 5 -7 5 -8 5 -9 5 -9 5 -9 5 -9 5 -9 5 -9 5 -10 5 -10 6 -10 5 -10 6 -10 0 0 0 0 0 0 0 0 0 0
1784745218.343557,266228,-41,11,1,7,1,-95,1,-1542903694,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -4 -9 -4 -8 -5 -8 -5 -7 -5 -8 -6 -8 -5 -8 -6 -7 -7 -8 -6 -8 -7 -7 -7 -7 -7 -8 -7 -8 -8 -7 -7 -7 -8 -7 -8 -7 -8 -7 -8 -7 -8 -7 -8 -6 -8 -6 -8 -6 -8 -7 -8 0 0 -7 -8 -6 -8 -7 -8 -6 -8 -6 -7 -6 -7 -7 -7 -7 -6 -7 -7 -7 -6 -8 -6 -8 -6 -8 -6 -8 -6 -8 -6 -9 -6 -9 -6 -9 -6 -9 -6 -10 -6 -10 -6 -10 -7 -9 -5 -10 -6 -10 -6 -11 -6 0 0 0 0 0 0 0 0 0 0
1784745218.359400,266229,-41,11,1,7,1,-95,1,-1542893735,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -3 7 -3 8 -2 8 -2 8 -1 8 -1 8 -1 8 -1 8 -1 9 -1 8 0 9 0 9 0 9 0 9 0 9 1 9 0 9 1 9 1 9 1 9 1 9 1 9 1 8 1 8 2 8 1 0 0 8 0 8 1 8 1 8 1 8 0 8 0 8 0 9 0 8 -1 9 -1 8 -1 8 -2 8 -1 8 -2 9 -2 9 -2 9 -2 9 -2 9 -2 10 -3 10 -3 9 -3 10 -3 11 -2 11 -3 10 -3 0 0 0 0 0 0 0 0 0 0
1784745218.375474,266230,-42,11,1,7,1,-95,1,-1542883596,128,0 0 0 0 0 0 0 0 0 0 0 0 4 5 4 6 3 6 3 6 3 6 3 7 3 7 3 7 3 7 2 7 2 8 2 8 2 8 2 8 1 8 2 8 2 8 1 8 1 8 1 8 1 8 1 8 1 8 1 8 1 8 1 9 0 0 1 8 1 8 2 8 1 7 2 8 2 7 2 8 2 8 2 7 2 7 2 8 3 8 3 7 3 7 4 8 3 7 4 8 4 7 5 8 5 8 5 8 5 9 5 8 5 9 5 9 5 9 0 0 0 0 0 0 0 0 0 0
