pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784745375.059185,281901,-42,11,1,7,1,-95,1,-1386218692,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 3 -8 3 -7 3 -8 2 -8 2 -8 2 -8 2 -9 2 -9 1 -9 1 -9 1 -9 1 -9 1 -10 0 -9 1 -9 0 -10 0 -10 0 -10 0 -10 0 -10 0 -10 0 -10 0 -10 0 -9 -1 -9 0 0 0 -9 0 -9 0 -10 0 -9 0 -9 1 -9 1 -9 1 -9 1 -9 1 -9 1 -8 2 -9 2 -9 2 -9 2 -9 2 -10 3 -9 3 -10 3 -9 4 -9 4 -10 4 -10 4 -10 4 -10 4 -10 4 -11 5 0 0 0 0 0 0 0 0 0 0
1784745375.059185,281902,-41,11,1,7,1,-95,1,-1386208816,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 6 -5 6 -5 6 -5 6 -5 5 -6 6 -6 6 -7 6 -7 6 -7 5 -8 5 -8 5 -7 5 -8 5 -8 5 -8 5 -8 5 -8 4 -9 5 -9 4 -9 4 -9 4 -9 4 -9 4 -8 4 -8 4 0 0 -8 4 -8 4 -8 4 -8 4 -8 4 -8 4 -8 4 -7 5 -8 4 -7 5 -7 5 -7 6 -7 6 -7 6 -7 6 -7 7 -7 6 -7 7 -7 7 -7 7 -7 8 -7 8 -7 8 -7 8 -7 9 -7 9 0 0 0 0 0 0 0 0 0 0
1784745375.075011,281903,-41,11,1,7,1,-95,1,-1386198735,128,0 0 0 0 0 0 0 0 0 0 0 0 1 7 1 7 0 7 0 7 0 8 -1 8 0 8 -1 8 -1 8 -1 8 -2 8 -2 8 -2 8 -2 8 -2 8 -2 9 -2 8 -2 9 -3 8 -2 9 -3 8 -2 8 -3 9 -3 8 -3 8 -3 8 0 0 -2 8 -3 8 -2 8 -2 8 -1 8 -1 8 -1 8 -1 8 -1 8 -1 8 0 9 0 8 0 8 0 8 1 9 1 8 1 9 1 9 2 9 2 9 2 10 3 10 2 10 2 10 1 11 2 10 0 0 0 0 0 0 0 0 0 0
1784745375.075011,281904,-41,11,1,7,1,-95,1,-1386188704,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -3 7 -3 7 -2 8 -2 7 -2 8 -2 8 -2 8 -1 8 -1 8 -1 8 -1 9 0 8 0 9 0 9 -1 9 1 9 0 9 0 9 1 9 0 9 0 9 0 9 1 8 1 9 1 9 1 0 0 9 1 8 1 8 0 8 0 8 0 9 0 8 0 8 -1 9 -1 8 -1 9 -1 8 -1 9 -2 9 -2 8 -2 9 -3 9 -3 9 -3 9 -3 9 -4 9 -4 10 -4 9 -4 10 -4 10 -4 11 -4 0 0 0 0 0 0 0 0 0 0
1784745375.090951,281905,-41,11,1,7,1,-95,1,-1386178782,128,0 0 0 0 0 0 0 0 0 0 0 0 3 6 3 6 2 6 2 7 2 6 2 7 2 7 1 8 1 7 1 8 1 8 1 8 0 8 0 8 0 9 -1 8 0 9 -1 8 -1 9 -1 8 -1 9 -1 9 -1 9 -1 8 -1 8 -1 8 0 0 -1 8 -1 8 -1 8 -1 8 -1 8 0 8 0 7 0 8 -1 8 0 8 1 8 1 8 1 8 1 8 1 9 1 8 2 8 2 9 2 9 2 9 2 9 3 9 3 10 2 10 3 10 3 11 0 0 0 0 0 0 0 0 0 0
1784745375.098536,281906,-41,11,1,7,1,-95,1,-1386168815,128,0 0 0 0 0 0 0 0 0 0 0 0 7 0 7 0 7 1 7 2 7 1 7 2 8 2 7 2 7 2 7 3 7 3 8 4 7 4 8 4 7 4 8 4 8 4 8 4 8 5 7 5 7 4 7 5 7 5 7 5 7 5 7 5 0 0 7 4 7 4 6 4 7 4 7 3 7 4 7 4 7 3 7 3 8 3 8 3 8 2 8 3 8 3 9 2 8 2 9 2 9 2 10 2 10 2 10 2 10 1 11 2 11 2 11 2 12 2 0 0 0 0 0 0 0 0 0 0
1784745375.103294,281907,-41,11,1,7,1,-95,1,-1386158820,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -7 -4 -7 -3 -8 -3 -8 -2 -8 -3 -9 -3 -9 -3 -8 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -10 -2 -10 -1 -10 -1 -10 -1 -10 -1 -10 -1 -10 -1 -10 -1 -10 -1 -10 0 -10 -1 -10 -1 -10 0 0 -1 -9 -1 -9 -1 -10 -2 -9 -2 -9 -3 -9 -2 -9 -2 -9 -2 -9 -3 -9 -3 -9 -3 -9 -4 -9 -3 -9 -5 -9 -4 -10 -5 -9 -5 -9 -6 -10 -5 -9 -6 -9 -6 -10 -6 -10 -6 -10 -7 -11 -7 -11 0 0 0 0 0 0 0 0 0 0
1784745375.117049,281908,-41,11,1,7,1,-95,1,-1386148663,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 3 -7 3 -8 3 -8 3 -8 2 -8 2 -8 2 -9 2 -9 2 -9 1 -9 1 -9 1 -9 1 -9 1 -10 1 -10 0 -10 1 -10 0 -10 0 -10 0 -10 0 -10 0 -10 0 -9 0 -9 -1 -9 -1 0 0 -9 0 -9 0 -9 0 -9 0 -9 0 -9 0 -9 1 -9 1 -9 1 -9 1 -9 1 -9 2 -9 2 -9 2 -9 2 -10 2 -10 2 -10 3 -10 3 -10 3 -10 3 -11 3 -11 4 -11 4 -11 4 -12 4 0 0 0 0 0 0 0 0 0 0
1784745375.124660,281909,-40,11,1,7,1,-95,1,-1386138792,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -7 4 -6 5 -6 5 -6 5 -6 5 -6 6 -6 6 -6 6 -6 6 -6 7 -5 7 -5 7 -6 7 -5 7 -6 7 -5 7 -5 7 -5 8 -5 8 -5 8 -5 7 -5 8 -5 8 -5 8 -4 8 -4 0 0 7 -4 7 -4 7 -5 7 -5 7 -5 7 -5 6 -5 6 -6 6 -5 7 -6 6 -6 6 -6 6 -6 6 -7 6 -7 6 -8 6 -8 6 -8 6 -8 6 -9 6 -9 6 -9 7 -9 7 -9 7 -9 7 -10 0 0 0 0 0 0 0 0 0 0
1784745375.130770,281910,-40,11,1,7,1,-95,1,-1386128699,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -8 -2 -8 -1 -8 -1 -9 -1 -9 -1 -9 0 -9 0 -9 0 -9 1 -9 0 -9 1 -9 1 -9 1 -10 1 -10 2 -10 2 -10 2 -10 3 -10 2 -10 3 -10 3 -9 3 -9 3 -9 3 -9 3 -9 0 0 3 -9 2 -9 2 -9 2 -9 2 -9 2 -9 2 -8 2 -9 2 -9 1 -9 1 -9 0 -9 0 -9 0 -10 1 -10 0 -10 0 -10 0 -11 0 -11 0 -11 0 -11 0 -11 -1 -11 0 -12 0 -12 -1 -12 0 0 0 0 0 0 0 0 0 0
