pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784745956.482023,337726,-42,11,1,7,0,-95,1,-804797728,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 11 -2 11 -2 11 -3 11 -3 11 -4 11 -4 11 -4 11 -5 11 -5 11 -6 11 -6 11 -6 11 -7 11 -6 11 -7 11 -7 11 -7 10 -7 10 -7 10 -7 10 -7 10 -7 10 -7 10 -7 10 -7 10 0 0 -7 10 -7 10 -7 10 -6 10 -6 10 -6 10 -6 10 -6 10 -6 10 -5 11 -5 11 -5 11 -5 11 -5 11 -4 11 -4 11 -4 12 -4 12 -4 12 -3 12 -3 13 -3 13 -3 13 -3 13 -3 13 -3 13 0 0 0 0 0 0 0 0 0 0
1784745956.493118,337727,-46,11,1,7,1,-95,1,-804787788,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -5 -8 -5 -8 -6 -8 -6 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -8 -6 -8 -7 -8 -6 -8 -6 -8 -6 -9 -6 -9 -6 -9 -6 -9 -6 -9 -6 -9 -6 -9 -6 -9 -6 -9 -6 -9 -6 -8 -6 -9 0 0 -6 -8 -6 -8 -6 -8 -7 -8 -6 -8 -6 -8 -7 -7 -7 -7 -7 -7 -7 -7 -8 -7 -8 -7 -7 -7 -8 -6 -8 -6 -9 -6 -9 -7 -9 -6 -9 -6 -10 -6 -9 -6 -10 -6 -10 -6 -10 -6 -10 -6 -11 -6 0 0 0 0 0 0 0 0 0 0
1784745956.499274,337728,-42,11,1,7,0,-95,1,-804777727,128,0 0 0 0 0 0 0 0 0 0 0 0 -10 5 -11 4 -11 4 -12 3 -12 3 -12 3 -12 2 -12 2 -13 1 -12 1 -13 1 -13 1 -13 0 -13 0 -13 0 -13 0 -13 0 -13 -1 -13 -1 -13 -1 -13 -1 -13 -1 -13 -1 -13 -1 -13 -1 -13 -1 0 0 -13 -1 -13 -1 -13 -1 -13 -1 -12 0 -12 0 -12 0 -13 1 -13 1 -12 1 -12 1 -12 2 -13 2 -13 2 -13 2 -13 2 -13 2 -13 3 -13 3 -13 3 -13 3 -13 4 -13 4 -13 4 -13 4 -13 5 0 0 0 0 0 0 0 0 0 0
1784745956.514759,337729,-45,11,1,7,1,-95,1,-804767180,128,0 0 0 0 0 0 0 0 0 0 0 0 6 6 5 7 5 7 4 8 4 8 4 8 4 8 4 8 3 8 3 9 3 9 2 9 2 9 3 9 2 9 2 9 2 9 2 10 2 9 2 9 2 10 2 9 2 9 2 9 2 9 2 9 0 0 2 9 2 9 2 9 3 9 3 9 3 8 3 8 3 9 3 8 4 8 4 8 4 8 4 8 4 8 5 8 5 8 5 8 5 8 6 8 6 8 6 8 6 8 6 8 6 8 6 8 7 8 0 0 0 0 0 0 0 0 0 0
1784745956.521231,337730,-45,11,1,7,1,-95,1,-804756098,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -9 -3 -9 -2 -10 -2 -10 -2 -10 -1 -10 -1 -10 -1 -10 -1 -10 0 -10 0 -10 0 -10 0 -11 0 -11 0 -10 1 -10 1 -11 1 -11 1 -10 1 -10 1 -10 1 -10 1 -10 1 -10 1 -10 1 -10 0 0 0 -10 1 -10 1 -10 0 -10 0 -10 0 -10 0 -10 -1 -10 -1 -10 -1 -10 -1 -10 -1 -10 -1 -10 -2 -10 -2 -10 -2 -10 -2 -10 -2 -10 -3 -11 -3 -10 -3 -11 -4 -11 -3 -11 -3 -11 -3 -11 -4 -11 0 0 0 0 0 0 0 0 0 0
1784745956.525086,337731,-45,11,1,7,1,-95,1,-804747784,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 -9 -1 -9 0 -9 1 -9 1 -10 1 -10 1 -9 2 -10 2 -10 2 -9 2 -9 2 -10 3 -10 3 -10 3 -10 4 -10 4 -9 3 -10 4 -9 3 -9 4 -9 4 -9 4 -9 4 -9 3 -9 4 -9 0 0 3 -9 4 -9 3 -9 3 -9 3 -9 3 -9 3 -9 2 -10 3 -9 2 -10 2 -10 1 -10 2 -10 1 -10 2 -10 2 -10 1 -10 1 -10 1 -11 1 -11 0 -11 1 -11 0 -11 0 -11 0 -11 0 -12 0 0 0 0 0 0 0 0 0 0
1784745956.543114,337732,-45,11,1,7,1,-95,1,-804737819,128,0 0 0 0 0 0 0 0 0 0 0 0 4 7 4 7 3 8 3 8 2 8 2 8 2 8 2 8 2 9 2 9 1 9 1 9 1 9 0 9 1 9 1 10 1 9 1 9 0 10 0 9 0 9 1 9 0 10 0 9 0 9 0 9 0 0 1 9 0 9 1 9 1 9 1 9 1 9 2 9 2 9 2 9 2 9 2 9 2 9 2 9 3 9 3 9 3 9 3 9 3 9 4 9 4 9 5 9 4 9 4 9 4 9 4 9 5 9 0 0 0 0 0 0 0 0 0 0
1784745956.543114,337733,-45,11,1,7,1,-95,1,-804727812,128,0 0 0 0 0 0 0 0 0 0 0 0 4 7 4 7 3 7 3 8 2 8 3 8 3 8 2 8 2 8 2 8 1 9 1 9 1 9 1 9 1 9 1 9 1 10 1 9 1 10 1 9 1 10 1 9 0 9 0 9 0 9 0 9 0 0 1 9 1 9 1 9 1 9 1 9 1 9 2 9 2 9 2 9 2 9 2 9 2 9 2 9 3 9 3 9 3 9 3 9 4 9 4 9 4 9 4 9 4 9 4 9 4 9 4 9 5 9 0 0 0 0 0 0 0 0 0 0
1784745956.574327,337734,-42,11,1,7,0,-95,1,-804717724,128,0 0 0 0 0 0 0 0 0 0 0 0 9 -6 9 -6 10 -5 9 -5 10 -4 10 -4 10 -4 10 -4 11 -3 11 -3 11 -3 11 -3 12 -3 12 -3 12 -3 12 -2 12 -2 12 -2 12 -2 12 -2 12 -2 12 -2 12 -2 12 -2 12 -2 12 -2 0 0 12 -2 12 -2 12 -2 12 -3 11 -3 12 -3 11 -3 12 -4 11 -3 12 -4 11 -4 11 -4 11 -5 11 -5 11 -5 11 -5 12 -6 11 -6 11 -6 12 -7 12 -7 12 -7 12 -7 12 -7 12 -8 11 -8 0 0 0 0 0 0 0 0 0 0
1784745956.574327,337735,-45,11,1,7,1,-95,1,-804707816,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -8 3 -8 4 -8 4 -8 4 -8 4 -8 5 -8 5 -8 5 -8 6 -7 6 -7 6 -7 6 -7 6 -7 6 -7 6 -7 6 -7 7 -7 7 -7 7 -7 7 -7 7 -7 7 -7 7 -6 7 -6 7 -6 0 0 7 -7 6 -7 6 -7 6 -7 6 -7 6 -7 6 -8 6 -8 5 -8 6 -8 6 -8 5 -8 5 -8 5 -8 5 -9 5 -9 5 -9 5 -9 5 -10 5 -10 5 -10 4 -10 5 -10 5 -10 5 -10 4 -11 0 0 0 0 0 0 0 0 0 0
