pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784754925.768353,78039,-39,11,1,7,1,-95,1,788827944,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -4 3 -4 3 -4 3 -4 4 -4 4 -4 4 -4 5 -4 5 -5 5 -4 6 -4 6 -4 7 -4 6 -3 7 -4 7 -4 8 -4 8 -3 8 -3 8 -4 7 -3 9 -3 8 -3 8 -2 9 -2 9 -2 0 0 8 -2 8 -2 8 -2 8 -2 8 -3 8 -2 8 -3 8 -3 8 -2 8 -3 9 -3 8 -3 9 -4 8 -4 9 -4 9 -5 9 -5 10 -5 9 -5 10 -5 10 -5 10 -6 10 -5 11 -5 11 -6 11 -6 0 0 0 0 0 0 0 0 0 0
1784754925.776042,78040,-39,11,1,7,1,-95,1,788837929,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 1 -5 1 -5 1 -5 1 -5 1 -5 0 -6 0 -6 0 -6 0 -6 0 -7 0 -7 -1 -7 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 -2 -8 -2 -9 -2 -9 -2 -8 -3 -8 -2 -8 -3 -8 -3 -8 -3 0 0 -9 -3 -8 -3 -8 -3 -8 -3 -8 -2 -9 -2 -8 -2 -8 -2 -8 -2 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -10 -1 -10 0 -10 -1 -11 0 -10 0 -11 0 -11 0 -11 0 -12 0 -12 0 -13 0 0 0 0 0 0 0 0 0 0 0
1784754925.779131,78041,-39,11,1,7,1,-95,1,788847816,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -4 2 -4 3 -4 3 -4 3 -4 4 -4 4 -4 4 -4 4 -4 5 -4 5 -4 5 -4 6 -4 6 -4 6 -4 7 -4 7 -4 7 -4 7 -4 7 -4 8 -3 7 -3 8 -3 8 -3 8 -2 8 -3 0 0 8 -3 7 -3 7 -3 7 -4 7 -3 7 -3 7 -4 7 -4 7 -4 8 -4 8 -4 7 -5 7 -5 7 -5 8 -6 8 -6 8 -6 8 -7 8 -7 9 -7 9 -7 8 -8 9 -8 10 -7 10 -7 10 -8 0 0 0 0 0 0 0 0 0 0
1784754925.795878,78042,-39,11,1,7,1,-95,1,788857967,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -2 4 -2 5 -2 5 -2 5 -1 5 -1 5 -1 6 -1 6 -1 6 0 6 -1 7 0 7 0 7 0 7 0 7 0 7 1 8 1 7 1 8 1 8 2 8 2 8 2 8 2 8 1 8 2 0 0 8 2 8 2 8 2 8 1 8 1 8 1 8 1 8 0 8 1 9 0 9 0 9 0 9 0 9 0 9 -1 10 -1 10 -1 10 -1 11 -1 11 -1 12 -1 12 -2 12 -1 12 -2 12 -2 12 -2 0 0 0 0 0 0 0 0 0 0
1784754925.795878,78043,-38,11,1,7,1,-95,1,788868256,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -4 3 -5 3 -5 3 -5 3 -4 4 -5 4 -4 4 -5 5 -5 5 -5 5 -5 5 -5 6 -5 6 -4 6 -5 6 -4 7 -4 7 -4 8 -4 7 -4 8 -3 8 -3 7 -4 7 -3 8 -3 8 -3 0 0 8 -3 8 -3 8 -3 7 -4 8 -4 7 -4 7 -4 7 -4 8 -4 8 -5 7 -5 7 -5 8 -6 8 -6 8 -6 8 -6 8 -6 9 -7 9 -7 9 -8 9 -7 10 -8 9 -8 10 -8 10 -9 10 -9 0 0 0 0 0 0 0 0 0 0
1784754925.811047,78044,-39,11,1,7,1,-95,1,788877862,128,0 0 0 0 0 0 0 0 0 0 0 0 4 0 4 1 4 2 4 2 4 1 5 2 4 2 5 3 5 3 5 3 5 4 5 5 5 4 5 5 5 5 5 5 5 5 5 5 5 5 4 6 5 6 5 6 5 6 4 6 4 6 4 6 0 0 4 6 4 6 4 6 6 6 5 6 5 6 6 5 5 5 5 6 6 6 7 5 6 5 6 5 7 5 8 6 8 6 8 6 8 6 8 6 9 6 9 6 9 6 9 8 10 8 10 8 10 7 0 0 0 0 0 0 0 0 0 0
1784754925.827171,78045,-35,11,1,7,0,-95,1,788887939,128,0 0 0 0 0 0 0 0 0 0 0 0 4 3 4 4 4 4 4 5 4 5 4 5 4 6 4 6 4 6 4 7 4 7 4 8 4 8 4 8 3 8 3 9 3 9 3 9 3 9 3 10 2 10 3 10 2 10 2 10 2 10 2 10 0 0 2 10 2 10 2 10 3 10 3 9 3 10 3 10 4 10 4 10 4 10 4 10 5 10 5 10 5 10 6 10 6 10 7 11 7 11 7 11 8 11 8 12 8 12 9 12 9 12 9 13 8 13 0 0 0 0 0 0 0 0 0 0
1784754925.835205,78046,-39,11,1,7,1,-95,1,788897927,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 3 -4 3 -5 2 -5 2 -5 2 -6 2 -5 2 -6 3 -6 3 -6 2 -6 2 -7 3 -7 2 -7 2 -7 2 -8 1 -8 1 -8 1 -9 2 -9 1 -8 1 -9 0 -8 1 -9 0 -8 1 -8 1 0 0 -8 1 -8 0 -9 0 -9 0 -8 1 -9 1 -9 1 -9 1 -9 1 -9 2 -10 2 -9 2 -9 2 -10 2 -10 3 -10 3 -10 3 -10 3 -11 4 -11 3 -11 3 -12 3 -12 4 -12 4 -13 4 -13 4 0 0 0 0 0 0 0 0 0 0
1784754925.842992,78047,-39,11,1,7,1,-95,1,788907891,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 -2 -5 -2 -6 -2 -5 -2 -5 -3 -5 -3 -6 -3 -6 -3 -5 -4 -6 -4 -6 -4 -5 -5 -6 -5 -5 -5 -5 -5 -6 -6 -6 -5 -5 -6 -5 -6 -6 -7 -6 -7 -5 -7 -5 -7 -5 -7 -4 -7 -5 -7 0 0 -4 -7 -5 -7 -5 -7 -6 -7 -5 -7 -6 -7 -6 -6 -6 -6 -6 -6 -7 -7 -6 -6 -7 -6 -7 -6 -7 -6 -8 -7 -8 -6 -8 -7 -8 -7 -9 -7 -9 -8 -9 -7 -10 -6 -9 -8 -10 -8 -10 -9 -10 -8 0 0 0 0 0 0 0 0 0 0
1784754925.842992,78048,-40,11,1,7,1,-95,1,788917839,128,0 0 0 0 0 0 0 0 0 0 0 0 3 2 3 2 3 3 3 3 2 3 3 4 3 4 3 4 3 4 3 4 3 5 3 5 3 6 3 5 3 6 2 6 3 6 3 7 2 7 2 7 2 7 2 7 2 7 2 7 1 7 2 7 0 0 2 7 2 7 2 7 2 6 3 6 3 6 3 6 3 6 3 7 4 7 4 6 4 6 5 6 5 7 5 7 6 7 5 7 6 7 6 7 7 8 7 7 7 7 7 8 7 8 8 8 8 8 0 0 0 0 0 0 0 0 0 0
