pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784755523.247808,137797,-38,11,1,7,1,-95,1,1386278478,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -3 -4 -3 -4 -3 -4 -3 -4 -4 -4 -3 -4 -4 -5 -4 -4 -4 -4 -4 -4 -4 -4 -5 -4 -5 -4 -5 -4 -5 -4 -6 -5 -5 -4 -6 -5 -6 -5 -6 -5 -6 -5 -6 -5 -6 -4 -7 -4 -7 -4 -7 0 0 -5 -7 -5 -7 -5 -7 -6 -7 -5 -7 -5 -7 -6 -7 -6 -7 -5 -7 -6 -7 -6 -8 -6 -7 -6 -7 -6 -8 -8 -7 -8 -7 -8 -8 -8 -8 -8 -7 -9 -8 -9 -8 -9 -8 -9 -9 -9 -9 -9 -10 -9 -10 0 0 0 0 0 0 0 0 0 0
1784755523.248735,137798,-38,11,1,7,1,-95,1,1386288064,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -4 -1 -5 -1 -5 -1 -5 -1 -5 -1 -5 -1 -5 -1 -5 -1 -5 -1 -6 0 -6 0 -6 0 -6 0 -6 0 -7 0 -7 0 -6 1 -7 1 -7 1 -7 1 -7 1 -7 1 -7 1 -7 2 -7 1 -8 0 0 2 -8 2 -8 1 -8 1 -8 1 -8 1 -8 1 -8 1 -9 1 -8 0 -9 1 -9 1 -10 0 -9 1 -10 1 -10 1 -10 0 -10 1 -11 0 -11 1 -11 1 -11 1 -12 1 -12 1 -12 1 -12 1 -13 0 0 0 0 0 0 0 0 0 0
1784755523.258103,137799,-37,11,1,7,1,-95,1,1386297868,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 2 -4 1 -4 2 -4 1 -5 1 -5 1 -5 1 -5 1 -5 1 -6 1 -6 1 -6 1 -6 1 -6 1 -6 1 -7 1 -6 1 -7 1 -7 1 -7 0 -7 1 -7 0 -8 0 -8 0 -7 0 -8 0 0 0 -8 1 -8 0 -8 1 -9 1 -8 1 -8 1 -9 1 -9 1 -8 1 -9 2 -9 2 -9 2 -9 2 -9 2 -10 3 -10 3 -10 2 -10 3 -10 3 -11 3 -11 3 -11 4 -11 4 -12 3 -12 4 -12 3 0 0 0 0 0 0 0 0 0 0
1784755523.268671,137800,-37,11,1,7,1,-95,1,1386307908,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -1 3 -1 4 -1 4 -1 4 -1 4 0 4 0 5 0 5 0 5 0 5 0 5 0 5 0 5 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 7 1 6 2 6 2 7 1 0 0 7 1 7 1 7 1 8 1 7 1 7 1 8 1 8 1 8 1 9 1 8 1 8 1 8 1 9 1 9 1 9 1 10 1 10 1 10 1 11 0 11 0 11 0 11 1 12 1 12 1 12 1 0 0 0 0 0 0 0 0 0 0
1784755523.276769,137801,-38,11,1,7,1,-95,1,1386318004,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -1 4 0 4 -1 4 0 4 0 4 -1 4 -1 4 0 4 0 5 0 4 0 5 0 5 0 5 0 6 1 6 0 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 0 0 7 1 7 1 7 1 7 1 7 1 7 0 7 1 8 1 8 1 8 1 8 0 9 0 8 0 8 0 9 0 9 0 9 0 10 0 10 -1 10 -1 10 -1 11 -1 11 -1 11 0 12 0 12 0 0 0 0 0 0 0 0 0 0 0
1784755523.300649,137802,-34,11,1,7,0,-95,1,1386337356,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -4 4 -3 5 -3 4 -3 4 -3 5 -3 5 -3 5 -3 6 -3 6 -3 6 -3 6 -3 7 -3 7 -3 7 -3 8 -2 8 -3 8 -2 8 -2 8 -2 8 -2 8 -2 9 -2 9 -2 9 -2 9 -2 0 0 9 -2 9 -2 10 -2 10 -2 10 -2 10 -2 11 -2 11 -2 11 -3 11 -3 11 -2 11 -2 11 -3 12 -3 11 -3 12 -3 12 -3 12 -4 13 -3 13 -4 14 -4 14 -4 14 -4 14 -4 15 -4 15 -4 0 0 0 0 0 0 0 0 0 0
1784755523.300649,137803,-34,11,1,7,0,-95,1,1386338072,128,0 0 0 0 0 0 0 0 0 0 0 0 5 1 5 1 5 2 5 2 5 2 5 3 6 3 5 3 6 3 6 3 6 4 6 4 6 4 6 5 7 5 6 5 7 5 7 6 6 6 7 6 7 6 7 6 7 6 7 7 7 7 7 7 0 0 7 7 7 8 8 8 7 7 8 7 8 8 8 8 9 8 8 8 9 8 9 8 9 8 9 8 10 8 10 8 10 8 11 8 11 8 12 9 12 9 12 9 12 10 12 9 13 10 13 10 13 10 0 0 0 0 0 0 0 0 0 0
1784755523.316726,137804,-34,11,1,7,0,-95,1,1386348433,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 0 -6 0 -6 0 -6 -1 -6 -1 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -7 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -3 -8 -3 -9 -3 -9 -3 -9 -3 -9 -3 -9 -3 -9 -4 -10 -4 -10 -4 -10 -4 0 0 -10 -4 -10 -4 -10 -4 -10 -4 -11 -4 -11 -4 -11 -4 -12 -4 -11 -4 -11 -3 -12 -4 -12 -4 -12 -4 -12 -4 -13 -3 -13 -3 -14 -3 -14 -3 -14 -3 -14 -3 -15 -4 -15 -3 -15 -3 -16 -4 -16 -4 -17 -4 0 0 0 0 0 0 0 0 0 0
1784755523.316726,137805,-34,11,1,7,0,-95,1,1386363014,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -1 5 -1 6 -1 5 -1 6 0 6 0 6 0 6 0 6 0 7 0 7 0 7 1 7 1 8 1 8 2 8 2 8 2 8 2 8 2 8 3 8 3 9 3 9 3 9 3 9 3 9 3 0 0 9 3 9 4 10 3 10 3 10 3 10 4 10 4 11 3 11 4 11 3 11 3 11 3 12 3 12 3 12 3 13 3 13 3 13 3 13 3 14 3 15 3 15 4 15 4 15 4 16 4 16 4 0 0 0 0 0 0 0 0 0 0
1784755523.523852,137806,-34,11,1,7,0,-95,1,1386368084,128,0 0 0 0 0 0 0 0 0 0 0 0 2 5 1 5 1 6 1 6 1 6 1 6 1 6 1 7 1 7 1 7 0 8 0 7 0 8 0 8 0 8 -1 9 0 9 -1 9 -1 10 -1 9 -1 9 -1 10 -1 10 -2 10 -2 10 -2 10 0 0 -2 11 -2 11 -2 11 -2 11 -1 12 -2 11 -1 12 -1 12 -1 12 -1 12 -1 13 -1 13 -1 13 -1 13 -1 13 -1 14 -1 14 0 15 0 15 0 15 0 16 0 16 0 16 -1 17 -1 17 0 18 0 0 0 0 0 0 0 0 0 0
1784755523.523852,137807,-37,11,1,7,1,-95,1,1386414568,128,0 0 0 0 0 0 0 0 0 0 0 0 3 1 3 2 3 2 3 2 3 2 3 2 3 3 3 3 3 3 3 3 4 3 4 3 3 3 4 4 4 4 4 4 4 5 4 5 4 5 4 5 4 5 4 5 4 5 4 5 4 5 4 5 0 0 4 6 4 6 4 6 4 6 5 6 5 6 5 6 5 6 5 6 6 6 5 6 6 6 6 6 6 6 6 7 6 7 7 7 7 7 7 7 8 7 8 7 8 7 8 8 8 7 9 8 9 9 0 0 0 0 0 0 0 0 0 0
