pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784755640.444831,149516,-37,11,1,7,1,-95,1,1503445730,128,0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 3 2 3 2 3 2 3 2 3 2 3 2 4 2 4 2 4 2 4 2 4 2 5 2 5 2 5 1 5 2 6 1 6 1 6 1 6 1 7 1 7 1 7 1 7 1 7 1 7 0 0 1 7 1 8 1 8 1 7 1 8 1 8 1 8 1 8 1 8 2 9 2 9 2 9 2 8 2 9 2 9 2 10 2 9 2 10 2 10 3 10 3 10 3 11 3 10 3 11 3 11 3 12 0 0 0 0 0 0 0 0 0 0
1784755640.444831,149517,-37,11,1,7,1,-95,1,1503476359,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -4 -1 -4 -2 -4 -2 -4 -2 -5 -2 -5 -2 -5 -1 -5 -1 -6 -1 -6 -1 -5 0 -6 -1 -7 -1 -7 -1 -7 -1 -8 -1 -7 -1 -8 -1 -7 0 -8 0 -7 0 -8 0 -8 0 -8 0 -9 1 -9 0 0 0 -9 0 -9 0 -9 0 -9 0 -9 0 -9 0 -9 0 -10 -1 -9 0 -10 0 -10 0 -10 -1 -10 -1 -10 -1 -11 -1 -10 -1 -12 -1 -11 -1 -11 -2 -12 -1 -12 -1 -12 -1 -13 -1 -13 -1 -13 -1 -13 0 0 0 0 0 0 0 0 0 0
1784755640.461197,149518,-37,11,1,7,1,-95,1,1503482370,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 2 -3 2 -4 2 -4 1 -4 2 -4 2 -5 2 -5 2 -5 2 -5 1 -5 1 -6 1 -6 1 -6 1 -6 1 -6 1 -6 1 -7 1 -7 1 -7 1 -7 1 -7 1 -7 1 -8 1 -8 0 -8 1 0 0 -8 1 -8 1 -8 1 -9 1 -8 1 -9 1 -9 1 -9 2 -9 1 -9 2 -9 2 -9 2 -9 2 -9 2 -10 3 -10 2 -11 2 -11 3 -11 3 -11 3 -11 3 -11 4 -12 3 -12 3 -12 3 -12 3 0 0 0 0 0 0 0 0 0 0
1784755640.461197,149519,-37,11,1,7,1,-95,1,1503482557,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 2 -3 2 -4 2 -4 2 -4 2 -4 2 -4 2 -4 2 -4 2 -5 2 -5 2 -5 2 -6 2 -6 2 -6 2 -6 2 -6 2 -7 2 -7 2 -7 2 -7 2 -7 2 -7 2 -7 2 -7 2 -8 2 0 0 -8 2 -8 2 -8 2 -8 2 -8 2 -8 3 -8 3 -8 3 -8 3 -9 3 -9 3 -9 3 -9 3 -9 4 -9 4 -9 4 -9 5 -10 5 -9 5 -10 5 -10 5 -10 6 -10 6 -11 5 -11 5 -11 6 0 0 0 0 0 0 0 0 0 0
1784755640.461197,149520,-37,11,1,7,1,-95,1,1503497028,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -2 3 -2 3 -2 3 -2 3 -2 3 -2 4 -2 4 -2 4 -2 4 -2 5 -2 5 -1 5 -2 5 -1 5 -2 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 7 -1 6 0 7 0 7 0 0 0 7 0 7 -1 7 0 8 0 8 -1 8 -1 8 -1 8 -1 8 -1 9 -1 9 -1 9 -1 9 -1 8 -1 9 -1 9 -2 10 -1 10 -1 10 -1 10 -2 10 -2 11 -2 11 -2 11 -2 11 -2 11 -2 0 0 0 0 0 0 0 0 0 0
1784755640.461197,149521,-34,11,1,7,0,-95,1,1503497477,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -5 3 -5 3 -5 3 -6 3 -6 4 -6 4 -6 4 -6 4 -6 5 -6 5 -6 6 -6 6 -7 6 -6 6 -6 7 -7 7 -7 7 -7 8 -7 8 -7 8 -7 8 -7 8 -7 9 -7 9 -7 9 -7 0 0 9 -7 10 -7 10 -7 10 -7 10 -8 10 -8 10 -8 10 -8 10 -8 10 -9 11 -9 11 -9 11 -9 11 -10 11 -10 11 -10 11 -10 12 -11 11 -11 12 -12 12 -12 12 -12 13 -12 13 -12 13 -12 13 -13 0 0 0 0 0 0 0 0 0 0
1784755640.469118,149522,-37,11,1,7,1,-95,1,1503504004,128,0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 2 3 2 3 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 4 3 4 3 4 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 6 3 6 3 6 3 6 0 0 3 6 3 6 4 6 4 6 4 6 4 6 4 6 4 6 4 7 4 7 5 7 5 7 5 7 5 7 5 7 6 7 6 7 6 8 6 8 7 7 7 8 7 8 7 8 7 8 7 8 8 9 0 0 0 0 0 0 0 0 0 0
1784755640.483499,149523,-37,11,1,7,1,-95,1,1503517091,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -3 3 -3 3 -3 3 -2 3 -2 3 -2 3 -2 4 -3 4 -3 4 -2 4 -2 5 -2 5 -2 5 -2 5 -2 5 -2 6 -2 6 -2 6 -2 6 -2 6 -2 6 -2 6 -2 7 -1 7 -1 7 -1 0 0 7 -2 7 -1 7 -2 7 -2 7 -2 7 -2 7 -2 8 -2 8 -2 8 -2 8 -2 8 -2 8 -3 8 -3 9 -3 9 -3 9 -3 9 -3 10 -3 10 -4 10 -3 10 -4 10 -4 11 -4 11 -4 11 -4 0 0 0 0 0 0 0 0 0 0
1784755640.494337,149524,-37,11,1,7,1,-95,1,1503527965,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -3 -3 -3 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -3 -5 -3 -5 -3 -5 -3 -5 -3 -5 -3 -6 -3 -6 -3 -6 -3 -6 -3 -7 -3 -6 -3 -7 -3 -7 -3 -7 -2 -7 -2 -7 -2 -7 -2 -8 -2 -8 0 0 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -9 -2 -9 -3 -9 -2 -9 -3 -9 -3 -9 -3 -9 -3 -9 -3 -10 -3 -10 -3 -10 -3 -10 -3 -10 -4 -11 -4 -11 -4 -11 -4 -11 -4 -11 -4 -12 -4 -12 -4 -12 0 0 0 0 0 0 0 0 0 0
1784755640.514870,149525,-38,11,1,7,1,-95,1,1503536136,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 -4 -1 -4 0 -4 0 -4 0 -5 0 -5 0 -5 0 -5 0 -5 1 -6 0 -5 1 -5 1 -6 1 -6 1 -6 1 -6 1 -6 1 -6 2 -7 1 -6 2 -7 2 -7 2 -7 2 -7 2 -6 3 -7 0 0 3 -7 2 -7 2 -7 3 -8 2 -7 3 -8 2 -8 2 -8 3 -8 2 -9 3 -9 3 -9 2 -8 3 -9 2 -10 2 -10 2 -10 2 -10 2 -10 2 -10 2 -11 2 -11 3 -11 3 -12 3 -12 3 -12 0 0 0 0 0 0 0 0 0 0
