pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784755718.182843,157296,-37,11,1,7,1,-95,1,1581221562,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 0 -5 0 -5 0 -5 0 -5 -1 -5 -1 -5 -1 -5 -1 -6 -1 -6 -1 -6 -1 -6 -2 -7 -2 -7 -2 -7 -2 -7 -2 -7 -3 -7 -2 -7 -2 -7 -3 -7 -2 -8 -3 -8 -3 -7 -3 -8 -4 -8 -3 0 0 -8 -3 -8 -4 -8 -4 -8 -3 -8 -4 -8 -3 -9 -3 -9 -3 -9 -4 -9 -3 -9 -3 -9 -3 -10 -3 -10 -3 -10 -3 -11 -3 -10 -3 -11 -3 -11 -3 -12 -3 -12 -3 -12 -3 -12 -3 -12 -4 -13 -4 -13 -4 0 0 0 0 0 0 0 0 0 0
1784755718.198637,157297,-34,11,1,7,0,-95,1,1581231500,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -4 -5 -4 -6 -4 -5 -5 -6 -5 -6 -5 -6 -5 -6 -6 -7 -6 -6 -6 -7 -6 -7 -7 -7 -8 -7 -7 -7 -8 -6 -8 -7 -8 -7 -9 -7 -9 -7 -9 -7 -10 -7 -9 -7 -10 -7 -10 -7 -11 -7 -11 0 0 -7 -11 -7 -11 -8 -11 -8 -11 -7 -11 -8 -12 -8 -11 -8 -12 -9 -12 -8 -12 -9 -12 -9 -12 -9 -12 -10 -12 -10 -12 -10 -13 -10 -13 -11 -13 -11 -13 -11 -13 -12 -13 -13 -14 -12 -15 -12 -15 -13 -15 -13 -15 0 0 0 0 0 0 0 0 0 0
1784755718.202317,157298,-37,11,1,7,1,-95,1,1581241404,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 0 -4 0 -5 0 -5 0 -5 0 -5 0 -5 0 -6 0 -6 0 -6 0 -6 0 -6 0 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -8 -1 -8 -1 -8 -1 -8 -2 -8 -1 -8 -2 -8 -2 -8 -2 0 0 -8 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -9 -2 -10 -2 -9 -1 -10 -1 -10 -1 -10 -1 -10 -1 -10 -1 -11 0 -11 -1 -11 0 -12 0 -11 0 -12 0 -12 0 -12 0 -13 0 -13 -1 -13 0 -13 0 0 0 0 0 0 0 0 0 0 0
1784755718.214575,157299,-37,11,1,7,1,-95,1,1581252995,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -3 -4 -3 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -5 -4 -5 -4 -5 -4 -5 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -8 -4 -8 -4 -8 0 0 -4 -8 -4 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -8 -6 -9 -6 -9 -6 -8 -6 -8 -6 -8 -7 -9 -7 -9 -7 -9 -8 -9 -8 -9 -8 -9 -8 -9 -9 -9 -8 -10 -8 -11 -8 -11 -8 -11 0 0 0 0 0 0 0 0 0 0
1784755718.214575,157300,-37,11,1,7,1,-95,1,1581261566,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -4 -4 -4 -3 -4 -3 -4 -3 -4 -3 -4 -3 -5 -3 -5 -3 -5 -4 -5 -3 -5 -4 -6 -4 -6 -3 -6 -3 -7 -3 -7 -3 -7 -4 -7 -4 -7 -3 -8 -3 -7 -3 -8 -4 -8 -3 -8 -3 -8 -3 -8 0 0 -3 -8 -3 -9 -3 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -3 -9 -5 -9 -4 -10 -5 -9 -5 -9 -5 -9 -5 -10 -5 -10 -5 -10 -6 -11 -6 -11 -6 -11 -6 -11 -6 -11 -7 -11 -7 -12 -6 -12 -7 -12 0 0 0 0 0 0 0 0 0 0
1784755718.230388,157301,-34,11,1,7,0,-95,1,1581271532,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 0 -7 0 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -9 -2 -9 -2 -9 -2 -10 -2 -10 -2 -10 -3 -11 -3 -11 -4 -11 -4 -11 -4 -11 -4 -12 -5 -12 -5 -12 -5 -12 -5 -12 -5 -12 -5 -12 -5 -13 -6 0 0 -13 -6 -13 -6 -14 -6 -13 -6 -14 -6 -14 -6 -14 -6 -14 -6 -15 -6 -15 -5 -15 -5 -15 -5 -16 -5 -16 -5 -16 -5 -17 -5 -17 -5 -18 -5 -18 -5 -18 -5 -19 -5 -19 -5 -19 -5 -20 -5 -20 -5 -21 -6 0 0 0 0 0 0 0 0 0 0
1784755718.246220,157302,-34,11,1,7,0,-95,1,1581281478,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -2 6 -1 7 -1 7 -1 7 0 7 0 8 0 8 0 8 0 9 0 9 1 9 1 10 1 10 1 10 2 10 2 10 2 11 2 11 3 11 3 11 3 11 4 12 3 11 4 12 4 12 4 0 0 12 4 12 4 12 4 13 4 13 4 13 4 13 5 13 5 14 4 14 4 14 4 14 4 15 3 15 4 16 4 16 4 16 4 16 4 17 4 17 4 18 4 18 4 19 4 19 4 19 4 20 4 0 0 0 0 0 0 0 0 0 0
1784755718.255108,157303,-34,11,1,7,0,-95,1,1581291502,128,0 0 0 0 0 0 0 0 0 0 0 0 4 4 4 4 4 5 4 5 3 5 4 6 4 6 4 6 4 6 4 7 4 7 4 8 4 8 4 8 4 8 3 10 4 9 4 10 4 10 4 10 3 10 3 11 3 11 3 12 3 11 3 12 0 0 3 12 3 12 3 12 3 13 4 12 4 13 4 13 4 13 4 13 5 13 4 13 5 13 5 13 5 13 6 14 6 14 6 14 7 14 7 15 7 15 7 15 7 15 7 17 7 17 7 16 8 17 0 0 0 0 0 0 0 0 0 0
1784755718.262041,157304,-34,11,1,7,0,-95,1,1581301460,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -4 -4 -5 -4 -5 -4 -5 -4 -6 -4 -6 -3 -6 -3 -6 -4 -7 -3 -7 -3 -7 -3 -8 -3 -8 -3 -8 -3 -9 -3 -9 -3 -9 -3 -9 -3 -10 -3 -10 -3 -10 -3 -10 -2 -10 -2 -11 -2 -11 -2 -11 0 0 -2 -11 -2 -12 -2 -11 -2 -12 -3 -11 -3 -12 -3 -12 -3 -12 -3 -12 -3 -12 -3 -12 -3 -12 -3 -12 -4 -13 -4 -13 -4 -13 -4 -14 -5 -14 -5 -14 -5 -14 -5 -15 -5 -15 -5 -16 -5 -16 -5 -16 -5 -16 0 0 0 0 0 0 0 0 0 0
1784755718.278013,157305,-34,11,1,7,0,-95,1,1581311522,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -6 2 -5 4 -6 4 -6 3 -6 4 -6 4 -6 5 -6 5 -7 5 -6 6 -7 6 -6 6 -7 7 -7 7 -7 7 -6 7 -7 7 -7 8 -7 8 -7 9 -7 9 -7 9 -7 9 -7 10 -6 9 -8 0 0 10 -7 10 -7 10 -7 10 -7 10 -8 11 -7 11 -8 11 -8 11 -8 11 -8 11 -8 11 -8 11 -8 12 -9 11 -9 11 -9 12 -10 11 -10 12 -10 12 -11 13 -10 13 -11 13 -11 13 -11 14 -11 14 -11 0 0 0 0 0 0 0 0 0 0
