pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784755798.874020,165366,-37,11,1,7,1,-95,1,1661898881,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -5 1 -5 1 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 3 -5 3 -5 3 -5 3 -5 3 -5 4 -5 4 -6 4 -5 4 -6 4 -6 4 -6 5 -6 4 -6 5 -6 5 -5 5 -6 5 -5 0 0 5 -6 5 -6 5 -6 5 -6 5 -6 5 -6 5 -7 5 -7 5 -7 5 -7 5 -8 5 -8 5 -7 5 -8 5 -9 5 -9 6 -9 6 -9 6 -9 6 -10 6 -10 6 -10 6 -10 7 -10 7 -10 7 -11 0 0 0 0 0 0 0 0 0 0
1784755798.876372,165367,-37,11,1,7,1,-95,1,1661908752,128,0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 4 -1 4 -1 4 -1 4 -1 5 -1 4 -1 5 -2 5 -2 5 -2 5 -2 5 -2 5 -3 5 -3 6 -3 5 -3 6 -3 6 -3 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 0 0 -4 6 -4 7 -4 6 -4 7 -4 7 -4 7 -4 7 -4 7 -4 7 -4 8 -4 8 -4 8 -4 8 -4 8 -4 8 -4 9 -4 9 -4 9 -5 9 -4 10 -5 10 -5 11 -5 11 -5 11 -5 11 -5 11 0 0 0 0 0 0 0 0 0 0
1784755798.883286,165368,-37,11,1,7,1,-95,1,1661918782,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -2 4 -2 4 -2 4 -2 4 -1 5 -2 5 -1 5 -2 5 -1 5 -1 6 -1 6 -1 6 -1 6 -1 6 0 6 0 7 0 6 0 7 0 7 0 7 0 7 0 7 0 7 0 7 0 7 0 0 0 7 0 7 0 7 0 8 0 7 0 8 0 8 0 8 0 8 0 8 -1 8 0 9 -1 9 -1 9 -1 9 -1 9 -1 10 -1 10 -1 10 -1 10 -1 11 -1 11 -1 11 -1 11 -1 12 -1 12 -1 0 0 0 0 0 0 0 0 0 0
1784755798.899225,165369,-38,11,1,7,1,-95,1,1661928798,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -5 1 -5 1 -5 2 -5 2 -5 2 -5 2 -5 3 -5 3 -5 3 -5 3 -5 4 -5 3 -5 4 -5 4 -5 4 -5 4 -5 4 -5 4 -5 4 -6 4 -6 4 -6 5 -5 5 -6 5 -6 5 -6 0 0 5 -6 5 -6 5 -6 5 -7 4 -6 5 -7 4 -7 4 -7 5 -7 4 -7 4 -7 4 -7 4 -8 4 -8 4 -9 4 -9 5 -9 5 -9 4 -10 4 -10 5 -10 5 -10 5 -10 5 -11 5 -10 5 -11 0 0 0 0 0 0 0 0 0 0
1784755798.899225,165370,-37,11,1,7,1,-95,1,1661938839,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -3 -4 -4 -4 -4 -4 -5 -4 -4 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -6 -4 -6 -4 -6 -3 -6 -4 -6 -3 -7 -4 -7 -3 -7 -3 -7 -3 -7 -3 -7 -3 -7 -3 -7 -3 -7 -3 -8 -3 -8 0 0 -3 -8 -3 -8 -3 -8 -3 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -5 -9 -5 -9 -5 -9 -5 -9 -5 -10 -5 -9 -6 -10 -5 -10 -6 -10 -6 -10 -6 -11 -6 -10 -6 -11 -6 -11 -7 -12 0 0 0 0 0 0 0 0 0 0
1784755798.915098,165371,-37,11,1,7,1,-95,1,1661948847,128,0 0 0 0 0 0 0 0 0 0 0 0 4 0 4 1 4 1 4 1 4 1 4 1 5 2 4 2 4 2 5 2 4 3 5 3 5 3 5 3 5 3 5 4 5 3 5 4 5 4 5 4 5 4 5 4 5 4 5 4 5 4 5 5 0 0 5 5 5 5 5 5 6 5 6 4 6 4 6 4 6 5 6 5 7 5 7 5 7 4 6 5 7 5 8 5 7 5 8 5 8 5 8 5 9 5 8 5 9 5 9 5 9 5 10 6 10 6 0 0 0 0 0 0 0 0 0 0
1784755798.915098,165372,-37,11,1,7,1,-95,1,1661958743,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 1 -5 1 -5 1 -5 0 -6 1 -6 0 -6 0 -6 0 -6 0 -6 0 -7 -1 -7 -1 -7 -1 -7 -1 -7 -1 -8 -1 -8 -1 -8 -1 -8 -2 -7 -1 -8 -1 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 0 0 -9 -2 -9 -2 -9 -2 -9 -2 -9 -1 -9 -2 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -10 -1 -10 -1 -10 -1 -10 0 -11 0 -11 0 -11 0 -11 0 -12 0 -12 0 -12 0 -12 0 -12 0 -13 0 -13 0 0 0 0 0 0 0 0 0 0 0
1784755798.931032,165373,-37,11,1,7,1,-95,1,1661968732,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 2 -5 2 -5 2 -5 1 -5 1 -6 1 -6 1 -6 1 -6 1 -6 1 -7 1 -6 0 -7 0 -7 0 -7 0 -7 0 -7 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 0 0 -9 -1 -8 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 0 -9 0 -10 -1 -10 -1 -10 0 -11 -1 -11 -1 -11 0 -11 -1 -12 0 -12 0 -12 0 -12 0 -12 0 -13 0 -13 0 0 0 0 0 0 0 0 0 0 0
1784755798.947160,165374,-38,11,1,7,1,-95,1,1661978838,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -1 4 -1 4 -1 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 1 5 1 6 1 5 1 6 1 6 1 6 1 6 2 6 2 6 2 6 2 6 2 6 2 6 3 6 3 7 3 0 0 6 3 7 2 6 2 7 3 7 2 7 3 7 2 7 3 7 2 8 3 8 3 8 2 8 2 8 2 9 2 9 2 9 3 9 2 10 2 10 2 10 2 10 2 11 3 11 3 11 3 11 3 0 0 0 0 0 0 0 0 0 0
1784755798.947160,165375,-34,11,1,7,0,-95,1,1661989074,128,0 0 0 0 0 0 0 0 0 0 0 0 2 5 2 5 2 6 2 6 2 6 1 6 1 6 1 7 1 7 0 7 0 7 0 8 0 8 0 8 0 8 0 9 0 9 0 9 0 9 0 9 -1 9 -1 10 -1 10 -1 10 -1 10 -1 10 0 0 -1 10 -1 11 -1 10 -1 11 -1 10 0 11 -1 11 0 11 0 11 0 12 0 12 0 12 0 12 0 12 1 13 1 13 1 13 1 13 1 13 2 14 2 14 2 15 2 15 2 15 2 15 2 16 0 0 0 0 0 0 0 0 0 0
1784755798.963222,165376,-37,11,1,7,1,-95,1,1661998815,128,0 0 0 0 0 0 0 0 0 0 0 0 3 2 3 2 3 2 3 2 3 3 3 3 3 3 3 3 3 3 4 3 3 4 4 4 4 4 4 4 4 5 3 5 3 5 3 5 3 5 3 5 4 5 3 6 3 6 3 6 3 6 3 6 0 0 4 6 3 6 3 7 3 6 4 6 4 6 4 6 4 6 4 7 5 7 5 7 5 6 5 7 5 7 5 7 5 8 5 7 6 7 6 7 6 8 7 8 6 8 7 8 7 8 7 8 7 9 0 0 0 0 0 0 0 0 0 0
