pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784756069.969643,192481,-37,11,1,7,1,-95,1,1932989811,128,0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 -1 5 -1 5 -1 5 -1 5 -2 5 -2 6 -2 6 -2 6 -2 6 -3 6 -3 6 -3 6 -4 6 -4 6 -4 6 -4 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 5 -5 6 -5 5 0 0 -5 5 -5 5 -4 5 -4 5 -4 5 -4 5 -4 6 -4 6 -4 6 -3 6 -3 6 -3 6 -3 7 -3 7 -3 7 -3 7 -2 7 -2 7 -2 7 -2 8 -2 8 -2 8 -2 8 -2 9 -2 9 -2 10 0 0 0 0 0 0 0 0 0 0
1784756069.980957,192482,-37,11,1,7,1,-95,1,1932999814,128,0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 -1 5 -1 5 -1 6 -1 6 -1 6 -1 6 -2 6 -2 6 -3 6 -3 6 -3 6 -3 6 -3 6 -4 7 -4 7 -4 6 -4 6 -4 7 -4 6 -4 6 -5 6 -5 6 -5 6 -4 6 0 0 -4 6 -4 6 -4 6 -4 6 -3 6 -3 6 -3 6 -3 7 -3 6 -3 7 -3 6 -3 7 -3 7 -2 7 -2 7 -2 7 -2 8 -2 8 -1 8 -1 8 -1 9 -1 8 -1 9 -1 9 -1 9 -1 10 0 0 0 0 0 0 0 0 0 0
1784756069.990816,192483,-37,11,1,7,1,-95,1,1933009794,128,0 0 0 0 0 0 0 0 0 0 0 0 4 2 4 2 4 2 4 2 4 3 4 3 4 3 4 3 4 4 4 4 4 4 4 5 4 5 4 5 4 5 4 5 4 6 3 6 4 6 3 6 3 6 3 6 3 6 3 6 2 6 3 6 0 0 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 5 3 5 4 5 4 5 4 5 4 5 4 5 5 5 5 5 5 5 5 5 6 5 6 5 6 5 7 5 7 5 7 5 7 6 7 6 0 0 0 0 0 0 0 0 0 0
1784756070.000518,192484,-37,11,1,7,1,-95,1,1933019873,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -5 1 -6 2 -6 2 -6 2 -5 3 -6 3 -5 3 -6 4 -6 3 -6 4 -6 4 -6 4 -6 5 -6 5 -5 5 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -4 6 -4 6 -4 6 -4 6 -4 0 0 6 -4 6 -4 6 -4 5 -4 6 -4 5 -4 6 -4 5 -5 6 -4 5 -5 5 -5 5 -5 5 -5 5 -6 5 -6 5 -6 5 -6 5 -6 5 -7 5 -7 5 -7 5 -7 5 -7 5 -8 5 -8 6 -9 0 0 0 0 0 0 0 0 0 0
1784756070.011045,192485,-37,11,1,7,1,-95,1,1933030832,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -4 3 -5 3 -4 4 -4 4 -4 4 -4 4 -4 5 -4 5 -4 5 -4 5 -4 6 -4 6 -4 6 -3 6 -3 6 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -2 7 -2 6 -2 7 -2 7 -2 0 0 7 -2 6 -2 6 -2 6 -2 6 -3 6 -3 6 -3 6 -3 6 -3 6 -3 6 -3 6 -4 6 -4 6 -4 6 -4 6 -5 6 -5 6 -5 6 -5 7 -6 6 -6 6 -6 6 -6 7 -6 7 -7 7 -7 0 0 0 0 0 0 0 0 0 0
1784756070.022808,192486,-37,11,1,7,1,-95,1,1933039844,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 -6 -1 -6 0 -6 0 -6 0 -6 0 -6 0 -6 0 -7 1 -7 1 -7 1 -7 2 -7 2 -7 2 -7 2 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 4 -7 3 -6 4 -7 0 0 3 -7 3 -7 3 -7 3 -6 3 -7 3 -7 2 -7 2 -7 2 -7 2 -7 2 -7 2 -7 2 -7 2 -8 1 -8 1 -8 1 -8 1 -8 1 -9 1 -9 0 -9 0 -9 0 -9 0 -10 0 -10 0 -11 0 0 0 0 0 0 0 0 0 0
1784756070.030715,192487,-37,11,1,7,1,-95,1,1933052130,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 1 -6 0 -6 0 -6 0 -6 -1 -6 -1 -6 -1 -7 -1 -7 -1 -7 -1 -7 -2 -7 -2 -7 -2 -8 -2 -8 -3 -8 -3 -8 -3 -7 -3 -8 -3 -8 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 0 0 -7 -3 -7 -4 -7 -4 -7 -3 -7 -3 -7 -3 -7 -3 -7 -3 -7 -3 -7 -2 -7 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -1 -9 -1 -9 -1 -9 -1 -9 -1 -10 -1 -9 0 -10 0 -10 0 -10 0 0 0 0 0 0 0 0 0 0 0
1784756070.038826,192488,-37,11,1,7,1,-95,1,1933059765,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -5 -3 -5 -2 -6 -2 -6 -2 -6 -2 -6 -2 -7 -2 -7 -1 -7 -1 -7 0 -7 0 -7 0 -8 0 -8 0 -8 1 -8 1 -8 1 -8 1 -8 1 -8 1 -8 1 -8 2 -8 2 -7 2 -7 1 -7 0 0 2 -7 1 -8 1 -7 1 -8 1 -7 1 -7 0 -7 0 -8 0 -7 0 -8 0 -8 0 -8 0 -8 -1 -8 -1 -9 -1 -8 -1 -9 -1 -8 -1 -9 -2 -9 -2 -9 -2 -9 -2 -10 -2 -10 -2 -10 -2 -10 0 0 0 0 0 0 0 0 0 0
1784756070.050135,192489,-37,11,1,7,1,-95,1,1933069783,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 0 -6 0 -6 -1 -7 -1 -7 -1 -7 -2 -7 -1 -7 -2 -7 -2 -7 -2 -7 -2 -7 -3 -7 -3 -8 -3 -8 -4 -7 -4 -8 -4 -7 -4 -8 -5 -8 -5 -8 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 0 0 -7 -5 -7 -4 -7 -5 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -9 -3 -9 -3 -9 -2 -9 -2 -9 -2 -9 -2 -10 -2 -10 -2 -10 -2 -11 -2 -11 -2 0 0 0 0 0 0 0 0 0 0
1784756070.058621,192490,-37,11,1,7,1,-95,1,1933079817,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -1 5 -1 5 -1 5 0 5 0 6 0 5 0 6 0 6 1 6 1 6 1 6 1 6 1 6 2 6 2 6 2 6 2 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 0 0 6 3 6 3 6 3 6 3 6 3 6 3 6 2 6 2 6 2 6 2 6 2 7 1 7 1 7 1 7 1 7 1 7 1 8 1 8 1 8 0 8 0 8 0 9 0 9 0 9 0 10 0 0 0 0 0 0 0 0 0 0 0
