pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784735916.769422,39969,-52,11,1,7,1,-95,1,430914146,128,0 0 0 0 0 0 0 0 0 0 0 0 2 3 2 3 2 4 2 4 2 5 2 5 2 6 2 6 2 7 2 8 1 8 1 9 0 9 0 10 0 11 -1 11 -1 11 -2 11 -2 12 -2 12 -3 12 -3 12 -3 12 -4 11 -4 12 -4 11 0 0 -3 12 -3 11 -3 11 -3 11 -2 11 -2 11 -2 11 -1 12 -1 12 -1 12 -1 12 0 12 0 12 0 13 1 12 1 13 1 13 2 13 2 13 2 13 3 13 3 14 3 13 3 14 3 14 3 14 0 0 0 0 0 0 0 0 0 0
1784735916.785482,39970,-52,11,1,7,1,-95,1,430924071,128,0 0 0 0 0 0 0 0 0 0 0 0 3 2 3 2 3 3 3 4 3 4 3 4 3 5 3 6 3 6 3 7 3 8 2 8 2 9 2 9 1 10 1 11 1 11 0 12 0 11 -1 12 -1 12 -1 12 -1 12 -2 12 -2 11 -2 11 0 0 -2 11 -1 12 -1 11 -1 12 -1 11 -1 11 0 11 0 11 0 11 1 12 1 12 1 12 1 12 2 11 2 12 2 12 3 13 3 12 3 12 4 12 4 13 4 13 4 13 4 13 4 13 4 13 0 0 0 0 0 0 0 0 0 0
1784735916.801337,39971,-52,11,1,7,1,-95,1,430934127,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 1 -5 1 -6 1 -6 0 -6 0 -7 0 -7 -1 -8 -1 -8 -1 -9 -2 -9 -2 -10 -3 -10 -4 -10 -4 -10 -4 -11 -5 -11 -6 -11 -6 -11 -7 -11 -7 -11 -8 -11 -8 -10 -8 -10 -9 -10 -8 -10 -8 0 0 -10 -8 -10 -8 -10 -7 -10 -8 -10 -7 -10 -7 -10 -7 -11 -7 -11 -6 -12 -6 -12 -6 -11 -6 -12 -6 -12 -6 -13 -5 -13 -5 -13 -5 -13 -4 -14 -4 -14 -4 -14 -4 -14 -4 -15 -4 -14 -4 -14 -4 -14 -4 0 0 0 0 0 0 0 0 0 0
1784735916.801337,39972,-52,11,1,7,1,-95,1,430944187,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 3 -4 3 -4 3 -5 3 -5 3 -6 3 -6 3 -7 3 -8 3 -8 3 -9 3 -9 3 -10 2 -11 2 -11 2 -11 1 -12 1 -12 0 -13 0 -13 -1 -13 -1 -13 -1 -13 -1 -13 -1 -13 -2 -13 -2 0 0 -13 -1 -12 -2 -13 -2 -12 -1 -12 -1 -12 0 -12 0 -13 0 -13 0 -13 1 -13 1 -13 2 -13 2 -13 2 -13 2 -13 3 -13 3 -13 4 -13 4 -14 4 -13 5 -14 4 -13 5 -14 5 -14 5 -14 5 0 0 0 0 0 0 0 0 0 0
1784735916.801337,39973,-52,11,1,7,1,-95,1,430954649,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -5 -2 -5 -1 -6 -1 -6 -1 -7 0 -7 0 -8 0 -8 0 -8 2 -9 2 -9 3 -10 3 -10 4 -10 4 -10 5 -11 5 -11 6 -11 6 -11 6 -11 7 -11 7 -11 7 -11 8 -10 8 -9 8 -10 0 0 7 -10 7 -10 6 -10 7 -10 6 -10 6 -11 5 -11 5 -11 5 -11 5 -12 5 -12 5 -12 4 -12 4 -12 4 -13 3 -13 3 -14 3 -14 2 -14 2 -14 2 -15 1 -15 2 -15 3 -15 2 -15 2 -15 0 0 0 0 0 0 0 0 0 0
1784735916.817173,39974,-49,11,1,7,0,-95,1,430964147,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 3 -4 3 -5 3 -5 4 -6 3 -6 4 -7 4 -8 3 -9 4 -9 3 -10 3 -11 3 -12 3 -12 3 -13 2 -13 1 -14 1 -14 1 -14 0 -15 0 -15 0 -14 -1 -14 -1 -15 -1 -14 -2 -14 -1 0 0 -14 -2 -14 -1 -14 -1 -14 -1 -14 0 -14 0 -14 0 -14 1 -14 1 -14 1 -14 2 -14 2 -14 3 -14 3 -15 4 -15 4 -15 4 -15 5 -15 5 -15 5 -15 6 -15 6 -15 6 -15 6 -15 6 -16 6 0 0 0 0 0 0 0 0 0 0
1784735916.817173,39975,-52,11,1,7,1,-95,1,430974110,128,0 0 0 0 0 0 0 0 0 0 0 0 1 4 1 4 1 5 0 5 0 6 0 6 0 6 -1 7 -1 7 -2 8 -2 8 -3 9 -3 9 -4 10 -4 10 -5 10 -6 10 -6 10 -7 10 -7 10 -7 10 -8 9 -8 10 -8 9 -8 9 -8 9 0 0 -8 9 -8 9 -8 9 -7 9 -7 9 -7 9 -7 10 -6 10 -7 10 -6 11 -6 11 -5 11 -5 11 -5 12 -5 11 -5 12 -4 12 -4 12 -4 13 -4 13 -3 13 -4 14 -3 13 -4 14 -4 14 -4 14 0 0 0 0 0 0 0 0 0 0
1784735916.833291,39976,-52,11,1,7,1,-95,1,430984121,128,0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 4 -1 5 -1 5 -1 6 -2 6 -2 6 -2 7 -3 7 -4 8 -4 8 -5 8 -6 8 -6 8 -7 9 -7 9 -8 9 -8 9 -9 8 -9 9 -9 8 -10 8 -10 8 -10 7 -10 7 -10 7 0 0 -9 8 -9 8 -9 8 -9 8 -9 8 -8 9 -8 9 -8 9 -8 9 -8 10 -8 10 -7 10 -7 10 -6 10 -6 11 -6 11 -6 12 -6 12 -5 12 -5 13 -5 13 -5 13 -5 13 -6 13 -6 13 -5 14 0 0 0 0 0 0 0 0 0 0
1784735916.849025,39977,-52,11,1,7,1,-95,1,430995354,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 -5 0 -6 0 -6 1 -6 1 -7 1 -7 2 -7 2 -8 3 -8 3 -8 4 -8 4 -9 5 -9 6 -9 7 -9 7 -9 8 -9 8 -8 9 -9 9 -8 9 -9 10 -8 9 -8 10 -7 9 -7 10 -8 0 0 9 -8 10 -7 10 -7 9 -8 9 -8 9 -9 8 -9 8 -9 8 -9 8 -10 8 -10 7 -10 8 -10 7 -11 7 -11 8 -11 7 -11 7 -12 7 -13 6 -13 6 -13 6 -13 6 -13 6 -14 6 -14 6 -14 0 0 0 0 0 0 0 0 0 0
1784735916.849025,39978,-52,11,1,7,1,-95,1,431004163,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 2 -5 2 -5 2 -6 2 -7 1 -7 1 -7 1 -8 1 -8 0 -9 0 -9 0 -10 0 -10 -1 -11 -1 -11 -2 -12 -3 -12 -3 -12 -4 -12 -4 -12 -5 -12 -5 -12 -6 -11 -5 -12 -6 -11 -6 -11 -6 0 0 -11 -6 -11 -6 -11 -6 -11 -5 -11 -5 -12 -5 -12 -5 -12 -4 -12 -5 -12 -4 -13 -3 -13 -3 -13 -3 -13 -3 -13 -2 -14 -2 -13 -2 -14 -2 -14 -2 -15 -1 -15 -1 -15 -1 -15 -1 -15 -1 -15 -1 -15 0 0 0 0 0 0 0 0 0 0 0
