pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784736466.303496,91111,-44,11,1,5,1,-95,1,980468220,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -4 -4 -4 -3 -5 -4 -5 -3 -5 -3 -6 -3 -6 -3 -7 -2 -7 -2 -7 -2 -8 -2 -8 -1 -8 -1 -9 -1 -9 0 -9 0 -10 0 -9 0 -9 0 -9 0 -9 1 -10 1 -9 1 -9 1 -9 1 -9 0 0 1 -10 1 -9 1 -10 1 -9 0 -9 0 -9 0 -9 0 -9 0 -10 -1 -9 -1 -10 -1 -10 -1 -10 -2 -11 -2 -10 -2 -11 -2 -10 -3 -11 -3 -11 -3 -11 -4 -11 -4 -12 -4 -11 -3 -12 -4 -12 -4 -12 0 0 0 0 0 0 0 0 0 0
1784736466.303496,91112,-45,11,1,7,1,-95,1,980478110,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -5 0 -6 1 -6 1 -6 2 -6 2 -6 2 -6 3 -6 3 -6 3 -6 4 -7 4 -6 5 -7 5 -7 5 -7 6 -6 6 -6 6 -6 7 -6 7 -6 7 -6 7 -5 7 -6 7 -6 7 -6 7 -6 0 0 7 -5 7 -5 7 -6 7 -6 7 -6 6 -6 7 -6 6 -6 7 -6 6 -7 6 -7 6 -8 6 -8 6 -8 6 -8 6 -9 5 -9 6 -9 6 -9 6 -10 5 -10 6 -11 5 -11 5 -11 5 -11 6 -11 0 0 0 0 0 0 0 0 0 0
1784736466.303496,91113,-45,11,1,7,1,-95,1,980487649,128,0 0 0 0 0 0 0 0 0 0 0 0 2 4 2 4 1 5 1 5 1 5 1 5 0 6 0 6 0 6 -1 7 -1 7 -1 7 -2 7 -2 7 -2 7 -3 8 -3 8 -3 8 -4 8 -4 8 -4 8 -4 8 -4 8 -4 8 -5 8 -4 8 0 0 -5 8 -4 8 -4 7 -4 8 -3 8 -4 8 -3 8 -3 8 -3 8 -3 9 -3 9 -2 9 -2 9 -2 9 -2 10 -1 10 -1 10 -1 10 -1 10 -1 10 -1 11 0 11 0 11 0 11 -1 11 0 11 0 0 0 0 0 0 0 0 0 0
1784736466.324389,91114,-44,11,1,5,1,-95,1,980498210,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -1 -6 -2 -6 -2 -6 -3 -6 -3 -6 -3 -6 -4 -6 -4 -6 -5 -6 -5 -6 -5 -6 -6 -6 -6 -6 -7 -6 -7 -6 -7 -6 -8 -6 -8 -6 -8 -5 -8 -5 -9 -5 -9 -5 -8 -5 -9 -5 -9 -5 -9 0 0 -5 -9 -5 -8 -5 -9 -5 -8 -5 -8 -5 -8 -5 -8 -6 -8 -6 -8 -6 -8 -7 -8 -7 -8 -7 -7 -8 -7 -8 -7 -8 -8 -8 -7 -9 -8 -9 -7 -9 -7 -10 -7 -10 -7 -10 -7 -10 -7 -10 -7 -11 -8 0 0 0 0 0 0 0 0 0 0
1784736466.324389,91115,-44,11,1,7,1,-95,1,980508616,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -6 0 -6 1 -6 1 -6 2 -7 2 -6 3 -7 3 -7 3 -7 4 -7 4 -7 5 -6 5 -7 5 -6 6 -7 6 -7 6 -6 7 -6 7 -6 7 -6 7 -6 8 -6 8 -6 8 -5 8 -5 7 -5 0 0 7 -5 7 -6 7 -5 7 -6 7 -6 7 -6 6 -7 7 -7 6 -7 6 -7 6 -7 6 -8 6 -8 6 -8 6 -9 5 -9 6 -9 5 -9 5 -10 5 -10 5 -10 5 -11 5 -11 5 -11 5 -11 5 -11 0 0 0 0 0 0 0 0 0 0
1784736466.335577,91116,-43,11,1,5,1,-95,1,980518777,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 2 -6 1 -6 1 -7 1 -7 0 -7 0 -7 0 -8 0 -8 -1 -8 -1 -8 -2 -9 -2 -8 -2 -9 -3 -9 -3 -9 -3 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -5 -9 -5 -9 -5 -9 -5 -9 -5 0 0 -9 -5 -9 -5 -9 -5 -9 -4 -9 -4 -9 -4 -9 -4 -9 -3 -9 -3 -10 -3 -10 -3 -10 -2 -10 -2 -11 -2 -10 -2 -11 -1 -10 -1 -11 -1 -11 -1 -11 0 -12 0 -12 0 -12 0 -12 0 -13 0 -13 0 0 0 0 0 0 0 0 0 0 0
1784736466.351635,91117,-44,11,1,7,1,-95,1,980528882,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 -6 0 -6 1 -6 1 -7 1 -7 2 -7 2 -7 2 -7 3 -7 3 -7 4 -7 4 -7 5 -7 5 -7 6 -7 6 -7 7 -7 7 -7 7 -7 7 -7 7 -7 8 -6 7 -6 8 -6 7 -6 8 -6 0 0 8 -6 7 -6 7 -6 7 -6 7 -6 7 -6 7 -7 6 -7 7 -7 6 -7 6 -7 6 -8 6 -8 6 -9 6 -8 6 -9 5 -9 6 -9 6 -10 5 -10 5 -10 5 -10 5 -11 5 -11 5 -11 5 -11 0 0 0 0 0 0 0 0 0 0
1784736466.351635,91118,-44,11,1,7,1,-95,1,980537780,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 3 -6 2 -6 2 -6 2 -7 1 -7 1 -7 1 -8 1 -8 0 -8 0 -9 0 -9 -1 -9 -1 -9 -1 -10 -2 -10 -2 -10 -3 -10 -3 -10 -3 -10 -3 -10 -3 -10 -4 -10 -4 -9 -4 -10 -4 -10 -4 0 0 -10 -4 -9 -4 -10 -4 -9 -3 -9 -3 -10 -3 -9 -3 -10 -2 -10 -2 -10 -1 -10 -2 -10 -1 -10 -1 -11 0 -10 -1 -11 0 -11 0 -11 0 -11 1 -12 1 -12 1 -12 1 -12 2 -12 2 -12 2 -13 2 0 0 0 0 0 0 0 0 0 0
1784736466.367698,91119,-43,11,1,5,1,-95,1,980548646,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 2 -6 2 -6 2 -7 1 -7 1 -7 1 -8 1 -8 1 -8 0 -8 0 -9 -1 -9 -1 -9 -2 -9 -2 -10 -2 -10 -3 -10 -3 -10 -3 -10 -3 -10 -3 -10 -3 -10 -4 -10 -4 -10 -4 -10 -4 -10 -4 0 0 -10 -4 -10 -4 -9 -4 -10 -4 -10 -3 -10 -3 -10 -3 -10 -2 -10 -2 -10 -2 -10 -2 -10 -1 -10 -1 -11 0 -11 0 -11 0 -11 0 -11 1 -11 1 -11 2 -12 2 -12 2 -12 2 -12 2 -12 2 -12 2 0 0 0 0 0 0 0 0 0 0
1784736466.367698,91120,-43,11,1,5,1,-95,1,980558555,128,0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 1 5 1 6 2 6 2 6 3 6 3 6 4 6 4 6 4 6 5 6 5 6 6 6 6 6 7 5 7 5 8 5 8 5 8 4 8 5 8 4 8 4 8 4 8 4 8 4 9 0 0 4 9 4 8 4 8 4 8 4 8 4 8 4 7 5 7 5 7 6 7 6 7 6 7 6 7 7 7 7 7 7 7 7 6 8 6 8 7 8 6 8 6 9 6 9 6 9 6 10 6 10 6 0 0 0 0 0 0 0 0 0 0
1784736466.399161,91121,-44,11,1,7,1,-95,1,980567629,128,0 0 0 0 0 0 0 0 0 0 0 0 5 1 5 2 5 3 5 3 5 3 5 4 5 4 5 5 5 5 5 6 4 6 4 6 4 7 4 7 4 8 3 8 3 8 3 8 3 9 3 9 3 9 2 9 3 9 2 9 2 9 2 9 0 0 2 9 2 9 2 9 2 9 3 8 3 8 3 8 3 8 3 8 4 8 4 8 4 8 5 8 5 8 5 8 6 8 6 8 6 7 6 7 7 7 7 8 7 7 8 7 8 7 8 7 8 8 0 0 0 0 0 0 0 0 0 0
