pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784737010.005904,145497,-41,11,1,7,1,-95,1,1524199136,128,0 0 0 0 0 0 0 0 0 0 0 0 6 3 6 4 5 4 6 5 6 5 5 5 6 6 6 5 5 7 6 7 6 7 5 7 6 7 6 8 5 8 5 9 6 9 5 8 5 9 5 9 6 9 6 9 5 8 5 9 5 10 5 10 0 0 6 9 6 9 6 10 6 9 7 9 6 9 7 9 7 9 7 9 7 8 8 9 8 9 8 8 9 9 9 8 9 9 9 8 10 9 9 9 10 9 10 8 11 9 10 9 11 8 11 8 11 9 0 0 0 0 0 0 0 0 0 0
1784737010.013532,145498,-41,11,1,7,1,-95,1,1524209166,128,0 0 0 0 0 0 0 0 0 0 0 0 3 6 3 6 2 6 2 7 2 7 2 7 2 7 2 8 2 8 2 8 1 9 1 9 1 9 1 10 1 9 1 10 1 10 0 10 0 10 0 10 1 10 0 10 0 11 0 10 0 10 -1 11 0 0 0 10 0 11 1 10 0 10 1 10 0 11 2 11 2 11 1 11 1 11 2 11 2 11 2 11 3 12 3 12 3 12 3 12 3 12 4 13 4 12 4 12 3 12 4 12 4 12 4 13 4 12 0 0 0 0 0 0 0 0 0 0
1784737010.024017,145499,-41,11,1,7,1,-95,1,1524219218,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -3 -7 -4 -7 -4 -8 -4 -7 -5 -7 -5 -7 -5 -7 -5 -8 -6 -7 -7 -7 -7 -7 -7 -8 -7 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -9 -8 -7 -9 -8 -9 -8 -9 -8 -9 -7 -9 -8 -9 -8 -10 0 0 -8 -8 -8 -8 -8 -8 -8 -9 -9 -7 -9 -9 -9 -8 -10 -8 -9 -8 -10 -8 -10 -8 -10 -7 -10 -7 -10 -8 -11 -7 -11 -7 -11 -7 -12 -7 -12 -7 -12 -7 -13 -7 -13 -7 -13 -7 -12 -7 -13 -7 -13 -7 0 0 0 0 0 0 0 0 0 0
1784737010.037990,145500,-41,11,1,7,1,-95,1,1524229174,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -7 -3 -8 -2 -8 -3 -8 -2 -9 -2 -8 -1 -9 -2 -9 -1 -10 -1 -10 -1 -10 -1 -10 -1 -10 0 -10 -1 -11 1 -11 1 -11 1 -11 1 -11 0 -11 1 -11 1 -11 1 -11 1 -11 1 -11 1 -12 0 0 1 -12 1 -12 1 -12 1 -12 1 -12 0 -12 0 -12 0 -12 0 -12 -1 -12 -1 -12 -1 -12 -1 -13 -1 -13 -1 -13 -2 -14 -2 -13 -2 -13 -2 -14 -2 -14 -2 -13 -2 -14 -2 -14 -2 -14 -3 -15 -2 -15 0 0 0 0 0 0 0 0 0 0
1784737010.037990,145501,-41,11,1,7,1,-95,1,1524239279,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -8 -3 -8 -3 -8 -2 -9 -2 -9 -1 -9 -2 -9 -2 -9 -1 -10 0 -10 0 -9 0 -10 0 -10 0 -10 0 -11 0 -11 0 -11 1 -12 1 -11 1 -12 1 -12 1 -11 1 -11 2 -11 1 -11 1 -12 0 0 1 -11 1 -12 1 -11 1 -12 0 -12 0 -12 0 -12 0 -13 0 -12 -1 -14 0 -13 -1 -13 -1 -12 -1 -13 -1 -14 -1 -13 -1 -14 -1 -14 -1 -13 -2 -14 -1 -14 -2 -15 -2 -15 -1 -15 -1 -15 -1 -15 0 0 0 0 0 0 0 0 0 0
1784737010.069835,145502,-41,11,1,7,1,-95,1,1524260701,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 4 -6 5 -7 4 -7 4 -7 4 -7 5 -8 4 -8 4 -8 4 -9 4 -10 3 -9 3 -10 3 -10 3 -10 3 -10 3 -11 3 -11 3 -11 3 -11 3 -11 3 -11 3 -12 2 -12 2 -11 2 -11 2 0 0 -11 2 -11 3 -11 3 -12 3 -11 3 -11 3 -11 4 -12 4 -11 4 -11 4 -12 4 -12 4 -11 4 -12 5 -12 6 -12 6 -13 5 -13 6 -12 6 -12 7 -12 6 -12 7 -13 7 -13 6 -13 6 -14 7 0 0 0 0 0 0 0 0 0 0
1784737010.069835,145503,-41,11,1,7,1,-95,1,1524261015,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -6 5 -6 4 -6 6 -6 6 -6 6 -6 6 -6 6 -6 6 -6 7 -6 7 -6 8 -6 9 -6 8 -5 8 -6 8 -6 9 -6 9 -5 9 -5 9 -5 10 -5 10 -5 10 -5 10 -4 10 -5 10 -5 0 0 10 -5 10 -5 10 -6 10 -6 10 -5 10 -5 10 -6 10 -7 9 -6 10 -7 10 -7 9 -7 10 -7 10 -8 10 -8 11 -8 10 -7 11 -9 11 -9 10 -8 10 -9 10 -9 10 -8 11 -8 11 -9 11 -9 0 0 0 0 0 0 0 0 0 0
1784737010.069835,145504,-41,11,1,7,1,-95,1,1524269040,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -6 5 -6 6 -6 6 -6 7 -6 7 -5 6 -6 7 -5 7 -6 8 -5 8 -4 9 -5 8 -5 9 -5 8 -5 10 -5 9 -5 9 -5 10 -4 10 -5 10 -5 10 -5 10 -5 10 -4 10 -3 10 -4 0 0 10 -5 10 -5 10 -5 10 -5 9 -5 10 -6 10 -6 9 -6 10 -7 10 -7 10 -7 10 -7 10 -7 10 -8 10 -9 9 -8 10 -9 10 -8 10 -9 10 -10 9 -9 10 -10 10 -10 11 -9 11 -10 11 -9 0 0 0 0 0 0 0 0 0 0
1784737010.085706,145505,-41,11,1,7,1,-95,1,1524279435,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 6 -4 6 -5 6 -5 5 -6 6 -5 6 -6 6 -6 6 -7 6 -7 6 -7 5 -8 6 -8 6 -9 6 -9 6 -9 5 -9 6 -9 5 -9 5 -9 5 -10 5 -10 5 -10 5 -10 5 -10 5 -10 5 0 0 -10 5 -10 5 -10 5 -10 6 -10 6 -10 5 -10 6 -10 6 -10 6 -11 7 -10 7 -10 7 -10 7 -11 8 -11 8 -11 7 -10 8 -11 8 -11 8 -11 8 -11 9 -11 8 -11 8 -11 8 -11 8 -12 9 0 0 0 0 0 0 0 0 0 0
1784737010.085706,145506,-41,11,1,5,1,-95,1,1524290016,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -8 3 -7 3 -8 3 -7 4 -8 3 -8 4 -8 5 -8 4 -8 5 -8 6 -8 6 -8 6 -8 7 -8 6 -8 7 -8 7 -8 7 -9 7 -7 7 -9 7 -8 7 -8 8 -9 8 -8 8 -8 8 -7 0 0 8 -8 7 -9 7 -8 8 -9 7 -9 7 -9 7 -9 7 -10 7 -10 7 -11 7 -11 7 -10 7 -10 7 -10 7 -12 6 -11 7 -12 7 -12 7 -12 6 -13 7 -12 6 -13 7 -13 7 -13 8 -13 7 -13 0 0 0 0 0 0 0 0 0 0
