pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784737445.779205,183224,-43,11,1,7,1,-95,1,1959986111,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 4 -5 4 -5 3 -5 3 -5 3 -6 3 -6 3 -6 3 -6 3 -6 3 -7 3 -7 3 -7 3 -8 3 -8 4 -8 3 -9 4 -9 4 -9 3 -9 4 -10 4 -10 3 -10 3 -10 3 -11 3 -11 3 0 0 -11 3 -11 3 -11 3 -11 3 -11 3 -11 3 -11 4 -11 4 -11 4 -11 4 -12 4 -11 4 -12 4 -12 5 -12 5 -12 5 -12 5 -12 6 -12 6 -13 6 -13 6 -13 6 -13 6 -13 6 -13 6 -13 6 0 0 0 0 0 0 0 0 0 0
1784737445.786314,183225,-43,11,1,7,1,-95,1,1959995054,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -6 0 -6 1 -6 1 -6 1 -6 1 -7 2 -6 2 -7 2 -7 2 -7 2 -7 3 -8 3 -8 3 -8 3 -8 4 -8 4 -9 4 -9 4 -9 4 -9 5 -9 5 -9 5 -9 5 -9 5 -9 5 -10 0 0 6 -10 6 -9 6 -10 5 -10 5 -10 5 -10 6 -10 5 -10 5 -11 5 -11 5 -11 5 -11 5 -11 5 -12 5 -12 5 -12 5 -12 5 -13 5 -13 5 -13 5 -13 5 -14 5 -13 5 -13 5 -14 5 -14 0 0 0 0 0 0 0 0 0 0
1784737445.797069,183226,-43,11,1,7,1,-95,1,1960005011,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -4 4 -4 4 -4 4 -4 5 -4 5 -4 5 -4 5 -4 6 -4 6 -4 6 -4 6 -4 7 -4 7 -4 7 -4 8 -3 8 -3 8 -3 9 -3 9 -3 9 -3 9 -3 9 -3 10 -3 10 -3 10 -3 0 0 10 -2 11 -3 10 -2 10 -3 10 -3 11 -3 11 -3 11 -3 11 -3 11 -4 11 -4 11 -4 11 -4 12 -4 12 -4 12 -4 12 -4 12 -5 12 -4 12 -5 13 -5 13 -5 13 -5 13 -5 13 -5 13 -5 0 0 0 0 0 0 0 0 0 0
1784737445.810174,183227,-43,11,1,7,1,-95,1,1960015048,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 -3 -5 -3 -5 -4 -5 -4 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -6 -5 -6 -5 -7 -6 -7 -5 -7 -6 -7 -6 -8 -6 -7 -6 -8 -6 -8 -6 -9 -6 -9 -6 -9 -6 -10 -6 -10 -5 -10 -5 -10 0 0 -6 -10 -6 -10 -6 -10 -6 -10 -6 -10 -6 -10 -6 -10 -7 -10 -7 -10 -7 -11 -7 -11 -7 -10 -7 -10 -8 -10 -9 -10 -9 -10 -9 -11 -9 -11 -9 -11 -9 -11 -9 -11 -9 -11 -10 -12 -9 -12 -9 -11 -9 -11 0 0 0 0 0 0 0 0 0 0
1784737445.810174,183228,-43,11,1,7,1,-95,1,1960024980,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -4 -5 -5 -4 -5 -4 -5 -4 -5 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -4 -7 -4 -7 -4 -8 -4 -8 -5 -8 -4 -9 -4 -9 -4 -9 -4 -10 -4 -10 -4 -10 -4 -10 -4 -10 -4 -10 -4 -11 -4 -11 0 0 -4 -11 -4 -11 -4 -11 -4 -11 -4 -11 -4 -11 -4 -11 -5 -11 -4 -12 -5 -11 -5 -11 -5 -12 -5 -12 -6 -12 -6 -12 -6 -12 -6 -12 -6 -13 -6 -12 -7 -13 -7 -13 -7 -13 -7 -13 -6 -13 -7 -13 -7 -13 0 0 0 0 0 0 0 0 0 0
1784737445.818260,183229,-43,11,1,7,1,-95,1,1960040363,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 4 -4 4 -5 4 -5 3 -5 3 -5 3 -5 3 -6 4 -6 3 -6 3 -6 4 -7 4 -7 4 -7 4 -8 4 -8 4 -9 4 -9 4 -9 4 -9 4 -10 3 -10 3 -10 4 -10 4 -10 4 -10 4 0 0 -11 3 -11 3 -11 3 -11 4 -11 4 -11 4 -11 4 -11 4 -11 4 -11 5 -11 5 -11 6 -11 6 -12 6 -11 6 -12 6 -11 6 -12 6 -12 6 -12 6 -12 6 -13 6 -12 7 -12 7 -13 7 -13 7 0 0 0 0 0 0 0 0 0 0
1784737445.833981,183230,-43,11,1,7,1,-95,1,1960044979,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -1 5 0 5 0 5 0 6 0 5 1 6 1 6 1 6 1 7 1 7 2 7 2 7 2 7 2 7 2 8 2 8 2 8 3 8 3 9 3 9 4 9 4 9 4 9 4 9 4 9 5 0 0 9 5 9 5 9 5 10 5 10 4 10 5 10 4 10 4 10 4 11 4 10 4 11 4 11 4 11 4 12 3 11 4 12 4 12 4 12 4 12 4 12 4 13 4 13 4 13 5 13 4 13 4 0 0 0 0 0 0 0 0 0 0
1784737445.833981,183231,-43,11,1,7,1,-95,1,1960055011,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -2 5 -1 5 -1 5 -1 6 -1 6 -1 6 0 6 0 6 0 7 0 7 0 7 0 7 0 8 1 8 1 8 1 9 1 9 1 9 2 9 2 9 2 9 2 10 2 9 2 10 2 10 3 0 0 10 3 10 3 10 3 10 3 10 3 10 3 10 3 10 3 11 3 11 2 11 2 11 2 12 2 12 2 12 2 12 2 12 2 12 2 13 2 13 2 13 2 13 2 13 2 13 2 13 2 14 2 0 0 0 0 0 0 0 0 0 0
1784737445.850148,183232,-40,11,1,7,0,-95,1,1960065066,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 6 -1 7 -1 7 -2 7 -2 7 -2 7 -2 7 -3 8 -3 8 -3 8 -3 8 -4 9 -4 9 -4 9 -4 10 -5 10 -5 10 -5 10 -6 10 -6 11 -6 11 -7 11 -7 11 -7 11 -7 11 -8 11 0 0 -8 11 -8 11 -8 12 -8 12 -8 12 -8 11 -7 12 -7 12 -7 12 -7 13 -7 13 -7 13 -7 13 -7 14 -7 14 -7 14 -7 14 -7 14 -7 15 -7 15 -7 15 -7 16 -7 15 -7 15 -7 15 -7 16 0 0 0 0 0 0 0 0 0 0
1784737445.866001,183233,-43,11,1,7,1,-95,1,1960075042,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -5 3 -5 3 -5 4 -5 4 -5 4 -5 4 -5 5 -5 5 -5 5 -5 5 -5 6 -5 6 -5 6 -5 7 -6 7 -6 7 -6 8 -6 8 -6 8 -5 8 -6 8 -6 8 -6 9 -5 9 -5 9 -5 0 0 9 -5 9 -6 9 -5 9 -6 9 -6 9 -6 9 -6 9 -6 9 -6 9 -7 10 -7 9 -7 9 -7 10 -7 9 -8 10 -8 10 -8 10 -8 10 -9 10 -9 10 -9 10 -9 10 -9 11 -9 11 -9 11 -9 0 0 0 0 0 0 0 0 0 0
