pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784740490.420267,18966,-39,11,1,5,0,-95,1,211933415,128,0 0 0 0 0 0 0 0 0 0 0 0 -13 -8 -12 -8 -12 -9 -11 -10 -11 -10 -10 -10 -10 -11 -10 -10 -10 -11 -10 -11 -9 -11 -9 -12 -9 -12 -9 -11 -9 -12 -9 -12 -9 -12 -9 -12 -9 -12 -8 -12 -8 -12 -8 -12 -8 -12 -7 -11 -7 -11 -7 -11 0 0 -7 -10 -7 -10 -7 -9 -7 -9 -8 -8 -7 -8 -8 -8 -8 -7 -8 -7 -9 -7 -9 -6 -10 -6 -10 -6 -10 -5 -11 -5 -11 -5 -12 -4 -12 -4 -12 -4 -13 -4 -12 -4 -13 -4 -13 -5 -13 -4 -14 -4 -14 -4 0 0 0 0 0 0 0 0 0 0
1784740490.430868,18967,-40,11,1,5,1,-95,1,211943446,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 11 -5 11 -6 10 -7 10 -7 9 -7 9 -8 9 -8 9 -8 9 -8 8 -8 9 -8 9 -8 8 -9 8 -9 9 -9 8 -9 8 -9 8 -9 7 -9 7 -10 7 -10 7 -9 7 -9 7 -9 6 -9 7 0 0 -8 6 -8 6 -7 6 -7 6 -6 6 -6 6 -6 7 -5 7 -5 7 -4 7 -4 8 -4 8 -4 8 -3 9 -3 9 -3 9 -3 9 -3 9 -3 10 -3 10 -2 10 -2 11 -2 11 -2 11 -2 11 -2 12 0 0 0 0 0 0 0 0 0 0
1784740490.444019,18968,-40,11,1,5,1,-95,1,211953687,128,0 0 0 0 0 0 0 0 0 0 0 0 9 8 8 8 8 9 7 9 7 9 7 9 6 9 6 9 6 9 5 10 5 10 5 10 4 10 4 10 4 10 5 10 5 10 4 11 4 11 4 10 4 10 4 10 4 10 3 10 3 10 3 9 0 0 3 9 4 8 3 8 4 8 4 7 4 7 4 6 5 6 5 6 6 6 6 6 6 5 6 5 7 5 8 5 8 5 8 5 8 5 9 5 9 5 9 5 10 4 10 5 10 5 10 5 10 5 0 0 0 0 0 0 0 0 0 0
1784740490.444019,18969,-40,11,1,5,1,-95,1,211963378,128,0 0 0 0 0 0 0 0 0 0 0 0 8 8 8 10 6 10 6 10 5 10 6 11 5 10 5 10 4 10 5 10 4 10 5 10 4 11 4 11 4 11 3 11 4 12 3 11 3 11 3 11 3 11 2 11 3 10 3 10 3 10 3 10 0 0 3 9 3 9 3 9 3 8 3 8 4 8 4 7 4 7 5 7 5 6 5 6 6 6 6 6 7 6 7 6 8 6 7 5 8 5 8 5 9 5 9 5 9 6 9 5 10 5 10 5 10 5 0 0 0 0 0 0 0 0 0 0
1784740490.462366,18970,-40,11,1,5,1,-95,1,211973345,128,0 0 0 0 0 0 0 0 0 0 0 0 -13 1 -13 1 -13 0 -12 -1 -13 -2 -12 -2 -13 -2 -12 -2 -12 -2 -12 -3 -12 -4 -12 -4 -12 -4 -12 -4 -12 -4 -12 -4 -12 -4 -12 -4 -12 -5 -12 -5 -12 -5 -11 -5 -11 -5 -11 -5 -10 -5 -10 -5 0 0 -10 -4 -10 -4 -9 -3 -10 -3 -9 -3 -9 -2 -9 -2 -9 -1 -9 -1 -10 -1 -9 0 -9 0 -9 0 -9 1 -10 1 -10 2 -10 2 -10 2 -11 3 -11 3 -11 3 -11 3 -12 3 -12 3 -12 3 -12 3 0 0 0 0 0 0 0 0 0 0
1784740490.462366,18971,-40,11,1,5,1,-95,1,211983364,128,0 0 0 0 0 0 0 0 0 0 0 0 -13 0 -13 0 -13 -2 -12 -2 -13 -2 -12 -2 -12 -2 -12 -3 -12 -3 -12 -4 -12 -5 -12 -5 -12 -5 -12 -5 -12 -4 -12 -5 -12 -4 -12 -5 -11 -5 -12 -5 -11 -5 -11 -5 -11 -5 -10 -6 -10 -6 -10 -5 0 0 -10 -4 -10 -4 -9 -3 -10 -3 -9 -3 -9 -2 -9 -2 -9 -2 -9 -1 -10 -1 -9 -1 -9 0 -9 0 -9 1 -10 2 -10 2 -11 2 -10 2 -10 3 -11 3 -11 3 -11 4 -12 3 -12 3 -12 3 -12 3 0 0 0 0 0 0 0 0 0 0
1784740490.475872,18972,-39,11,1,5,1,-95,1,211993315,128,0 0 0 0 0 0 0 0 0 0 0 0 6 10 6 10 5 10 4 11 4 11 4 11 3 11 3 11 3 11 2 11 2 11 2 11 2 11 2 11 2 12 1 11 1 12 1 11 1 11 1 11 1 11 1 11 1 11 0 10 0 10 1 10 0 0 1 9 1 9 1 9 1 8 2 8 2 8 2 8 3 8 3 8 4 7 4 7 4 7 5 7 5 7 6 7 6 7 6 7 7 7 7 7 7 7 8 7 8 7 8 7 8 7 9 7 9 7 0 0 0 0 0 0 0 0 0 0
1784740490.493530,18973,-40,11,1,5,1,-95,1,212003319,128,0 0 0 0 0 0 0 0 0 0 0 0 -13 -1 -13 -2 -13 -3 -13 -4 -12 -4 -12 -4 -12 -5 -12 -5 -12 -5 -12 -5 -12 -5 -12 -5 -12 -5 -11 -6 -12 -6 -11 -6 -12 -6 -11 -6 -11 -6 -11 -7 -11 -7 -11 -7 -10 -6 -10 -6 -10 -6 -10 -6 0 0 -10 -6 -9 -5 -9 -5 -9 -4 -9 -4 -9 -4 -9 -3 -9 -3 -9 -3 -9 -2 -9 -1 -10 -1 -10 -1 -10 0 -10 0 -11 0 -10 1 -11 1 -11 1 -11 1 -11 2 -12 2 -11 2 -12 2 -12 3 -12 2 0 0 0 0 0 0 0 0 0 0
1784740490.495157,18974,-40,11,1,4,1,-95,1,212014683,128,0 0 0 0 0 0 0 0 0 0 0 0 11 4 11 5 10 6 10 6 10 7 9 7 9 7 9 7 9 7 9 7 8 7 8 8 8 8 8 8 8 8 7 8 8 9 7 9 8 9 7 9 7 9 7 9 7 8 7 8 6 8 6 8 0 0 6 7 6 7 6 7 6 6 6 5 6 5 6 5 7 5 7 4 7 4 7 3 8 3 8 3 9 3 8 3 9 2 9 2 9 2 10 2 10 2 10 1 11 1 11 1 11 1 11 1 11 1 0 0 0 0 0 0 0 0 0 0
1784740490.507874,18975,-40,11,1,5,1,-95,1,212023508,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 12 -3 12 -4 11 -5 12 -5 11 -5 11 -5 10 -5 11 -6 10 -6 10 -6 10 -6 10 -6 10 -7 10 -7 11 -7 10 -7 10 -7 9 -7 10 -7 9 -7 10 -8 9 -7 9 -7 9 -7 9 -7 9 0 0 -6 8 -6 8 -6 8 -5 8 -4 8 -4 8 -4 8 -3 8 -3 8 -2 8 -2 8 -1 9 -1 9 -1 9 -1 9 0 9 0 9 0 10 1 10 1 10 1 10 1 11 2 10 1 11 2 11 2 11 0 0 0 0 0 0 0 0 0 0
