pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784737892.633061,227919,-36,11,1,7,1,-95,1,-1888124465,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 6 -7 6 -8 6 -8 6 -9 6 -9 5 -9 5 -10 4 -10 5 -10 4 -11 4 -11 3 -11 3 -12 3 -11 3 -12 2 -12 2 -12 2 -12 2 -12 2 -12 2 -12 2 -12 2 -11 1 -11 1 -11 1 0 0 -11 1 -11 2 -11 2 -11 2 -10 2 -11 2 -10 3 -10 3 -10 3 -10 4 -10 3 -10 4 -10 4 -10 4 -10 5 -10 5 -10 6 -10 6 -10 6 -10 7 -10 7 -10 8 -10 8 -11 8 -11 8 -11 8 0 0 0 0 0 0 0 0 0 0
1784737892.633061,227920,-36,11,1,7,1,-95,1,-1888120528,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -8 -3 -9 -3 -9 -2 -10 -2 -10 -2 -10 -1 -10 -1 -11 0 -11 0 -11 0 -11 0 -11 0 -11 1 -11 1 -12 2 -11 2 -11 2 -11 2 -11 2 -11 2 -11 3 -11 2 -11 2 -11 2 -11 2 -11 0 0 2 -11 2 -10 2 -10 1 -10 1 -10 1 -10 1 -10 1 -10 1 -10 0 -10 -1 -10 -1 -10 -1 -10 -1 -11 -1 -11 -2 -11 -2 -11 -3 -11 -3 -11 -3 -11 -4 -11 -4 -12 -4 -12 -4 -13 -5 -12 -5 -13 0 0 0 0 0 0 0 0 0 0
1784737892.633061,227921,-36,11,1,7,1,-95,1,-1888118608,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -9 1 -9 2 -9 3 -9 3 -9 3 -9 4 -8 4 -9 5 -9 5 -9 6 -9 6 -9 6 -8 6 -9 6 -8 6 -9 6 -8 7 -8 7 -8 7 -8 7 -7 7 -8 7 -7 7 -7 7 -7 7 -7 0 0 6 -8 6 -7 6 -7 6 -8 6 -8 5 -8 5 -8 5 -9 4 -8 5 -9 4 -8 4 -9 4 -9 4 -9 3 -10 3 -10 3 -10 2 -10 2 -10 2 -11 2 -12 1 -12 2 -12 2 -12 2 -13 1 -13 0 0 0 0 0 0 0 0 0 0
1784737892.638023,227922,-33,11,1,7,0,-95,1,-1888114695,128,0 0 0 0 0 0 0 0 0 0 0 0 10 -2 11 -1 11 -1 11 0 11 1 12 2 12 2 12 3 12 3 12 4 12 4 12 4 12 4 12 5 12 6 12 6 12 6 11 6 11 6 11 7 11 7 11 7 11 7 11 7 11 7 11 7 0 0 11 6 11 6 11 6 11 5 11 5 11 5 11 5 11 5 11 5 11 4 11 3 12 3 12 3 12 2 12 2 12 2 12 2 13 1 13 1 14 1 14 1 14 0 15 0 15 -1 15 -1 16 -1 0 0 0 0 0 0 0 0 0 0
1784737892.638023,227923,-36,11,1,7,1,-95,1,-1888106981,128,0 0 0 0 0 0 0 0 0 0 0 0 -10 -2 -9 -2 -10 -4 -10 -4 -10 -5 -10 -5 -10 -6 -10 -6 -10 -7 -9 -7 -9 -7 -9 -8 -9 -8 -9 -8 -9 -8 -9 -9 -8 -9 -9 -9 -9 -9 -8 -9 -8 -9 -8 -9 -8 -9 -8 -9 -7 -9 -8 -9 0 0 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -9 -8 -8 -8 -9 -7 -8 -7 -9 -7 -9 -6 -9 -6 -9 -6 -9 -6 -10 -5 -10 -5 -11 -5 -11 -5 -11 -4 -12 -5 -12 -5 -12 -4 -13 -4 -13 -4 -13 -4 -14 -4 0 0 0 0 0 0 0 0 0 0
1784737892.657026,227924,-36,11,1,7,1,-95,1,-1888096954,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -8 -1 -9 -1 -10 0 -10 0 -10 0 -10 1 -10 1 -10 1 -10 2 -10 3 -10 3 -10 3 -10 4 -10 3 -10 4 -10 4 -10 3 -10 4 -10 5 -10 5 -10 5 -10 4 -10 4 -9 4 -9 4 -9 0 0 4 -9 4 -10 4 -9 3 -9 3 -9 3 -9 2 -10 2 -10 2 -10 1 -10 2 -10 1 -10 1 -10 0 -11 0 -10 0 -10 -1 -10 -1 -11 -1 -11 -1 -11 -2 -12 -2 -12 -1 -12 -2 -13 -1 -14 -3 -13 0 0 0 0 0 0 0 0 0 0
1784737892.664952,227925,-36,11,1,7,1,-95,1,-1888086973,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 -3 -8 -4 -8 -5 -8 -5 -8 -6 -8 -7 -7 -6 -8 -7 -8 -7 -7 -8 -7 -8 -7 -8 -7 -9 -7 -9 -7 -9 -6 -9 -6 -10 -6 -9 -6 -10 -6 -10 -6 -9 -6 -10 -5 -9 -5 -10 -5 -10 -5 -9 0 0 -6 -9 -6 -9 -6 -9 -6 -8 -6 -8 -6 -8 -6 -8 -7 -8 -6 -8 -7 -8 -8 -8 -7 -8 -8 -7 -8 -8 -8 -7 -9 -7 -9 -7 -9 -7 -10 -6 -10 -6 -10 -6 -11 -6 -11 -7 -11 -7 -11 -7 -12 -6 0 0 0 0 0 0 0 0 0 0
1784737892.664952,227926,-36,11,1,7,1,-95,1,-1888076946,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -8 3 -8 4 -8 4 -9 4 -8 5 -8 5 -8 6 -8 6 -8 7 -8 7 -8 7 -7 7 -8 8 -7 8 -8 8 -7 8 -7 8 -7 8 -7 8 -7 8 -7 8 -7 8 -6 8 -6 8 -5 8 -6 0 0 8 -6 7 -6 7 -6 7 -7 7 -7 7 -7 6 -7 6 -8 6 -7 6 -8 6 -8 5 -8 6 -8 5 -8 5 -9 5 -9 5 -10 5 -10 4 -10 4 -10 4 -11 3 -11 4 -11 4 -12 4 -12 4 -13 0 0 0 0 0 0 0 0 0 0
1784737892.680876,227927,-36,11,1,7,1,-95,1,-1888065669,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -7 6 -6 7 -6 7 -6 7 -6 7 -6 8 -5 8 -5 9 -5 10 -4 9 -4 9 -4 10 -4 10 -3 10 -3 10 -3 10 -3 10 -3 10 -3 10 -2 10 -3 10 -3 10 -2 10 -2 10 -1 9 -2 0 0 10 -2 10 -3 9 -3 9 -3 9 -2 9 -3 9 -4 9 -4 9 -4 9 -5 9 -4 8 -5 8 -5 9 -5 8 -6 8 -6 9 -7 8 -7 8 -7 8 -8 8 -7 8 -9 9 -9 9 -9 8 -9 9 -9 0 0 0 0 0 0 0 0 0 0
1784737892.680876,227928,-36,11,1,7,1,-95,1,-1888056974,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -9 1 -9 3 -10 3 -10 4 -10 4 -10 4 -10 5 -10 5 -10 6 -10 6 -9 6 -9 7 -9 7 -9 7 -9 8 -9 8 -9 8 -9 8 -8 8 -9 8 -9 8 -8 8 -8 8 -8 8 -8 8 -8 0 0 8 -8 7 -8 7 -8 7 -8 6 -8 6 -9 6 -9 5 -9 6 -9 5 -10 5 -9 5 -9 4 -10 4 -10 4 -10 4 -10 4 -11 3 -11 3 -11 3 -12 2 -12 3 -13 2 -13 3 -13 2 -13 2 -14 0 0 0 0 0 0 0 0 0 0
