pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784738200.016346,258668,-35,11,1,7,1,-95,1,-1580727202,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -5 8 -5 8 -5 8 -4 9 -4 9 -4 9 -3 10 -4 10 -3 10 -3 10 -2 11 -2 11 -1 11 -1 11 -1 11 0 11 0 11 0 11 0 11 0 11 0 10 0 11 0 10 0 10 0 10 0 0 0 10 1 10 0 10 0 10 -1 9 -1 9 -1 10 -1 9 -2 10 -2 9 -2 9 -2 9 -3 10 -3 9 -3 10 -4 9 -3 9 -4 9 -4 9 -5 9 -5 9 -6 9 -6 9 -6 9 -6 9 -7 9 -6 0 0 0 0 0 0 0 0 0 0
1784738200.029372,258669,-36,11,1,7,1,-95,1,-1580717189,128,0 0 0 0 0 0 0 0 0 0 0 0 7 4 7 5 7 6 6 7 6 6 6 7 7 8 6 8 6 8 6 9 5 9 5 10 5 9 4 10 4 10 4 10 4 10 3 10 3 10 4 10 3 10 3 10 3 10 2 10 2 9 3 9 0 0 3 9 3 9 3 9 3 9 4 8 4 8 4 8 5 8 5 8 5 7 5 8 6 8 5 7 5 7 6 7 7 7 7 7 7 6 7 6 8 6 8 6 8 6 8 6 8 6 9 6 9 5 0 0 0 0 0 0 0 0 0 0
1784738200.039618,258670,-36,11,1,7,1,-95,1,-1580707165,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 7 -6 7 -6 7 -7 7 -7 7 -8 7 -8 6 -8 7 -9 6 -9 6 -9 6 -10 6 -10 6 -10 5 -11 5 -11 5 -11 4 -11 5 -11 4 -10 4 -11 4 -11 3 -10 4 -11 3 -11 4 -11 4 0 0 -10 4 -10 4 -9 4 -9 3 -9 4 -10 4 -9 4 -9 4 -9 4 -8 5 -8 6 -8 6 -8 6 -8 6 -7 6 -8 7 -7 7 -7 7 -7 7 -7 7 -7 8 -7 8 -7 9 -7 9 -7 9 -7 9 0 0 0 0 0 0 0 0 0 0
1784738200.050833,258671,-36,11,1,7,1,-95,1,-1580697136,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 9 -1 9 -2 10 -3 9 -3 10 -4 10 -4 10 -5 10 -5 10 -6 10 -6 10 -7 10 -7 10 -8 10 -7 9 -8 10 -8 9 -8 9 -8 9 -8 9 -8 9 -8 9 -8 8 -8 8 -8 8 -8 8 0 0 -8 8 -7 8 -7 8 -6 8 -6 8 -6 8 -6 8 -6 8 -5 8 -5 9 -5 8 -5 9 -4 9 -4 9 -3 10 -3 9 -3 10 -3 9 -2 10 -2 10 -2 10 -1 11 -2 11 -2 11 -1 11 -1 11 0 0 0 0 0 0 0 0 0 0
1784738200.050833,258672,-36,11,1,7,1,-95,1,-1580687201,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -9 -4 -10 -3 -11 -3 -11 -2 -11 -2 -11 -2 -12 -1 -12 -1 -12 0 -12 0 -12 1 -13 1 -13 1 -12 1 -13 2 -13 2 -13 2 -12 2 -13 2 -13 3 -12 3 -12 2 -12 3 -11 3 -11 2 -12 0 0 2 -11 2 -11 2 -11 1 -11 1 -11 1 -11 0 -10 0 -11 0 -11 -1 -10 -1 -10 -1 -10 -2 -10 -2 -11 -3 -10 -3 -11 -3 -11 -4 -11 -4 -10 -5 -10 -4 -11 -6 -11 -5 -10 -5 -11 -6 -11 -7 -12 0 0 0 0 0 0 0 0 0 0
1784738200.066824,258673,-37,11,1,7,1,-95,1,-1580677128,128,0 0 0 0 0 0 0 0 0 0 0 0 8 2 8 2 8 3 9 3 8 3 8 4 8 4 9 5 8 5 8 5 8 5 8 6 8 6 8 7 8 7 7 7 7 8 7 7 7 8 7 8 7 7 7 8 6 7 7 7 6 7 6 7 0 0 6 6 7 6 6 7 6 6 6 5 7 5 7 5 7 5 7 5 8 4 8 4 8 4 8 4 9 4 8 3 9 2 9 3 9 2 9 2 9 1 10 1 10 1 10 1 11 1 11 1 11 1 0 0 0 0 0 0 0 0 0 0
1784738200.079597,258674,-37,11,1,7,1,-95,1,-1580667150,128,0 0 0 0 0 0 0 0 0 0 0 0 8 0 8 0 9 2 9 1 9 2 9 2 9 3 9 4 9 3 9 5 9 5 8 5 8 5 8 6 8 6 8 6 8 6 8 6 7 7 7 6 7 6 8 6 7 7 7 7 7 6 7 6 0 0 7 6 7 5 6 5 8 5 7 5 7 4 8 4 8 3 8 4 8 4 8 4 7 2 8 3 8 2 9 2 8 2 10 2 9 2 9 1 10 1 10 1 10 0 11 1 11 0 11 1 11 0 0 0 0 0 0 0 0 0 0 0
1784738200.091761,258675,-36,11,1,7,1,-95,1,-1580656209,128,0 0 0 0 0 0 0 0 0 0 0 0 6 6 5 7 5 7 4 8 4 8 4 9 3 9 3 9 2 9 3 9 2 10 2 10 2 10 1 10 1 11 1 10 1 10 0 10 0 10 0 10 0 11 0 10 0 10 0 10 0 10 0 10 0 0 0 9 1 9 0 9 1 9 1 9 1 9 1 9 2 9 2 8 2 9 3 8 3 8 3 8 4 8 4 9 4 9 4 8 5 8 5 9 5 9 6 9 6 9 6 9 7 9 7 9 7 10 0 0 0 0 0 0 0 0 0 0
1784738200.100485,258676,-36,11,1,7,1,-95,1,-1580647108,128,0 0 0 0 0 0 0 0 0 0 0 0 8 -4 9 -3 9 -2 10 -2 10 -1 10 -1 10 0 10 0 10 1 11 0 11 1 10 1 11 1 11 2 11 2 11 3 10 3 11 3 10 3 10 3 10 3 10 4 10 3 10 3 10 3 10 3 0 0 10 3 10 2 10 2 9 2 9 2 10 1 10 1 10 1 10 1 9 0 10 0 10 0 10 -1 10 -1 10 -1 11 -1 10 -2 11 -2 11 -3 11 -3 11 -3 12 -3 12 -4 12 -4 12 -4 12 -4 0 0 0 0 0 0 0 0 0 0
1784738200.110688,258677,-36,11,1,7,1,-95,1,-1580637183,128,0 0 0 0 0 0 0 0 0 0 0 0 5 7 4 7 4 8 3 8 3 9 3 9 3 9 2 9 3 10 2 11 1 11 1 10 0 11 0 11 0 11 0 11 0 11 0 11 0 11 0 11 0 11 0 11 -1 11 -1 11 -1 10 -1 10 0 0 0 10 0 10 0 9 1 10 1 10 1 10 1 10 2 10 2 10 2 10 2 10 2 9 3 10 3 9 4 10 4 9 4 10 5 10 5 10 5 10 6 10 6 10 6 11 6 11 6 11 7 11 0 0 0 0 0 0 0 0 0 0
