pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784738280.702107,266734,-37,11,1,7,1,-95,1,-1500079682,128,0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 8 -1 8 -2 9 -2 8 -2 8 -3 8 -3 8 -4 9 -4 9 -4 9 -4 9 -4 9 -5 9 -5 9 -6 8 -6 9 -6 8 -6 8 -6 8 -6 8 -6 8 -6 8 -6 8 -6 8 -6 8 0 0 -6 7 -6 7 -6 7 -5 7 -5 8 -5 7 -5 8 -5 8 -4 8 -3 8 -3 8 -3 8 -3 9 -2 9 -2 8 -2 9 -2 9 -1 9 -1 10 -1 10 0 10 -1 10 0 11 0 11 0 11 0 12 0 0 0 0 0 0 0 0 0 0
1784738280.702539,266735,-37,11,1,7,1,-95,1,-1500049225,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 3 -8 3 -9 2 -9 2 -9 2 -9 2 -10 2 -10 1 -10 1 -10 0 -11 0 -11 0 -11 -1 -11 -1 -11 -1 -11 -1 -11 -2 -11 -2 -11 -2 -11 -2 -11 -2 -11 -2 -11 -2 -10 -2 -11 -2 -10 -2 0 0 -10 -2 -10 -2 -10 -2 -10 -1 -9 -1 -10 -1 -9 -1 -10 0 -9 0 -9 0 -9 1 -9 1 -9 1 -9 2 -10 2 -9 2 -10 3 -10 3 -10 4 -10 4 -10 4 -10 5 -10 5 -11 5 -11 5 -11 5 0 0 0 0 0 0 0 0 0 0
1784738280.702539,266736,-37,11,1,7,1,-95,1,-1500048825,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 0 -9 0 -9 -1 -9 -1 -10 -2 -10 -2 -10 -2 -10 -3 -10 -3 -10 -4 -10 -4 -10 -4 -10 -5 -10 -5 -10 -5 -10 -6 -10 -6 -10 -6 -9 -6 -10 -6 -9 -6 -9 -6 -9 -6 -9 -6 -9 -6 -9 -6 0 0 -9 -6 -9 -6 -9 -5 -9 -5 -9 -5 -9 -5 -9 -4 -9 -4 -9 -4 -9 -4 -9 -3 -10 -3 -9 -3 -9 -3 -10 -2 -10 -2 -10 -2 -11 -2 -11 -1 -11 -1 -11 -1 -12 0 -12 -1 -12 -1 -13 -1 -13 0 0 0 0 0 0 0 0 0 0 0
1784738280.702539,266737,-37,11,1,7,1,-95,1,-1500048672,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 8 -2 8 -3 8 -3 8 -4 8 -4 8 -4 8 -4 8 -5 8 -6 8 -6 8 -6 8 -7 8 -7 8 -7 8 -7 8 -7 7 -8 8 -8 7 -8 7 -8 7 -8 7 -8 7 -8 7 -8 7 -7 6 0 0 -7 6 -7 7 -7 6 -7 7 -6 7 -6 7 -6 7 -6 7 -5 7 -5 7 -5 8 -5 7 -5 7 -4 8 -4 8 -4 8 -4 9 -3 9 -3 9 -2 10 -2 10 -2 10 -3 11 -3 11 -3 12 -2 12 0 0 0 0 0 0 0 0 0 0
1784738280.708603,266738,-37,11,1,7,1,-95,1,-1500039723,128,0 0 0 0 0 0 0 0 0 0 0 0 6 4 6 4 7 5 6 5 6 6 6 5 6 7 5 7 5 7 5 7 5 8 5 8 5 8 4 9 4 9 4 9 3 9 4 10 3 9 3 9 3 9 3 9 3 9 3 9 3 9 3 9 0 0 2 8 2 9 3 8 4 8 3 8 3 8 4 7 3 7 4 7 4 7 4 7 4 7 5 7 5 7 6 6 6 6 6 7 7 6 7 7 8 6 8 6 8 6 8 7 9 7 9 8 9 6 0 0 0 0 0 0 0 0 0 0
1784738280.717000,266739,-36,11,1,7,1,-95,1,-1500029798,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -6 6 -6 7 -5 8 -5 8 -5 8 -5 8 -5 9 -4 9 -4 10 -4 10 -3 10 -3 10 -2 10 -2 11 -2 10 -2 11 -1 11 -1 10 -1 10 -1 10 -1 10 -1 10 -1 10 -1 10 -1 10 -1 0 0 10 -1 9 -1 9 -1 9 -2 9 -2 9 -2 9 -2 9 -3 8 -3 9 -3 9 -3 8 -4 8 -4 8 -5 8 -5 8 -5 9 -5 9 -6 9 -6 9 -7 9 -7 9 -7 9 -8 9 -7 10 -8 9 -8 0 0 0 0 0 0 0 0 0 0
1784738280.732835,266740,-37,11,1,7,1,-95,1,-1500019762,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -3 8 -3 8 -2 9 -2 9 -1 9 -1 9 -1 9 0 9 0 10 0 10 0 10 1 10 1 10 1 10 1 10 2 10 3 9 2 10 3 10 3 10 3 9 3 9 3 9 3 9 3 9 3 0 0 9 3 9 2 9 3 8 2 9 2 9 2 9 2 9 1 8 1 8 1 9 0 9 0 9 0 9 0 9 -1 10 -1 9 -2 9 -2 10 -2 10 -3 10 -3 10 -3 11 -3 11 -4 11 -4 11 -4 0 0 0 0 0 0 0 0 0 0
1784738280.746218,266741,-37,11,1,7,1,-95,1,-1500002334,128,0 0 0 0 0 0 0 0 0 0 0 0 8 1 8 1 8 2 8 2 8 3 8 3 8 3 8 4 8 4 8 4 8 5 9 5 8 6 8 6 7 6 8 7 8 7 7 6 7 7 8 7 7 7 7 7 8 7 7 7 7 7 7 6 0 0 6 7 7 6 7 7 7 6 7 5 7 6 8 5 7 5 7 6 8 4 8 4 8 3 8 4 8 3 8 3 9 3 9 3 9 2 10 2 10 2 10 2 11 1 12 2 12 1 12 1 11 2 0 0 0 0 0 0 0 0 0 0
1784738280.748810,266742,-37,11,1,7,1,-95,1,-1499997581,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -7 -4 -8 -4 -8 -3 -9 -2 -10 -3 -9 -2 -10 -2 -10 -2 -10 -1 -10 0 -11 0 -11 0 -10 1 -11 1 -11 0 -11 0 -11 1 -11 0 -10 1 -11 1 -11 1 -10 2 -10 2 -10 2 -10 2 -10 0 0 2 -9 2 -10 1 -9 0 -10 0 -10 1 -10 0 -10 0 -10 -1 -10 0 -10 -1 -10 -1 -9 -1 -9 -1 -10 -2 -10 -2 -10 -2 -11 -3 -10 -3 -10 -4 -10 -4 -10 -4 -10 -4 -11 -4 -12 -5 -12 -5 -12 0 0 0 0 0 0 0 0 0 0
1784738280.761817,266743,-37,11,1,7,1,-95,1,-1499989747,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 -1 -9 -1 -9 -2 -9 -2 -9 -3 -9 -3 -10 -3 -10 -4 -10 -4 -10 -5 -10 -5 -10 -6 -10 -5 -10 -6 -9 -6 -9 -6 -9 -7 -9 -7 -9 -7 -9 -7 -9 -7 -9 -8 -9 -8 -9 -7 -8 -7 -8 -7 0 0 -8 -7 -8 -7 -8 -6 -8 -7 -8 -6 -9 -5 -9 -5 -9 -5 -9 -5 -9 -5 -9 -5 -9 -4 -9 -4 -9 -4 -10 -4 -9 -3 -10 -3 -10 -3 -10 -2 -11 -2 -11 -3 -12 -3 -12 -2 -13 -2 -13 -2 -13 -2 0 0 0 0 0 0 0 0 0 0
1784738280.768856,266744,-33,11,1,7,0,-95,1,-1499978420,128,0 0 0 0 0 0 0 0 0 0 0 0 -11 -1 -11 -1 -11 -2 -11 -2 -11 -3 -12 -4 -12 -4 -12 -4 -12 -5 -12 -5 -12 -6 -12 -6 -12 -7 -12 -7 -12 -7 -12 -7 -12 -7 -11 -8 -12 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -8 -10 -8 0 0 -11 -7 -10 -7 -10 -7 -10 -7 -10 -6 -10 -6 -10 -6 -11 -5 -11 -5 -11 -5 -11 -5 -11 -4 -11 -4 -12 -3 -12 -3 -12 -2 -12 -2 -13 -2 -13 -1 -13 -1 -14 -1 -14 -1 -14 0 -15 0 -15 0 -15 0 0 0 0 0 0 0 0 0 0 0
1784738280.784347,266745,-37,11,1,7,1,-95,1,-1499969407,128,0 0 0 0 0 0 0 0 0 0 0 0 3 7 2 8 2 8 1 9 1 8 1 9 0 9 0 9 0 9 -1 10 0 10 -1 10 -1 10 -2 10 -2 10 -3 10 -3 10 -3 10 -3 10 -4 10 -3 10 -4 10 -3 10 -4 9 -3 10 -3 9 0 0 -4 9 -3 9 -3 9 -3 8 -2 9 -2 9 -2 9 -2 9 -2 9 -1 8 0 9 0 9 0 9 0 9 0 9 0 10 1 10 1 10 2 10 1 10 2 10 1 10 3 10 3 11 3 11 4 11 0 0 0 0 0 0 0 0 0 0
