pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784738441.248252,282797,-33,11,1,7,0,-95,1,-1339495116,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -7 8 -7 8 -6 9 -6 9 -6 10 -5 10 -5 10 -5 11 -4 11 -4 12 -5 12 -4 12 -3 13 -3 12 -3 13 -2 12 -2 13 -2 13 -1 13 -1 12 -2 13 -1 12 -1 12 -1 12 -1 12 -2 0 0 11 -2 12 -2 11 -2 11 -2 11 -3 12 -2 11 -3 11 -3 11 -3 10 -4 11 -4 10 -5 10 -5 10 -5 10 -6 11 -6 11 -7 10 -7 11 -7 11 -8 10 -8 11 -9 11 -9 11 -10 11 -9 11 -10 0 0 0 0 0 0 0 0 0 0
1784738441.260843,282798,-37,11,1,7,1,-95,1,-1339485143,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -8 -3 -9 -1 -9 -1 -9 0 -9 0 -10 0 -10 0 -10 0 -10 0 -11 1 -11 1 -10 1 -11 3 -10 3 -11 2 -11 3 -11 3 -11 4 -10 3 -10 3 -11 4 -10 3 -10 3 -10 4 -10 3 -10 0 0 3 -11 3 -10 3 -10 3 -10 2 -10 2 -10 2 -10 2 -10 1 -10 1 -10 1 -10 0 -10 0 -10 0 -10 -1 -10 -1 -11 0 -11 -1 -11 -2 -11 -2 -12 -2 -11 -2 -11 -3 -11 -2 -12 -3 -12 -3 -13 0 0 0 0 0 0 0 0 0 0
1784738441.272181,282799,-36,11,1,7,1,-95,1,-1339473240,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -3 -8 -4 -8 -4 -8 -5 -7 -5 -8 -5 -7 -6 -8 -6 -8 -6 -7 -7 -7 -8 -7 -8 -7 -8 -7 -9 -7 -9 -6 -8 -6 -9 -6 -9 -6 -9 -6 -9 -7 -9 -5 -9 -6 -9 -5 -9 -6 -9 -6 -9 0 0 -6 -9 -6 -9 -6 -8 -6 -8 -6 -8 -6 -8 -6 -8 -7 -7 -7 -8 -6 -7 -7 -6 -7 -7 -7 -7 -8 -7 -8 -7 -8 -6 -9 -7 -9 -7 -9 -6 -10 -6 -10 -6 -10 -6 -10 -6 -11 -7 -10 -6 -11 -6 0 0 0 0 0 0 0 0 0 0
1784738441.273688,282800,-36,11,1,7,1,-95,1,-1339465097,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 2 -9 1 -10 1 -10 0 -10 0 -10 -1 -11 -1 -11 -2 -11 -2 -11 -2 -11 -2 -12 -3 -12 -3 -12 -4 -12 -4 -11 -4 -11 -5 -11 -5 -11 -5 -11 -5 -11 -5 -11 -6 -11 -5 -11 -5 -11 -5 -11 -5 0 0 -10 -5 -10 -5 -11 -5 -10 -5 -10 -4 -10 -4 -10 -4 -11 -3 -11 -3 -11 -3 -11 -3 -11 -2 -11 -2 -11 -2 -11 -2 -12 -2 -12 -1 -12 -1 -12 -1 -12 0 -12 0 -13 0 -13 0 -13 0 -13 1 -14 1 0 0 0 0 0 0 0 0 0 0
1784738441.288837,282801,-36,11,1,7,1,-95,1,-1339455108,128,0 0 0 0 0 0 0 0 0 0 0 0 8 -2 8 -1 9 -1 9 0 9 0 10 1 9 1 10 1 10 2 10 2 10 3 10 3 10 4 10 4 10 4 10 4 10 5 10 5 10 5 10 5 10 5 9 5 9 5 9 6 9 6 9 5 0 0 9 5 9 5 9 5 9 4 9 4 9 4 9 3 9 3 9 3 10 3 9 3 9 3 10 3 10 2 10 1 10 1 11 1 11 1 11 1 11 0 11 0 12 -1 12 0 13 0 13 0 13 -1 0 0 0 0 0 0 0 0 0 0
1784738441.294203,282802,-37,11,1,7,1,-95,1,-1339445031,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -3 -8 -4 -8 -5 -8 -5 -8 -5 -8 -6 -7 -7 -8 -7 -8 -7 -8 -7 -8 -8 -8 -8 -8 -9 -7 -9 -7 -9 -7 -9 -7 -9 -6 -9 -7 -9 -7 -9 -6 -9 -7 -10 -6 -10 -6 -10 -6 -9 -6 -9 0 0 -7 -9 -6 -8 -6 -8 -6 -8 -7 -8 -7 -7 -6 -8 -7 -8 -7 -8 -7 -8 -7 -7 -7 -7 -8 -7 -9 -6 -8 -6 -9 -6 -9 -6 -10 -6 -9 -6 -10 -6 -10 -6 -11 -5 -10 -6 -11 -5 -12 -5 -12 -5 0 0 0 0 0 0 0 0 0 0
1784738441.305638,282803,-37,11,1,7,1,-95,1,-1339435128,128,0 0 0 0 0 0 0 0 0 0 0 0 6 4 6 5 6 5 6 6 6 6 5 7 5 7 6 7 5 8 5 8 5 9 5 8 4 8 4 9 4 10 3 9 3 10 3 9 3 10 2 9 3 9 2 10 3 9 2 9 3 9 3 9 0 0 3 9 2 10 3 9 2 9 3 9 3 8 3 9 4 8 3 8 4 8 5 8 5 8 5 7 5 8 6 8 5 8 6 8 6 7 6 7 7 8 8 7 7 8 8 7 8 8 9 8 9 8 0 0 0 0 0 0 0 0 0 0
1784738441.319999,282804,-33,11,1,7,0,-95,1,-1339425025,128,0 0 0 0 0 0 0 0 0 0 0 0 -10 1 -10 0 -10 0 -11 -2 -11 -2 -11 -3 -11 -3 -12 -3 -12 -4 -11 -5 -12 -5 -12 -5 -12 -6 -12 -6 -12 -7 -12 -7 -12 -7 -11 -7 -11 -8 -11 -8 -10 -8 -11 -8 -10 -7 -11 -8 -11 -8 -11 -8 0 0 -11 -8 -10 -8 -11 -8 -10 -7 -11 -7 -10 -7 -10 -7 -11 -6 -11 -6 -11 -5 -11 -5 -11 -5 -12 -5 -12 -5 -12 -4 -12 -4 -12 -4 -13 -4 -13 -4 -14 -3 -13 -3 -14 -3 -14 -3 -14 -3 -15 -3 -15 -2 0 0 0 0 0 0 0 0 0 0
1784738441.325173,282805,-36,11,1,7,1,-95,1,-1339415158,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -5 7 -5 7 -4 8 -4 8 -3 9 -3 9 -2 9 -3 9 -2 9 -1 10 -1 10 -1 10 -1 10 0 11 0 10 0 11 1 10 0 11 1 10 1 10 1 10 1 10 1 10 1 10 1 10 1 0 0 10 1 9 1 10 1 9 1 10 1 10 0 9 0 9 0 9 0 9 -1 9 -1 9 -1 9 -1 10 -1 9 -2 10 -2 9 -2 10 -3 10 -3 10 -3 10 -4 10 -4 10 -4 11 -4 11 -4 11 -5 0 0 0 0 0 0 0 0 0 0
1784738441.338839,282806,-36,11,1,7,1,-95,1,-1339405060,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -8 4 -8 4 -8 5 -8 5 -8 6 -8 6 -8 6 -7 7 -8 7 -7 8 -7 8 -7 9 -6 9 -6 9 -7 9 -6 9 -5 10 -6 10 -6 9 -5 9 -5 10 -6 10 -6 10 -5 9 -5 9 -5 0 0 9 -5 9 -6 8 -5 8 -5 8 -6 8 -6 7 -6 8 -6 8 -7 7 -7 7 -7 7 -7 7 -7 7 -8 7 -8 7 -8 6 -9 6 -9 6 -9 6 -9 6 -10 6 -10 6 -11 6 -11 6 -12 6 -11 0 0 0 0 0 0 0 0 0 0
