pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784748177.279323,6653,-38,11,1,7,1,-95,1,99331645,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -6 1 -5 2 -6 2 -6 2 -6 2 -6 2 -6 2 -6 3 -6 3 -6 3 -6 4 -6 4 -6 4 -7 3 -7 4 -7 4 -7 4 -7 4 -6 5 -7 5 -7 5 -7 5 -7 6 -6 5 -6 6 -6 0 0 5 -7 6 -7 5 -6 6 -7 6 -7 5 -7 5 -7 5 -7 5 -8 5 -8 4 -7 5 -7 5 -7 5 -8 5 -9 4 -9 5 -9 5 -9 4 -9 4 -10 5 -9 5 -10 5 -11 5 -11 5 -11 5 -12 0 0 0 0 0 0 0 0 0 0
1784748177.290919,6654,-38,11,1,7,1,-95,1,99349325,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 3 -5 3 -5 3 -5 3 -6 3 -6 3 -6 3 -6 3 -6 2 -7 3 -7 2 -7 2 -7 2 -8 2 -8 2 -8 2 -8 2 -8 2 -8 2 -9 2 -9 1 -9 2 -9 2 -9 1 -9 1 -9 1 0 0 -9 1 -9 1 -9 1 -9 1 -9 1 -9 1 -9 1 -9 1 -9 1 -9 2 -9 2 -9 2 -9 2 -9 2 -10 3 -10 3 -9 3 -10 3 -10 4 -10 4 -10 4 -11 4 -11 4 -11 5 -11 5 -12 5 0 0 0 0 0 0 0 0 0 0
1784748177.290919,6655,-38,11,1,7,1,-95,1,99351650,128,0 0 0 0 0 0 0 0 0 0 0 0 4 0 5 0 5 1 5 1 5 1 5 2 5 2 5 2 5 2 6 2 6 3 5 3 6 3 5 3 6 4 6 4 6 4 6 4 6 4 6 4 6 5 6 5 6 5 6 5 6 5 6 5 0 0 6 5 6 5 6 5 6 6 6 6 6 5 6 5 6 5 6 4 7 5 7 4 7 5 7 4 7 4 8 4 8 4 8 5 8 5 9 4 9 4 9 4 9 4 10 4 10 5 10 4 10 4 0 0 0 0 0 0 0 0 0 0
1784748177.304774,6656,-38,11,1,7,1,-95,1,99361687,128,0 0 0 0 0 0 0 0 0 0 0 0 2 4 2 4 2 5 2 5 1 5 1 5 1 6 1 6 1 6 1 6 1 7 1 6 0 7 0 7 0 7 0 7 0 7 0 8 0 8 0 8 0 8 -1 8 -1 9 -1 8 -1 8 -1 8 0 0 -1 8 -1 9 -1 8 -1 8 -1 8 -1 9 -1 8 -1 9 -1 8 0 9 0 9 0 8 0 8 0 8 1 10 1 9 0 9 1 9 1 10 1 10 1 10 2 11 2 11 1 11 2 11 2 12 0 0 0 0 0 0 0 0 0 0
1784748177.324342,6657,-38,11,1,7,1,-95,1,99374492,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 5 -1 5 -1 5 -2 6 -2 5 -2 6 -2 5 -3 6 -3 6 -3 6 -3 6 -4 6 -4 6 -4 7 -4 7 -5 6 -5 6 -5 6 -6 7 -6 6 -6 7 -6 6 -6 6 -6 6 -6 7 -6 7 0 0 -7 6 -7 6 -7 6 -6 6 -7 6 -7 6 -7 6 -6 6 -7 7 -6 7 -6 7 -6 7 -6 7 -6 8 -6 8 -6 8 -6 8 -6 8 -6 8 -6 9 -6 9 -7 10 -6 10 -6 10 -6 10 -7 11 0 0 0 0 0 0 0 0 0 0
1784748177.330271,6658,-38,11,1,7,1,-95,1,99381734,128,0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 0 5 1 5 1 5 1 5 1 5 2 6 2 6 2 6 2 6 3 6 3 6 3 6 3 6 3 6 4 6 4 6 4 6 5 6 5 6 5 6 5 6 5 6 5 6 5 6 6 0 0 6 5 6 6 6 6 6 6 6 5 6 6 6 6 6 5 6 6 6 5 6 5 7 5 7 5 7 5 7 5 8 6 8 5 8 5 8 5 9 5 9 5 9 5 9 5 9 5 10 5 10 6 0 0 0 0 0 0 0 0 0 0
1784748177.336721,6659,-38,11,1,7,1,-95,1,99391771,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 5 -1 5 -2 5 -2 5 -2 5 -2 5 -2 5 -3 5 -3 6 -3 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -4 6 -5 6 -5 6 -5 7 -5 6 -5 6 -6 7 -6 6 -6 6 -6 6 0 0 -6 6 -6 6 -6 6 -6 7 -6 6 -6 7 -6 6 -6 6 -6 6 -5 7 -6 7 -5 7 -6 7 -5 6 -5 8 -5 7 -6 9 -5 8 -5 8 -5 9 -6 9 -5 9 -6 10 -5 10 -5 10 -5 11 0 0 0 0 0 0 0 0 0 0
1784748177.351055,6660,-38,11,1,7,1,-95,1,99401776,128,0 0 0 0 0 0 0 0 0 0 0 0 1 5 1 5 0 5 0 5 0 6 0 6 0 6 0 6 -1 6 -1 6 -1 6 -2 7 -2 7 -2 7 -2 7 -2 7 -2 7 -3 7 -3 7 -3 7 -3 8 -4 8 -3 8 -4 8 -3 8 -4 8 0 0 -4 8 -4 7 -4 8 -4 8 -4 8 -4 8 -4 8 -4 8 -4 8 -3 8 -3 8 -3 8 -3 8 -3 9 -3 9 -3 9 -3 9 -3 10 -2 10 -2 10 -2 10 -2 11 -2 11 -2 11 -2 12 -2 12 0 0 0 0 0 0 0 0 0 0
1784748177.352873,6661,-38,11,1,7,1,-95,1,99411707,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 4 -4 3 -5 3 -6 3 -5 3 -6 3 -6 3 -6 3 -6 3 -6 3 -7 3 -7 3 -7 3 -7 3 -8 3 -8 3 -8 3 -8 3 -8 3 -8 3 -9 3 -9 2 -9 2 -9 2 -9 2 -9 2 0 0 -9 2 -9 2 -8 2 -9 2 -9 2 -9 2 -9 3 -9 3 -9 3 -9 3 -9 3 -9 3 -9 4 -9 4 -9 4 -9 4 -9 5 -8 5 -9 5 -9 6 -9 6 -9 6 -10 6 -10 6 -10 6 -11 7 0 0 0 0 0 0 0 0 0 0
1784748177.375587,6662,-35,11,1,6,0,-95,1,99426371,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -8 0 -8 1 -8 1 -8 2 -8 2 -9 2 -9 2 -9 3 -9 3 -9 3 -9 3 -10 3 -10 4 -9 5 -10 5 -10 5 -10 5 -10 5 -11 6 -10 6 -11 7 -11 6 -10 7 -10 7 -11 6 -10 0 0 7 -10 7 -10 8 -10 7 -11 6 -11 7 -11 6 -11 7 -11 6 -11 6 -11 5 -11 6 -11 6 -11 6 -11 5 -12 6 -13 6 -13 5 -13 5 -14 5 -14 5 -15 4 -15 6 -15 6 -16 5 -17 6 -17 0 0 0 0 0 0 0 0 0 0
