pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784749247.797047,109915,-36,11,1,7,1,-95,1,1169819422,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -6 -3 -7 -3 -7 -2 -8 -2 -8 -2 -8 -1 -8 -2 -8 0 -9 -1 -9 -1 -9 -1 -9 0 -9 0 -10 0 -10 0 -9 0 -9 0 -9 1 -10 1 -10 1 -9 1 -10 1 -9 1 -9 1 -9 1 -10 0 0 1 -9 1 -9 1 -10 0 -9 0 -9 1 -9 0 -10 0 -10 0 -10 -1 -10 0 -10 -1 -10 -1 -10 -1 -10 -1 -10 -1 -11 -2 -11 -2 -11 -2 -11 -2 -11 -2 -11 -2 -11 -3 -11 -3 -11 -3 -11 -3 -11 0 0 0 0 0 0 0 0 0 0
1784749247.797047,109916,-36,11,1,7,1,-95,1,1169819937,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 1 -8 0 -8 0 -8 -1 -8 -1 -8 -1 -8 -1 -9 -2 -9 -2 -9 -2 -9 -2 -9 -3 -9 -3 -9 -3 -9 -3 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 0 0 -10 -4 -9 -4 -9 -4 -9 -4 -9 -3 -10 -4 -9 -3 -10 -3 -10 -3 -10 -3 -10 -3 -10 -3 -10 -3 -11 -3 -10 -2 -11 -2 -11 -2 -11 -2 -11 -2 -11 -2 -11 -1 -11 -2 -11 -1 -11 -1 -12 -1 -12 -1 0 0 0 0 0 0 0 0 0 0
1784749247.797047,109917,-36,11,1,7,1,-95,1,1169825816,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -7 2 -8 2 -7 3 -7 3 -7 3 -7 3 -7 4 -8 4 -7 4 -7 5 -7 5 -7 6 -7 6 -7 6 -7 6 -7 6 -7 6 -7 7 -7 7 -7 7 -7 7 -6 7 -7 7 -6 7 -6 7 -7 0 0 7 -7 7 -7 7 -7 7 -7 7 -7 7 -7 7 -7 6 -8 6 -8 6 -8 6 -8 6 -8 6 -8 6 -8 6 -8 6 -9 6 -9 6 -9 6 -9 6 -9 6 -9 6 -10 6 -10 6 -10 6 -10 6 -10 0 0 0 0 0 0 0 0 0 0
1784749247.812999,109918,-36,11,1,7,1,-95,1,1169835819,128,0 0 0 0 0 0 0 0 0 0 0 0 2 6 2 6 1 7 1 7 1 7 0 7 0 7 0 7 0 8 -1 8 -1 8 -1 8 -2 9 -2 8 -2 8 -2 9 -2 8 -2 9 -2 9 -2 9 -2 9 -2 9 -3 9 -3 9 -3 8 -3 9 0 0 -3 9 -2 9 -3 9 -2 9 -2 9 -2 9 -2 9 -2 9 -2 9 -1 9 -2 9 -1 9 -1 9 -1 9 0 10 0 10 0 10 0 10 0 10 0 11 0 10 0 10 0 10 0 11 1 11 1 10 0 0 0 0 0 0 0 0 0 0
1784749247.829044,109919,-36,11,1,7,1,-95,1,1169845808,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -7 -3 -7 -2 -7 -2 -8 -1 -8 -2 -8 -1 -8 -1 -8 -1 -9 -1 -9 0 -8 0 -10 1 -9 1 -9 1 -9 1 -9 1 -9 1 -10 1 -10 1 -9 1 -9 2 -10 2 -9 2 -9 1 -9 2 -10 0 0 1 -9 1 -9 1 -10 1 -10 1 -10 1 -10 1 -9 0 -10 1 -10 0 -10 0 -10 0 -10 0 -10 0 -10 -1 -10 0 -11 -1 -11 -1 -10 -1 -11 -1 -10 -2 -11 -2 -11 -1 -11 -1 -11 -2 -11 -2 -11 0 0 0 0 0 0 0 0 0 0
1784749247.844790,109920,-36,11,1,7,1,-95,1,1169855878,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -7 2 -7 3 -7 4 -7 4 -7 4 -7 5 -6 5 -7 5 -7 5 -7 5 -6 6 -6 7 -7 6 -6 6 -6 7 -6 7 -6 7 -6 6 -6 7 -7 7 -6 7 -7 7 -6 7 -6 7 -6 7 -6 0 0 6 -7 7 -6 7 -7 6 -7 6 -7 7 -7 6 -7 6 -8 6 -8 6 -8 6 -8 6 -8 5 -8 5 -8 5 -9 5 -9 5 -9 5 -10 5 -9 5 -10 5 -10 4 -10 5 -10 4 -10 4 -10 4 -10 0 0 0 0 0 0 0 0 0 0
1784749247.844790,109921,-36,11,1,7,1,-95,1,1169865814,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 4 -7 3 -7 3 -8 2 -8 2 -8 2 -8 2 -8 2 -9 2 -9 1 -9 1 -9 1 -9 1 -10 0 -10 0 -10 0 -10 0 -10 0 -10 0 -10 0 -10 0 -10 0 -10 0 -10 -1 -10 -1 -10 -1 0 0 -10 0 -10 0 -10 0 -10 0 -10 0 -10 0 -10 0 -10 1 -10 1 -11 1 -11 1 -10 1 -10 1 -10 2 -11 2 -11 2 -11 2 -11 2 -11 3 -11 3 -11 3 -11 3 -11 4 -11 3 -11 4 -11 4 0 0 0 0 0 0 0 0 0 0
1784749247.860727,109922,-36,11,1,7,1,-95,1,1169875761,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 6 -3 6 -3 6 -4 6 -4 6 -4 6 -5 6 -5 6 -5 6 -5 6 -5 6 -6 6 -6 6 -6 6 -6 6 -7 6 -7 6 -7 6 -7 6 -7 6 -8 6 -7 6 -7 6 -7 6 -8 5 -8 6 0 0 -8 6 -8 6 -8 6 -7 6 -7 6 -7 6 -7 6 -7 6 -7 6 -7 7 -7 7 -7 7 -7 7 -7 8 -7 7 -7 8 -6 8 -6 8 -7 8 -7 8 -6 9 -6 9 -6 8 -6 9 -6 9 -6 9 0 0 0 0 0 0 0 0 0 0
1784749247.876517,109923,-36,11,1,7,1,-95,1,1169885885,128,0 0 0 0 0 0 0 0 0 0 0 0 6 0 7 0 7 0 7 1 7 1 7 1 7 2 7 2 7 2 7 3 7 3 7 3 7 3 7 4 7 4 8 4 7 4 8 4 7 4 7 4 8 4 7 5 8 5 7 5 7 5 7 5 0 0 7 5 8 5 7 5 8 5 7 4 8 4 8 4 8 4 8 4 8 4 8 4 9 4 9 4 9 3 9 3 9 3 9 3 9 3 10 3 10 2 10 2 10 2 10 3 10 2 10 3 10 2 0 0 0 0 0 0 0 0 0 0
1784749247.892301,109924,-36,11,1,7,1,-95,1,1169895825,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 6 -4 6 -5 5 -5 6 -5 5 -6 5 -6 5 -6 5 -6 5 -7 5 -6 5 -7 5 -7 5 -8 4 -8 4 -8 5 -8 4 -8 5 -8 4 -8 4 -8 4 -8 5 -8 4 -9 4 -9 4 -9 4 0 0 -8 5 -8 4 -9 4 -9 5 -8 4 -8 5 -8 5 -8 5 -8 5 -8 6 -8 5 -8 6 -8 6 -8 6 -7 6 -8 6 -8 6 -8 7 -8 7 -8 8 -7 6 -8 7 -7 7 -8 8 -8 8 -7 9 0 0 0 0 0 0 0 0 0 0
