pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784749727.151666,156046,-33,11,1,7,0,-95,1,1649152303,128,0 0 0 0 0 0 0 0 0 0 0 0 3 7 2 8 1 8 1 9 0 9 0 9 0 9 -1 10 -1 10 -1 10 -2 10 -2 10 -2 11 -3 11 -3 11 -3 11 -3 11 -4 10 -4 11 -4 11 -4 11 -4 11 -4 11 -4 11 -4 11 -4 11 0 0 -4 11 -4 11 -4 11 -3 11 -3 11 -3 11 -3 12 -3 12 -3 12 -2 12 -2 13 -2 13 -2 13 -2 13 -1 13 -1 14 -1 14 -1 14 -1 14 -1 15 -1 15 0 15 0 15 0 16 0 16 0 16 0 0 0 0 0 0 0 0 0 0
1784749727.158577,156047,-36,11,1,7,1,-95,1,1649159947,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -6 -2 -7 -2 -7 -1 -7 0 -8 0 -8 0 -8 0 -8 0 -8 1 -8 1 -8 1 -9 1 -9 1 -9 2 -9 2 -8 2 -9 2 -9 2 -9 2 -9 3 -9 3 -8 3 -9 3 -8 3 -9 2 -9 0 0 3 -9 2 -9 2 -9 2 -8 2 -9 1 -9 1 -10 1 -10 1 -10 0 -10 1 -10 1 -10 1 -10 1 -11 0 -11 0 -11 0 -11 0 -12 -1 -12 -1 -12 0 -12 -1 -13 -1 -13 -1 -13 -1 -13 -1 -13 0 0 0 0 0 0 0 0 0 0
1784749727.167559,156048,-36,11,1,7,1,-95,1,1649170029,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 5 -3 5 -4 6 -4 6 -4 6 -4 6 -4 6 -5 6 -5 6 -5 6 -6 6 -6 5 -6 6 -7 5 -7 6 -7 5 -7 6 -7 5 -7 6 -7 5 -7 6 -7 6 -7 6 -7 6 -7 5 -7 5 0 0 -7 6 -7 6 -7 6 -6 6 -6 6 -6 6 -6 7 -6 7 -6 7 -6 8 -5 8 -5 8 -5 8 -6 8 -5 9 -5 9 -5 9 -5 9 -5 10 -5 10 -5 10 -5 10 -5 11 -5 11 -5 11 -6 11 0 0 0 0 0 0 0 0 0 0
1784749727.170284,156049,-36,11,1,7,1,-95,1,1649179931,128,0 0 0 0 0 0 0 0 0 0 0 0 3 5 3 5 2 6 2 6 2 6 2 7 2 7 2 7 1 7 1 8 1 8 0 8 0 8 0 8 0 8 0 8 0 8 -1 9 -1 8 -1 9 -1 9 -1 9 -1 9 -1 9 -1 8 -1 8 0 0 -1 8 0 9 0 8 0 9 0 9 0 9 1 9 1 9 1 9 1 10 2 9 1 9 2 9 2 9 3 10 3 10 3 10 3 10 3 10 4 10 4 11 4 11 4 12 4 12 4 11 4 11 0 0 0 0 0 0 0 0 0 0
1784749727.189923,156050,-36,11,1,7,1,-95,1,1649190027,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 0 -7 0 -7 -1 -7 -1 -8 -1 -8 -1 -8 -2 -8 -2 -8 -2 -8 -3 -8 -3 -9 -3 -8 -4 -8 -4 -9 -4 -8 -4 -9 -5 -8 -4 -8 -5 -8 -5 -8 -5 -9 -5 -9 -5 -8 -5 -8 -5 -8 -5 0 0 -9 -5 -9 -5 -8 -5 -9 -4 -9 -4 -9 -4 -9 -4 -10 -4 -10 -4 -10 -3 -10 -3 -10 -3 -10 -3 -11 -3 -11 -3 -11 -3 -11 -3 -11 -3 -12 -2 -12 -2 -12 -2 -13 -3 -13 -3 -13 -3 -13 -3 -13 -3 0 0 0 0 0 0 0 0 0 0
1784749727.189923,156051,-36,11,1,7,1,-95,1,1649200028,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -1 -7 -1 -7 -2 -7 -3 -7 -3 -7 -3 -7 -3 -8 -4 -8 -4 -7 -4 -8 -5 -8 -5 -7 -5 -7 -5 -8 -6 -7 -6 -7 -6 -7 -6 -7 -6 -7 -7 -7 -6 -7 -6 -7 -7 -7 -7 -7 -6 -7 -6 0 0 -8 -6 -7 -6 -7 -6 -8 -6 -7 -6 -8 -6 -8 -5 -9 -5 -9 -5 -9 -5 -9 -5 -9 -5 -9 -5 -10 -5 -10 -5 -10 -5 -10 -5 -11 -5 -11 -5 -11 -5 -12 -5 -11 -5 -12 -5 -12 -5 -12 -5 -13 -5 0 0 0 0 0 0 0 0 0 0
1784749727.201011,156052,-36,11,1,7,1,-95,1,1649216245,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -6 0 -7 1 -7 2 -7 2 -7 2 -7 3 -8 3 -7 3 -7 4 -7 4 -7 5 -7 4 -7 5 -7 5 -8 5 -7 5 -7 5 -7 5 -7 5 -7 5 -7 6 -7 5 -7 5 -7 5 -7 6 -7 0 0 5 -8 5 -7 5 -7 5 -8 5 -8 5 -7 5 -8 4 -8 5 -9 4 -9 4 -9 4 -10 4 -9 4 -10 4 -11 4 -10 4 -11 4 -11 4 -11 4 -12 4 -11 3 -12 4 -12 4 -12 4 -12 4 -12 0 0 0 0 0 0 0 0 0 0
1784749727.218419,156053,-36,11,1,7,1,-95,1,1649220021,128,0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 5 3 5 3 6 2 6 2 6 2 6 1 7 2 7 1 7 1 8 1 8 1 8 0 8 1 9 0 8 0 8 0 8 -1 9 0 8 0 8 0 8 0 8 0 8 -1 8 0 9 0 0 0 8 0 8 0 8 0 9 0 9 0 9 0 8 1 9 1 9 1 9 2 9 2 9 2 9 2 10 2 9 2 10 2 10 3 11 3 11 3 10 3 11 3 12 3 11 4 11 3 11 4 12 0 0 0 0 0 0 0 0 0 0
1784749727.327357,156054,-36,11,1,7,1,-95,1,1649229956,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 1 -7 1 -8 0 -8 0 -8 -1 -8 -1 -8 -1 -8 -1 -8 -2 -9 -2 -8 -3 -8 -3 -8 -4 -9 -4 -8 -4 -9 -4 -8 -4 -9 -4 -9 -4 -9 -4 -9 -4 -8 -4 -8 -4 -9 -4 -9 -4 -8 -5 0 0 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -3 -10 -3 -10 -4 -11 -3 -10 -3 -10 -3 -10 -3 -10 -3 -11 -3 -11 -2 -11 -2 -11 -2 -12 -2 -12 -2 -13 -2 -12 -2 -13 -2 -13 -1 -13 -2 -13 -2 0 0 0 0 0 0 0 0 0 0
1784749727.333098,156055,-36,11,1,7,1,-95,1,1649331891,128,0 0 0 0 0 0 0 0 0 0 0 0 3 5 3 5 2 5 2 6 2 6 1 7 1 7 1 6 1 7 1 7 0 8 0 8 0 8 -1 8 -1 8 -1 8 -1 8 -1 9 -1 8 -1 8 -1 8 -1 8 -1 8 -1 8 -2 8 -1 8 0 0 -1 8 -1 8 0 8 0 9 0 8 0 8 1 9 0 9 0 8 1 9 1 9 1 9 1 9 1 9 2 10 3 10 2 10 3 11 3 10 3 11 3 11 4 10 3 11 3 12 4 12 3 12 0 0 0 0 0 0 0 0 0 0
