pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784749764.649122,159629,-40,11,1,6,1,-95,1,1686651141,128,0 0 0 0 0 0 0 0 0 0 0 0 5 2 5 3 4 3 5 4 4 4 4 6 5 5 4 6 4 6 4 6 3 6 4 7 3 7 4 7 3 7 2 7 3 8 3 7 3 7 2 8 2 8 2 8 2 7 2 8 2 8 3 8 0 0 3 7 2 7 2 7 3 7 4 7 4 7 4 7 5 6 5 7 6 7 5 7 6 8 6 7 7 8 6 7 7 7 7 8 7 8 7 9 7 8 8 8 8 8 8 8 9 8 9 8 9 8 0 0 0 0 0 0 0 0 0 0
1784749764.655289,159630,-37,11,1,7,0,-95,1,1686658840,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 2 -9 2 -9 1 -10 1 -9 1 -9 0 -10 -1 -11 -1 -11 -1 -11 -2 -12 -2 -11 -3 -12 -3 -12 -4 -12 -4 -11 -4 -11 -5 -12 -4 -11 -5 -11 -5 -11 -4 -11 -4 -11 -5 -11 -5 -11 -5 -11 -5 0 0 -11 -4 -11 -4 -11 -4 -11 -4 -11 -4 -12 -4 -12 -3 -12 -4 -12 -2 -13 -2 -13 -3 -14 -2 -13 -2 -14 -2 -14 -2 -15 -2 -15 -2 -15 -1 -16 -1 -15 -1 -16 -1 -17 -1 -17 -2 -17 -2 -17 -1 -17 -2 0 0 0 0 0 0 0 0 0 0
1784749764.678458,159631,-40,11,1,7,1,-95,1,1686668721,128,0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 -1 6 -2 6 -2 6 -1 6 -2 6 -2 7 -3 6 -4 6 -4 7 -4 7 -4 7 -4 6 -5 7 -5 6 -5 6 -5 6 -6 7 -5 6 -6 6 -5 6 -5 5 -5 6 -5 6 -5 6 0 0 -5 6 -4 7 -4 7 -5 7 -4 7 -4 7 -5 7 -4 7 -4 8 -3 8 -3 8 -3 8 -3 9 -4 9 -2 9 -3 9 -3 10 -3 10 -3 9 -2 11 -3 11 -3 10 -3 11 -3 12 -3 11 -2 12 0 0 0 0 0 0 0 0 0 0
1784749764.679730,159632,-39,11,1,7,1,-95,1,1686678723,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 4 -5 3 -5 3 -6 3 -6 3 -6 3 -7 3 -7 3 -7 2 -8 3 -8 3 -8 2 -8 2 -8 2 -9 2 -9 1 -9 1 -9 1 -9 1 -9 0 -9 1 -9 0 -9 1 -8 1 -8 1 -9 1 0 0 -8 1 -8 1 -8 1 -8 2 -8 2 -8 2 -8 2 -8 3 -9 3 -9 4 -9 4 -9 4 -9 5 -9 5 -9 5 -9 5 -9 5 -9 6 -10 6 -10 6 -10 6 -11 6 -10 7 -10 7 -11 8 -11 7 0 0 0 0 0 0 0 0 0 0
1784749764.682941,159633,-39,11,1,7,1,-95,1,1686688718,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -1 5 0 6 0 6 1 6 1 6 2 6 2 7 2 7 2 7 3 7 3 6 4 6 4 7 5 7 4 7 5 6 5 7 5 6 5 6 5 6 6 6 5 6 5 6 6 5 5 6 5 0 0 6 5 6 5 6 5 6 5 6 5 6 4 7 4 7 4 7 4 8 4 8 4 8 4 8 3 8 3 9 3 9 3 10 3 10 3 10 3 10 3 11 3 11 3 11 4 11 4 12 4 12 4 0 0 0 0 0 0 0 0 0 0
1784749764.694314,159634,-38,11,1,7,1,-95,1,1686698698,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -5 3 -5 4 -5 4 -5 4 -5 5 -5 5 -5 5 -5 6 -5 6 -4 7 -4 6 -4 7 -4 7 -4 7 -4 7 -3 7 -3 8 -3 8 -3 8 -3 8 -3 8 -3 7 -3 7 -3 7 -2 7 -3 0 0 7 -3 7 -3 7 -3 7 -4 7 -4 7 -4 7 -4 7 -5 7 -5 7 -5 7 -5 7 -6 7 -6 7 -6 7 -7 7 -7 7 -7 7 -7 8 -8 7 -8 8 -8 8 -8 7 -8 8 -8 8 -9 9 -9 0 0 0 0 0 0 0 0 0 0
1784749764.694314,159635,-39,11,1,7,1,-95,1,1686710521,128,0 0 0 0 0 0 0 0 0 0 0 0 5 1 5 2 5 2 5 3 5 3 5 4 4 3 5 4 4 5 4 5 4 5 4 5 4 6 4 6 4 6 4 6 4 7 4 6 3 7 4 7 3 7 3 8 3 7 3 7 3 7 4 7 0 0 3 6 3 7 4 6 3 6 4 6 4 7 4 6 4 6 5 6 5 6 5 6 5 6 6 6 6 6 6 6 6 6 7 7 7 7 8 7 7 7 7 7 8 7 8 7 8 8 8 8 9 8 0 0 0 0 0 0 0 0 0 0
1784749764.716568,159636,-39,11,1,7,1,-95,1,1686718687,128,0 0 0 0 0 0 0 0 0 0 0 0 1 6 1 5 0 6 0 6 0 7 -1 6 -1 7 -1 7 -1 7 -2 7 -3 7 -3 7 -4 8 -4 7 -4 7 -4 7 -4 7 -5 8 -4 7 -5 7 -5 7 -5 7 -5 7 -6 6 -5 6 -5 6 0 0 -5 7 -5 7 -4 7 -4 8 -4 7 -4 7 -4 7 -3 7 -3 7 -3 8 -3 8 -3 8 -3 8 -4 8 -3 9 -2 8 -3 10 -3 10 -2 10 -2 11 -3 10 -2 11 -3 11 -3 11 -3 11 -2 12 0 0 0 0 0 0 0 0 0 0
1784749764.726091,159637,-37,11,1,7,1,-95,1,1686732069,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 5 -4 5 -5 4 -5 4 -6 4 -6 4 -6 4 -7 4 -7 4 -7 4 -8 4 -8 4 -8 3 -9 3 -9 3 -9 3 -9 3 -9 3 -9 2 -9 3 -9 2 -9 2 -9 2 -9 2 -9 2 -9 2 0 0 -9 3 -9 2 -9 2 -8 3 -8 3 -8 3 -8 3 -8 4 -9 4 -8 5 -8 5 -8 5 -9 5 -9 6 -8 6 -9 6 -8 6 -9 7 -9 7 -9 7 -9 8 -9 7 -9 7 -9 8 -10 8 -10 8 0 0 0 0 0 0 0 0 0 0
1784749764.726091,159638,-38,11,1,7,1,-95,1,1686738745,128,0 0 0 0 0 0 0 0 0 0 0 0 4 3 4 3 5 4 4 4 4 4 4 4 4 5 4 5 4 6 4 6 4 6 4 6 3 7 3 8 3 8 2 8 1 8 2 8 2 8 2 8 2 8 1 9 2 8 2 8 2 8 1 8 0 0 1 8 1 8 2 8 2 8 2 8 2 8 2 8 3 9 2 8 3 8 3 8 4 8 4 9 5 8 4 9 4 9 5 9 4 9 5 10 5 9 5 10 6 10 6 10 6 10 6 10 7 11 0 0 0 0 0 0 0 0 0 0
1784749764.743947,159639,-38,11,1,7,1,-95,1,1686748686,128,0 0 0 0 0 0 0 0 0 0 0 0 6 0 5 0 6 1 6 1 6 2 6 2 6 2 6 3 7 3 6 3 6 4 6 4 6 5 6 4 6 4 7 5 6 5 7 6 5 6 7 5 6 5 6 5 6 6 5 6 5 6 5 5 0 0 6 5 6 5 6 6 7 5 7 5 6 5 7 5 7 5 7 4 7 5 8 5 8 4 8 4 8 4 9 4 9 4 9 4 10 4 9 3 10 4 10 4 10 3 11 5 11 4 11 5 11 5 0 0 0 0 0 0 0 0 0 0
1784749764.757645,159640,-36,11,1,7,1,-95,1,1686758779,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -6 4 -5 4 -5 5 -5 5 -5 5 -5 6 -4 6 -4 6 -4 7 -4 7 -4 7 -4 8 -4 7 -4 8 -3 8 -3 8 -3 8 -3 8 -3 8 -3 8 -2 8 -2 8 -3 8 -3 8 -3 8 -3 0 0 8 -3 8 -3 8 -3 8 -3 8 -3 8 -4 8 -4 8 -4 8 -4 8 -5 8 -5 8 -5 8 -6 8 -6 8 -6 9 -6 8 -7 9 -7 9 -7 9 -7 9 -8 9 -8 9 -8 9 -8 10 -8 10 -8 0 0 0 0 0 0 0 0 0 0
1784749764.757645,159641,-37,11,1,7,1,-95,1,1686768703,128,0 0 0 0 0 0 0 0 0 0 0 0 2 5 1 5 1 6 1 6 0 6 0 7 0 7 0 7 -1 7 -1 7 -1 7 -1 7 -2 8 -2 8 -2 8 -2 8 -3 8 -3 8 -3 8 -3 8 -3 8 -3 8 -3 8 -3 7 -3 8 -3 8 0 0 -3 8 -3 8 -3 8 -2 8 -2 8 -2 8 -2 8 -1 8 -2 8 -1 9 -1 9 0 9 -1 9 -1 9 0 10 0 10 0 10 0 10 0 10 1 11 1 11 1 11 1 11 0 12 1 12 1 12 0 0 0 0 0 0 0 0 0 0
1784749764.789308,159642,-37,11,1,7,1,-95,1,1686781997,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 5 -2 6 -3 5 -3 6 -3 5 -4 6 -4 5 -5 5 -4 6 -5 6 -6 6 -6 6 -6 6 -6 5 -6 5 -7 5 -7 5 -7 6 -7 5 -7 5 -8 5 -7 5 -7 5 -7 4 -7 4 -7 5 0 0 -7 5 -7 4 -7 5 -7 6 -6 5 -6 5 -6 6 -7 6 -6 6 -6 7 -7 7 -6 6 -6 7 -6 7 -6 8 -6 8 -6 8 -6 9 -5 9 -6 9 -6 9 -5 9 -6 9 -6 9 -6 10 -6 10 0 0 0 0 0 0 0 0 0 0
1784749764.789308,159643,-37,11,1,7,1,-95,1,1686788965,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -6 4 -6 5 -5 5 -5 5 -5 6 -5 6 -5 6 -5 7 -4 7 -5 7 -5 7 -4 7 -4 8 -4 8 -4 8 -3 8 -3 8 -3 9 -3 8 -2 9 -2 8 -2 8 -2 8 -2 8 -2 9 -3 0 0 8 -3 8 -2 8 -2 8 -3 8 -3 8 -3 8 -3 8 -4 8 -4 8 -4 7 -5 7 -5 8 -5 8 -6 8 -6 9 -6 8 -6 8 -6 9 -6 9 -7 9 -7 9 -7 8 -7 9 -8 9 -8 10 -8 0 0 0 0 0 0 0 0 0 0
1784749764.805086,159644,-37,11,1,7,1,-95,1,1686798669,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -7 1 -7 2 -7 2 -7 2 -7 3 -7 3 -8 4 -7 4 -8 4 -8 5 -8 5 -8 5 -7 6 -7 5 -8 6 -7 6 -7 6 -7 6 -7 7 -7 6 -6 6 -7 6 -7 6 -6 5 -7 6 -6 0 0 6 -7 6 -7 5 -6 5 -7 5 -7 5 -8 4 -8 4 -8 4 -8 4 -9 4 -8 3 -8 3 -9 3 -9 3 -9 3 -10 3 -10 4 -10 2 -10 2 -11 2 -10 2 -11 2 -11 2 -11 1 -12 1 -12 0 0 0 0 0 0 0 0 0 0
1784749764.822905,159645,-36,11,1,6,1,-95,1,1686825523,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -7 3 -7 4 -7 4 -7 4 -7 4 -7 5 -7 5 -7 6 -7 6 -7 7 -6 7 -6 7 -6 7 -6 7 -6 8 -6 8 -6 8 -6 8 -6 8 -5 8 -5 8 -6 8 -5 8 -4 8 -4 8 -5 0 0 8 -5 8 -5 8 -5 8 -6 7 -6 8 -6 7 -6 7 -6 7 -6 7 -7 7 -7 7 -7 7 -7 7 -7 7 -9 6 -8 7 -9 7 -9 7 -9 7 -10 7 -9 7 -10 7 -10 7 -10 7 -10 7 -10 0 0 0 0 0 0 0 0 0 0
