pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783898569.047276,58305,-44,11,1,6,1,-95,1,610472638,128,0 0 0 0 0 0 0 0 0 0 0 0 8 4 8 5 7 6 7 6 7 7 7 7 6 7 6 7 6 8 6 8 5 8 5 8 5 8 5 8 5 8 5 8 4 8 4 8 4 8 4 8 4 8 4 8 4 7 4 7 4 7 5 7 0 0 5 7 5 6 5 7 5 6 5 6 6 6 6 6 6 6 6 6 7 5 7 5 7 5 7 5 8 5 8 5 8 5 9 5 9 5 9 5 9 5 9 4 10 5 10 5 10 4 10 4 10 5 0 0 0 0 0 0 0 0 0 0
1783898569.054078,58306,-44,11,1,6,1,-95,1,610479501,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -7 -7 -7 -7 -8 -7 -8 -6 -9 -6 -9 -6 -9 -5 -9 -5 -9 -5 -9 -5 -9 -5 -10 -4 -10 -4 -10 -4 -10 -4 -10 -3 -9 -3 -10 -3 -9 -3 -10 -3 -9 -3 -9 -3 -9 -3 -9 -3 -9 -4 -9 0 0 -4 -9 -4 -9 -4 -8 -4 -9 -5 -8 -5 -8 -5 -8 -5 -8 -5 -8 -6 -8 -6 -8 -7 -8 -7 -8 -7 -8 -7 -8 -7 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -9 -8 -9 -8 -9 -8 -9 -9 -9 -8 0 0 0 0 0 0 0 0 0 0
1783898569.064106,58307,-44,11,1,6,1,-95,1,610489458,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -7 -7 -8 -6 -9 -6 -9 -5 -9 -5 -9 -5 -9 -5 -9 -4 -10 -4 -10 -4 -10 -4 -10 -3 -10 -3 -10 -3 -10 -3 -10 -2 -10 -2 -10 -2 -10 -2 -10 -2 -10 -3 -10 -3 -9 -2 -9 -2 -9 -3 -9 0 0 -3 -9 -3 -9 -3 -9 -4 -9 -4 -9 -4 -9 -5 -9 -5 -8 -5 -8 -5 -9 -6 -9 -6 -8 -6 -8 -6 -8 -7 -8 -7 -9 -7 -9 -7 -9 -8 -9 -8 -8 -8 -9 -8 -9 -8 -9 -8 -9 -9 -9 -9 -9 0 0 0 0 0 0 0 0 0 0
1783898569.076431,58308,-44,11,1,6,1,-95,1,610501783,128,0 0 0 0 0 0 0 0 0 0 0 0 -10 -4 -9 -4 -9 -5 -9 -5 -9 -6 -9 -6 -9 -6 -8 -7 -8 -7 -8 -7 -8 -8 -8 -7 -8 -8 -7 -8 -7 -8 -7 -8 -7 -8 -7 -8 -7 -8 -7 -8 -7 -8 -7 -8 -6 -7 -6 -7 -6 -7 -7 -7 0 0 -7 -7 -7 -6 -7 -6 -7 -6 -8 -6 -8 -6 -8 -6 -8 -5 -8 -5 -9 -5 -9 -5 -9 -5 -9 -5 -9 -5 -10 -4 -10 -4 -10 -4 -10 -4 -11 -4 -11 -4 -11 -4 -12 -4 -11 -4 -12 -4 -12 -4 -12 -4 0 0 0 0 0 0 0 0 0 0
1783898569.083763,58309,-44,11,1,7,1,-95,1,610509141,128,0 0 0 0 0 0 0 0 0 0 0 0 8 4 8 5 8 5 8 6 7 6 7 6 7 6 7 7 6 7 6 7 6 8 6 7 6 8 5 8 5 8 5 8 5 8 5 8 5 8 5 8 5 7 5 7 4 7 4 7 4 7 5 7 0 0 5 6 5 6 5 6 6 6 6 6 6 6 6 5 7 5 7 5 7 5 7 5 7 5 7 5 8 5 8 5 8 5 9 5 9 4 9 4 9 4 10 4 10 4 10 4 10 4 10 4 11 4 0 0 0 0 0 0 0 0 0 0
1783898569.095115,58310,-44,11,1,6,1,-95,1,610519530,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 8 -6 7 -7 7 -8 7 -8 6 -8 6 -8 6 -8 5 -9 6 -9 5 -9 5 -9 5 -10 4 -9 4 -9 4 -10 4 -9 4 -10 4 -9 4 -9 4 -9 4 -9 4 -9 3 -9 3 -9 4 -8 4 0 0 -8 4 -8 5 -8 5 -8 5 -7 5 -7 5 -7 5 -7 6 -7 6 -7 6 -7 6 -7 6 -7 6 -7 7 -6 8 -6 8 -7 8 -7 8 -6 9 -6 9 -6 9 -6 9 -7 9 -7 10 -7 10 -7 10 0 0 0 0 0 0 0 0 0 0
1783898569.105807,58311,-44,11,1,7,1,-95,1,610528128,128,0 0 0 0 0 0 0 0 0 0 0 0 -10 -3 -10 -4 -9 -4 -10 -5 -9 -5 -9 -6 -9 -6 -9 -6 -9 -6 -8 -7 -8 -7 -8 -8 -8 -8 -7 -8 -8 -8 -8 -7 -7 -7 -7 -8 -7 -8 -7 -7 -7 -7 -7 -7 -7 -7 -6 -7 -6 -7 -7 -7 0 0 -7 -6 -7 -6 -7 -6 -7 -6 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -9 -5 -9 -5 -9 -5 -9 -5 -9 -4 -10 -4 -10 -4 -10 -4 -11 -4 -11 -3 -11 -3 -11 -4 -11 -3 -12 -4 -12 -4 -12 -4 -12 -4 0 0 0 0 0 0 0 0 0 0
1783898569.113844,58312,-44,11,1,6,1,-95,1,610539245,128,0 0 0 0 0 0 0 0 0 0 0 0 9 1 9 2 9 3 9 4 8 4 8 4 8 4 8 5 8 5 8 6 8 6 8 6 7 6 7 6 7 6 7 6 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 0 6 5 6 5 7 5 7 5 7 4 7 4 7 4 7 4 8 4 8 4 8 4 8 3 8 3 9 3 9 3 9 3 9 3 9 3 10 3 10 3 10 3 10 3 11 3 10 3 11 3 11 3 0 0 0 0 0 0 0 0 0 0
1783898569.123823,58313,-44,11,1,6,1,-95,1,610548203,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -9 4 -9 5 -9 5 -9 5 -8 6 -8 6 -8 6 -8 6 -8 7 -7 7 -7 7 -7 7 -7 7 -7 7 -7 8 -7 7 -6 8 -6 7 -6 7 -6 7 -6 7 -6 7 -6 7 -6 7 -6 6 -6 0 0 6 -6 6 -7 6 -7 5 -7 5 -7 5 -7 5 -7 5 -8 5 -8 5 -8 4 -9 4 -9 4 -9 4 -9 4 -9 4 -10 4 -10 4 -10 4 -10 3 -11 4 -11 3 -11 3 -11 3 -11 4 -12 4 -12 0 0 0 0 0 0 0 0 0 0
1783898569.123823,58314,-44,11,1,6,1,-95,1,610558122,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -6 8 -6 8 -5 8 -5 9 -4 9 -4 9 -4 9 -4 9 -3 9 -3 9 -2 9 -2 10 -2 10 -2 9 -2 9 -2 9 -1 9 -1 9 -1 9 -1 9 -1 9 -1 9 -1 9 -1 8 -1 8 -2 0 0 8 -2 8 -2 8 -3 8 -3 8 -3 8 -3 8 -3 8 -4 8 -4 8 -4 8 -5 8 -5 8 -5 8 -5 8 -6 8 -6 9 -6 8 -6 9 -6 8 -7 9 -7 8 -7 9 -7 9 -7 9 -7 9 -8 0 0 0 0 0 0 0 0 0 0
