pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783902149.653512,55638,-53,11,1,6,1,-95,1,578446928,128,0 0 0 0 0 0 0 0 0 0 0 0 -14 2 -14 2 -14 1 -14 0 -14 0 -14 0 -14 -1 -14 0 -14 -1 -14 -1 -14 -1 -14 -1 -14 -1 -14 -1 -14 -1 -14 -2 -14 -2 -13 -1 -13 -1 -13 -1 -13 -1 -13 -1 -13 -1 -13 -1 -13 -1 -12 -1 0 0 -12 -1 -12 -1 -12 -1 -12 0 -11 0 -11 0 -11 0 -11 1 -11 0 -10 1 -10 1 -10 1 -10 1 -9 1 -9 1 -9 1 -8 1 -8 1 -8 1 -8 1 -7 2 -7 2 -7 2 -7 2 -6 2 -6 1 0 0 0 0 0 0 0 0 0 0
1783902149.655351,55639,-53,11,1,6,1,-95,1,578457027,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 -12 -9 -12 -8 -13 -7 -12 -7 -13 -7 -12 -7 -13 -7 -13 -7 -13 -6 -13 -6 -13 -6 -13 -6 -13 -6 -13 -6 -13 -6 -13 -6 -13 -6 -13 -6 -13 -7 -12 -6 -12 -7 -12 -6 -12 -6 -12 -6 -11 -6 -11 0 0 -6 -11 -7 -11 -6 -10 -7 -10 -7 -10 -7 -10 -7 -9 -7 -9 -7 -9 -7 -9 -7 -9 -7 -8 -6 -8 -6 -7 -7 -7 -7 -7 -6 -7 -6 -6 -6 -6 -6 -5 -6 -5 -6 -5 -6 -5 -6 -5 -6 -5 -6 -4 0 0 0 0 0 0 0 0 0 0
1783902149.669343,55640,-53,11,1,6,1,-95,1,578467461,128,0 0 0 0 0 0 0 0 0 0 0 0 12 5 11 6 11 7 11 7 11 7 10 7 10 7 10 8 10 8 10 8 10 8 10 8 10 8 10 8 10 8 9 8 10 8 9 8 9 8 9 8 9 8 9 8 9 7 9 7 9 7 9 7 0 0 9 6 9 6 9 6 8 6 8 5 9 5 8 5 9 5 8 5 8 4 8 4 8 4 8 3 8 3 7 3 7 3 7 3 7 2 7 2 6 2 6 2 6 2 6 1 6 1 6 1 5 1 0 0 0 0 0 0 0 0 0 0
1783902149.669343,55641,-49,11,1,6,0,-95,1,578476997,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -1 5 -1 5 -1 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 1 5 0 4 0 4 0 4 0 5 0 4 0 5 0 5 0 4 0 4 0 0 0 4 0 4 0 4 0 4 0 4 0 4 0 4 0 3 0 4 0 3 -1 3 -1 3 -1 3 -1 3 -1 3 -1 3 -1 2 -1 2 -1 3 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 0 0 0 0 0 0 0 0 0 0
1783902149.687846,55642,-53,11,1,6,1,-95,1,578486846,128,0 0 0 0 0 0 0 0 0 0 0 0 9 8 9 9 8 9 8 9 8 10 7 10 7 10 7 10 7 10 7 11 6 11 6 11 6 11 6 10 6 10 6 10 6 10 6 10 6 10 6 10 6 10 6 10 6 10 6 10 6 10 6 9 0 0 6 9 6 9 6 8 6 8 6 8 6 8 6 7 6 7 6 7 6 7 6 7 6 6 6 6 5 6 6 5 5 5 5 5 5 5 5 4 5 4 5 4 5 3 5 4 4 3 4 3 4 3 0 0 0 0 0 0 0 0 0 0
1783902149.700810,55643,-53,11,1,6,1,-95,1,578496900,128,0 0 0 0 0 0 0 0 0 0 0 0 11 -8 12 -8 12 -7 12 -7 12 -6 12 -6 12 -6 13 -6 12 -6 12 -6 12 -6 12 -6 12 -5 12 -5 12 -6 12 -5 12 -5 12 -5 12 -5 12 -5 12 -5 12 -5 11 -6 11 -5 11 -5 11 -6 0 0 11 -6 10 -5 10 -6 9 -6 9 -6 9 -6 9 -6 9 -6 9 -6 8 -6 8 -6 7 -6 7 -6 7 -6 7 -6 7 -6 6 -6 6 -6 6 -6 5 -6 5 -6 5 -6 4 -5 4 -5 4 -5 4 -5 0 0 0 0 0 0 0 0 0 0
1783902149.700810,55644,-53,11,1,6,1,-95,1,578506908,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 13 -2 13 -2 13 -3 13 -3 13 -3 13 -3 13 -3 13 -3 13 -4 13 -4 13 -4 12 -4 12 -5 12 -4 12 -4 12 -4 12 -4 12 -4 12 -3 12 -3 12 -3 12 -3 12 -4 11 -4 11 -3 11 0 0 -3 11 -3 11 -3 10 -2 11 -2 10 -2 10 -1 10 -2 10 -1 10 -1 10 -1 9 -1 9 -1 9 -1 8 -1 8 0 8 0 8 0 8 0 7 0 7 0 7 1 7 0 6 0 6 1 6 0 6 0 0 0 0 0 0 0 0 0 0
1783902149.716702,55645,-53,11,1,6,1,-95,1,578516938,128,0 0 0 0 0 0 0 0 0 0 0 0 12 -5 13 -5 12 -4 13 -4 12 -4 13 -4 12 -3 13 -3 13 -3 13 -2 13 -2 13 -2 13 -2 13 -2 13 -2 12 -2 13 -2 12 -2 13 -3 12 -2 12 -2 12 -3 12 -3 12 -2 11 -2 12 -3 0 0 11 -3 11 -3 11 -3 10 -3 10 -4 10 -4 10 -3 9 -4 9 -4 9 -4 9 -4 9 -4 8 -4 8 -4 7 -4 8 -4 7 -4 7 -4 6 -4 6 -4 6 -4 5 -4 5 -4 5 -4 5 -4 5 -4 0 0 0 0 0 0 0 0 0 0
1783902149.732336,55646,-53,11,1,6,1,-95,1,578526973,128,0 0 0 0 0 0 0 0 0 0 0 0 3 12 3 13 2 13 1 13 1 13 1 13 0 13 0 13 0 13 0 12 0 13 0 13 0 13 0 13 0 13 -1 13 -1 13 0 12 0 12 -1 12 0 12 -1 12 0 12 0 12 0 11 0 12 0 0 0 11 0 11 0 11 0 10 1 10 1 10 1 10 1 10 1 10 1 9 1 9 2 9 2 9 2 9 1 8 2 8 2 7 2 7 2 7 2 7 2 6 2 6 2 6 2 5 2 5 2 6 0 0 0 0 0 0 0 0 0 0
1783902149.732336,55647,-53,11,1,6,1,-95,1,578536880,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -13 -7 -13 -6 -13 -6 -13 -6 -14 -6 -13 -6 -13 -5 -14 -6 -13 -5 -14 -4 -14 -4 -14 -4 -14 -4 -14 -5 -13 -4 -13 -5 -13 -5 -13 -5 -13 -5 -13 -5 -13 -5 -13 -5 -13 -4 -13 -4 -12 -4 -12 0 0 -5 -12 -5 -12 -5 -11 -5 -11 -5 -11 -5 -10 -5 -10 -6 -10 -6 -9 -6 -10 -5 -10 -5 -9 -5 -9 -5 -8 -6 -8 -6 -8 -6 -8 -5 -7 -5 -7 -6 -7 -6 -6 -6 -6 -5 -6 -5 -6 -5 -6 -5 -5 0 0 0 0 0 0 0 0 0 0
1783902149.748164,55648,-53,11,1,6,1,-95,1,578546887,128,0 0 0 0 0 0 0 0 0 0 0 0 8 11 7 12 6 12 6 12 5 12 6 12 5 12 5 12 5 12 5 12 4 12 4 12 4 13 4 13 4 13 4 12 4 12 4 12 4 12 5 12 4 12 5 12 4 12 4 11 4 11 4 11 0 0 5 11 4 10 5 10 5 10 5 9 5 9 5 9 5 9 5 9 5 8 5 8 5 8 5 7 5 8 5 7 5 7 4 6 5 6 5 5 5 5 5 5 5 5 4 5 4 4 4 4 4 4 0 0 0 0 0 0 0 0 0 0
1783902149.748164,55649,-53,11,1,6,1,-95,1,578556991,128,0 0 0 0 0 0 0 0 0 0 0 0 10 -9 11 -9 11 -8 11 -8 12 -7 12 -7 12 -7 12 -7 12 -7 12 -7 12 -7 12 -7 12 -7 12 -6 12 -6 12 -6 12 -6 11 -6 12 -6 11 -6 11 -6 11 -6 11 -6 11 -6 10 -6 11 -6 0 0 10 -6 10 -6 10 -6 9 -6 9 -6 9 -6 9 -6 8 -6 8 -6 8 -7 8 -7 7 -7 7 -7 7 -7 7 -6 7 -6 6 -6 6 -6 6 -6 5 -6 5 -6 5 -6 4 -6 4 -6 4 -6 4 -6 0 0 0 0 0 0 0 0 0 0
