pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783902298.030881,70265,-53,11,1,6,1,-95,1,726822076,128,0 0 0 0 0 0 0 0 0 0 0 0 -9 13 -9 12 -11 12 -10 11 -11 11 -11 11 -11 11 -11 10 -11 10 -12 9 -12 9 -12 9 -12 9 -12 8 -11 9 -12 9 -11 9 -11 9 -11 8 -11 9 -10 9 -10 8 -10 9 -10 8 -10 7 -9 8 0 0 -9 8 -9 8 -8 8 -8 9 -7 8 -7 8 -6 8 -6 8 -6 8 -6 9 -6 8 -5 8 -5 8 -4 8 -4 8 -3 8 -4 8 -3 8 -3 8 -2 8 -2 8 -2 8 -2 8 -2 8 -2 8 -2 8 0 0 0 0 0 0 0 0 0 0
1783902298.040892,70266,-53,11,1,6,1,-95,1,726832137,128,0 0 0 0 0 0 0 0 0 0 0 0 8 12 8 13 7 13 6 14 6 13 6 14 5 13 5 14 5 14 4 13 4 14 4 14 3 14 4 13 4 13 4 13 4 13 4 12 4 13 4 12 4 12 4 12 4 11 4 11 4 11 4 11 0 0 4 11 4 10 4 10 5 9 5 9 5 9 5 8 5 8 5 8 6 8 5 7 6 7 6 7 6 7 6 6 6 6 6 5 7 5 7 5 7 4 7 4 7 4 7 4 7 4 7 3 7 4 0 0 0 0 0 0 0 0 0 0
1783902298.046316,70267,-54,11,1,6,1,-95,1,726841999,128,0 0 0 0 0 0 0 0 0 0 0 0 8 -13 9 -12 10 -12 10 -11 10 -11 10 -11 11 -10 11 -10 11 -10 11 -10 10 -9 11 -9 11 -9 11 -9 11 -9 11 -8 11 -8 10 -8 10 -8 10 -8 10 -8 10 -8 10 -8 9 -8 9 -8 9 -8 0 0 9 -8 8 -8 8 -8 8 -8 7 -8 7 -7 7 -8 6 -8 6 -8 6 -8 5 -8 5 -8 5 -8 4 -8 4 -8 4 -8 4 -8 3 -8 3 -8 3 -8 3 -8 3 -9 2 -8 2 -8 2 -8 2 -8 0 0 0 0 0 0 0 0 0 0
1783902298.063547,70268,-49,11,1,4,0,-95,1,726852833,128,0 0 0 0 0 0 0 0 0 0 0 0 8 -14 8 -13 9 -13 9 -12 10 -12 10 -12 10 -11 10 -11 10 -11 11 -11 11 -10 11 -10 11 -10 11 -10 11 -10 10 -10 10 -10 11 -10 10 -10 10 -9 10 -9 10 -10 10 -9 9 -9 9 -9 9 -9 0 0 9 -9 8 -9 8 -9 8 -9 7 -9 7 -9 6 -9 6 -9 6 -9 5 -9 5 -9 4 -9 4 -9 4 -9 3 -9 3 -9 3 -9 2 -9 2 -9 2 -9 2 -9 1 -9 2 -9 1 -9 1 -9 1 -9 0 0 0 0 0 0 0 0 0 0
1783902298.074546,70269,-54,11,1,6,1,-95,1,726862066,128,0 0 0 0 0 0 0 0 0 0 0 0 8 -14 9 -14 10 -13 11 -12 10 -12 10 -12 10 -11 11 -11 11 -11 11 -10 11 -10 11 -10 11 -9 11 -10 11 -10 11 -9 11 -10 10 -9 11 -9 10 -9 10 -9 10 -9 10 -9 10 -9 9 -9 9 -9 0 0 8 -9 8 -9 8 -8 7 -9 7 -9 7 -9 6 -9 6 -9 6 -9 5 -9 5 -9 5 -9 4 -9 4 -9 3 -9 3 -9 3 -9 3 -9 2 -9 2 -9 2 -9 1 -9 1 -9 2 -9 1 -9 1 -9 0 0 0 0 0 0 0 0 0 0
1783902298.080884,70270,-54,11,1,6,1,-95,1,726872110,128,0 0 0 0 0 0 0 0 0 0 0 0 15 3 15 3 15 5 14 5 14 5 14 5 13 6 14 6 13 6 13 6 13 6 13 6 13 7 12 7 12 6 12 7 12 7 12 6 12 7 12 6 11 6 11 6 11 5 11 6 11 5 11 5 0 0 11 4 10 4 10 4 10 4 10 3 10 3 10 3 10 2 9 2 9 2 9 2 9 1 9 1 9 0 9 0 9 0 8 0 8 -1 8 -1 8 -1 8 -2 8 -2 8 -2 8 -2 8 -2 8 -2 0 0 0 0 0 0 0 0 0 0
1783902298.091526,70271,-53,11,1,4,1,-95,1,726882781,128,0 0 0 0 0 0 0 0 0 0 0 0 10 11 10 12 8 12 8 13 7 12 8 13 7 12 7 12 7 12 6 12 6 12 6 13 6 13 5 13 6 13 5 12 5 13 5 12 5 12 5 11 5 11 5 11 5 10 5 10 5 10 5 10 0 0 5 10 5 9 5 9 5 8 5 8 6 8 6 7 6 7 6 7 6 7 6 6 6 6 6 6 6 6 6 5 7 5 6 4 7 4 7 4 7 4 7 3 7 3 7 3 7 3 7 3 7 3 0 0 0 0 0 0 0 0 0 0
1783902298.102869,70272,-54,11,1,6,1,-95,1,726892111,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 14 -8 14 -9 13 -9 12 -10 12 -10 12 -10 11 -10 11 -11 11 -10 10 -10 10 -11 10 -11 10 -11 10 -11 10 -11 9 -11 9 -10 9 -10 9 -10 9 -10 9 -10 9 -9 9 -9 8 -9 8 -9 8 0 0 -8 9 -8 8 -8 8 -7 8 -7 8 -6 8 -6 8 -6 8 -5 8 -5 8 -5 8 -4 8 -4 8 -4 8 -4 8 -3 8 -3 8 -3 8 -2 8 -2 8 -2 8 -2 8 -1 8 -1 7 -1 7 -1 8 0 0 0 0 0 0 0 0 0 0
1783902298.110870,70273,-54,11,1,6,1,-95,1,726902091,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -16 -5 -16 -4 -17 -3 -16 -3 -16 -3 -16 -2 -16 -2 -16 -2 -16 -1 -16 -1 -15 -1 -16 -1 -15 -1 -15 -1 -15 -1 -15 -1 -15 -1 -15 -1 -14 -1 -14 -1 -14 -1 -14 -1 -14 -1 -13 -1 -13 -2 -13 0 0 -2 -12 -2 -12 -2 -12 -3 -12 -3 -11 -3 -11 -4 -10 -4 -10 -4 -10 -4 -10 -4 -10 -5 -9 -5 -9 -5 -9 -5 -9 -5 -8 -5 -8 -6 -7 -6 -7 -6 -7 -6 -7 -6 -7 -6 -7 -6 -6 -6 -6 -6 -6 0 0 0 0 0 0 0 0 0 0
1783902298.120489,70274,-54,11,1,6,1,-95,1,726912034,128,0 0 0 0 0 0 0 0 0 0 0 0 13 -9 14 -9 14 -8 14 -7 14 -7 14 -7 14 -6 14 -6 14 -6 14 -5 14 -5 14 -4 14 -4 13 -4 14 -4 13 -4 13 -4 13 -4 13 -4 13 -4 12 -4 12 -4 12 -4 12 -4 11 -4 11 -4 0 0 11 -5 10 -5 10 -5 10 -5 9 -5 9 -5 9 -6 8 -6 8 -6 8 -6 8 -6 7 -6 7 -6 7 -6 6 -7 6 -7 5 -7 5 -7 5 -7 5 -7 5 -7 4 -7 4 -8 4 -7 4 -7 4 -7 0 0 0 0 0 0 0 0 0 0
1783902298.130704,70275,-54,11,1,6,1,-95,1,726921978,128,0 0 0 0 0 0 0 0 0 0 0 0 14 5 15 6 13 7 13 8 12 8 13 8 12 8 12 9 12 9 11 8 11 9 11 9 11 9 11 9 11 9 10 9 11 9 10 8 10 9 10 8 10 8 9 8 10 7 9 7 9 7 10 7 0 0 9 6 9 6 9 6 8 5 9 5 9 5 9 4 9 4 9 4 8 3 8 3 9 3 8 2 9 2 8 2 8 2 8 1 8 1 8 0 8 0 8 0 8 0 7 -1 8 -1 7 -1 7 -1 0 0 0 0 0 0 0 0 0 0
1783902298.140755,70276,-54,11,1,6,1,-95,1,726932015,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -15 8 -14 9 -14 9 -13 9 -13 9 -13 9 -13 9 -12 9 -12 10 -12 10 -11 10 -11 11 -10 10 -10 10 -10 10 -10 9 -10 9 -10 9 -10 9 -10 8 -10 8 -10 9 -10 9 -9 8 -9 8 -9 0 0 7 -9 7 -9 6 -9 6 -9 6 -9 5 -9 5 -9 5 -9 4 -9 5 -9 4 -9 4 -9 3 -9 3 -9 3 -9 2 -9 2 -9 2 -9 1 -9 1 -9 1 -9 0 -9 1 -9 1 -8 1 -8 0 -8 0 0 0 0 0 0 0 0 0 0
