pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783902429.008324,83232,-49,11,1,5,1,-95,1,857797762,128,0 0 0 0 0 0 0 0 0 0 0 0 7 10 7 9 7 11 6 10 6 11 6 11 6 11 6 11 6 11 5 12 5 12 5 12 5 12 5 12 5 11 6 12 6 11 6 12 6 12 6 12 6 12 6 12 5 13 5 12 5 12 5 12 0 0 5 11 6 11 5 10 6 11 6 10 6 10 6 10 6 10 5 10 6 10 6 10 6 9 6 9 6 8 7 8 6 8 6 9 6 8 6 8 6 8 6 8 6 7 6 8 5 7 5 7 5 7 0 0 0 0 0 0 0 0 0 0
1783902429.008324,83233,-49,11,1,5,1,-95,1,857807786,128,0 0 0 0 0 0 0 0 0 0 0 0 12 -3 12 -3 12 -2 13 -2 12 -1 13 -1 12 -1 13 -1 13 -1 13 -1 13 -1 13 -1 13 -1 14 -1 14 -1 13 0 14 0 13 0 14 0 13 -1 14 0 14 0 13 -1 13 0 13 -1 13 -1 0 0 13 -1 12 -1 13 0 12 -1 12 -1 12 -2 12 -1 11 -2 12 -2 11 -2 11 -2 11 -3 11 -3 11 -3 10 -2 11 -2 10 -3 10 -3 10 -4 10 -3 10 -3 10 -3 9 -4 9 -3 9 -4 9 -3 0 0 0 0 0 0 0 0 0 0
1783902429.024053,83234,-49,11,1,5,1,-95,1,857817748,128,0 0 0 0 0 0 0 0 0 0 0 0 9 -8 10 -7 10 -7 11 -6 10 -6 11 -7 11 -6 11 -7 11 -6 11 -6 11 -6 12 -6 12 -6 12 -6 12 -6 12 -5 12 -6 12 -6 12 -6 12 -6 12 -7 12 -6 12 -6 12 -6 12 -6 12 -6 0 0 11 -6 11 -6 11 -6 11 -6 10 -6 10 -7 10 -6 10 -7 10 -7 10 -7 10 -7 9 -7 9 -7 9 -7 9 -7 8 -7 8 -7 8 -7 8 -7 7 -7 7 -7 7 -7 7 -7 7 -7 7 -7 7 -6 0 0 0 0 0 0 0 0 0 0
1783902429.040038,83235,-49,11,1,5,1,-95,1,857828057,128,0 0 0 0 0 0 0 0 0 0 0 0 6 10 6 10 5 11 5 11 5 11 5 11 5 11 5 11 5 12 5 12 4 12 4 12 4 12 4 12 5 12 4 12 4 13 4 12 4 13 4 12 4 13 4 13 4 12 4 13 4 12 4 12 0 0 4 12 4 12 4 12 4 11 4 11 5 11 5 11 5 11 5 11 5 11 5 10 5 10 5 10 5 10 5 9 5 10 5 9 5 9 6 9 5 9 5 8 5 9 5 8 5 8 5 8 5 8 0 0 0 0 0 0 0 0 0 0
1783902429.040038,83236,-49,11,1,5,1,-95,1,857837828,128,0 0 0 0 0 0 0 0 0 0 0 0 2 12 2 12 1 12 1 12 1 12 0 12 0 12 0 13 0 13 0 12 0 13 0 13 0 13 -1 13 0 14 -1 13 -1 14 -1 13 -1 14 -1 13 -1 13 -1 14 0 14 0 13 -1 13 -1 13 0 0 -1 13 -1 13 -1 13 0 12 0 12 0 12 0 12 1 12 0 12 1 12 1 12 1 12 1 11 1 11 1 11 1 11 1 10 1 10 1 10 2 10 2 10 1 10 2 10 2 9 1 9 1 9 0 0 0 0 0 0 0 0 0 0
1783902429.056132,83237,-49,11,1,5,1,-95,1,857847768,128,0 0 0 0 0 0 0 0 0 0 0 0 9 -9 9 -9 9 -8 10 -8 10 -8 10 -8 10 -8 10 -8 11 -8 11 -7 11 -7 11 -7 12 -7 12 -7 11 -7 12 -7 11 -7 11 -7 12 -7 12 -7 12 -7 12 -7 12 -7 12 -6 12 -6 12 -7 0 0 11 -6 11 -7 11 -7 11 -7 10 -7 10 -7 10 -7 10 -7 9 -7 10 -7 10 -7 9 -7 9 -7 9 -7 9 -8 8 -7 9 -7 8 -7 8 -7 8 -8 7 -7 7 -7 8 -7 8 -6 7 -6 7 -6 0 0 0 0 0 0 0 0 0 0
1783902429.071793,83238,-49,11,1,5,1,-95,1,857857658,128,0 0 0 0 0 0 0 0 0 0 0 0 -12 -4 -11 -5 -12 -6 -12 -6 -11 -7 -11 -7 -12 -7 -11 -7 -11 -7 -11 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -8 -12 -8 -12 -8 -12 -8 -11 -8 -11 -8 -11 -8 -11 -9 -11 -8 -11 -8 0 0 -11 -8 -11 -7 -11 -7 -11 -7 -11 -7 -11 -7 -11 -7 -11 -6 -11 -6 -11 -6 -11 -6 -11 -6 -10 -6 -10 -5 -11 -5 -11 -5 -10 -5 -10 -5 -10 -4 -10 -4 -10 -4 -10 -4 -10 -4 -10 -5 -9 -4 -9 -4 0 0 0 0 0 0 0 0 0 0
1783902429.071793,83239,-49,11,1,5,1,-95,1,857867660,128,0 0 0 0 0 0 0 0 0 0 0 0 1 12 1 12 0 12 -1 13 -1 12 -1 13 -2 12 -2 13 -2 13 -2 13 -1 13 -1 13 -2 13 -2 13 -2 14 -3 13 -3 14 -2 13 -3 14 -3 13 -3 14 -3 13 -2 13 -2 13 -2 13 -2 13 0 0 -2 13 -3 12 -3 13 -2 12 -2 12 -2 12 -2 12 -1 12 -2 12 -1 12 -1 12 0 12 0 12 0 12 -1 11 -1 11 0 10 0 10 0 11 0 10 0 10 0 10 0 9 1 9 1 9 0 9 0 0 0 0 0 0 0 0 0 0
1783902429.087688,83240,-49,11,1,5,1,-95,1,857877739,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -11 7 -10 8 -10 7 -9 8 -10 8 -9 8 -9 8 -9 8 -10 10 -9 9 -9 10 -9 10 -9 10 -9 9 -9 10 -9 9 -9 10 -10 9 -9 10 -10 10 -9 10 -10 10 -10 10 -9 10 -8 10 -9 0 0 9 -9 9 -10 8 -8 9 -10 8 -9 8 -9 8 -9 8 -9 7 -9 8 -10 7 -9 7 -9 7 -9 6 -8 7 -10 6 -9 6 -9 5 -9 5 -9 5 -9 5 -9 5 -9 5 -9 5 -8 5 -8 5 -8 0 0 0 0 0 0 0 0 0 0
1783902429.103411,83241,-49,11,1,5,1,-95,1,857887755,128,0 0 0 0 0 0 0 0 0 0 0 0 -12 1 -13 1 -13 0 -13 0 -13 -1 -13 -1 -13 -1 -13 -1 -13 -1 -13 -1 -13 -2 -13 -1 -13 -2 -13 -2 -14 -2 -13 -2 -14 -2 -13 -2 -14 -2 -14 -2 -14 -2 -14 -2 -14 -1 -14 -2 -13 -2 -14 -2 0 0 -14 -2 -13 -2 -13 -2 -12 -1 -13 -1 -13 -1 -12 -1 -12 0 -12 0 -12 0 -12 0 -12 0 -11 0 -12 0 -11 0 -12 0 -10 0 -11 1 -11 1 -10 1 -10 1 -10 1 -10 1 -10 1 -10 1 -9 1 0 0 0 0 0 0 0 0 0 0
1783902429.103411,83242,-49,11,1,5,1,-95,1,857897743,128,0 0 0 0 0 0 0 0 0 0 0 0 1 11 0 12 -1 11 -1 12 -2 11 -2 12 -2 11 -2 12 -3 12 -2 12 -2 12 -2 12 -2 12 -2 12 -3 13 -3 12 -4 13 -3 12 -3 13 -4 12 -4 12 -4 12 -3 12 -3 12 -3 12 -3 12 0 0 -3 12 -3 11 -3 12 -3 11 -3 11 -3 11 -2 10 -2 11 -2 11 -1 11 -1 11 -1 11 -1 10 -1 11 -1 10 -1 10 -1 9 -1 10 -1 10 -1 9 0 9 -1 9 0 9 0 9 0 8 0 8 0 0 0 0 0 0 0 0 0 0
