pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783903132.753285,60156,-44,11,1,7,1,-95,1,616554230,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -1 7 0 7 0 8 0 7 1 8 1 8 1 7 1 8 1 7 2 8 3 8 3 8 2 8 3 8 4 8 3 9 4 8 4 8 4 8 4 8 4 8 4 7 4 7 5 7 5 8 4 0 0 8 4 7 4 8 5 7 4 8 4 8 4 8 4 8 4 8 3 8 3 8 3 9 3 8 3 9 3 9 3 9 3 9 3 9 3 10 2 10 2 11 2 11 2 10 2 11 2 10 2 12 2 0 0 0 0 0 0 0 0 0 0
1783903132.767369,60157,-44,11,1,7,1,-95,1,616564290,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 -6 -5 -6 -4 -7 -4 -7 -4 -8 -4 -8 -3 -7 -3 -8 -3 -8 -3 -8 -3 -8 -3 -9 -3 -9 -3 -9 -3 -9 -2 -9 -1 -10 -1 -10 -2 -10 -1 -10 -2 -9 -1 -9 -2 -10 -2 -10 -1 -9 -1 -10 0 0 -2 -10 -1 -10 -1 -10 -1 -10 -2 -9 -1 -10 -2 -9 -2 -10 -2 -10 -2 -10 -3 -9 -3 -10 -3 -10 -3 -10 -3 -10 -3 -10 -3 -10 -4 -10 -3 -11 -4 -10 -4 -11 -4 -11 -4 -11 -5 -11 -4 -11 -5 -11 0 0 0 0 0 0 0 0 0 0
1783903132.767369,60158,-44,11,1,7,1,-95,1,616574407,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 2 -7 2 -8 2 -8 1 -8 2 -8 1 -8 1 -8 0 -9 1 -9 0 -8 0 -8 0 -9 0 -9 0 -9 -1 -10 -1 -9 -1 -9 -1 -9 -2 -9 -2 -9 -2 -9 -2 -9 -3 -9 -2 -9 -2 -9 -2 0 0 -9 -2 -10 -2 -9 -2 -9 -2 -9 -1 -9 -2 -9 -1 -10 -1 -9 -1 -10 -1 -10 -1 -10 -1 -10 -1 -10 -1 -11 0 -10 0 -11 0 -10 0 -11 0 -11 1 -10 0 -11 1 -12 0 -12 0 -11 1 -11 1 0 0 0 0 0 0 0 0 0 0
1783903132.786086,60159,-44,11,1,7,1,-95,1,616584295,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -5 -6 -5 -6 -5 -6 -6 -6 -6 -6 -6 -6 -6 -6 -7 -6 -7 -5 -7 -5 -7 -5 -8 -5 -8 -5 -9 -5 -9 -5 -8 -5 -9 -5 -9 -5 -10 -5 -9 -4 -10 -5 -9 -4 -9 -4 -9 -4 -9 -4 -9 0 0 -5 -10 -3 -9 -4 -9 -4 -9 -5 -8 -4 -8 -5 -9 -5 -8 -5 -9 -5 -8 -5 -9 -5 -9 -6 -9 -6 -8 -6 -9 -6 -9 -7 -8 -6 -9 -7 -9 -7 -9 -8 -9 -8 -9 -8 -8 -7 -8 -8 -9 -8 -9 0 0 0 0 0 0 0 0 0 0
1783903132.799151,60160,-44,11,1,7,1,-95,1,616594229,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -2 7 -2 7 -1 7 -1 7 -1 7 -1 7 0 8 -1 8 0 8 0 8 0 8 0 8 1 9 1 9 1 9 1 9 2 9 2 8 2 9 1 9 2 9 2 8 2 8 3 8 2 8 3 0 0 8 2 9 3 8 3 8 2 8 2 9 2 9 2 8 2 8 2 9 1 9 1 9 1 10 1 9 1 9 0 10 1 10 1 10 0 9 0 10 1 10 0 11 0 11 -1 11 0 11 -1 12 -1 0 0 0 0 0 0 0 0 0 0
1783903132.799151,60161,-44,11,1,7,1,-95,1,616604281,128,0 0 0 0 0 0 0 0 0 0 0 0 2 6 2 6 1 7 1 7 1 7 1 7 0 8 0 7 0 8 0 8 -1 8 0 8 -1 8 -1 8 -1 8 -1 9 -1 9 -2 9 -2 9 -2 9 -2 9 -2 9 -2 9 -3 9 -2 9 -2 8 0 0 -2 9 -2 9 -2 8 -2 9 -2 9 -3 9 -2 9 -2 9 -2 9 -1 9 -1 9 -1 9 0 9 -1 9 0 10 1 10 0 10 0 10 0 10 1 10 1 10 1 9 1 11 1 11 1 11 1 11 0 0 0 0 0 0 0 0 0 0
1783903132.818354,60162,-44,11,1,7,1,-95,1,616614282,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -7 3 -7 3 -7 4 -8 3 -7 4 -7 4 -7 4 -8 4 -7 5 -7 5 -7 5 -7 6 -7 6 -7 5 -7 6 -6 6 -7 6 -6 7 -7 7 -6 7 -6 7 -6 7 -6 7 -6 7 -7 7 -6 0 0 7 -6 7 -6 7 -6 7 -5 7 -6 7 -6 7 -6 7 -6 7 -6 7 -7 7 -7 7 -7 6 -7 7 -8 6 -7 7 -8 6 -8 6 -8 7 -8 6 -9 6 -9 7 -9 6 -10 6 -9 6 -10 7 -10 0 0 0 0 0 0 0 0 0 0
1783903132.830898,60163,-44,11,1,7,1,-95,1,616624293,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -7 -4 -7 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -2 -8 -2 -8 -2 -10 -1 -9 -1 -9 -1 -9 0 -9 -1 -9 -1 -10 -1 -9 -1 -10 0 -10 -1 -10 0 -9 0 -10 0 -10 0 -10 0 -10 0 -10 0 0 0 -10 0 -10 0 -9 0 -10 -1 -10 0 -10 -1 -10 -1 -10 -1 -10 -2 -10 -2 -10 -2 -9 -2 -10 -2 -10 -3 -10 -3 -10 -3 -11 -3 -10 -3 -10 -3 -10 -4 -11 -4 -11 -4 -11 -4 -11 -4 -11 -4 -11 0 0 0 0 0 0 0 0 0 0
1783903132.830898,60164,-44,11,1,7,1,-95,1,616635015,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -7 3 -7 3 -7 3 -8 4 -7 3 -7 4 -8 4 -7 4 -7 5 -7 5 -7 5 -7 5 -7 5 -7 6 -8 6 -7 7 -7 6 -7 7 -6 7 -7 6 -7 7 -7 6 -7 7 -6 7 -7 7 -6 0 0 7 -7 7 -7 7 -6 6 -7 6 -6 6 -7 6 -7 6 -8 6 -8 6 -7 6 -8 6 -8 6 -8 6 -8 6 -8 5 -9 5 -9 5 -9 5 -9 5 -10 6 -10 6 -10 6 -10 5 -10 5 -11 5 -10 0 0 0 0 0 0 0 0 0 0
1783903132.846585,60165,-44,11,1,7,1,-95,1,616644211,128,0 0 0 0 0 0 0 0 0 0 0 0 6 3 6 4 6 4 5 4 5 4 5 4 5 4 5 5 5 5 6 5 5 6 5 5 5 6 6 6 5 7 5 7 5 7 5 7 5 7 5 7 5 7 5 7 5 7 5 7 4 7 4 7 0 0 5 7 4 8 4 6 5 7 5 7 5 7 5 7 5 7 5 7 5 7 6 6 6 7 6 6 7 6 7 6 7 7 7 6 7 6 7 6 8 7 8 6 8 7 9 7 9 6 8 7 9 7 0 0 0 0 0 0 0 0 0 0
1783903132.846585,60166,-44,11,1,7,1,-95,1,616654325,128,0 0 0 0 0 0 0 0 0 0 0 0 3 6 3 6 3 6 3 6 3 7 2 6 2 7 2 7 2 7 2 8 2 8 1 8 1 8 1 8 1 8 2 9 1 8 1 9 1 9 1 9 1 9 1 9 0 9 0 9 0 9 0 9 0 0 1 9 0 9 1 8 1 9 1 8 1 8 1 8 1 9 2 8 2 10 2 9 2 8 2 8 3 8 4 9 3 8 4 9 4 8 4 9 5 9 5 9 5 9 5 10 4 9 5 10 5 10 0 0 0 0 0 0 0 0 0 0
1783903132.862607,60167,-44,11,1,7,1,-95,1,616664322,128,0 0 0 0 0 0 0 0 0 0 0 0 6 2 7 1 6 2 6 3 6 3 6 3 6 3 6 4 7 4 7 4 7 5 6 5 7 5 7 5 7 6 6 5 7 6 6 6 6 7 6 6 6 6 6 7 5 6 6 6 6 7 6 8 0 0 5 7 6 7 6 7 5 7 6 7 6 7 6 6 6 6 6 6 6 6 7 7 7 6 7 6 7 7 7 6 8 6 7 6 8 6 8 6 8 6 8 6 9 6 8 6 8 6 9 6 9 6 0 0 0 0 0 0 0 0 0 0
1783903132.878313,60168,-44,11,1,7,1,-95,1,616674988,128,0 0 0 0 0 0 0 0 0 0 0 0 6 3 6 3 6 3 5 4 5 4 6 4 6 4 6 5 6 4 5 6 5 5 5 6 6 6 5 6 6 6 5 7 5 7 6 7 5 7 5 7 5 7 5 7 5 8 4 7 4 8 5 8 0 0 5 7 6 7 5 6 5 7 5 7 5 7 6 7 6 7 5 6 7 7 6 6 7 6 7 6 7 6 8 7 7 5 7 6 7 6 8 6 8 6 8 6 9 6 8 6 9 6 9 6 9 6 0 0 0 0 0 0 0 0 0 0
1783903132.878313,60169,-44,11,1,7,1,-95,1,616684229,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 1 -8 0 -8 0 -8 0 -8 0 -8 -1 -8 0 -8 -1 -9 -1 -9 -1 -8 -2 -9 -3 -9 -2 -9 -2 -9 -2 -9 -3 -10 -3 -10 -2 -9 -3 -9 -3 -9 -3 -10 -3 -9 -3 -9 -4 -9 -4 -9 -3 0 0 -9 -3 -9 -3 -9 -3 -10 -3 -9 -3 -9 -2 -10 -2 -9 -3 -9 -2 -10 -2 -10 -2 -9 -2 -10 -2 -10 -2 -11 -1 -11 -1 -10 -2 -11 -1 -10 0 -11 0 -11 0 -12 1 -12 0 -11 -1 -12 0 -12 0 0 0 0 0 0 0 0 0 0 0
1783903132.894045,60170,-44,11,1,7,1,-95,1,616694297,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 7 -1 7 -2 6 -3 7 -3 7 -3 7 -3 6 -3 7 -4 7 -4 7 -4 7 -4 7 -5 7 -4 7 -5 8 -6 7 -6 8 -6 7 -6 8 -6 7 -6 7 -6 8 -6 7 -7 7 -6 7 -7 7 0 0 -6 7 -6 7 -6 7 -6 7 -6 7 -6 7 -6 8 -5 7 -6 8 -5 8 -5 8 -5 9 -5 9 -5 9 -5 8 -5 10 -5 8 -4 10 -4 9 -4 9 -4 11 -4 10 -4 10 -4 10 -4 12 -4 11 0 0 0 0 0 0 0 0 0 0
1783903132.909807,60171,-44,11,1,7,1,-95,1,616704298,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -3 6 -2 7 -2 7 -2 7 -2 7 -1 7 -1 7 -1 8 -1 8 0 8 -1 8 0 8 0 8 0 9 1 9 1 9 1 8 0 9 1 8 1 9 1 9 2 8 1 8 1 8 1 9 2 0 0 8 2 8 1 9 2 8 2 9 1 8 1 8 1 9 1 9 1 9 0 9 0 9 0 9 0 10 0 9 0 10 0 10 0 10 -1 10 0 10 -1 10 -1 11 -1 11 0 10 -2 10 -2 11 -1 0 0 0 0 0 0 0 0 0 0
1783903132.918370,60172,-44,11,1,7,1,-95,1,616714774,128,0 0 0 0 0 0 0 0 0 0 0 0 5 5 3 5 4 6 4 6 3 7 4 6 3 6 3 7 4 7 3 7 4 8 3 7 2 8 3 7 3 8 2 8 2 9 2 9 2 9 3 8 2 9 1 9 2 9 1 9 2 9 1 9 0 0 2 9 1 9 2 8 2 9 2 8 2 9 3 9 3 8 3 8 3 9 3 9 4 8 4 8 4 9 4 8 4 8 5 9 4 8 5 8 5 9 5 10 5 9 5 9 5 9 6 9 7 10 0 0 0 0 0 0 0 0 0 0
1783903132.925450,60173,-44,11,1,7,1,-95,1,616724999,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -3 -7 -3 -7 -4 -7 -4 -7 -4 -7 -4 -7 -5 -7 -5 -7 -5 -7 -6 -7 -5 -7 -5 -7 -6 -7 -6 -7 -6 -7 -7 -7 -7 -7 -6 -8 -7 -6 -8 -7 -8 -6 -7 -7 -7 -6 -7 -6 -8 -6 -7 0 0 -6 -8 -6 -8 -7 -8 -6 -7 -6 -7 -7 -8 -7 -7 -7 -8 -7 -7 -8 -7 -7 -7 -8 -7 -9 -7 -8 -7 -8 -6 -8 -7 -8 -6 -9 -6 -9 -7 -9 -6 -9 -7 -9 -7 -9 -6 -10 -7 -11 -6 -10 -7 0 0 0 0 0 0 0 0 0 0
1783903132.925450,60174,-44,11,1,7,1,-95,1,616734872,128,0 0 0 0 0 0 0 0 0 0 0 0 6 0 6 0 7 1 7 1 7 1 7 2 7 1 7 2 8 2 8 3 7 3 7 4 7 4 7 5 7 4 7 4 7 4 8 4 7 4 7 5 7 5 7 6 7 5 7 5 7 6 7 5 0 0 7 6 7 5 7 6 7 5 7 5 7 4 7 5 7 4 7 4 8 4 8 5 8 4 8 5 8 4 9 4 8 4 9 4 9 4 9 4 9 3 10 4 9 4 10 4 10 4 10 4 10 4 0 0 0 0 0 0 0 0 0 0
1783903132.941096,60175,-44,11,1,7,1,-95,1,616744271,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -5 5 -4 6 -4 6 -4 6 -4 7 -3 7 -4 7 -3 7 -4 8 -3 8 -2 8 -2 8 -2 8 -2 8 -2 9 -2 9 -2 8 -2 9 -1 9 -1 8 -1 9 -1 9 -1 9 -1 9 0 9 -1 0 0 8 0 8 -1 8 -1 9 -2 9 -2 9 -2 8 -2 8 -2 9 -2 9 -2 9 -3 9 -2 9 -2 8 -3 9 -3 9 -3 10 -4 9 -4 9 -4 10 -4 10 -4 10 -4 11 -4 10 -4 11 -4 10 -5 0 0 0 0 0 0 0 0 0 0
1783903132.957020,60176,-44,11,1,7,1,-95,1,616754295,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 2 -7 1 -8 0 -8 0 -7 0 -8 -1 -9 0 -9 0 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 -2 -10 -2 -9 -3 -10 -3 -9 -2 -10 -3 -10 -3 -9 -3 -9 -3 -10 -3 -9 -3 -9 -3 -10 -3 0 0 -10 -3 -9 -3 -10 -3 -9 -2 -10 -3 -10 -3 -9 -2 -10 -3 -10 -2 -10 -2 -10 -1 -10 -1 -10 -1 -10 0 -11 0 -11 -1 -10 -1 -11 0 -11 0 -11 0 -11 0 -12 0 -11 1 -12 1 -11 1 -12 1 0 0 0 0 0 0 0 0 0 0
