pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783903239.336584,70709,-44,11,1,7,1,-95,1,723130531,128,0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 7 -1 7 -1 7 -2 6 -2 7 -2 7 -2 7 -3 7 -3 7 -2 8 -3 7 -4 8 -3 7 -4 7 -4 8 -4 8 -5 8 -5 8 -5 8 -5 8 -5 7 -5 8 -5 7 -5 8 -5 8 0 0 -5 8 -6 8 -6 8 -5 7 -5 7 -5 8 -5 8 -5 8 -5 8 -4 9 -4 8 -4 9 -4 10 -4 9 -4 8 -5 9 -4 9 -4 9 -4 10 -4 9 -4 10 -4 10 -3 10 -4 10 -3 11 -4 11 0 0 0 0 0 0 0 0 0 0
1783903239.348089,70710,-44,11,1,7,1,-95,1,723140525,128,0 0 0 0 0 0 0 0 0 0 0 0 5 5 5 4 4 5 5 5 4 6 4 5 4 6 5 6 4 6 4 7 4 7 3 7 4 8 4 8 4 7 3 9 3 9 3 9 2 8 3 9 2 9 2 9 2 9 2 9 2 9 2 8 0 0 2 9 2 9 2 9 2 9 3 9 3 9 2 9 3 8 3 9 4 9 3 9 3 9 3 9 3 8 3 9 4 9 4 9 5 10 5 9 5 9 5 9 5 9 5 10 4 11 5 11 5 9 0 0 0 0 0 0 0 0 0 0
1783903239.354472,70711,-44,11,1,7,1,-95,1,723150586,128,0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 7 -1 7 -1 7 -1 7 -1 7 -1 7 -2 7 -2 8 -2 8 -3 7 -3 7 -3 8 -3 8 -3 8 -4 8 -4 8 -4 8 -4 8 -4 8 -4 9 -4 9 -4 7 -5 8 -4 8 -4 8 0 0 -5 8 -4 8 -4 8 -4 8 -4 9 -4 8 -4 8 -4 8 -4 8 -4 9 -4 9 -4 9 -3 9 -3 10 -2 9 -2 9 -2 9 -3 10 -2 9 -2 10 -2 11 -2 11 -2 10 -2 10 -2 10 -2 11 0 0 0 0 0 0 0 0 0 0
1783903239.365741,70712,-44,11,1,7,1,-95,1,723160537,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -5 -5 -6 -5 -6 -5 -7 -5 -7 -4 -7 -5 -7 -5 -7 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -9 -3 -9 -4 -9 -4 -10 -4 -9 -3 -10 -3 -9 -2 -10 -3 -9 -3 -10 -3 -9 -3 -10 0 0 -3 -10 -3 -11 -3 -10 -3 -9 -3 -9 -3 -9 -3 -9 -3 -10 -4 -10 -4 -9 -4 -10 -4 -10 -5 -9 -5 -10 -5 -10 -5 -10 -5 -9 -5 -10 -5 -10 -6 -10 -6 -10 -6 -11 -6 -10 -6 -10 -7 -10 -7 -10 0 0 0 0 0 0 0 0 0 0
1783903239.379801,70713,-44,11,1,7,1,-95,1,723171140,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -4 -7 -4 -7 -5 -6 -5 -6 -6 -6 -5 -6 -6 -6 -6 -7 -7 -5 -7 -6 -7 -6 -7 -6 -7 -6 -7 -5 -8 -5 -8 -6 -8 -6 -9 -5 -9 -5 -9 -5 -8 -5 -9 -5 -9 -5 -9 -4 -8 -4 -9 0 0 -4 -9 -5 -8 -5 -9 -5 -9 -5 -9 -5 -9 -5 -8 -6 -9 -5 -9 -6 -9 -5 -9 -6 -8 -5 -8 -6 -9 -7 -9 -7 -9 -6 -8 -7 -9 -7 -9 -7 -9 -7 -9 -7 -9 -8 -9 -8 -10 -8 -10 -8 -9 0 0 0 0 0 0 0 0 0 0
1783903239.387465,70714,-44,11,1,7,1,-95,1,723180552,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -4 6 -4 6 -3 7 -4 7 -3 7 -3 7 -3 8 -4 8 -3 7 -2 8 -3 8 -2 8 -2 8 -2 9 -2 9 -1 9 -2 9 -2 9 -1 9 -2 9 -1 9 -2 9 -2 9 -1 9 -1 9 -1 0 0 9 -2 9 -1 9 -2 9 -1 9 -2 9 -2 9 -2 9 -3 9 -3 9 -2 9 -3 9 -3 9 -3 9 -4 9 -4 9 -4 9 -4 10 -4 9 -4 9 -5 9 -5 10 -5 11 -5 10 -5 10 -5 10 -6 0 0 0 0 0 0 0 0 0 0
1783903239.400074,70715,-44,11,1,7,1,-95,1,723190584,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 4 -7 4 -7 3 -7 3 -7 2 -7 3 -7 2 -8 3 -8 2 -8 3 -9 2 -8 2 -9 2 -9 2 -8 2 -9 1 -9 1 -10 1 -9 1 -9 0 -10 1 -9 0 -10 1 -10 1 -9 0 -9 0 0 0 -9 1 -10 1 -10 0 -9 1 -10 2 -10 1 -9 1 -10 2 -10 2 -10 2 -9 2 -10 3 -9 2 -10 3 -10 3 -10 3 -9 3 -10 4 -11 3 -10 4 -9 4 -10 4 -11 4 -10 4 -10 4 -10 5 0 0 0 0 0 0 0 0 0 0
1783903239.400074,70716,-44,11,1,7,1,-95,1,723200527,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -2 -7 -2 -7 -2 -7 -3 -8 -4 -8 -4 -7 -4 -7 -4 -7 -4 -8 -5 -7 -5 -8 -6 -7 -6 -7 -6 -8 -5 -7 -6 -7 -6 -8 -6 -7 -6 -7 -7 -8 -7 -7 -6 -7 -7 -7 -8 -7 -7 -7 -7 0 0 -7 -7 -7 -7 -7 -6 -8 -7 -7 -7 -8 -6 -8 -6 -8 -6 -7 -6 -8 -7 -8 -7 -8 -7 -8 -6 -8 -6 -9 -6 -9 -5 -9 -6 -9 -6 -9 -6 -10 -5 -10 -6 -11 -5 -11 -6 -10 -6 -10 -6 -10 -5 0 0 0 0 0 0 0 0 0 0
1783903239.417513,70717,-44,11,1,7,1,-95,1,723210518,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -3 -7 -4 -6 -4 -6 -5 -6 -5 -6 -5 -6 -5 -6 -5 -7 -6 -6 -6 -6 -6 -6 -6 -7 -6 -6 -7 -7 -7 -6 -8 -7 -8 -6 -8 -6 -8 -5 -8 -6 -8 -6 -8 -6 -8 -6 -8 -6 -8 -6 -8 0 0 -5 -8 -6 -8 -6 -8 -6 -8 -6 -8 -6 -8 -6 -8 -7 -8 -7 -7 -8 -8 -7 -7 -8 -7 -7 -7 -8 -8 -8 -7 -8 -7 -7 -7 -8 -7 -9 -7 -8 -7 -9 -7 -10 -7 -9 -7 -10 -8 -10 -7 -10 -8 0 0 0 0 0 0 0 0 0 0
1783903239.427485,70718,-44,11,1,7,1,-95,1,723220475,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 2 -7 2 -7 1 -7 0 -8 0 -8 1 -8 0 -8 0 -8 0 -8 0 -8 -1 -8 0 -9 -1 -8 -1 -9 -1 -9 -2 -9 -2 -9 -1 -10 -2 -9 -2 -9 -2 -10 -3 -9 -2 -9 -3 -9 -2 -9 -2 0 0 -9 -2 -9 -3 -9 -2 -9 -2 -9 -2 -9 -2 -10 -2 -9 -2 -9 -2 -9 -1 -9 -1 -10 -1 -11 -1 -10 -1 -10 -1 -10 -1 -10 -1 -10 0 -10 -1 -11 -1 -10 -1 -11 -1 -11 0 -11 -1 -11 0 -12 0 0 0 0 0 0 0 0 0 0 0
