pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783903395.091615,86140,-44,11,1,7,1,-95,1,878885117,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -3 -7 -3 -7 -4 -7 -4 -7 -3 -7 -4 -8 -5 -7 -5 -6 -5 -7 -5 -6 -6 -7 -6 -7 -6 -7 -6 -6 -6 -7 -6 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -8 -6 -7 -7 -7 -6 -8 0 0 -6 -7 -7 -7 -6 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -8 -7 -7 -7 -8 -7 -8 -6 -8 -6 -9 -6 -8 -6 -9 -6 -9 -6 -9 -6 -10 -6 -10 -6 -10 -6 -9 -7 -10 -6 -11 -6 -10 -6 0 0 0 0 0 0 0 0 0 0
1783903395.107317,86141,-44,11,1,7,1,-95,1,878895122,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 4 -5 4 -6 4 -6 4 -6 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 3 -8 3 -8 3 -8 3 -9 3 -8 2 -9 2 -8 3 -10 2 -9 2 -9 2 -10 2 -9 3 -9 2 -9 2 -9 2 0 0 -9 2 -9 2 -9 2 -9 2 -9 2 -9 2 -9 2 -9 2 -9 3 -9 3 -10 3 -9 4 -9 3 -10 3 -9 3 -10 3 -9 4 -10 4 -9 4 -10 4 -10 5 -10 4 -10 5 -10 5 -10 5 -10 6 0 0 0 0 0 0 0 0 0 0
1783903395.107317,86142,-44,11,1,7,1,-95,1,878905022,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 6 -4 6 -4 6 -4 6 -4 6 -4 5 -4 6 -5 6 -5 6 -6 6 -6 5 -6 5 -7 5 -7 5 -6 5 -7 5 -7 5 -8 5 -8 5 -7 6 -7 6 -7 5 -7 6 -7 5 -7 5 -7 5 0 0 -7 5 -8 6 -7 5 -7 6 -7 5 -7 6 -6 6 -6 6 -7 6 -7 7 -7 6 -7 7 -7 7 -6 7 -7 7 -6 8 -6 8 -6 8 -6 8 -6 8 -6 8 -6 9 -6 9 -6 9 -7 9 -6 9 0 0 0 0 0 0 0 0 0 0
1783903395.128425,86143,-44,11,1,7,1,-95,1,878915105,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -7 -3 -7 -2 -7 -3 -7 -2 -8 -3 -8 -2 -8 -2 -8 -2 -8 -2 -8 -1 -9 -1 -8 -1 -9 -1 -9 -2 -10 0 -9 0 -10 0 -10 0 -9 -1 -10 0 -9 0 -9 0 -9 0 -10 0 -10 0 -10 0 0 0 -9 0 -10 0 -10 0 -9 -1 -9 0 -10 -1 -9 -1 -10 -1 -9 -1 -10 -1 -10 -2 -10 -2 -10 -2 -10 -3 -10 -2 -10 -3 -10 -3 -11 -3 -11 -4 -10 -4 -11 -4 -11 -4 -11 -3 -11 -4 -11 -4 -12 0 0 0 0 0 0 0 0 0 0
1783903395.139019,86144,-44,11,1,7,1,-95,1,878925148,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 7 -2 6 -3 6 -3 6 -4 6 -4 6 -4 6 -5 7 -5 6 -4 7 -5 6 -5 7 -6 7 -5 7 -5 7 -6 6 -6 7 -6 7 -7 6 -7 6 -7 6 -7 6 -6 7 -7 7 -7 6 -7 6 0 0 -7 6 -7 6 -7 7 -6 6 -6 6 -6 7 -6 7 -6 8 -6 7 -6 7 -6 7 -6 8 -5 8 -5 8 -6 8 -6 8 -5 8 -5 8 -5 9 -5 9 -4 10 -5 9 -4 9 -4 10 -5 10 -5 10 0 0 0 0 0 0 0 0 0 0
1783903395.154881,86145,-44,11,1,7,1,-95,1,878940652,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -1 -8 -1 -8 -1 -8 -2 -7 -2 -8 -1 -8 -2 -8 -3 -8 -3 -8 -3 -8 -4 -8 -3 -7 -4 -8 -4 -8 -4 -8 -4 -8 -4 -9 -5 -9 -5 -8 -5 -9 -5 -8 -5 -8 -5 -8 -6 -8 -6 -9 -5 0 0 -8 -5 -8 -5 -8 -6 -9 -6 -8 -5 -8 -5 -8 -5 -9 -5 -8 -5 -10 -4 -9 -4 -9 -4 -9 -4 -9 -4 -10 -4 -10 -4 -10 -4 -10 -4 -10 -4 -10 -4 -11 -4 -11 -4 -10 -4 -11 -4 -11 -4 -12 -4 0 0 0 0 0 0 0 0 0 0
1783903395.158901,86146,-44,11,1,7,1,-95,1,878945129,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 1 -7 2 -7 1 -8 1 -8 1 -8 0 -8 0 -8 1 -9 0 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -10 -1 -9 -1 -10 -1 -9 -1 -9 -2 -10 -2 -10 -2 -10 -2 -10 -2 -9 -3 -9 -3 -10 -3 0 0 -10 -3 -9 -3 -10 -2 -9 -2 -10 -2 -10 -2 -9 -1 -9 -1 -10 -1 -11 -1 -10 -1 -10 -1 -10 -1 -11 -1 -10 0 -11 -1 -11 -1 -11 -1 -11 0 -12 1 -11 1 -12 1 -12 0 -12 1 -12 0 -12 1 0 0 0 0 0 0 0 0 0 0
1783903395.170657,86147,-36,11,1,7,0,-95,1,878956245,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -5 -6 -5 -6 -6 -6 -6 -5 -6 -5 -6 -5 -7 -5 -7 -5 -7 -5 -7 -5 -8 -5 -8 -5 -8 -4 -8 -5 -8 -5 -9 -5 -9 -4 -9 -4 -9 -5 -9 -4 -9 -4 -10 -5 -8 -4 -9 -5 -9 -4 -9 0 0 -4 -9 -4 -9 -5 -9 -5 -9 -4 -9 -4 -10 -5 -9 -5 -9 -5 -9 -5 -8 -6 -9 -5 -9 -6 -9 -6 -9 -6 -9 -7 -9 -6 -10 -7 -9 -7 -9 -7 -9 -8 -9 -8 -9 -8 -9 -7 -10 -8 -9 -8 -10 0 0 0 0 0 0 0 0 0 0
1783903395.170657,86148,-44,11,1,7,1,-95,1,878965087,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -1 -7 -2 -8 -2 -7 -3 -8 -3 -8 -2 -8 -3 -8 -4 -8 -3 -8 -4 -8 -4 -8 -5 -8 -5 -8 -4 -8 -4 -9 -5 -8 -4 -8 -5 -8 -5 -9 -5 -8 -5 -9 -6 -9 -6 -8 -6 -8 -6 -8 -7 0 0 -8 -6 -9 -5 -8 -5 -9 -5 -8 -4 -9 -5 -9 -4 -10 -4 -9 -4 -10 -4 -10 -4 -10 -4 -10 -4 -9 -3 -10 -3 -10 -3 -11 -3 -10 -3 -11 -2 -12 -2 -11 -2 -12 -1 -12 -2 -12 -3 -12 -2 -12 -2 0 0 0 0 0 0 0 0 0 0
1783903395.186550,86149,-44,11,1,7,1,-95,1,878980137,128,0 0 0 0 0 0 0 0 0 0 0 0 4 5 4 5 3 5 3 6 3 6 3 6 3 7 3 6 3 7 3 7 2 8 2 8 2 8 2 8 2 8 1 8 2 8 2 8 2 9 2 8 1 8 2 9 1 8 2 8 1 9 1 8 0 0 1 8 2 9 1 8 2 9 2 9 3 8 2 8 2 9 3 9 3 9 3 8 4 9 4 9 4 8 4 8 5 8 4 8 5 9 5 9 5 9 5 9 5 9 6 9 5 10 6 9 6 9 0 0 0 0 0 0 0 0 0 0
