pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783903427.357384,89335,-44,11,1,7,1,-95,1,911143875,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -6 6 -5 6 -5 7 -4 6 -4 6 -5 6 -4 7 -4 7 -3 7 -5 7 -4 8 -5 8 -3 9 -4 9 -3 9 -3 10 -2 9 -3 9 -2 9 -2 9 -2 10 -2 9 -2 9 -2 9 -2 10 -2 0 0 10 -2 9 -2 9 -2 8 -2 9 -2 9 -2 9 -2 9 -2 9 -2 8 -2 9 -3 9 -3 9 -3 9 -4 9 -3 9 -3 9 -4 9 -4 9 -4 9 -4 10 -5 9 -4 9 -5 10 -5 9 -5 10 -5 0 0 0 0 0 0 0 0 0 0
1783903427.357384,89336,-44,11,1,7,1,-95,1,911154079,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 -6 -6 -6 -5 -7 -4 -6 -5 -7 -4 -7 -4 -8 -4 -7 -5 -8 -4 -9 -4 -9 -3 -9 -3 -9 -3 -9 -3 -9 -4 -10 -4 -9 -3 -10 -3 -9 -4 -10 -3 -10 -4 -10 -3 -10 -2 -10 -2 -10 -2 -10 0 0 -3 -9 -3 -10 -3 -9 -3 -10 -3 -10 -3 -9 -4 -9 -4 -10 -4 -9 -4 -10 -4 -10 -4 -9 -4 -9 -5 -9 -6 -9 -5 -9 -5 -9 -5 -9 -6 -8 -7 -9 -6 -10 -6 -10 -7 -10 -7 -9 -6 -9 -7 -9 0 0 0 0 0 0 0 0 0 0
1783903427.373075,89337,-44,11,1,7,1,-95,1,911164199,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 2 -8 2 -7 2 -9 1 -8 1 -9 2 -8 1 -9 1 -9 1 -8 1 -9 0 -10 0 -9 -1 -10 0 -10 0 -10 -1 -10 -1 -10 -1 -11 -1 -10 -1 -11 -1 -11 -2 -10 -1 -10 -2 -10 -2 -11 -2 0 0 -10 -2 -10 -2 -10 -2 -10 -2 -9 -1 -9 -1 -9 0 -10 -1 -9 -2 -10 0 -10 -1 -10 -1 -10 -1 -10 0 -10 0 -10 0 -10 0 -10 1 -11 0 -11 1 -11 1 -11 1 -11 1 -11 1 -11 1 -12 2 0 0 0 0 0 0 0 0 0 0
1783903427.389180,89338,-44,11,1,7,1,-95,1,911173936,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -7 4 -7 4 -7 5 -7 4 -6 5 -7 5 -6 5 -7 5 -7 6 -7 6 -7 6 -7 7 -7 7 -6 7 -7 8 -6 8 -6 7 -6 8 -6 7 -5 8 -6 8 -6 8 -5 8 -6 8 -6 8 -6 0 0 8 -5 8 -5 8 -6 7 -5 8 -6 8 -5 7 -6 7 -6 8 -6 7 -6 8 -6 7 -7 7 -7 7 -8 7 -6 8 -7 6 -7 7 -7 7 -8 7 -8 7 -8 7 -9 6 -8 6 -8 7 -8 7 -9 0 0 0 0 0 0 0 0 0 0
1783903427.398946,89339,-44,11,1,7,1,-95,1,911184061,128,0 0 0 0 0 0 0 0 0 0 0 0 1 6 1 7 0 7 -1 7 0 8 0 7 0 8 -1 8 -1 7 -1 8 -2 8 -3 8 -3 8 -3 8 -2 8 -2 9 -3 9 -2 9 -3 9 -3 9 -3 9 -4 9 -3 9 -4 8 -4 8 -4 8 0 0 -4 8 -3 9 -3 8 -3 9 -3 8 -3 9 -2 9 -3 9 -2 8 -2 10 -2 9 -2 9 -1 8 -2 9 0 10 0 10 -1 10 -1 9 0 9 0 10 0 10 1 10 0 10 0 10 0 10 0 10 0 0 0 0 0 0 0 0 0 0
1783903427.405153,89340,-44,11,1,7,1,-95,1,911193899,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -4 6 -5 6 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 8 -2 8 -2 8 -2 9 -2 9 -2 9 -2 8 -1 9 -1 9 -1 10 -2 9 -1 9 -1 8 0 8 0 9 0 9 1 9 0 0 0 9 -1 9 0 10 0 8 0 9 -1 9 -1 9 -1 9 -2 9 -1 9 -2 9 -1 9 -1 9 -2 10 -2 9 -2 10 -2 8 -3 9 -3 10 -3 10 -3 10 -4 10 -3 9 -4 9 -4 10 -4 10 -4 0 0 0 0 0 0 0 0 0 0
1783903427.405153,89341,-44,11,1,7,1,-95,1,911203962,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 -7 -5 -7 -5 -7 -4 -7 -5 -8 -4 -7 -4 -8 -4 -8 -4 -8 -4 -9 -3 -8 -3 -9 -3 -9 -3 -9 -3 -10 -2 -10 -2 -10 -1 -9 -3 -10 -2 -10 -2 -10 -1 -10 -2 -10 -1 -10 -2 -10 -2 -10 0 0 -1 -10 -1 -10 -2 -10 -1 -10 -2 -9 -2 -10 -3 -10 -2 -10 -2 -10 -2 -10 -3 -10 -3 -10 -4 -10 -4 -10 -4 -10 -3 -10 -4 -10 -4 -10 -4 -11 -5 -11 -4 -10 -5 -11 -5 -10 -5 -10 -5 -10 -5 -10 0 0 0 0 0 0 0 0 0 0
1783903427.420963,89342,-35,11,1,7,0,-95,1,911214039,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -8 -3 -8 -3 -9 -2 -9 -2 -9 -2 -10 -2 -10 -2 -10 -1 -10 -1 -10 -1 -10 -1 -10 0 -10 0 -11 0 -11 0 -12 0 -11 0 -11 1 -12 1 -11 0 -12 1 -12 1 -11 1 -11 1 -12 1 -11 0 0 1 -12 1 -12 1 -11 1 -12 1 -11 0 -11 0 -11 0 -12 0 -12 -1 -12 0 -12 -1 -12 -1 -12 -1 -12 -1 -12 -1 -12 -1 -12 -2 -12 -2 -12 -2 -13 -3 -13 -3 -13 -3 -13 -2 -13 -3 -13 -3 -13 0 0 0 0 0 0 0 0 0 0
1783903427.437075,89343,-44,11,1,7,1,-95,1,911223998,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -3 -8 -4 -7 -4 -8 -5 -7 -5 -8 -5 -7 -5 -8 -5 -7 -6 -7 -5 -7 -6 -8 -7 -7 -7 -7 -7 -8 -7 -6 -8 -7 -8 -7 -7 -7 -8 -6 -8 -7 -8 -6 -7 -7 -9 -6 -8 -6 -8 -7 -9 0 0 -7 -9 -6 -8 -7 -9 -6 -8 -6 -8 -7 -9 -7 -8 -7 -8 -7 -8 -7 -7 -8 -7 -7 -7 -8 -8 -8 -7 -8 -7 -8 -8 -8 -7 -8 -7 -9 -7 -9 -7 -9 -8 -10 -7 -9 -7 -9 -7 -10 -7 -10 -7 0 0 0 0 0 0 0 0 0 0
1783903427.437075,89344,-44,11,1,7,1,-95,1,911233904,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -5 -6 -5 -7 -5 -6 -6 -6 -7 -6 -6 -6 -6 -6 -7 -6 -7 -5 -7 -6 -8 -6 -8 -6 -8 -5 -9 -5 -9 -5 -9 -5 -8 -5 -9 -5 -10 -5 -10 -5 -10 -5 -9 -5 -9 -4 -10 -3 -10 -4 -9 0 0 -4 -9 -4 -10 -4 -9 -4 -10 -5 -9 -4 -9 -4 -9 -5 -9 -5 -9 -5 -10 -6 -9 -6 -9 -5 -9 -5 -9 -6 -9 -7 -9 -6 -9 -7 -10 -7 -9 -7 -9 -7 -9 -7 -10 -8 -9 -8 -10 -8 -10 -8 -9 0 0 0 0 0 0 0 0 0 0
