pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783903493.885224,95922,-44,11,1,7,1,-95,1,977671640,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -2 7 -2 7 -2 8 -1 7 -1 7 0 8 0 8 0 8 0 8 0 8 1 8 1 9 2 8 1 9 1 8 2 9 2 9 1 9 2 9 2 9 2 9 3 8 3 8 3 9 3 8 3 0 0 8 3 8 2 9 2 8 2 8 1 9 2 9 2 9 2 9 2 9 1 9 1 9 1 9 1 10 1 10 1 10 0 9 0 10 0 10 0 10 0 11 -1 11 0 11 0 11 0 11 0 11 -1 0 0 0 0 0 0 0 0 0 0
1783903493.890675,95923,-44,11,1,7,1,-95,1,977681574,128,0 0 0 0 0 0 0 0 0 0 0 0 2 6 1 7 1 8 0 7 0 7 0 8 -1 7 -1 8 -1 8 -1 8 -1 9 -1 9 -1 8 -2 9 -2 9 -2 9 -3 10 -3 9 -3 9 -3 8 -3 10 -4 9 -3 9 -4 9 -3 9 -3 9 0 0 -3 8 -4 8 -4 9 -3 8 -3 9 -3 9 -3 9 -2 9 -3 9 -2 9 -1 9 -1 9 -1 10 -1 10 -1 9 -2 10 -1 10 -1 11 -1 10 -2 10 0 11 -1 11 -1 10 0 11 1 11 1 11 0 0 0 0 0 0 0 0 0 0
1783903493.903286,95924,-44,11,1,7,1,-95,1,977691565,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -6 -5 -6 -5 -6 -5 -6 -5 -7 -4 -7 -4 -7 -4 -8 -4 -8 -4 -9 -3 -9 -3 -9 -3 -9 -3 -9 -3 -9 -3 -9 -3 -10 -3 -10 -3 -10 -2 -10 -3 -10 -4 -10 -2 -10 -1 -10 -2 -10 -2 -10 0 0 -2 -10 -2 -10 -2 -10 -3 -10 -3 -9 -3 -9 -3 -10 -3 -10 -3 -9 -4 -10 -4 -10 -3 -10 -3 -10 -4 -10 -5 -10 -5 -9 -4 -10 -5 -11 -5 -10 -5 -10 -5 -10 -6 -10 -5 -10 -6 -11 -6 -11 -6 -10 0 0 0 0 0 0 0 0 0 0
1783903493.916912,95925,-44,11,1,7,1,-95,1,977701666,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 -6 -5 -6 -5 -6 -5 -7 -5 -7 -5 -7 -5 -7 -6 -8 -5 -8 -5 -8 -4 -8 -4 -8 -4 -8 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -10 -4 -10 -4 -10 -3 -10 -3 -9 -3 -10 -3 -10 -3 -9 0 0 -4 -9 -3 -9 -4 -9 -4 -9 -4 -9 -5 -9 -5 -9 -5 -9 -4 -9 -5 -9 -4 -9 -5 -9 -5 -9 -6 -9 -6 -9 -6 -9 -6 -9 -6 -9 -7 -9 -7 -10 -8 -9 -8 -9 -8 -10 -7 -9 -8 -10 -8 -10 0 0 0 0 0 0 0 0 0 0
1783903493.916912,95926,-44,11,1,7,1,-95,1,977711582,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 6 -5 5 -6 5 -6 5 -6 4 -6 5 -6 4 -7 5 -7 5 -7 5 -7 4 -7 4 -8 4 -9 4 -9 4 -9 4 -9 3 -8 4 -9 3 -9 3 -10 4 -9 3 -9 4 -9 3 -9 3 -10 3 0 0 -10 3 -10 3 -9 3 -9 3 -9 3 -9 3 -9 3 -9 4 -8 3 -9 4 -9 4 -9 4 -9 5 -10 5 -9 4 -9 5 -9 5 -9 6 -10 5 -9 5 -10 6 -9 6 -9 5 -10 6 -10 6 -10 7 0 0 0 0 0 0 0 0 0 0
1783903493.932950,95927,-44,11,1,7,1,-95,1,977721568,128,0 0 0 0 0 0 0 0 0 0 0 0 1 7 0 7 -1 7 -1 7 -1 8 -1 7 -2 8 -1 8 -1 8 -2 8 -3 8 -3 8 -3 8 -3 8 -3 8 -3 9 -3 9 -4 9 -4 9 -4 8 -4 9 -4 9 -4 9 -4 8 -4 8 -4 9 0 0 -4 8 -4 9 -4 8 -4 9 -3 9 -3 8 -3 8 -3 9 -2 9 -3 9 -3 9 -2 8 -2 9 -2 9 -2 10 -1 9 -1 10 -2 10 -1 10 -1 10 0 11 0 11 -1 11 -1 11 -1 11 -1 11 0 0 0 0 0 0 0 0 0 0
1783903493.948586,95928,-44,11,1,7,1,-95,1,977731649,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -6 5 -6 6 -5 5 -5 6 -4 6 -5 6 -5 7 -5 7 -5 7 -5 8 -4 7 -5 8 -4 9 -4 8 -4 8 -4 9 -3 8 -3 9 -4 8 -3 8 -3 9 -3 9 -3 8 -3 9 -3 9 -3 0 0 9 -3 8 -3 9 -3 8 -4 9 -3 9 -4 8 -3 8 -4 8 -4 8 -5 8 -5 8 -5 9 -5 8 -5 8 -5 8 -6 8 -5 9 -6 9 -6 8 -7 9 -7 9 -7 8 -7 9 -7 8 -7 10 -8 0 0 0 0 0 0 0 0 0 0
1783903493.948586,95929,-44,11,1,7,1,-95,1,977741592,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 6 -5 6 -5 5 -6 5 -6 6 -6 5 -6 5 -6 5 -7 5 -7 5 -7 5 -7 5 -8 5 -8 5 -8 5 -8 5 -8 4 -9 4 -9 5 -9 4 -9 4 -9 4 -9 4 -9 4 -9 3 -9 4 0 0 -10 3 -9 4 -9 4 -9 4 -8 4 -9 4 -9 4 -9 4 -9 5 -9 5 -9 4 -8 6 -8 6 -9 6 -8 5 -9 5 -9 6 -8 6 -9 6 -8 7 -9 7 -9 7 -9 7 -9 7 -9 7 -9 8 0 0 0 0 0 0 0 0 0 0
1783903493.964412,95930,-44,11,1,7,1,-95,1,977751644,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 1 -8 0 -8 0 -8 0 -8 0 -8 -1 -9 0 -9 -1 -9 -1 -9 -2 -9 -2 -9 -2 -10 -2 -10 -2 -10 -2 -9 -2 -10 -2 -10 -2 -10 -3 -10 -3 -10 -3 -10 -3 -10 -3 -9 -3 -9 -4 -9 -4 0 0 -9 -3 -10 -3 -9 -3 -9 -2 -9 -2 -10 -2 -9 -2 -10 -2 -10 -1 -10 -2 -10 -2 -10 -1 -10 -1 -11 -1 -11 0 -11 0 -11 0 -11 1 -11 0 -12 1 -12 1 -11 1 -12 1 -11 1 -12 1 -12 1 0 0 0 0 0 0 0 0 0 0
1783903493.964412,95931,-44,11,1,7,1,-95,1,977761587,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -5 6 -5 6 -5 6 -4 6 -4 6 -4 7 -3 7 -4 7 -4 7 -3 7 -3 8 -3 9 -3 8 -3 9 -3 8 -3 9 -3 9 -3 8 -3 9 -2 9 -2 10 -2 9 -3 9 -2 9 -2 10 -2 0 0 9 -2 9 -2 9 -2 8 -3 8 -2 8 -2 8 -3 9 -4 9 -3 9 -3 9 -4 9 -4 8 -5 9 -4 9 -4 9 -5 9 -5 9 -5 9 -6 9 -5 8 -7 10 -6 9 -7 9 -6 8 -7 10 -7 0 0 0 0 0 0 0 0 0 0
