pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783904383.168869,73126,-47,11,1,7,1,-95,1,751816762,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 6 -3 6 -3 6 -4 7 -4 6 -4 7 -4 7 -5 7 -5 7 -5 7 -6 7 -6 7 -7 7 -7 7 -7 7 -7 7 -8 7 -8 6 -8 7 -8 6 -8 6 -9 6 -8 6 -8 6 -9 5 -8 6 0 0 -8 5 -8 5 -8 6 -7 5 -7 6 -8 6 -7 5 -7 6 -7 6 -6 6 -7 6 -6 6 -6 6 -6 7 -6 6 -6 7 -5 6 -5 7 -5 7 -5 8 -4 7 -4 8 -4 8 -4 8 -4 8 -4 9 0 0 0 0 0 0 0 0 0 0
1783904383.168869,73127,-47,11,1,7,1,-95,1,751826823,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 4 -6 4 -7 4 -7 4 -7 3 -8 4 -8 3 -9 4 -9 3 -9 3 -9 3 -10 3 -10 2 -10 2 -11 2 -11 1 -11 1 -11 1 -11 1 -11 1 -11 1 -11 0 -11 1 -11 0 -11 0 -11 0 0 0 -10 0 -11 0 -11 0 -10 0 -10 0 -10 1 -10 1 -10 1 -9 1 -9 2 -10 2 -9 2 -9 2 -10 2 -9 2 -9 2 -9 3 -9 3 -9 4 -9 4 -9 4 -9 4 -9 4 -9 5 -9 5 -9 5 0 0 0 0 0 0 0 0 0 0
1783904383.184541,73128,-47,11,1,7,1,-95,1,751836777,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 3 -7 3 -8 3 -8 2 -9 3 -8 2 -9 2 -9 2 -10 2 -11 1 -10 1 -11 0 -11 0 -11 0 -11 0 -12 0 -11 0 -12 -1 -12 -1 -12 -1 -12 -1 -12 -1 -11 -2 -11 -2 -11 -2 -11 -2 0 0 -11 -2 -11 -1 -10 -1 -11 -1 -11 -1 -11 -1 -10 -1 -10 0 -10 0 -10 0 -10 0 -10 0 -9 1 -10 1 -10 2 -9 2 -10 2 -10 2 -10 2 -10 3 -10 3 -9 4 -10 3 -10 4 -10 4 -9 4 0 0 0 0 0 0 0 0 0 0
1783904383.200174,73129,-47,11,1,7,1,-95,1,751846704,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -7 -3 -7 -3 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -9 -2 -9 -2 -9 -1 -9 -1 -10 0 -10 0 -10 0 -11 0 -11 0 -11 1 -10 1 -11 1 -11 1 -11 2 -11 1 -10 2 -10 2 -10 2 -10 0 0 2 -10 1 -10 1 -10 1 -10 1 -9 1 -10 1 -9 0 -9 0 -10 0 -9 0 -9 -1 -9 -1 -9 -1 -10 -1 -9 -2 -9 -2 -9 -2 -9 -2 -9 -3 -9 -3 -9 -3 -9 -3 -9 -3 -9 -4 -10 -4 -9 0 0 0 0 0 0 0 0 0 0
1783904383.200174,73130,-47,11,1,7,1,-95,1,751856718,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -7 -3 -7 -2 -8 -2 -8 -2 -9 -2 -9 -1 -9 -1 -10 -1 -10 -1 -10 -1 -10 0 -10 0 -10 0 -11 1 -11 1 -11 1 -11 2 -11 2 -11 2 -11 2 -11 3 -11 2 -11 2 -10 2 -11 2 -10 0 0 2 -10 2 -10 2 -10 2 -10 2 -10 2 -10 2 -10 1 -10 1 -10 1 -10 0 -10 0 -10 0 -10 0 -10 0 -10 -1 -9 -1 -10 -1 -10 -1 -10 -2 -10 -2 -10 -2 -10 -3 -10 -3 -10 -3 -10 -4 -10 0 0 0 0 0 0 0 0 0 0
1783904383.216015,73131,-47,11,1,7,1,-95,1,751866751,128,0 0 0 0 0 0 0 0 0 0 0 0 1 7 1 7 1 8 0 8 0 8 0 8 0 9 -1 9 -1 9 -2 9 -3 9 -3 10 -3 10 -3 10 -3 10 -3 10 -4 10 -4 10 -4 10 -5 10 -5 10 -5 10 -5 9 -6 9 -6 9 -5 9 0 0 -5 9 -5 9 -5 9 -5 9 -4 9 -4 9 -4 9 -4 9 -3 9 -4 9 -3 9 -3 9 -3 8 -2 9 -2 9 -2 9 -2 9 -1 9 -1 9 0 9 -1 9 0 9 0 10 0 10 0 10 1 9 0 0 0 0 0 0 0 0 0 0
1783904383.216015,73132,-47,11,1,7,1,-95,1,751876742,128,0 0 0 0 0 0 0 0 0 0 0 0 3 6 3 6 3 7 3 7 3 7 3 7 2 8 2 8 2 8 2 9 2 9 1 9 1 9 1 10 1 10 0 10 0 10 0 10 0 10 -1 10 -1 11 -1 10 -1 10 -1 10 -1 10 -1 10 0 0 -1 10 -1 10 -1 10 -1 9 0 9 0 9 0 9 0 9 0 9 1 9 1 9 1 9 1 8 2 9 2 8 2 9 3 8 3 8 3 8 3 8 4 8 4 8 4 8 4 8 5 8 5 8 0 0 0 0 0 0 0 0 0 0
1783904383.231721,73133,-47,11,1,7,1,-95,1,751886711,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -3 6 -3 7 -3 7 -3 7 -2 7 -2 7 -2 8 -2 8 -2 9 -1 8 -1 9 -1 9 0 9 0 10 0 10 0 10 0 10 1 10 1 10 1 10 1 10 1 10 1 9 2 9 2 9 2 0 0 9 1 9 1 9 1 9 1 9 1 9 1 9 0 9 0 8 0 8 0 8 0 8 -1 8 -1 8 -1 9 -2 8 -2 9 -2 8 -2 8 -3 8 -3 8 -3 8 -4 9 -4 8 -4 8 -4 8 -4 0 0 0 0 0 0 0 0 0 0
1783904383.247078,73134,-47,11,1,7,1,-95,1,751896781,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 7 -3 7 -4 7 -4 7 -4 7 -4 7 -5 7 -5 7 -5 7 -6 7 -7 7 -7 7 -7 7 -8 7 -8 7 -8 7 -8 6 -9 6 -9 6 -9 6 -9 6 -9 6 -9 6 -9 5 -9 5 -9 5 0 0 -9 5 -9 5 -9 5 -8 5 -8 5 -8 5 -8 5 -8 6 -7 5 -7 6 -7 6 -7 6 -7 6 -7 6 -6 7 -6 7 -7 7 -6 7 -6 7 -5 7 -5 8 -5 8 -5 8 -5 8 -5 8 -5 8 0 0 0 0 0 0 0 0 0 0
1783904383.247078,73135,-47,11,1,7,1,-95,1,751906709,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -2 -8 -3 -8 -3 -8 -4 -8 -4 -8 -5 -8 -5 -8 -5 -8 -6 -8 -6 -9 -6 -9 -6 -8 -7 -9 -7 -9 -8 -8 -8 -9 -8 -8 -8 -8 -9 -8 -9 -8 -9 -7 -9 -7 -8 -7 -9 -7 -8 -7 -9 0 0 -7 -9 -7 -8 -7 -9 -7 -7 -7 -8 -7 -8 -7 -8 -7 -7 -7 -7 -7 -6 -8 -6 -8 -6 -8 -6 -8 -6 -8 -5 -9 -6 -8 -5 -9 -5 -9 -5 -9 -5 -9 -4 -9 -4 -9 -3 -10 -3 -10 -3 -10 -3 0 0 0 0 0 0 0 0 0 0
