pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783909337.703275,192279,-48,11,1,6,1,-95,1,2071467412,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -3 -7 -3 -7 -4 -7 -4 -7 -5 -7 -5 -7 -6 -7 -6 -7 -6 -7 -7 -7 -7 -7 -7 -7 -7 -7 -8 -7 -8 -8 -8 -8 -8 -8 -9 -7 -9 -7 -9 -7 -9 -7 -9 -8 -9 -7 -9 -7 -9 -7 -10 0 0 -8 -10 -8 -10 -8 -9 -8 -10 -8 -9 -8 -9 -9 -9 -9 -9 -9 -9 -10 -9 -10 -9 -10 -9 -10 -9 -10 -9 -11 -9 -11 -9 -11 -9 -11 -9 -12 -9 -12 -9 -12 -8 -12 -9 -12 -9 -12 -9 -12 -9 -13 -9 0 0 0 0 0 0 0 0 0 0
1783909337.712804,192280,-47,11,1,5,1,-95,1,2071478709,128,0 0 0 0 0 0 0 0 0 0 0 0 7 0 7 1 7 1 7 2 7 2 8 2 7 3 8 3 8 3 8 4 8 4 8 4 8 5 8 5 8 5 8 6 8 6 8 6 8 6 8 7 8 7 8 7 8 7 8 7 8 7 9 7 0 0 9 7 8 7 9 8 8 7 9 7 9 7 9 7 9 7 9 7 10 6 10 6 10 6 11 6 11 6 11 7 11 7 11 6 12 6 12 7 12 7 12 7 12 7 12 6 12 6 13 6 13 7 0 0 0 0 0 0 0 0 0 0
1783909337.722597,192281,-48,11,1,6,1,-95,1,2071487536,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 2 -8 2 -8 1 -8 1 -8 0 -9 0 -9 0 -9 0 -10 -1 -9 -1 -10 -1 -10 -1 -10 -1 -11 -2 -11 -2 -10 -2 -11 -3 -11 -2 -11 -3 -11 -3 -11 -3 -11 -3 -11 -3 -11 -3 -11 -3 -12 -3 0 0 -12 -3 -12 -3 -12 -4 -12 -3 -12 -3 -12 -3 -12 -3 -12 -3 -12 -3 -13 -2 -13 -2 -13 -2 -13 -2 -14 -2 -13 -2 -14 -2 -13 -2 -14 -1 -14 -1 -15 -1 -15 -1 -15 -2 -14 -1 -15 -1 -15 -1 -16 -1 0 0 0 0 0 0 0 0 0 0
1783909337.733120,192282,-48,11,1,6,1,-95,1,2071497398,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 0 -8 -1 -8 -1 -8 -1 -9 -2 -8 -2 -9 -2 -9 -2 -9 -2 -9 -3 -9 -4 -9 -4 -10 -4 -9 -4 -10 -4 -11 -5 -10 -4 -11 -5 -10 -5 -11 -5 -11 -4 -11 -5 -11 -5 -10 -6 -10 -6 -11 -6 0 0 -11 -5 -11 -5 -11 -5 -12 -5 -11 -5 -11 -4 -12 -4 -12 -4 -12 -3 -13 -4 -13 -4 -12 -4 -12 -3 -12 -3 -14 -3 -13 -2 -14 -3 -14 -3 -14 -2 -14 -1 -14 -1 -15 -1 -15 -2 -15 -3 -15 -3 -15 -2 0 0 0 0 0 0 0 0 0 0
1783909337.741648,192283,-48,11,1,6,1,-95,1,2071507467,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 6 -4 6 -4 6 -5 6 -5 6 -5 6 -6 6 -6 7 -6 7 -7 6 -7 6 -7 6 -8 6 -8 6 -8 6 -9 6 -8 6 -9 6 -9 6 -9 6 -9 7 -9 6 -9 7 -10 6 -10 6 -10 6 0 0 -9 7 -10 6 -10 7 -10 7 -9 7 -9 7 -9 8 -9 8 -9 8 -9 9 -9 8 -9 9 -9 8 -9 9 -9 10 -9 10 -9 10 -9 10 -9 11 -9 11 -8 11 -9 12 -9 11 -9 11 -9 11 -9 12 0 0 0 0 0 0 0 0 0 0
1783909337.746171,192284,-48,11,1,6,1,-95,1,2071517415,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 5 -6 5 -7 4 -7 4 -7 4 -8 4 -8 3 -8 3 -9 3 -9 3 -9 3 -10 3 -10 3 -10 3 -11 3 -11 2 -11 2 -11 2 -12 2 -11 1 -12 2 -12 1 -12 2 -12 2 -12 2 -12 2 0 0 -12 1 -12 1 -13 1 -12 2 -12 2 -12 2 -13 2 -12 2 -13 2 -13 3 -13 3 -13 4 -13 3 -13 4 -13 4 -14 4 -13 4 -14 4 -14 4 -14 4 -14 5 -15 4 -14 5 -14 5 -14 5 -15 5 0 0 0 0 0 0 0 0 0 0
1783909337.761505,192285,-48,11,1,6,1,-95,1,2071527335,128,0 0 0 0 0 0 0 0 0 0 0 0 7 3 6 2 7 3 6 3 6 3 7 4 7 4 7 4 7 4 6 6 6 6 7 6 6 6 6 7 7 7 7 7 7 7 7 7 7 8 7 7 7 7 7 8 7 8 6 8 7 8 7 8 0 0 7 8 7 8 7 8 8 8 8 8 8 8 8 8 8 8 8 7 9 8 9 8 9 8 9 7 10 7 10 7 10 8 10 7 11 8 11 7 12 7 12 7 12 7 11 8 11 8 11 8 12 8 0 0 0 0 0 0 0 0 0 0
1783909337.772292,192286,-48,11,1,6,1,-95,1,2071537561,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 7 -2 7 -3 7 -3 7 -3 7 -4 7 -4 7 -4 7 -5 8 -5 7 -5 7 -6 8 -6 8 -6 8 -6 8 -7 7 -7 8 -7 8 -7 8 -7 8 -7 8 -8 8 -7 8 -7 8 -8 8 -8 9 0 0 -8 9 -8 8 -9 9 -8 8 -8 9 -8 9 -8 9 -8 9 -8 9 -7 10 -8 10 -7 10 -7 10 -7 11 -7 10 -8 11 -7 11 -7 11 -7 12 -7 12 -7 12 -7 13 -7 12 -7 12 -7 12 -8 13 0 0 0 0 0 0 0 0 0 0
1783909337.782818,192287,-48,11,1,6,1,-95,1,2071547475,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 3 -7 2 -8 2 -8 1 -9 1 -9 1 -9 0 -9 0 -10 0 -10 0 -10 0 -10 0 -10 -1 -10 -1 -11 -1 -11 -2 -11 -2 -11 -2 -11 -2 -11 -2 -12 -2 -12 -3 -12 -2 -12 -2 -12 -3 -12 -3 0 0 -12 -3 -12 -3 -12 -3 -12 -2 -12 -2 -12 -2 -13 -2 -13 -2 -13 -2 -13 -1 -14 -1 -13 -1 -13 -1 -14 -1 -14 -1 -14 0 -14 -1 -14 0 -15 0 -15 0 -15 0 -15 0 -15 0 -16 0 -15 0 -16 0 0 0 0 0 0 0 0 0 0 0
1783909337.792340,192288,-48,11,1,6,1,-95,1,2071557400,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -7 -2 -7 -2 -8 -2 -8 -1 -8 -1 -9 -1 -9 0 -9 0 -9 1 -10 1 -10 1 -10 1 -10 1 -10 1 -10 2 -11 2 -11 2 -11 2 -11 2 -11 2 -11 3 -11 3 -12 3 -11 3 -11 3 -12 0 0 3 -12 3 -12 2 -11 3 -12 2 -12 2 -12 2 -12 2 -12 2 -12 2 -13 2 -13 1 -13 1 -13 1 -13 0 -14 0 -14 1 -14 1 -14 0 -14 0 -15 0 -15 0 -15 1 -15 0 -15 0 -15 0 -15 0 0 0 0 0 0 0 0 0 0
1783909337.802625,192289,-48,11,1,6,1,-95,1,2071567427,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 1 -8 1 -8 0 -9 0 -8 0 -9 -1 -9 -1 -9 -1 -10 -2 -10 -2 -10 -2 -10 -2 -10 -3 -11 -3 -11 -3 -10 -4 -11 -4 -10 -4 -11 -4 -11 -4 -11 -4 -11 -5 -11 -4 -12 -5 -11 -5 -12 -5 0 0 -12 -5 -11 -5 -12 -5 -11 -5 -12 -5 -12 -5 -12 -5 -12 -4 -12 -5 -13 -4 -13 -4 -13 -3 -13 -4 -14 -3 -13 -4 -14 -4 -13 -3 -14 -3 -15 -3 -15 -3 -15 -3 -15 -3 -14 -3 -15 -3 -15 -3 -16 -3 0 0 0 0 0 0 0 0 0 0
1783909337.812149,192290,-48,11,1,6,1,-95,1,2071577398,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 4 -7 4 -7 4 -8 3 -8 3 -8 3 -9 3 -9 3 -9 3 -9 3 -10 2 -10 2 -10 2 -10 2 -11 2 -11 1 -12 1 -11 1 -12 1 -12 1 -12 1 -12 0 -12 1 -12 1 -12 1 -12 1 0 0 -13 1 -13 1 -12 1 -12 1 -12 1 -12 1 -13 1 -12 2 -13 2 -13 2 -13 3 -13 3 -13 3 -14 3 -13 3 -14 3 -13 3 -14 4 -14 4 -14 4 -15 4 -15 4 -14 4 -14 4 -15 4 -15 5 0 0 0 0 0 0 0 0 0 0
