pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783910082.574531,5893,-62,11,1,5,1,-95,1,66413705,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 1 -3 1 -3 1 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 -1 -3 0 -3 0 -3 0 -3 0 -2 0 -2 0 0 0 -2 0 -2 0 -2 0 -2 0 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 2 -2 2 -2 2 -2 2 -2 3 -2 3 -2 3 -2 3 -3 4 -3 4 -3 4 -3 5 -3 5 -3 6 -3 6 -4 6 0 0 0 0 0 0 0 0 0 0
1783910082.592814,5894,-62,11,1,5,1,-95,1,66423772,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 1 -3 1 -3 1 -3 1 -3 1 -3 0 -3 1 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 0 0 -2 0 -2 0 -2 0 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 2 -2 2 -2 2 -2 2 -2 2 -2 3 -2 3 -2 3 -2 4 -2 4 -2 4 -2 5 -2 5 -3 5 -3 6 -4 6 -4 7 0 0 0 0 0 0 0 0 0 0
1783910082.604475,5895,-62,11,1,5,1,-95,1,66436144,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -1 -3 -1 -3 -1 -3 -1 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -2 -2 -3 -2 -2 -2 -2 -2 -3 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 0 0 -2 -2 -2 -1 -2 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 0 -3 0 -3 0 -4 0 -4 0 -4 0 -4 0 -5 0 -5 0 -5 0 -6 1 -6 1 -6 1 -7 1 -7 1 -8 1 -8 1 0 0 0 0 0 0 0 0 0 0
1783910082.618655,5896,-62,11,1,5,1,-95,1,66443840,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -1 -3 -1 -3 -2 -3 -2 -3 -2 -3 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 0 0 -2 -2 -2 -1 -2 -1 -2 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 0 -3 0 -3 0 -3 0 -4 0 -4 0 -4 0 -4 0 -5 0 -5 1 -6 1 -6 1 -6 1 -7 1 -7 1 -8 1 -8 1 0 0 0 0 0 0 0 0 0 0
1783910082.634966,5897,-62,11,1,5,1,-95,1,66455259,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 2 -2 2 -2 2 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 0 0 -2 1 -2 1 -2 1 -2 1 -1 1 -1 1 -1 2 -1 2 -1 2 -1 2 -1 2 -1 3 0 3 0 3 0 3 0 3 0 4 0 4 0 4 0 5 0 5 0 6 0 6 0 6 0 7 0 7 0 0 0 0 0 0 0 0 0 0
1783910082.651620,5898,-62,11,1,5,1,-95,1,66463699,128,0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 2 1 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 1 0 1 0 1 0 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 2 1 3 1 3 1 3 1 3 1 4 1 4 1 5 1 5 1 5 2 6 2 6 2 7 2 7 3 0 0 0 0 0 0 0 0 0 0
1783910082.664935,5899,-61,11,1,5,1,-95,1,66473709,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -2 0 -3 0 -2 0 -3 -1 -2 -1 -2 -1 -2 -1 -2 0 0 -1 -2 -1 -2 -1 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -3 -4 -3 -4 -3 -4 -3 -5 -3 -5 -3 -5 -3 -6 -4 -6 -4 -6 -4 -7 -4 -7 -5 -7 -5 0 0 0 0 0 0 0 0 0 0
1783910082.676284,5900,-61,11,1,5,1,-95,1,66483729,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 1 -3 1 -3 1 -3 1 -3 1 -3 1 -3 0 -3 1 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -2 0 -2 0 -2 0 -2 0 -2 0 -2 0 -2 0 -2 0 0 0 -2 1 -2 1 -2 1 -2 1 -1 1 -2 1 -1 2 -1 2 -1 2 -1 2 -1 2 -1 3 -1 3 -1 3 -1 3 -1 4 -1 4 -1 4 -1 4 -1 5 -1 5 -1 6 -1 6 -1 7 -1 7 -1 8 0 0 0 0 0 0 0 0 0 0
1783910082.694708,5901,-62,11,1,5,1,-95,1,66493763,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -2 2 -2 2 -2 2 -2 2 -2 2 -2 2 -1 2 -2 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -2 0 0 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -3 0 -3 0 -3 0 -3 0 -4 0 -4 0 -4 0 -4 0 -5 0 -5 0 -5 0 -5 0 -6 0 -6 0 -7 0 -7 0 -8 0 -8 1 -9 0 0 0 0 0 0 0 0 0 0
1783910082.714755,5902,-62,11,1,5,1,-95,1,66503752,128,0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 2 0 2 0 2 0 2 0 2 1 2 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 0 1 0 0 0 1 0 1 0 1 0 1 -1 1 -1 1 -1 2 -1 2 -1 2 -1 2 -2 2 -2 2 -2 2 -2 2 -2 3 -3 3 -3 3 -3 3 -3 3 -3 4 -4 4 -4 4 -4 5 -4 6 -4 6 -4 6 -5 0 0 0 0 0 0 0 0 0 0
