pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783910212.176967,16351,-63,11,1,4,1,-95,1,173961272,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -1 -1 -1 -2 -1 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -4 -2 -4 -2 -4 -2 -4 -2 -4 -2 -4 -2 -4 -2 -5 -2 -5 0 0 -2 -5 -3 -5 -3 -5 -3 -5 -3 -5 -3 -5 -3 -5 -3 -5 -4 -5 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -5 -7 -5 -7 -5 -7 -6 -8 -6 -8 -7 -8 -7 -8 -7 -8 -7 -9 -7 -10 -7 -10 -7 -10 0 0 0 0 0 0 0 0 0 0
1783910212.192125,16352,-63,11,1,4,1,-95,1,173970936,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 3 -1 3 -1 3 -1 3 0 3 0 3 0 4 0 4 0 4 0 4 0 4 0 0 0 4 0 4 0 4 0 5 0 5 0 5 0 5 0 5 0 5 -1 6 -1 6 -1 6 -1 6 -1 6 -1 7 -1 7 -1 8 -1 8 -1 8 -1 9 -2 9 -1 9 -2 10 -1 11 -1 11 -1 11 -1 0 0 0 0 0 0 0 0 0 0
1783910212.206158,16353,-63,11,1,4,1,-95,1,173981080,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -2 -1 -1 -1 -2 -1 -2 -2 -2 -1 -2 -2 -2 -2 -3 -2 -3 -2 -3 -2 -3 -1 -3 -2 -3 -1 -3 -1 -3 -1 -4 -2 -4 -1 -4 -1 -4 -1 -4 -1 -5 -1 -5 -1 -5 -1 -5 -1 -5 0 0 -1 -5 -1 -5 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -2 -6 -1 -7 -2 -7 -2 -7 -2 -7 -2 -8 -2 -8 -2 -8 -3 -9 -3 -9 -3 -9 -3 -9 -3 -10 -3 -10 -3 -11 -3 -11 -3 -11 -3 -12 -3 -13 0 0 0 0 0 0 0 0 0 0
1783910212.220185,16354,-63,11,1,4,1,-95,1,173991123,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 0 -2 0 -2 0 -2 0 -2 0 -2 0 -2 0 -3 -1 -3 -1 -3 0 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -4 -1 -4 -1 -4 -1 -4 -1 -4 -2 -4 -1 -4 -1 -5 -2 -4 -2 -5 -2 -5 -2 0 0 -5 -2 -5 -2 -5 -2 -6 -2 -5 -2 -6 -2 -6 -2 -6 -2 -6 -2 -7 -2 -7 -2 -7 -2 -7 -2 -7 -2 -8 -2 -8 -2 -9 -2 -9 -2 -9 -2 -10 -1 -10 -2 -11 -2 -11 -2 -11 -3 -12 -3 -12 -3 0 0 0 0 0 0 0 0 0 0
1783910212.236038,16355,-63,11,1,4,1,-95,1,174001101,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -3 -1 -2 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -4 -2 -4 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -4 0 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -5 -4 -5 -4 -5 -4 -5 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -5 -7 -5 -7 -5 -7 -5 -8 -5 -8 -5 -9 -6 -9 -6 -9 -6 -9 -7 -10 -7 -10 -7 -10 -7 0 0 0 0 0 0 0 0 0 0
1783910212.252044,16356,-63,11,1,4,1,-95,1,174011119,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 0 -2 0 -2 0 -2 0 -2 0 -2 0 -2 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -4 0 -4 -1 -4 -1 -4 0 -4 -1 -4 -1 -5 -1 -5 -1 -5 -1 -5 -1 -5 -1 -5 -1 0 0 -5 -1 -5 -1 -5 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -7 -1 -7 -1 -7 -1 -7 0 -8 0 -8 -1 -8 -1 -9 -1 -9 -1 -9 0 -9 0 -10 -1 -10 0 -11 0 -11 0 -12 0 -12 0 -13 0 0 0 0 0 0 0 0 0 0 0
1783910212.279222,16357,-63,11,1,4,1,-95,1,174020881,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -1 1 -2 0 -2 1 -1 1 -2 1 -2 1 -2 1 -2 1 -2 2 -2 2 -2 2 -2 2 -2 2 -2 2 -2 3 -2 3 -2 3 -2 3 -2 3 -2 3 -2 3 -2 4 -2 4 -2 4 -2 4 -2 0 0 4 -2 4 -2 4 -2 4 -2 4 -2 5 -3 5 -3 5 -3 5 -3 5 -3 5 -4 5 -3 6 -3 6 -4 6 -4 6 -4 7 -4 7 -5 7 -5 7 -6 8 -5 8 -6 9 -6 9 -6 9 -6 10 -6 0 0 0 0 0 0 0 0 0 0
1783910212.298627,16358,-63,11,1,4,1,-95,1,174032282,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 1 -1 1 -1 1 -1 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -3 2 -3 2 -3 1 -4 2 -3 1 -4 2 -4 2 -4 2 -4 2 -4 2 -4 2 -4 2 -5 2 0 0 -5 2 -5 2 -5 2 -5 2 -5 2 -6 2 -6 2 -6 2 -6 2 -6 3 -6 3 -6 4 -7 4 -7 4 -7 4 -8 4 -7 4 -8 5 -8 5 -9 5 -9 5 -10 5 -9 6 -10 6 -10 7 -11 7 0 0 0 0 0 0 0 0 0 0
1783910212.311198,16359,-64,11,1,6,1,-95,1,174040186,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -3 -2 -3 -1 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -4 0 0 -5 -4 -4 -4 -4 -4 -4 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -6 -4 -6 -4 -6 -4 -6 -4 -7 -5 -7 -5 -8 -5 -7 -5 -8 -5 -8 -5 -9 -6 -9 -5 -9 -6 -9 -6 -10 -6 -10 -7 -11 -7 0 0 0 0 0 0 0 0 0 0
1783910212.323992,16360,-63,11,1,4,1,-95,1,174050968,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -2 0 -2 0 -2 0 -2 0 -2 0 -2 0 -2 0 -3 0 -3 0 -3 1 -3 1 -3 1 -3 1 -3 1 -3 1 -3 1 -3 1 -4 2 -4 2 -4 2 -4 2 -4 2 -4 2 -4 3 -4 2 -4 0 0 3 -4 2 -5 3 -4 3 -5 3 -5 3 -5 3 -5 3 -5 2 -6 3 -6 3 -6 3 -6 3 -6 3 -7 3 -8 3 -8 4 -8 4 -8 3 -8 3 -9 4 -9 3 -10 5 -10 5 -10 5 -10 5 -11 0 0 0 0 0 0 0 0 0 0
