pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783910339.902086,25115,-64,11,1,4,1,-95,1,264088050,128,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1 0 -1 1 -1 1 -1 1 -1 0 0 1 -1 1 -1 1 -1 1 -1 1 -2 1 -2 1 -2 1 -2 2 -2 2 -2 2 -2 2 -3 2 -2 2 -3 2 -3 3 -3 3 -3 3 -4 3 -4 3 -4 4 -5 4 -5 4 -5 5 -5 5 -5 6 -5 0 0 0 0 0 0 0 0 0 0
1783910339.919300,25116,-64,11,1,4,1,-95,1,264098161,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -2 1 -2 1 -2 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -2 -1 -2 0 0 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -3 -1 -3 -1 -3 -1 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -4 -2 -4 -3 -4 -2 -4 -3 -5 -3 -5 -4 -5 -3 -5 -4 -5 -4 -6 -4 -7 -4 -7 -4 -7 0 0 0 0 0 0 0 0 0 0
1783910339.933474,25117,-64,11,1,4,1,-95,1,264108160,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -1 1 -1 1 -1 1 -1 1 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -2 0 -2 -1 -2 -1 -2 0 0 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -4 -5 -4 -5 -4 -5 -4 -6 -4 -6 -5 -7 -5 -7 0 0 0 0 0 0 0 0 0 0
1783910339.951714,25118,-64,11,1,4,1,-95,1,264118069,128,0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 -1 1 -1 0 -1 1 -1 1 -1 0 0 1 -1 1 -1 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -3 1 -3 1 -3 1 -3 1 -3 1 -3 1 -4 1 -4 2 -4 2 -5 2 -5 2 -5 2 -5 2 -6 3 -6 3 -6 3 -7 3 -7 0 0 0 0 0 0 0 0 0 0
1783910339.972748,25119,-64,11,1,4,1,-95,1,264128076,128,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 2 0 1 0 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 2 0 2 0 2 0 2 0 2 0 2 0 3 0 3 0 3 0 3 0 3 0 4 -1 4 0 5 0 5 0 5 0 5 0 6 -1 6 0 7 0 7 0 8 0 0 0 0 0 0 0 0 0 0 0
1783910339.996295,25120,-64,11,1,4,1,-95,1,264142538,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 0 1 0 1 0 1 0 1 -1 1 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -2 0 -2 0 0 0 -2 0 -2 0 -2 0 -3 0 -2 0 -3 0 -3 0 -3 0 -3 -1 -3 -1 -4 -1 -3 -1 -4 -1 -4 -1 -4 -1 -5 -1 -5 -1 -5 -1 -5 -2 -6 -1 -6 -2 -6 -1 -7 -1 -7 -1 -8 -1 -8 0 0 0 0 0 0 0 0 0 0
1783910340.016476,25121,-64,11,1,4,1,-95,1,264147904,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -2 0 -2 -1 -2 -1 -2 0 0 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -4 -5 -4 -5 -4 -5 -4 -6 -4 -6 -5 -7 -5 -7 0 0 0 0 0 0 0 0 0 0
1783910340.033132,25122,-64,11,1,4,1,-95,1,264158148,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -2 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -2 0 -2 0 0 0 -2 0 -2 0 -2 -1 -2 -1 -2 -1 -2 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -4 -1 -4 -1 -4 -1 -4 -2 -5 -2 -5 -2 -5 -2 -5 -2 -6 -2 -6 -2 -6 -2 -7 -2 -7 -2 -8 -2 -8 0 0 0 0 0 0 0 0 0 0
1783910340.053097,25123,-64,11,1,4,1,-95,1,264168060,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -2 1 -2 1 -2 1 -2 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -1 0 -2 0 -2 0 0 0 -2 -1 -2 0 -2 -1 -2 -1 -2 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -2 -3 -2 -4 -2 -4 -2 -4 -2 -4 -2 -5 -2 -5 -2 -5 -2 -6 -2 -6 -2 -6 -3 -7 -3 -7 -3 -7 -3 -8 0 0 0 0 0 0 0 0 0 0
1783910340.072662,25124,-64,11,1,4,1,-95,1,264178773,128,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 1 0 1 0 1 0 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 1 0 2 0 2 0 2 0 2 0 2 0 2 -1 3 -1 3 -1 3 -1 3 -1 4 -1 4 -1 4 -1 4 -1 5 -1 5 -1 5 -1 6 -1 6 -1 7 -1 7 -1 0 0 0 0 0 0 0 0 0 0
