pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1783910469.711793,32756,-64,11,1,4,1,-95,1,344175280,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -2 -3 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -2 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 -2 -2 0 0 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -3 -1 -3 -2 -3 -1 -3 -1 -3 -1 -3 -1 -4 -1 -4 -1 -4 -1 -4 -1 -5 -1 -5 -1 -5 -1 -6 -1 -6 -1 -6 -1 -7 -1 -7 -1 -8 -2 0 0 0 0 0 0 0 0 0 0
1783910469.728571,32757,-64,11,1,4,1,-95,1,344185212,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 2 -2 2 -2 1 -2 1 -3 1 -3 1 -3 1 -3 1 -3 1 -3 1 -3 0 -3 0 -2 0 -3 0 -2 0 -2 0 -2 0 -2 0 -2 0 -2 0 -2 0 -2 1 -2 1 -2 0 -2 0 -2 1 0 0 -2 1 -2 1 -2 1 -2 1 -1 1 -2 1 -1 1 -2 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 3 -1 3 -1 4 -1 4 -1 4 -1 4 -1 5 -1 5 -1 5 -1 6 -2 6 -2 6 -2 7 0 0 0 0 0 0 0 0 0 0
1783910469.743408,32758,-64,11,1,4,1,-95,1,344195365,128,0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 2 1 2 1 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 2 1 3 1 3 1 3 1 3 1 4 1 4 1 4 1 5 1 5 1 5 1 5 1 6 2 6 2 7 2 0 0 0 0 0 0 0 0 0 0
1783910469.756505,32759,-64,11,1,4,1,-95,1,344205679,128,0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 0 0 0 1 0 1 0 1 0 1 0 2 0 2 0 2 0 2 0 2 0 2 -1 2 0 3 -1 3 -1 3 -1 3 -1 4 -1 4 -1 4 -1 4 -1 5 -1 5 -1 5 -1 6 -1 6 -1 7 -1 7 -1 0 0 0 0 0 0 0 0 0 0
1783910469.772516,32760,-64,11,1,4,1,-95,1,344215013,128,0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 2 0 2 0 2 0 2 0 2 0 2 0 3 0 3 0 3 0 3 0 3 0 4 0 4 0 4 0 5 0 5 0 5 0 6 0 6 1 6 1 7 1 0 0 0 0 0 0 0 0 0 0
1783910469.792142,32761,-64,11,1,4,1,-95,1,344225385,128,0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 2 0 2 0 2 0 2 0 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 1 -1 2 -1 1 -1 2 -1 1 -1 1 0 2 -1 2 0 1 0 2 0 2 0 0 0 1 0 1 0 2 0 1 0 2 0 2 0 2 1 2 1 2 1 2 1 2 1 2 1 2 2 2 2 2 2 3 2 3 3 3 3 3 3 3 3 4 3 4 4 4 4 4 4 5 4 5 0 0 0 0 0 0 0 0 0 0
1783910469.807112,32762,-64,11,1,4,1,-95,1,344236133,128,0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 2 0 2 0 2 1 2 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 3 0 3 -1 3 -1 3 -1 4 -1 4 0 4 -1 4 -1 5 -1 5 -1 5 -1 6 0 6 0 7 0 7 0 0 0 0 0 0 0 0 0 0 0
1783910469.824020,32763,-64,11,1,4,1,-95,1,344245828,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -2 2 -2 2 -2 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 1 -1 2 -1 2 -1 2 -1 2 -1 1 -1 2 -1 0 0 2 -1 2 -1 1 -1 2 -2 1 -2 2 -2 1 -2 2 -2 1 -2 2 -2 2 -2 2 -3 2 -3 2 -3 2 -4 2 -4 2 -4 3 -4 3 -4 3 -5 3 -5 3 -5 4 -5 4 -6 4 -6 4 -6 0 0 0 0 0 0 0 0 0 0
1783910469.840988,32764,-64,11,1,4,1,-95,1,344255904,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 0 0 2 0 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -2 2 -2 2 -2 3 -2 3 -2 3 -2 3 -2 3 -2 3 -3 4 -3 4 -3 4 -3 5 -3 5 -3 5 -4 6 -4 6 -4 0 0 0 0 0 0 0 0 0 0
1783910469.861275,32765,-64,11,1,4,1,-95,1,344265345,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 2 -2 2 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 -2 1 0 0 -2 1 -2 1 -2 1 -2 1 -2 1 -2 2 -2 2 -2 2 -2 2 -2 2 -1 2 -1 3 -1 3 -1 3 -1 3 -1 3 -1 3 -2 4 -1 4 -1 5 -2 5 -2 5 -2 5 -2 6 -2 6 -2 7 0 0 0 0 0 0 0 0 0 0
1783910469.876547,32766,-64,11,1,4,1,-95,1,344275247,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 0 -3 0 -3 0 -3 0 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -3 -1 -2 -1 -3 -1 -3 -1 -3 -1 -2 -1 -3 -1 -3 -1 -2 -1 -3 -1 -3 -1 0 0 -3 -1 -3 0 -3 -1 -3 0 -3 0 -3 0 -3 0 -3 0 -3 0 -4 1 -3 1 -3 1 -3 1 -3 1 -4 2 -4 2 -5 1 -4 2 -4 2 -5 2 -5 2 -5 3 -6 3 -6 3 -7 3 -7 3 0 0 0 0 0 0 0 0 0 0
1783910469.897349,32767,-64,11,1,4,1,-95,1,344285364,128,0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 -1 2 0 2 0 2 -1 2 0 2 0 2 0 2 0 2 0 0 0 2 0 2 0 2 0 2 0 2 0 2 0 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 2 2 2 3 2 3 2 3 2 3 3 3 3 4 3 4 3 4 3 4 3 5 4 6 0 0 0 0 0 0 0 0 0 0
