pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784698152.654703,182568,-43,11,1,7,1,-92,1,1857437581,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -4 7 -3 7 -2 7 -2 6 -2 7 -1 7 -1 6 -1 7 -1 6 -1 6 -1 6 -1 6 0 6 0 7 -1 7 0 7 -1 6 -1 7 -1 7 -1 7 -1 7 -1 7 -1 7 -1 7 -1 7 -1 0 0 7 -1 8 -1 8 -1 7 -2 8 -2 8 -2 8 -2 8 -2 8 -2 9 -3 9 -3 9 -3 9 -3 9 -3 9 -4 10 -4 10 -3 10 -4 10 -4 11 -4 11 -4 11 -4 11 -4 11 -4 12 -4 12 -4 0 0 0 0 0 0 0 0 0 0
1784698152.670575,182569,-44,11,1,7,1,-92,1,1857447488,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -5 -6 -6 -5 -6 -4 -7 -4 -7 -4 -7 -3 -7 -4 -7 -3 -7 -3 -7 -3 -7 -4 -6 -3 -7 -3 -7 -3 -7 -3 -6 -3 -7 -3 -6 -3 -7 -3 -7 -3 -7 -3 -7 -4 -6 -4 -7 -4 -6 -4 -7 0 0 -4 -7 -4 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -6 -7 -6 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -8 -8 -7 -8 -8 -8 -8 -8 -8 -8 -9 -8 -8 -9 -8 -8 -9 -9 -9 -9 -9 -9 0 0 0 0 0 0 0 0 0 0
1784698152.670575,182570,-45,11,1,7,1,-92,1,1857457515,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 -7 -4 -7 -4 -7 -3 -7 -3 -8 -3 -7 -3 -7 -2 -7 -3 -7 -2 -8 -2 -7 -1 -7 -1 -7 -1 -7 -2 -7 -2 -7 -2 -6 -2 -7 -2 -7 -2 -7 -2 -7 -3 -7 -3 -7 -2 -7 -2 -7 -3 -7 0 0 -3 -7 -3 -7 -3 -7 -4 -8 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -5 -8 -5 -7 -5 -8 -5 -8 -5 -8 -6 -8 -6 -7 -6 -9 -6 -8 -7 -8 -7 -8 -7 -8 -8 -8 -7 -10 -7 -10 -7 -10 -7 -9 0 0 0 0 0 0 0 0 0 0
1784698152.686390,182571,-45,11,1,7,1,-92,1,1857467527,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -8 0 -8 1 -8 1 -8 2 -7 2 -8 2 -7 2 -7 2 -7 2 -6 2 -6 3 -6 3 -6 3 -6 3 -6 2 -6 3 -6 2 -6 2 -6 2 -6 2 -6 2 -6 2 -6 2 -7 2 -7 2 -7 0 0 2 -7 2 -7 2 -7 2 -7 2 -8 2 -8 2 -8 2 -8 2 -8 1 -8 1 -8 1 -8 1 -8 1 -9 1 -8 1 -10 1 -9 1 -10 1 -10 1 -10 1 -10 1 -10 1 -10 1 -10 1 -11 1 -11 0 0 0 0 0 0 0 0 0 0
1784698152.686390,182572,-45,11,1,7,1,-92,1,1857477550,128,0 0 0 0 0 0 0 0 0 0 0 0 6 3 5 4 5 4 5 5 4 5 4 5 4 5 4 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 4 5 3 5 4 5 4 5 4 5 4 5 0 0 4 5 4 5 4 6 4 5 4 5 4 5 4 5 5 5 5 5 5 5 5 5 6 5 6 5 6 5 6 5 6 6 6 5 6 5 7 6 7 6 7 5 7 6 7 5 7 6 7 6 8 6 0 0 0 0 0 0 0 0 0 0
1784698152.702288,182573,-45,11,1,7,1,-92,1,1857487443,128,0 0 0 0 0 0 0 0 0 0 0 0 7 -1 7 -1 7 0 7 0 7 0 7 0 7 0 6 1 6 1 7 1 6 1 6 2 6 2 6 2 6 1 6 1 6 1 6 1 6 1 6 1 7 1 7 1 7 1 7 1 7 1 7 1 0 0 7 1 8 1 7 1 8 1 8 0 8 0 8 0 8 0 8 0 9 0 8 0 9 0 8 0 9 0 9 -1 9 -1 9 0 9 -1 9 -1 10 -1 10 -1 10 -1 10 -1 10 -1 10 0 10 -1 0 0 0 0 0 0 0 0 0 0
1784698152.718126,182574,-44,11,1,7,1,-92,1,1857497582,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -7 3 -7 4 -6 4 -6 5 -6 4 -6 4 -6 5 -6 5 -5 5 -5 5 -5 5 -5 5 -5 5 -5 5 -5 5 -5 5 -5 5 -5 5 -5 5 -5 5 -5 5 -5 5 -6 5 -6 6 -6 6 -6 0 0 6 -6 6 -6 6 -6 6 -6 6 -6 6 -6 6 -6 6 -7 6 -7 6 -7 5 -7 5 -8 6 -8 6 -8 6 -8 6 -8 6 -8 6 -8 6 -8 6 -9 6 -9 6 -9 6 -9 6 -9 6 -9 6 -9 0 0 0 0 0 0 0 0 0 0
1784698152.718126,182575,-44,11,1,7,1,-92,1,1857507441,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 0 -8 -1 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -3 -8 -3 -8 -3 -8 -3 -7 -3 -7 -3 -7 -3 -7 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -9 -4 -8 -3 -9 -3 0 0 -9 -4 -9 -3 -9 -3 -9 -3 -9 -3 -9 -4 -9 -3 -10 -3 -10 -3 -10 -3 -10 -3 -10 -2 -10 -3 -10 -3 -11 -2 -11 -2 -11 -3 -11 -2 -11 -2 -11 -2 -12 -3 -12 -2 -12 -3 -12 -3 -12 -3 -12 -3 0 0 0 0 0 0 0 0 0 0
1784698152.734213,182576,-43,11,1,7,1,-92,1,1857517566,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 -1 -7 -2 -7 -2 -7 -2 -7 -3 -7 -3 -7 -3 -7 -3 -7 -3 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 0 0 -8 -4 -8 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -10 -4 -10 -4 -10 -4 -9 -4 -10 -4 -11 -3 -11 -3 -11 -4 -11 -4 -11 -3 -12 -3 -12 -4 -12 -3 -12 -4 -12 -4 -12 -4 -12 -4 0 0 0 0 0 0 0 0 0 0
1784698152.750113,182577,-42,11,1,7,1,-92,1,1857527536,128,0 0 0 0 0 0 0 0 0 0 0 0 4 5 4 5 4 6 3 6 3 6 3 6 3 6 3 6 2 6 3 6 3 6 3 6 2 7 2 7 3 7 2 7 3 7 3 7 2 7 2 7 3 7 2 8 3 8 3 8 3 8 3 8 0 0 3 8 3 8 3 8 3 8 3 8 3 8 3 8 4 8 4 9 4 9 4 9 4 9 5 9 5 9 5 9 5 9 5 9 5 9 6 10 6 10 6 10 6 10 6 10 6 10 6 10 6 11 0 0 0 0 0 0 0 0 0 0
