pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784698860.140165,253331,-34,11,1,7,1,-92,1,-1730073279,128,0 0 0 0 0 0 0 0 0 0 0 0 2 4 1 4 1 5 1 5 1 5 1 5 1 5 1 5 1 6 1 6 1 6 1 6 0 6 1 7 0 7 0 7 0 7 0 7 0 8 -1 8 -1 8 -1 8 0 8 -1 8 -1 8 -1 8 0 0 -1 8 -1 9 -1 8 -1 8 -1 8 -1 9 -1 9 0 9 0 9 0 9 0 9 0 9 1 9 1 9 1 9 1 10 1 9 1 9 1 10 1 10 1 10 1 10 1 10 2 10 2 10 2 10 0 0 0 0 0 0 0 0 0 0
1784698860.140165,253332,-34,11,1,7,1,-92,1,-1730063282,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -6 -2 -5 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -6 -1 -7 0 -7 0 -7 0 -7 0 -7 0 -8 1 -8 1 -8 1 -8 1 -9 1 -8 1 -9 2 -9 1 -9 2 -9 2 -9 2 -9 2 -9 0 0 2 -9 2 -9 2 -9 2 -9 2 -9 2 -9 2 -9 2 -10 2 -9 2 -10 1 -10 1 -10 1 -10 1 -10 0 -10 1 -10 1 -11 1 -11 1 -11 1 -11 1 -11 0 -11 1 -12 1 -12 1 -12 1 -12 0 0 0 0 0 0 0 0 0 0
1784698860.155776,253333,-35,11,1,7,1,-92,1,-1730053328,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 -6 -1 -6 -1 -6 0 -6 0 -6 0 -6 0 -6 0 -7 0 -7 1 -7 0 -7 1 -7 1 -8 1 -8 1 -8 2 -8 2 -8 1 -8 2 -8 2 -8 2 -8 2 -8 3 -8 3 -8 3 -8 3 -9 0 0 3 -8 3 -9 3 -8 3 -9 3 -8 3 -9 2 -9 2 -9 3 -9 3 -9 2 -9 3 -9 3 -9 3 -10 2 -10 2 -10 2 -10 2 -10 2 -10 2 -11 2 -11 2 -11 2 -11 2 -11 2 -11 2 -12 0 0 0 0 0 0 0 0 0 0
1784698860.171516,253334,-34,11,1,7,1,-92,1,-1730043326,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -6 1 -6 1 -6 2 -6 2 -6 2 -6 2 -6 2 -6 3 -6 3 -6 3 -7 3 -7 3 -6 3 -7 4 -7 4 -7 4 -7 4 -7 5 -7 5 -7 5 -7 5 -7 5 -7 5 -7 5 -7 5 -7 0 0 5 -7 6 -7 6 -7 5 -7 6 -7 6 -7 6 -7 5 -8 5 -7 5 -8 5 -8 5 -9 5 -8 5 -9 5 -9 5 -9 5 -9 5 -9 5 -10 5 -10 5 -10 6 -10 5 -10 5 -10 5 -10 5 -10 0 0 0 0 0 0 0 0 0 0
1784698860.184560,253335,-34,11,1,7,1,-92,1,-1730029664,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -5 2 -5 2 -5 3 -5 3 -5 3 -5 3 -5 3 -5 4 -5 4 -5 4 -5 4 -6 4 -6 5 -6 5 -6 5 -5 6 -6 5 -5 6 -6 6 -6 6 -6 7 -5 6 -5 6 -5 7 -5 7 -6 0 0 7 -5 7 -5 8 -5 7 -5 7 -5 7 -5 7 -5 7 -6 7 -6 7 -6 7 -6 7 -6 7 -6 7 -7 7 -6 8 -7 7 -6 7 -7 8 -7 8 -7 8 -7 8 -7 8 -7 8 -8 8 -8 8 -8 0 0 0 0 0 0 0 0 0 0
1784698860.187566,253336,-34,11,1,7,1,-92,1,-1730023359,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -2 5 -2 5 -1 5 -1 5 0 5 -1 6 -1 6 -1 6 0 6 0 6 0 6 0 6 1 7 1 7 1 7 1 7 1 7 1 7 1 7 1 8 2 7 2 8 2 8 2 8 2 7 2 0 0 8 2 8 3 8 3 8 2 8 2 8 2 8 2 8 2 8 2 8 2 8 2 9 2 8 2 9 2 9 2 10 2 9 2 10 1 10 1 10 1 10 1 10 1 10 1 10 1 11 1 10 1 0 0 0 0 0 0 0 0 0 0
1784698860.187566,253337,-34,11,1,7,1,-92,1,-1730013375,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -1 -6 -1 -6 -1 -6 -1 -6 -2 -6 -2 -6 -2 -7 -2 -7 -3 -7 -2 -7 -3 -7 -3 -7 -3 -8 -3 -8 -4 -8 -4 -8 -4 -8 -4 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -9 -5 0 0 -8 -5 -8 -5 -8 -6 -8 -5 -8 -5 -9 -5 -9 -5 -9 -5 -9 -5 -9 -5 -9 -5 -10 -4 -10 -5 -10 -5 -10 -5 -10 -5 -10 -5 -10 -4 -11 -5 -11 -5 -11 -4 -11 -5 -11 -5 -11 -4 -11 -4 -12 -4 0 0 0 0 0 0 0 0 0 0
1784698860.203288,253338,-31,11,1,7,0,-92,1,-1730003357,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 7 -2 7 -2 7 -2 7 -3 8 -3 8 -3 8 -4 8 -4 8 -4 8 -5 9 -5 9 -5 9 -5 9 -6 9 -6 9 -6 10 -7 9 -7 10 -7 10 -7 10 -8 10 -8 10 -8 10 -8 10 -8 10 0 0 -9 10 -8 10 -8 10 -8 11 -8 10 -8 10 -8 10 -8 11 -8 11 -8 11 -8 12 -8 11 -7 11 -7 11 -7 12 -7 12 -8 13 -7 13 -8 13 -7 14 -7 14 -7 14 -7 14 -7 14 -7 14 -8 14 0 0 0 0 0 0 0 0 0 0
1784698860.219275,253339,-31,11,1,7,0,-92,1,-1729993397,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -8 3 -7 4 -8 4 -8 4 -8 4 -7 5 -8 5 -8 5 -8 6 -8 6 -8 6 -8 7 -8 7 -8 7 -9 8 -9 8 -9 8 -9 9 -9 9 -8 9 -8 9 -8 9 -8 10 -8 9 -8 10 -8 0 0 10 -8 10 -8 10 -9 10 -9 10 -9 10 -9 10 -9 10 -9 10 -9 10 -10 10 -10 10 -11 10 -10 10 -11 10 -11 10 -11 10 -11 10 -11 10 -12 10 -12 10 -12 10 -13 11 -13 10 -13 10 -13 10 -13 0 0 0 0 0 0 0 0 0 0
1784698860.315581,253340,-31,11,1,7,0,-92,1,-1729983220,128,0 0 0 0 0 0 0 0 0 0 0 0 -8 0 -8 -1 -9 -1 -8 -1 -9 -2 -9 -2 -9 -2 -9 -3 -10 -2 -10 -3 -10 -3 -10 -4 -10 -4 -10 -4 -11 -4 -12 -5 -11 -5 -12 -5 -11 -5 -12 -6 -12 -5 -12 -6 -12 -6 -12 -6 -12 -7 -12 -6 0 0 -12 -6 -12 -6 -12 -6 -12 -6 -12 -6 -13 -6 -13 -6 -13 -6 -13 -6 -13 -6 -13 -6 -14 -6 -14 -5 -13 -5 -14 -5 -14 -5 -14 -5 -15 -5 -15 -4 -15 -4 -16 -4 -16 -4 -16 -4 -16 -4 -17 -4 -17 -4 0 0 0 0 0 0 0 0 0 0
