pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1784699149.954370,282319,-36,11,1,7,1,-92,1,-1440263223,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -5 -4 -5 -4 -6 -3 -6 -3 -6 -3 -6 -3 -7 -3 -7 -3 -7 -2 -7 -2 -7 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 0 0 -1 -8 -1 -8 -1 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -4 -9 -4 -9 -4 -9 -5 -9 -5 -10 -5 -10 -5 -10 -6 -10 -5 -11 -5 -11 -5 -11 -6 -12 0 0 0 0 0 0 0 0 0 0
1784699149.970305,282320,-36,11,1,7,1,-92,1,-1440253204,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 -4 -5 -5 -4 -5 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -4 -6 -4 -7 -4 -7 -4 -7 -4 -7 -3 -7 -3 -8 -3 -7 -3 -8 -3 -7 -3 -8 -3 -8 -3 -8 -3 -8 -3 -7 -3 -8 -3 -8 -3 -7 0 0 -3 -8 -3 -7 -3 -8 -3 -7 -3 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -5 -7 -5 -7 -5 -7 -6 -7 -6 -7 -6 -8 -6 -8 -7 -8 -7 -8 -7 -8 -8 -8 -8 -9 -8 -8 -8 -9 -9 -9 -9 -9 0 0 0 0 0 0 0 0 0 0
1784699149.970305,282321,-36,11,1,7,1,-92,1,-1440243146,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 4 -4 4 -5 4 -5 4 -5 4 -6 4 -6 4 -6 4 -6 4 -6 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -8 3 -7 2 -8 2 -7 2 -8 3 -8 3 -8 2 -7 2 -7 2 0 0 -7 2 -7 2 -7 2 -7 3 -7 3 -7 3 -7 4 -6 4 -6 4 -7 5 -7 4 -6 5 -6 5 -6 5 -6 6 -6 6 -7 6 -6 6 -7 7 -7 7 -7 8 -7 8 -7 8 -8 8 -8 9 -8 9 0 0 0 0 0 0 0 0 0 0
1784699149.987384,282322,-36,11,1,7,1,-92,1,-1440233216,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 1 -7 1 -7 0 -7 0 -7 -1 -8 -1 -7 -1 -8 -1 -8 -1 -8 -2 -8 -2 -8 -2 -8 -2 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -7 -4 -8 -4 -7 -3 0 0 -8 -3 -8 -3 -8 -3 -8 -3 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 0 -10 0 -9 0 -10 0 -10 0 -11 0 -11 0 -11 1 -11 0 -12 0 -12 0 -13 0 0 0 0 0 0 0 0 0 0 0
1784699150.002347,282323,-32,11,1,7,0,-92,1,-1440221655,128,0 0 0 0 0 0 0 0 0 0 0 0 7 4 7 5 7 5 6 6 6 6 6 7 6 7 6 7 6 7 6 8 6 8 6 8 5 9 5 9 5 9 5 9 5 9 5 9 5 10 5 9 4 9 4 9 4 9 5 9 4 9 5 9 0 0 5 9 5 9 5 9 5 9 6 9 6 9 6 8 6 8 6 8 7 8 8 8 8 8 9 8 8 8 9 8 10 8 10 8 11 8 11 8 12 8 12 8 12 9 13 9 13 10 13 10 14 10 0 0 0 0 0 0 0 0 0 0
1784699150.004411,282324,-36,11,1,7,1,-92,1,-1440213254,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -4 -6 -4 -6 -5 -5 -5 -5 -5 -5 -5 -5 -6 -5 -6 -5 -6 -5 -6 -5 -6 -5 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -8 -4 -7 -4 -7 -4 -7 -4 -8 -4 -8 -3 -7 -3 -7 -3 -8 0 0 -4 -7 -4 -7 -4 -7 -5 -7 -4 -7 -4 -7 -5 -6 -5 -7 -5 -7 -6 -7 -6 -7 -6 -7 -6 -6 -6 -7 -8 -7 -7 -7 -8 -8 -8 -7 -8 -7 -9 -7 -9 -8 -9 -8 -9 -9 -9 -9 -10 -9 -10 -9 0 0 0 0 0 0 0 0 0 0
1784699150.018469,282325,-36,11,1,7,1,-92,1,-1440203154,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -7 -2 -7 -1 -7 -1 -7 -1 -8 0 -7 0 -8 0 -8 0 -8 1 -8 1 -8 1 -8 2 -8 2 -8 2 -8 2 -8 3 -8 2 -8 3 -8 3 -8 3 -8 3 -8 2 -8 3 -7 3 -7 3 -7 0 0 2 -7 2 -7 3 -7 2 -8 2 -7 2 -7 2 -8 2 -8 1 -8 1 -8 1 -8 1 -8 1 -9 1 -9 0 -9 0 -10 0 -10 0 -10 0 -10 0 -11 0 -11 0 -12 0 -12 0 -12 0 -13 0 -13 0 0 0 0 0 0 0 0 0 0
1784699150.018469,282326,-36,11,1,7,1,-92,1,-1440192794,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -3 -6 -3 -6 -4 -6 -4 -6 -5 -6 -5 -6 -5 -6 -5 -6 -5 -6 -6 -5 -6 -6 -6 -5 -6 -5 -6 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -4 -7 -4 -7 0 0 -5 -7 -5 -7 -5 -7 -5 -6 -5 -7 -5 -6 -5 -6 -5 -6 -6 -6 -6 -6 -6 -6 -7 -6 -7 -6 -7 -6 -8 -6 -8 -6 -8 -6 -8 -6 -9 -6 -9 -6 -9 -6 -10 -6 -10 -6 -10 -7 -11 -7 -11 -7 0 0 0 0 0 0 0 0 0 0
1784699150.034494,282327,-35,11,1,7,1,-92,1,-1440183214,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -7 0 -7 1 -7 1 -7 1 -7 1 -7 1 -7 2 -7 2 -7 3 -7 2 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -7 3 -8 3 -7 3 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 0 0 3 -7 3 -7 3 -7 3 -7 3 -7 3 -8 2 -8 2 -8 2 -8 2 -9 2 -8 1 -8 1 -8 1 -8 0 -10 0 -9 1 -10 1 -10 0 -10 0 -11 0 -11 0 -11 1 -12 0 -12 1 -12 0 -12 0 0 0 0 0 0 0 0 0 0
1784699150.050417,282328,-32,11,1,7,0,-92,1,-1440173278,128,0 0 0 0 0 0 0 0 0 0 0 0 -10 3 -10 2 -11 1 -11 1 -11 1 -11 0 -11 0 -12 0 -12 -1 -12 -1 -12 -1 -12 -2 -13 -2 -13 -2 -12 -2 -13 -3 -12 -3 -13 -3 -12 -3 -13 -3 -13 -3 -13 -4 -13 -3 -12 -4 -13 -4 -12 -4 0 0 -13 -3 -13 -3 -12 -3 -13 -3 -12 -2 -13 -2 -13 -2 -13 -2 -14 -1 -14 -1 -14 -1 -14 -1 -15 0 -15 0 -16 0 -15 1 -16 1 -16 1 -17 2 -17 1 -18 2 -19 2 -19 2 -19 2 -20 2 -21 1 0 0 0 0 0 0 0 0 0 0
