pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782952154.023898,16468,-53,11,1,6,1,-90,1,167998994,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -7 -1 -8 -1 -8 -1 -8 -1 -9 -1 -9 0 -9 0 -9 0 -10 0 -10 1 -11 1 -11 1 -11 2 -11 2 -12 2 -12 2 -12 3 -12 3 -12 3 -12 3 -12 3 -12 3 -12 4 -12 4 -11 4 -12 0 0 4 -12 3 -12 4 -11 3 -12 3 -11 3 -11 2 -11 2 -12 2 -11 2 -12 2 -12 1 -12 1 -11 1 -12 0 -12 0 -12 1 -12 0 -13 0 -13 -1 -13 0 -13 -1 -13 -1 -13 -1 -12 0 -13 -1 -13 0 0 0 0 0 0 0 0 0 0
1782952154.037945,16469,-53,11,1,6,1,-90,1,168008837,128,0 0 0 0 0 0 0 0 0 0 0 0 6 0 7 0 7 1 8 1 7 1 8 1 8 1 9 1 9 2 9 2 10 2 10 2 10 3 10 3 11 4 10 4 11 5 11 4 11 5 11 5 11 5 10 6 11 5 11 6 11 6 11 6 0 0 11 6 10 6 11 6 10 5 10 5 10 5 10 5 10 4 11 4 10 4 11 3 11 3 11 2 12 3 11 3 12 2 11 2 12 2 12 2 12 2 12 1 12 2 12 1 12 1 12 1 12 1 0 0 0 0 0 0 0 0 0 0
1782952154.037945,16470,-53,11,1,6,1,-90,1,168018925,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -7 -3 -7 -2 -8 -2 -8 -2 -9 -2 -9 -2 -9 -2 -10 -2 -10 -1 -11 -1 -11 0 -11 0 -11 0 -12 0 -11 0 -13 0 -12 0 -13 1 -13 1 -13 1 -13 1 -13 2 -13 2 -13 3 -13 2 -13 0 0 2 -12 2 -13 2 -12 2 -13 1 -12 1 -12 1 -12 1 -12 0 -12 0 -13 0 -13 0 -12 -1 -12 -1 -12 -1 -13 -2 -12 -1 -13 -2 -13 -2 -13 -2 -13 -2 -13 -3 -13 -3 -14 -2 -13 -2 -13 -3 -13 0 0 0 0 0 0 0 0 0 0
1782952154.053755,16471,-53,11,1,6,1,-90,1,168028887,128,0 0 0 0 0 0 0 0 0 0 0 0 6 0 7 0 7 1 8 1 7 1 8 1 8 1 9 1 9 2 9 2 9 2 10 3 10 3 10 4 10 3 10 4 11 5 10 4 11 5 10 5 11 5 10 6 10 6 10 6 10 6 10 6 0 0 10 6 10 6 10 6 10 6 10 5 10 5 10 5 10 5 10 5 10 4 10 4 11 4 10 4 11 4 11 3 12 3 11 3 11 3 12 3 12 2 11 2 12 2 11 2 12 2 12 2 12 2 0 0 0 0 0 0 0 0 0 0
1782952154.070256,16472,-50,11,1,6,0,-90,1,168038939,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -4 -7 -5 -7 -5 -8 -6 -7 -6 -8 -7 -8 -7 -8 -7 -8 -8 -8 -8 -8 -9 -9 -9 -9 -10 -8 -10 -9 -11 -9 -11 -9 -11 -9 -12 -8 -12 -8 -12 -8 -13 -8 -12 -8 -13 -7 -13 -8 -13 -7 -14 0 0 -7 -13 -7 -13 -7 -13 -7 -13 -7 -13 -8 -13 -8 -12 -8 -12 -8 -12 -9 -12 -8 -12 -9 -12 -9 -11 -9 -11 -10 -11 -10 -11 -9 -11 -10 -11 -11 -11 -11 -10 -11 -10 -11 -10 -10 -11 -11 -10 -11 -11 -11 -10 0 0 0 0 0 0 0 0 0 0
1782952154.070256,16473,-54,11,1,6,1,-90,1,168048903,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -1 -8 0 -8 0 -8 0 -9 1 -9 1 -9 1 -10 1 -10 2 -11 2 -11 2 -11 3 -11 3 -11 3 -11 4 -12 4 -12 4 -12 5 -12 5 -12 5 -12 5 -12 6 -12 6 -12 6 -11 6 -12 0 0 6 -11 6 -12 5 -11 6 -12 5 -11 4 -12 5 -11 4 -11 4 -12 4 -13 4 -12 4 -12 3 -12 3 -12 3 -13 2 -12 3 -13 2 -13 3 -13 2 -13 2 -13 2 -13 2 -14 2 -13 2 -13 2 -13 0 0 0 0 0 0 0 0 0 0
1782952154.085843,16474,-54,11,1,6,1,-90,1,168058915,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -7 3 -7 4 -7 4 -7 4 -7 4 -8 5 -8 4 -8 5 -8 6 -9 6 -8 7 -8 7 -8 7 -8 8 -9 8 -9 8 -9 9 -9 9 -9 9 -9 9 -9 10 -9 10 -8 10 -8 10 -7 10 -8 0 0 10 -8 10 -8 10 -8 9 -8 9 -8 9 -8 9 -8 9 -8 8 -9 8 -9 9 -9 8 -9 8 -9 8 -9 7 -10 8 -10 7 -10 7 -11 7 -11 7 -11 7 -11 7 -11 7 -11 7 -11 7 -11 7 -11 0 0 0 0 0 0 0 0 0 0
1782952154.102015,16475,-54,11,1,6,1,-90,1,168068881,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 -7 -3 -7 -3 -8 -3 -8 -2 -8 -3 -8 -3 -9 -3 -10 -2 -10 -3 -10 -2 -11 -2 -11 -2 -11 -2 -12 -1 -12 0 -12 -1 -13 -1 -13 0 -13 0 -13 1 -13 1 -14 0 -13 1 -13 1 -13 1 -13 0 0 2 -13 2 -13 2 -13 1 -13 1 -13 1 -13 1 -12 0 -12 1 -13 0 -13 0 -13 0 -13 -1 -13 -1 -13 -1 -12 -1 -13 -1 -12 -2 -13 -1 -13 -2 -13 -2 -13 -1 -14 -2 -13 -2 -13 -2 -13 -2 -13 0 0 0 0 0 0 0 0 0 0
1782952154.102015,16476,-54,11,1,6,1,-90,1,168079990,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 5 -5 6 -5 5 -6 5 -6 5 -7 6 -7 6 -7 6 -7 6 -7 6 -8 6 -8 6 -9 6 -9 6 -10 7 -10 6 -11 6 -10 6 -11 6 -11 6 -12 6 -12 6 -12 6 -12 6 -12 5 -12 6 0 0 -12 5 -11 5 -12 5 -11 5 -11 6 -11 6 -11 6 -11 6 -10 7 -10 7 -10 7 -10 7 -10 7 -10 8 -10 8 -10 8 -9 8 -10 8 -10 9 -9 9 -9 10 -10 9 -9 9 -9 9 -9 9 -10 9 0 0 0 0 0 0 0 0 0 0
1782952154.118090,16477,-53,11,1,6,1,-90,1,168088953,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -6 4 -6 5 -6 5 -6 5 -6 6 -6 6 -6 6 -7 7 -7 7 -6 8 -7 8 -7 8 -7 9 -7 9 -7 10 -7 10 -6 10 -6 11 -6 11 -6 11 -6 11 -6 11 -6 11 -5 11 -5 11 -5 0 0 11 -6 11 -5 11 -5 11 -5 10 -6 10 -5 10 -6 10 -6 10 -6 10 -6 10 -7 10 -7 10 -7 10 -8 9 -8 10 -8 9 -8 9 -8 9 -9 10 -9 9 -9 10 -9 9 -9 9 -9 9 -9 10 -9 0 0 0 0 0 0 0 0 0 0
1782952154.118090,16478,-54,11,1,6,1,-90,1,168098947,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 4 -6 4 -7 4 -7 4 -7 3 -8 4 -8 3 -9 4 -9 4 -9 4 -10 4 -10 4 -11 4 -11 3 -11 3 -11 3 -12 3 -12 3 -13 2 -13 2 -13 2 -13 2 -13 2 -13 1 -13 1 -13 1 0 0 -13 1 -13 1 -13 1 -13 2 -12 2 -13 1 -12 2 -12 2 -12 2 -12 3 -12 3 -12 3 -12 4 -12 4 -12 4 -12 4 -12 5 -12 5 -12 5 -12 5 -13 5 -12 5 -12 5 -12 5 -12 5 -12 5 0 0 0 0 0 0 0 0 0 0
1782952154.133859,16479,-54,11,1,6,1,-90,1,168108856,128,0 0 0 0 0 0 0 0 0 0 0 0 2 6 2 6 2 7 1 7 1 7 2 7 2 8 1 8 1 9 1 10 0 9 0 10 0 10 0 11 0 10 0 12 0 11 -1 12 -2 12 -1 12 -2 12 -2 12 -2 13 -3 12 -3 12 -3 12 0 0 -3 11 -2 12 -2 11 -2 12 -2 11 -2 11 -1 12 -2 11 -1 11 -1 12 -1 12 -1 11 0 12 0 11 1 12 1 12 0 12 1 12 1 12 2 13 1 12 1 12 1 13 1 13 0 13 1 13 0 0 0 0 0 0 0 0 0 0
1782952154.151712,16480,-54,11,1,6,1,-90,1,168119263,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -2 7 -1 7 -1 7 -1 7 0 8 0 8 0 8 0 9 0 8 0 10 0 10 1 10 1 11 1 11 2 10 2 12 2 11 3 12 3 11 3 12 4 11 4 11 4 11 4 11 4 12 4 0 0 11 5 10 4 11 5 10 4 11 4 11 4 11 4 11 4 11 4 11 3 11 3 11 2 11 2 12 3 11 2 12 2 11 2 12 1 12 2 12 1 13 2 12 2 12 1 12 1 12 0 13 1 0 0 0 0 0 0 0 0 0 0
1782952154.155456,16481,-54,11,1,6,1,-90,1,168128969,128,0 0 0 0 0 0 0 0 0 0 0 0 2 -7 2 -7 3 -7 3 -7 4 -7 4 -7 4 -8 5 -8 5 -9 5 -8 6 -9 6 -8 6 -9 7 -9 7 -8 8 -9 8 -9 8 -9 9 -8 8 -9 9 -9 9 -9 10 -9 10 -8 10 -8 10 -8 0 0 9 -8 9 -8 9 -7 10 -8 9 -8 9 -8 9 -8 8 -8 8 -8 9 -9 8 -9 8 -9 8 -9 8 -9 8 -10 7 -10 8 -10 7 -10 7 -11 7 -11 7 -11 7 -11 7 -11 8 -11 7 -10 7 -11 0 0 0 0 0 0 0 0 0 0
1782952154.170618,16482,-54,11,1,6,1,-90,1,168138948,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -7 -2 -7 -2 -8 -2 -8 -1 -8 -2 -9 -1 -9 -1 -9 -1 -10 0 -10 0 -10 0 -11 0 -11 1 -11 0 -11 1 -12 1 -12 2 -13 2 -12 2 -13 2 -13 2 -13 3 -13 3 -13 3 -12 3 -12 0 0 3 -12 3 -12 3 -12 2 -13 2 -12 2 -12 2 -12 2 -12 2 -12 1 -13 1 -13 1 -12 1 -13 1 -12 0 -12 0 -13 0 -13 0 -13 -1 -13 -1 -13 -1 -14 -1 -14 -1 -13 -1 -14 -1 -14 -1 -13 0 0 0 0 0 0 0 0 0 0
1782952154.181710,16483,-54,11,1,6,1,-90,1,168148974,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -3 -7 -4 -7 -4 -7 -4 -7 -4 -7 -5 -7 -6 -8 -6 -8 -6 -8 -6 -8 -7 -9 -7 -9 -7 -9 -8 -9 -8 -9 -9 -9 -9 -9 -9 -9 -10 -8 -10 -8 -10 -8 -11 -9 -10 -9 -10 -8 -10 -9 -10 0 0 -8 -10 -8 -10 -8 -10 -8 -9 -9 -9 -8 -9 -8 -10 -9 -9 -8 -9 -9 -9 -9 -8 -10 -8 -10 -8 -10 -8 -10 -8 -10 -8 -10 -8 -11 -8 -11 -7 -11 -8 -11 -8 -11 -8 -11 -7 -11 -7 -12 -7 -12 -8 0 0 0 0 0 0 0 0 0 0
1782952154.181710,16484,-54,11,1,6,1,-90,1,168158917,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 5 -5 5 -5 5 -6 5 -6 6 -6 5 -7 6 -7 6 -7 6 -8 6 -8 6 -9 7 -9 6 -9 6 -9 6 -11 6 -10 6 -11 6 -11 5 -12 6 -11 6 -11 6 -12 6 -12 5 -12 5 -12 5 0 0 -12 5 -12 5 -11 5 -12 5 -11 5 -12 6 -11 5 -11 6 -11 5 -12 7 -11 6 -10 7 -10 6 -10 6 -11 8 -10 7 -11 7 -10 8 -10 8 -10 8 -10 9 -10 9 -10 9 -10 9 -10 8 -10 8 0 0 0 0 0 0 0 0 0 0
1782952154.197462,16485,-54,11,1,6,1,-90,1,168168888,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -5 5 -4 6 -4 6 -4 7 -4 7 -5 7 -5 8 -4 8 -5 8 -5 9 -4 9 -4 9 -4 10 -4 10 -4 11 -3 11 -3 11 -3 11 -3 11 -3 12 -3 12 -3 12 -3 12 -2 12 -2 12 -2 0 0 12 -2 12 -2 11 -2 12 -2 11 -2 11 -2 11 -3 11 -3 11 -3 12 -4 11 -4 11 -4 11 -4 11 -4 11 -5 11 -5 11 -5 11 -5 11 -6 11 -7 11 -6 11 -6 11 -6 11 -6 12 -6 12 -6 0 0 0 0 0 0 0 0 0 0
1782952154.197462,16486,-54,11,1,6,1,-90,1,168178925,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -7 4 -6 4 -6 4 -6 4 -7 5 -7 6 -7 6 -7 6 -7 6 -7 7 -8 7 -8 8 -8 8 -8 9 -8 9 -7 10 -8 10 -7 10 -7 10 -7 11 -7 11 -6 10 -7 11 -7 10 -6 11 -7 0 0 11 -6 11 -6 11 -6 10 -6 10 -6 10 -6 10 -6 10 -7 10 -7 9 -7 10 -7 9 -8 9 -8 10 -8 9 -8 10 -8 9 -8 9 -9 9 -9 9 -9 9 -10 9 -9 9 -9 9 -10 9 -10 9 -10 0 0 0 0 0 0 0 0 0 0
1782952154.213332,16487,-54,11,1,6,1,-90,1,168189178,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -2 -7 -3 -8 -3 -8 -3 -8 -4 -8 -4 -8 -4 -9 -4 -9 -4 -9 -5 -9 -6 -10 -6 -10 -7 -10 -7 -10 -7 -10 -8 -10 -8 -10 -8 -10 -9 -10 -9 -10 -9 -10 -9 -9 -10 -9 -10 -9 -10 -9 -10 0 0 -9 -10 -9 -10 -9 -10 -9 -10 -9 -9 -9 -10 -9 -9 -9 -9 -9 -9 -10 -9 -9 -8 -10 -9 -10 -8 -10 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -8 -12 -8 -11 -8 -11 -8 -11 -8 -12 -8 -12 -8 -12 -8 0 0 0 0 0 0 0 0 0 0
1782952154.229062,16488,-53,11,1,4,1,-90,1,168200167,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 6 -2 6 -3 6 -3 7 -3 7 -4 7 -3 8 -4 8 -4 8 -4 8 -5 9 -5 9 -5 9 -6 9 -6 10 -7 9 -7 10 -7 9 -7 9 -8 9 -8 10 -8 9 -8 10 -9 9 -8 9 -9 10 0 0 -9 9 -9 9 -9 9 -9 9 -8 9 -8 9 -8 9 -7 10 -8 9 -7 10 -7 9 -6 10 -7 10 -7 11 -7 10 -7 10 -6 10 -6 11 -6 11 -6 11 -6 12 -6 11 -5 11 -6 12 -6 11 -6 12 0 0 0 0 0 0 0 0 0 0
1782952154.229062,16489,-54,11,1,6,1,-90,1,168208989,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 -7 -3 -7 -3 -8 -3 -8 -3 -8 -2 -8 -3 -9 -3 -9 -2 -10 -2 -10 -2 -10 -2 -10 -2 -11 -2 -11 -2 -12 -1 -12 -1 -12 -1 -13 -1 -12 -1 -12 0 -13 0 -13 0 -13 0 -13 0 -13 0 -13 0 0 0 -13 0 -13 1 -13 0 -12 0 -12 0 -13 -1 -13 -1 -13 -1 -12 -1 -12 -1 -13 -2 -12 -2 -12 -2 -12 -2 -13 -2 -13 -3 -13 -3 -13 -3 -13 -4 -13 -3 -13 -3 -13 -3 -13 -4 -13 -4 -13 -4 -13 0 0 0 0 0 0 0 0 0 0
1782952154.245070,16490,-54,11,1,6,1,-90,1,168218806,128,0 0 0 0 0 0 0 0 0 0 0 0 4 5 4 5 4 6 4 6 4 6 4 7 4 7 4 7 4 8 4 8 3 9 4 9 3 10 3 10 4 10 3 10 4 11 4 11 3 12 3 12 3 12 2 12 2 12 2 12 1 12 2 12 0 0 2 12 2 12 2 12 2 12 2 12 2 12 2 11 3 11 3 11 3 12 3 12 4 11 3 11 4 11 5 11 5 11 4 11 5 11 5 11 6 11 5 11 6 11 6 11 6 11 5 11 6 11 0 0 0 0 0 0 0 0 0 0
1782952154.261276,16491,-54,11,1,6,1,-90,1,168228921,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 -2 -7 -3 -7 -3 -8 -4 -7 -4 -8 -4 -7 -4 -8 -5 -8 -5 -9 -5 -9 -5 -9 -6 -9 -6 -10 -6 -10 -7 -9 -7 -10 -8 -9 -8 -10 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -10 -9 -9 0 0 -9 -10 -8 -9 -9 -10 -8 -9 -9 -9 -8 -9 -9 -9 -9 -9 -9 -9 -10 -8 -10 -8 -9 -8 -10 -8 -10 -8 -10 -8 -11 -8 -10 -7 -11 -8 -11 -8 -11 -8 -11 -7 -11 -8 -11 -8 -11 -7 -11 -7 -11 -7 0 0 0 0 0 0 0 0 0 0
1782952154.270544,16492,-54,11,1,6,1,-90,1,168238962,128,0 0 0 0 0 0 0 0 0 0 0 0 5 3 5 4 5 5 5 5 5 5 5 5 5 6 6 6 5 6 6 7 6 7 6 7 6 8 5 8 6 9 6 9 5 9 5 10 5 10 5 11 5 11 4 11 5 11 4 11 4 11 5 11 0 0 4 11 4 11 3 11 4 11 4 11 4 11 4 10 4 11 4 11 5 11 5 10 5 10 5 10 5 10 5 10 5 10 6 10 6 10 6 10 6 11 7 10 6 10 7 10 6 10 7 10 7 10 0 0 0 0 0 0 0 0 0 0
1782952154.277150,16493,-54,11,1,6,1,-90,1,168248831,128,0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 7 -1 7 -1 7 -1 8 -2 8 -2 8 -2 8 -2 8 -2 9 -3 9 -3 9 -4 9 -3 9 -4 10 -4 11 -4 11 -5 11 -5 11 -5 11 -5 11 -6 11 -6 11 -6 11 -7 10 -7 10 0 0 -6 10 -6 10 -6 10 -6 10 -6 10 -6 10 -5 10 -6 10 -5 10 -5 11 -5 11 -4 10 -5 10 -4 11 -3 12 -4 11 -4 11 -4 12 -3 12 -3 12 -3 12 -3 12 -3 12 -4 12 -3 12 -3 12 0 0 0 0 0 0 0 0 0 0
1782952154.277150,16494,-54,11,1,6,1,-90,1,168258901,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 3 -7 3 -7 2 -8 2 -8 3 -8 2 -9 2 -9 3 -9 3 -10 2 -10 2 -10 2 -11 2 -11 2 -12 2 -12 1 -12 1 -12 1 -13 1 -13 1 -13 0 -13 0 -13 1 -13 0 -13 0 -13 0 0 0 -13 0 -13 0 -13 0 -13 0 -13 0 -12 0 -12 0 -13 1 -12 0 -13 1 -13 1 -12 1 -12 2 -12 2 -12 2 -13 2 -13 2 -13 3 -13 3 -13 3 -13 3 -13 4 -13 4 -13 3 -13 3 -13 4 0 0 0 0 0 0 0 0 0 0
1782952154.293020,16495,-54,11,1,6,1,-90,1,168269703,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -6 4 -6 5 -6 5 -6 5 -6 5 -6 6 -6 6 -6 6 -7 7 -7 8 -6 8 -7 8 -6 8 -6 9 -7 9 -7 9 -7 10 -7 10 -7 10 -7 10 -6 11 -6 11 -6 11 -6 11 -5 11 -6 0 0 11 -6 11 -6 10 -6 11 -6 10 -6 10 -6 10 -6 10 -7 10 -7 10 -7 10 -7 9 -7 9 -7 9 -8 9 -9 9 -9 9 -8 9 -9 8 -9 9 -10 8 -10 8 -10 9 -9 10 -9 9 -10 9 -9 0 0 0 0 0 0 0 0 0 0
