pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782952228.383766,23815,-53,11,1,6,1,-90,1,242356299,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -5 6 -5 6 -5 7 -4 7 -5 7 -5 7 -5 8 -5 8 -5 8 -4 9 -4 9 -4 9 -4 10 -4 10 -4 10 -4 11 -4 11 -4 11 -3 11 -4 11 -3 11 -3 11 -3 11 -3 12 -2 11 -2 0 0 12 -3 11 -2 11 -2 11 -3 10 -3 11 -3 11 -3 11 -3 11 -3 11 -4 11 -4 10 -4 11 -4 11 -5 10 -5 11 -5 11 -5 11 -6 10 -6 10 -6 11 -6 11 -7 11 -6 11 -6 11 -6 11 -7 0 0 0 0 0 0 0 0 0 0
1782952228.399429,23816,-53,11,1,6,1,-90,1,242366255,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -8 2 -8 3 -8 3 -8 4 -8 3 -8 4 -8 4 -8 5 -8 5 -8 5 -9 5 -9 6 -9 6 -9 7 -9 7 -9 7 -9 7 -9 8 -9 8 -9 8 -9 9 -8 8 -9 8 -9 8 -9 9 -9 0 0 9 -8 8 -8 9 -8 8 -8 8 -8 8 -9 8 -8 8 -9 8 -9 7 -9 7 -9 7 -9 7 -10 7 -10 6 -10 7 -10 6 -10 7 -11 7 -11 6 -11 6 -11 6 -11 6 -12 6 -12 6 -11 6 -12 0 0 0 0 0 0 0 0 0 0
1782952228.410433,23817,-48,11,1,4,0,-90,1,242377211,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -8 -2 -9 -1 -10 -1 -10 0 -10 0 -10 0 -10 0 -11 0 -11 1 -11 1 -12 1 -12 1 -12 2 -12 2 -13 2 -13 3 -13 3 -13 3 -13 4 -13 4 -14 4 -13 4 -14 5 -13 5 -14 5 -13 0 0 5 -13 5 -13 4 -13 5 -13 4 -13 4 -13 4 -13 4 -13 4 -13 3 -14 3 -13 3 -14 3 -14 3 -13 3 -14 2 -14 2 -14 2 -14 2 -14 2 -14 2 -14 1 -15 1 -15 1 -15 2 -15 0 -15 0 0 0 0 0 0 0 0 0 0
1782952228.415367,23818,-53,11,1,6,1,-90,1,242386359,128,0 0 0 0 0 0 0 0 0 0 0 0 -7 2 -8 2 -8 1 -8 1 -8 1 -9 1 -9 1 -9 1 -9 0 -9 0 -10 0 -11 0 -10 0 -11 -1 -11 -1 -11 -1 -12 -1 -11 -1 -12 -2 -12 -2 -12 -2 -12 -3 -12 -2 -12 -2 -12 -3 -12 -3 0 0 -12 -3 -11 -3 -12 -3 -11 -3 -12 -3 -11 -2 -11 -2 -12 -2 -11 -2 -12 -1 -12 -1 -12 -1 -12 -1 -12 -1 -11 -1 -13 0 -12 0 -13 0 -12 0 -13 0 -12 0 -13 0 -13 0 -13 1 -13 1 -13 0 0 0 0 0 0 0 0 0 0 0
1782952228.431028,23819,-53,11,1,6,1,-90,1,242396749,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -5 6 -5 7 -5 7 -4 7 -5 7 -4 7 -4 8 -5 8 -4 9 -4 9 -4 9 -4 10 -4 10 -3 10 -3 11 -3 10 -3 11 -3 11 -3 11 -3 11 -3 12 -3 11 -2 11 -2 11 -2 11 -2 0 0 11 -2 11 -2 11 -2 11 -2 11 -2 11 -2 11 -3 11 -3 11 -3 11 -4 10 -3 11 -4 10 -4 10 -4 11 -5 10 -5 11 -5 11 -5 11 -5 11 -6 11 -5 11 -6 12 -6 11 -6 11 -6 11 -6 0 0 0 0 0 0 0 0 0 0
1782952228.431028,23820,-53,11,1,6,1,-90,1,242406293,128,0 0 0 0 0 0 0 0 0 0 0 0 -1 7 -2 7 -2 8 -3 7 -3 8 -3 7 -4 8 -4 8 -4 8 -5 8 -5 8 -5 9 -6 8 -6 8 -6 9 -6 9 -7 9 -7 9 -7 9 -7 9 -7 9 -8 9 -8 9 -8 9 -8 8 -8 9 0 0 -8 8 -8 9 -8 8 -8 9 -8 8 -8 8 -7 8 -7 8 -7 9 -7 9 -7 9 -7 9 -6 9 -6 9 -6 10 -6 10 -6 10 -6 10 -6 10 -6 11 -6 11 -6 11 -6 11 -6 11 -6 11 -6 11 0 0 0 0 0 0 0 0 0 0
1782952228.446882,23821,-53,11,1,6,1,-90,1,242417586,128,0 0 0 0 0 0 0 0 0 0 0 0 7 2 7 2 7 2 7 3 7 3 7 3 8 4 7 4 8 4 8 5 8 5 8 5 8 6 8 6 8 6 8 6 8 7 9 7 8 7 8 7 8 7 8 8 8 7 8 8 8 8 8 8 0 0 8 7 8 8 8 7 8 7 8 7 8 7 8 6 9 6 8 6 9 6 9 6 9 6 9 5 9 5 10 5 10 5 10 5 10 5 10 4 11 4 11 5 11 4 11 4 11 4 11 5 11 5 0 0 0 0 0 0 0 0 0 0
1782952228.446882,23822,-53,11,1,6,1,-90,1,242426287,128,0 0 0 0 0 0 0 0 0 0 0 0 2 7 2 7 1 8 1 8 1 8 1 8 1 8 0 9 0 9 0 10 0 10 0 10 -1 10 -1 10 -1 10 -1 11 -1 11 -2 11 -2 11 -2 11 -2 11 -3 11 -3 11 -3 11 -3 11 -3 11 0 0 -3 11 -3 11 -3 10 -3 11 -2 11 -2 11 -2 11 -2 11 -2 10 -1 12 -1 11 -1 11 -1 11 -1 11 0 12 0 11 -1 11 0 12 0 12 1 12 1 12 1 12 0 12 0 12 0 12 1 12 0 0 0 0 0 0 0 0 0 0
1782952228.462556,23823,-53,11,1,6,1,-90,1,242436281,128,0 0 0 0 0 0 0 0 0 0 0 0 4 -7 5 -7 5 -7 5 -6 6 -6 6 -6 6 -6 7 -7 6 -7 8 -7 8 -6 8 -6 8 -6 8 -6 8 -6 9 -7 9 -6 10 -6 10 -6 10 -6 10 -6 10 -6 10 -6 10 -5 10 -5 11 -5 0 0 10 -5 10 -6 10 -5 10 -6 9 -6 9 -5 9 -6 10 -6 9 -7 9 -7 9 -7 9 -7 9 -7 9 -7 9 -8 9 -8 9 -9 9 -8 8 -8 9 -9 9 -9 8 -10 9 -9 9 -9 9 -9 9 -10 0 0 0 0 0 0 0 0 0 0
1782952228.478330,23824,-53,11,1,6,1,-90,1,242446261,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 -8 -1 -8 -1 -8 0 -9 0 -9 0 -9 0 -9 1 -10 1 -10 1 -10 1 -10 1 -10 2 -11 2 -11 2 -11 3 -11 3 -11 3 -11 3 -11 4 -11 4 -11 4 -11 4 -12 4 -11 4 -11 4 -11 0 0 5 -11 4 -11 4 -11 4 -11 4 -11 4 -11 4 -11 3 -11 4 -11 3 -12 3 -12 2 -11 2 -12 3 -12 2 -12 2 -12 2 -13 2 -12 2 -13 2 -13 2 -13 2 -13 1 -13 1 -14 1 -13 1 -13 0 0 0 0 0 0 0 0 0 0
