pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782952302.796264,31174,-51,11,1,5,1,-90,1,316764122,128,0 0 0 0 0 0 0 0 0 0 0 0 0 6 -1 6 -1 6 -2 7 -2 6 -2 7 -2 7 -2 7 -3 7 -2 7 -3 7 -3 8 -3 8 -4 8 -4 8 -4 8 -5 9 -5 8 -6 8 -5 8 -5 8 -6 8 -6 8 -6 8 -6 8 -6 8 0 0 -6 8 -6 8 -7 8 -6 8 -6 8 -6 8 -6 8 -5 8 -6 8 -5 9 -5 9 -5 9 -5 9 -5 10 -5 9 -4 10 -4 10 -4 10 -4 11 -4 11 -4 11 -4 11 -4 11 -5 11 -4 12 -4 12 0 0 0 0 0 0 0 0 0 0
1782952302.796264,31175,-52,11,1,6,1,-90,1,316774159,128,0 0 0 0 0 0 0 0 0 0 0 0 5 2 5 2 5 3 5 3 5 4 5 3 5 3 6 4 5 4 6 4 6 5 6 6 5 6 5 6 6 6 5 7 6 7 5 7 5 8 5 8 6 7 5 8 5 8 5 8 5 9 5 8 0 0 5 9 5 8 5 8 5 8 5 8 5 8 5 8 6 7 5 8 6 8 5 8 6 8 6 8 6 8 7 8 7 8 7 8 7 8 8 8 8 7 8 7 8 8 9 8 8 8 9 8 9 8 0 0 0 0 0 0 0 0 0 0
1782952302.820830,31176,-52,11,1,6,1,-90,1,316784125,128,0 0 0 0 0 0 0 0 0 0 0 0 0 -7 0 -7 1 -6 1 -7 1 -7 1 -7 1 -7 2 -8 2 -8 2 -8 3 -8 3 -8 3 -8 4 -9 3 -8 4 -9 4 -9 4 -9 4 -9 5 -9 5 -9 5 -9 5 -9 5 -9 6 -9 6 -8 0 0 5 -9 5 -9 5 -9 5 -9 5 -9 5 -9 5 -9 5 -9 4 -9 4 -9 4 -10 4 -10 4 -10 3 -10 3 -10 3 -11 3 -11 3 -11 3 -11 3 -12 3 -11 3 -12 3 -12 3 -12 3 -13 3 -13 0 0 0 0 0 0 0 0 0 0
1782952302.829348,31177,-52,11,1,6,1,-90,1,316794132,128,0 0 0 0 0 0 0 0 0 0 0 0 5 1 5 2 5 2 5 2 5 3 6 3 6 3 6 3 6 4 6 3 6 4 6 4 6 5 7 5 7 5 6 6 7 6 6 6 7 7 6 6 6 7 6 7 6 7 6 7 6 7 6 7 0 0 6 8 6 7 6 7 6 7 6 7 6 7 6 7 6 7 6 7 6 6 6 6 7 7 7 6 8 7 7 6 8 6 7 6 8 7 8 6 8 6 9 7 9 7 9 7 9 7 9 7 10 7 0 0 0 0 0 0 0 0 0 0
1782952302.847376,31178,-52,11,1,6,1,-90,1,316810030,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 4 -5 4 -6 4 -5 3 -6 3 -6 4 -6 4 -6 4 -7 4 -7 4 -8 4 -8 4 -8 3 -9 3 -9 4 -9 3 -9 3 -9 3 -9 3 -10 3 -10 3 -10 3 -10 3 -11 2 -10 2 -10 2 0 0 -10 2 -11 2 -10 2 -10 3 -10 3 -10 3 -9 3 -10 3 -10 3 -10 4 -10 3 -10 4 -10 4 -10 4 -10 5 -10 5 -10 4 -11 5 -11 5 -11 6 -11 6 -10 6 -11 6 -12 6 -11 7 -12 7 0 0 0 0 0 0 0 0 0 0
1782952302.851381,31179,-52,11,1,6,1,-90,1,316813754,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 4 -5 4 -5 4 -5 4 -5 4 -5 4 -6 4 -6 4 -6 4 -7 4 -7 4 -8 3 -8 3 -8 4 -9 4 -9 4 -9 4 -9 3 -9 3 -10 4 -9 3 -10 3 -10 3 -10 2 -10 2 -10 2 0 0 -10 2 -10 3 -10 2 -11 3 -10 3 -10 3 -10 3 -10 3 -10 3 -10 4 -10 3 -10 4 -10 3 -10 4 -10 5 -10 5 -11 5 -11 5 -11 5 -11 6 -11 6 -11 6 -11 5 -11 5 -11 6 -12 6 0 0 0 0 0 0 0 0 0 0
1782952302.863139,31180,-53,11,1,6,1,-90,1,316831609,128,0 0 0 0 0 0 0 0 0 0 0 0 -2 5 -2 5 -3 5 -3 5 -3 5 -3 5 -3 6 -4 6 -4 6 -5 6 -5 6 -5 6 -5 6 -6 7 -5 6 -6 7 -5 7 -6 7 -6 7 -7 7 -6 7 -7 7 -7 7 -7 6 -8 7 -8 7 0 0 -7 7 -7 7 -7 7 -7 7 -7 7 -7 7 -6 7 -6 8 -6 8 -6 9 -7 8 -6 8 -6 8 -6 8 -6 10 -5 9 -7 9 -6 9 -5 10 -5 11 -6 10 -5 11 -6 11 -6 10 -6 11 -6 11 0 0 0 0 0 0 0 0 0 0
1782952302.863139,31181,-53,11,1,6,1,-90,1,316833704,128,0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 5 1 6 0 6 0 6 0 6 0 6 0 7 0 7 0 7 -1 7 -1 8 -1 8 -1 8 -1 8 -2 9 -2 9 -2 9 -2 9 -2 9 -2 9 -2 9 -3 9 -3 9 -3 9 -3 9 0 0 -3 9 -3 9 -4 9 -3 9 -3 9 -3 9 -2 9 -2 9 -3 9 -2 10 -2 10 -2 10 -2 10 -2 10 -1 10 -1 10 -2 11 -1 11 -1 11 -1 11 -1 11 0 11 -1 12 -1 12 0 12 -1 12 0 0 0 0 0 0 0 0 0 0
1782952302.874790,31182,-53,11,1,6,1,-90,1,316843798,128,0 0 0 0 0 0 0 0 0 0 0 0 -3 5 -3 5 -3 5 -4 5 -4 6 -4 5 -4 5 -4 6 -5 6 -5 6 -5 6 -6 6 -6 6 -6 6 -6 6 -6 7 -7 7 -7 7 -7 7 -8 6 -8 6 -8 6 -8 6 -8 6 -8 6 -9 6 0 0 -8 6 -8 6 -8 6 -8 6 -8 6 -8 6 -8 7 -8 7 -8 7 -8 7 -8 7 -8 7 -7 7 -7 8 -7 8 -7 8 -8 8 -7 9 -7 9 -7 10 -8 9 -7 10 -8 10 -8 10 -8 10 -8 10 0 0 0 0 0 0 0 0 0 0
1782952302.892477,31183,-54,11,1,6,1,-90,1,316857908,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -2 5 -2 6 -1 6 -1 6 -1 6 -1 7 -1 7 -1 7 0 7 0 8 0 8 0 8 1 8 1 8 0 9 1 9 1 9 1 9 1 9 1 9 2 10 2 10 2 9 3 9 3 9 3 0 0 9 3 9 3 9 2 9 3 9 2 9 2 9 2 10 2 9 2 10 1 10 2 10 2 10 1 10 1 11 1 10 1 11 1 11 1 11 0 11 0 11 0 11 0 12 0 12 1 12 1 12 0 0 0 0 0 0 0 0 0 0 0
